Date,Open,High,Low,Close,Adj Close,Volume
1993-06-03,14.875000,15.000000,14.500000,14.687500,7.103086,56603000
1993-06-04,14.562500,14.687500,14.312500,14.312500,6.921728,12644400
1993-06-07,14.125000,14.250000,14.000000,14.062500,6.800825,10043800
1993-06-08,14.062500,14.125000,13.812500,13.875000,6.710148,6974600
1993-06-09,13.937500,14.250000,13.937500,14.125000,6.831048,4043200
1993-06-10,14.062500,14.125000,13.937500,14.000000,6.770601,2605400
1993-06-11,14.000000,14.187500,14.000000,14.000000,6.770601,2641600
1993-06-14,14.062500,14.125000,13.875000,13.875000,6.710148,1806200
1993-06-15,14.000000,14.000000,13.875000,13.937500,6.740376,2257600
1993-06-16,13.937500,14.000000,13.875000,14.000000,6.770601,2391600
1993-06-17,14.000000,14.125000,13.937500,14.000000,6.770601,2126800
1993-06-18,14.000000,14.000000,13.812500,13.812500,6.679921,2128600
1993-06-21,13.812500,13.812500,13.562500,13.687500,6.619471,2101000
1993-06-22,13.687500,13.875000,13.687500,13.875000,6.710148,1593600
1993-06-23,13.875000,14.000000,13.812500,13.812500,6.679921,1948000
1993-06-24,13.812500,14.062500,13.625000,14.062500,6.800825,3305200
1993-06-25,14.250000,14.312500,14.062500,14.250000,6.891502,2468000
1993-06-28,14.187500,14.500000,14.187500,14.500000,7.012408,2522600
1993-06-29,14.437500,14.500000,14.125000,14.375000,6.951956,1190800
1993-06-30,14.500000,14.625000,14.437500,14.500000,7.012408,2553800
1993-07-01,14.687500,14.750000,14.312500,14.750000,7.133312,2857800
1993-07-02,14.437500,14.437500,14.312500,14.375000,6.951956,1077200
1993-07-06,14.437500,14.562500,14.312500,14.312500,6.921728,1237600
1993-07-07,14.250000,14.375000,14.187500,14.250000,6.891502,1667200
1993-07-08,14.312500,14.500000,14.250000,14.437500,6.982183,1588600
1993-07-09,14.562500,14.625000,14.250000,14.250000,6.891502,1731200
1993-07-12,14.375000,14.375000,13.937500,14.125000,6.831048,1738600
1993-07-13,14.187500,14.437500,14.187500,14.312500,6.921728,1305000
1993-07-14,14.312500,14.625000,14.312500,14.625000,7.072858,1805600
1993-07-15,14.625000,14.687500,14.562500,14.687500,7.103086,1235400
1993-07-16,14.875000,15.062500,14.750000,14.937500,7.223988,2590200
1993-07-19,15.000000,15.187500,14.937500,15.187500,7.344892,2590000
1993-07-20,15.750000,15.750000,15.312500,15.312500,7.405344,3977600
1993-07-21,15.437500,15.437500,14.937500,14.937500,7.223988,1779000
1993-07-22,15.000000,15.000000,14.750000,14.812500,7.163538,1095200
1993-07-23,14.812500,15.062500,14.812500,14.937500,7.223988,1060400
1993-07-26,15.000000,15.250000,14.937500,15.250000,7.375118,990000
1993-07-27,15.250000,15.562500,15.250000,15.250000,7.375118,942200
1993-07-28,15.250000,15.312500,15.125000,15.187500,7.344892,346200
1993-07-29,15.062500,15.375000,15.000000,15.250000,7.375118,1070400
1993-07-30,15.250000,15.562500,15.250000,15.562500,7.526246,1271200
1993-08-02,15.562500,15.687500,15.437500,15.500000,7.496024,1062200
1993-08-03,15.562500,15.812500,15.562500,15.687500,7.586698,1316000
1993-08-04,15.750000,15.875000,15.500000,15.625000,7.556475,752200
1993-08-05,15.687500,15.687500,15.250000,15.250000,7.375118,910600
1993-08-06,15.437500,15.625000,15.437500,15.500000,7.496024,718200
1993-08-09,15.500000,15.562500,15.375000,15.500000,7.496024,492000
1993-08-10,15.500000,15.625000,15.312500,15.312500,7.405344,1608600
1993-08-11,15.437500,15.437500,15.187500,15.250000,7.375118,337400
1993-08-12,15.250000,15.250000,15.000000,15.125000,7.314667,496200
1993-08-13,15.187500,15.187500,15.000000,15.000000,7.254214,375200
1993-08-16,14.937500,15.062500,14.812500,14.875000,7.193760,1067800
1993-08-17,14.875000,15.125000,14.875000,15.000000,7.254214,1069400
1993-08-18,15.062500,15.187500,15.062500,15.187500,7.344892,809800
1993-08-19,15.187500,15.625000,15.187500,15.625000,7.556475,861200
1993-08-20,15.562500,16.000000,15.562500,16.000000,7.737828,2957000
1993-08-23,16.062500,16.062500,15.875000,16.000000,7.737828,853000
1993-08-24,15.875000,16.062500,15.875000,15.937500,7.707603,759800
1993-08-25,15.875000,16.000000,15.875000,15.875000,7.677377,951200
1993-08-26,15.937500,16.000000,15.750000,16.000000,7.737828,721200
1993-08-27,16.000000,16.062500,15.937500,16.000000,7.737828,316600
1993-08-30,15.875000,15.937500,15.562500,15.625000,7.556475,945800
1993-08-31,15.500000,15.625000,15.437500,15.500000,7.496024,590000
1993-09-01,15.687500,15.937500,15.687500,15.937500,7.707603,355400
