Date,Open,High,Low,Close,Adj Close,Volume
1995-07-10,11.812500,12.250000,11.812500,12.250000,5.641609,5438000
1995-07-11,12.562500,12.562500,12.375000,12.500000,5.756745,4907000
1995-07-12,12.500000,13.062500,12.437500,13.062500,6.015800,1055800
1995-07-13,13.000000,13.125000,12.937500,13.062500,6.015800,1373600
1995-07-14,13.000000,13.062500,12.937500,13.000000,5.987016,985600
1995-07-17,13.000000,13.000000,12.875000,12.937500,5.958233,947600
1995-07-18,12.937500,12.937500,12.562500,12.625000,5.814313,727400
1995-07-19,12.562500,12.562500,11.687500,11.875000,5.468909,558200
1995-07-20,11.750000,11.812500,11.750000,11.812500,5.440123,464600
1995-07-21,11.875000,12.187500,11.875000,12.062500,5.555259,721200
1995-07-24,12.062500,12.250000,12.062500,12.062500,5.555259,509000
1995-07-25,12.125000,12.375000,12.062500,12.125000,5.584044,847000
1995-07-26,12.250000,12.562500,12.250000,12.562500,5.785527,1584800
1995-07-27,12.500000,12.875000,12.500000,12.875000,5.929447,2082600
1995-07-28,12.875000,13.687500,12.687500,13.687500,6.303637,14640800
1995-07-31,13.625000,13.625000,13.250000,13.500000,6.217283,2544600
1995-08-01,13.437500,13.437500,13.250000,13.312500,6.130936,1956000
1995-08-02,13.312500,13.312500,12.625000,12.687500,5.843096,2307600
1995-08-03,12.562500,13.000000,12.562500,13.000000,5.987016,1762800
1995-08-04,12.875000,12.937500,12.500000,12.687500,5.843096,903800
1995-08-07,12.625000,12.625000,12.437500,12.562500,5.785527,837000
1995-08-08,12.500000,12.562500,12.437500,12.437500,5.727960,729000
1995-08-09,12.437500,12.437500,12.187500,12.250000,5.641609,586600
1995-08-10,12.250000,12.562500,12.250000,12.375000,5.699179,1319400
1995-08-11,12.375000,12.625000,12.375000,12.500000,5.756745,1152000
1995-08-14,12.500000,12.500000,12.125000,12.250000,5.641609,379800
1995-08-15,12.250000,12.375000,12.250000,12.312500,5.670395,349600
1995-08-16,12.437500,12.500000,12.312500,12.375000,5.699179,440200
1995-08-17,12.375000,12.562500,12.312500,12.562500,5.785527,410600
1995-08-18,12.562500,12.562500,12.187500,12.250000,5.641609,598800
1995-08-21,12.312500,12.437500,12.125000,12.125000,5.584044,440400
1995-08-22,12.187500,12.250000,11.875000,12.000000,5.526475,444200
1995-08-23,12.062500,12.062500,11.562500,11.812500,5.440123,193200
1995-08-24,11.812500,11.812500,11.562500,11.625000,5.353774,1284000
1995-08-25,11.625000,11.937500,11.437500,11.812500,5.440123,733400
1995-08-28,11.812500,11.812500,11.500000,11.625000,5.353774,447600
1995-08-29,11.625000,11.625000,11.312500,11.437500,5.267421,368600
1995-08-30,11.312500,11.750000,11.312500,11.562500,5.324990,398000
1995-08-31,11.625000,11.687500,11.562500,11.687500,5.382556,417400
1995-09-01,11.625000,11.812500,11.625000,11.750000,5.411339,594600
1995-09-05,11.875000,11.937500,11.687500,11.812500,5.440123,487600
1995-09-06,11.875000,12.000000,11.812500,11.937500,5.497691,476400
1995-09-07,11.875000,11.875000,11.562500,11.625000,5.353774,618000
1995-09-08,11.625000,11.687500,11.562500,11.625000,5.353774,1015600
1995-09-11,11.625000,12.000000,11.562500,11.875000,5.468909,279000
1995-09-12,11.875000,12.000000,11.687500,12.000000,5.526475,290000
1995-09-13,12.187500,12.437500,12.187500,12.187500,5.612824,325000
1995-09-14,12.187500,12.250000,12.062500,12.250000,5.641609,491800
1995-09-15,12.375000,12.437500,12.250000,12.375000,5.699179,1108600
1995-09-18,12.375000,12.437500,12.312500,12.437500,5.727960,609400
1995-09-19,12.375000,12.437500,12.312500,12.437500,5.727960,581600
1995-09-20,12.375000,12.437500,12.312500,12.375000,5.699179,597600
1995-09-21,12.375000,12.437500,12.312500,12.375000,5.699179,437400
1995-09-22,12.250000,12.375000,12.187500,12.312500,5.670395,832200
1995-09-25,12.375000,12.437500,12.250000,12.375000,5.699179,436400
1995-09-26,12.312500,12.437500,12.250000,12.312500,5.670395,571000
1995-09-27,12.375000,12.562500,12.312500,12.312500,5.670395,893200
1995-09-28,12.375000,12.687500,12.375000,12.687500,5.843096,728200
