"Date","Time","Open","High","Low","Close","Up","Down"
10/06/2020,15:03,10750,10750,10750,10750,2,0
10/06/2020,16:16,10765,10765,10765,10765,1,0
10/06/2020,20:24,10775,10775,10775,10775,1,0
10/07/2020,02:33,10805,10805,10805,10805,1,0
10/07/2020,05:18,10820,10820,10820,10820,1,0
10/07/2020,05:23,10825,10825,10825,10825,1,0
10/07/2020,06:33,10845,10845,10845,10845,1,0
10/07/2020,08:01,10840,10840,10840,10840,0,1
10/07/2020,08:24,10850,10860,10850,10860,3,0
10/07/2020,08:25,10860,10860,10860,10860,1,0
10/07/2020,09:05,10830,10830,10830,10830,0,2
10/07/2020,09:28,10795,10795,10795,10795,0,1
10/07/2020,12:11,10870,10870,10870,10870,1,0
10/07/2020,12:12,10880,10880,10880,10880,1,0
10/07/2020,12:33,10870,10870,10870,10870,0,1
10/07/2020,15:28,10860,10860,10860,10860,0,3
10/07/2020,15:41,10860,10860,10860,10860,0,1
10/07/2020,18:56,10850,10850,10850,10850,0,1
10/07/2020,19:17,10840,10840,10840,10840,0,1
10/07/2020,19:21,10840,10840,10840,10840,0,4
10/07/2020,21:59,10840,10840,10840,10840,0,1
10/07/2020,23:04,10830,10830,10830,10830,0,2
10/08/2020,00:12,10790,10790,10790,10790,0,3
10/08/2020,00:45,10795,10795,10795,10795,1,0
10/08/2020,05:31,10845,10845,10845,10845,1,0
10/08/2020,06:03,10830,10830,10830,10830,0,2
10/08/2020,06:04,10845,10845,10845,10845,2,0
10/08/2020,06:05,10855,10855,10855,10855,2,0
10/08/2020,06:06,10860,10880,10860,10880,2,0
10/08/2020,06:07,10880,10915,10880,10915,5,0
10/08/2020,06:08,10930,10930,10930,10930,1,0
10/08/2020,06:13,10930,10930,10930,10930,1,0
10/08/2020,06:17,10920,10920,10920,10920,0,2
10/08/2020,06:18,10920,10920,10920,10920,0,1
10/08/2020,06:27,10945,10945,10945,10945,1,0
10/08/2020,06:30,10955,10955,10955,10955,1,0
10/08/2020,06:31,10970,10970,10970,10970,1,0
10/08/2020,06:35,10960,10960,10960,10960,0,1
10/08/2020,06:42,10945,10945,10945,10945,0,1
10/08/2020,06:48,10945,10945,10945,10945,0,1
10/08/2020,06:55,10940,10940,10940,10940,0,1
10/08/2020,06:56,10950,10950,10950,10950,1,0
10/08/2020,06:57,10955,10955,10955,10955,2,0
10/08/2020,07:10,10935,10935,10935,10935,0,1
10/08/2020,07:11,10920,10920,10915,10915,0,5
10/08/2020,07:23,10970,10970,10970,10970,1,0
10/08/2020,07:33,10945,10945,10945,10945,0,1
10/08/2020,07:34,10975,10975,10975,10975,1,0
10/08/2020,07:38,11030,11070,11030,11070,5,0
10/08/2020,07:39,11095,11095,11095,11095,1,0
10/08/2020,07:42,11075,11075,11075,11075,0,1
10/08/2020,07:46,11115,11115,11115,11115,1,0
10/08/2020,07:50,11110,11110,11110,11110,0,1
10/08/2020,07:51,11115,11135,11115,11135,2,0
10/08/2020,07:52,11140,11165,11140,11165,3,0
10/08/2020,07:53,11145,11145,11145,11145,0,1
10/08/2020,08:01,11160,11160,11160,11160,1,0
10/08/2020,08:21,11130,11130,11130,11130,0,6
10/08/2020,08:23,11140,11140,11140,11140,4,0
10/08/2020,08:24,11130,11130,11130,11130,0,1
10/08/2020,08:26,11130,11130,11130,11130,0,1
10/08/2020,08:32,11120,11120,11110,11110,0,2
10/08/2020,08:36,11095,11095,11095,11095,0,1
10/08/2020,08:38,11100,11100,11100,11100,1,0
10/08/2020,08:39,11115,11115,11115,11115,1,0
10/08/2020,08:41,11120,11120,11120,11120,2,0
10/08/2020,08:42,11120,11130,11120,11130,4,0
10/08/2020,08:43,11130,11130,11130,11130,4,0
10/08/2020,08:45,11130,11130,11130,11130,1,0
10/08/2020,08:46,11140,11140,11140,11140,1,0
10/08/2020,08:50,11125,11125,11125,11125,0,1
10/08/2020,08:55,11115,11115,11115,11115,0,1
10/08/2020,09:58,11150,11150,11150,11150,1,0
10/08/2020,10:04,11145,11145,11145,11145,0,1
10/08/2020,10:25,11165,11165,11165,11165,1,0
10/08/2020,10:37,11125,11125,11125,11125,0,1
10/08/2020,10:54,11105,11105,11105,11105,0,1
10/08/2020,11:16,11115,11115,11115,11115,3,0
10/08/2020,11:58,11100,11100,11100,11100,0,1
10/08/2020,12:04,11085,11085,11085,11085,0,1
10/08/2020,12:27,11115,11115,11115,11115,2,0
10/08/2020,13:00,11110,11110,11110,11110,0,1
10/08/2020,13:29,11100,11100,11100,11100,0,1
10/08/2020,13:50,11130,11130,11130,11130,1,0
10/08/2020,15:15,11130,11130,11130,11130,1,0
10/08/2020,15:32,11125,11125,11125,11125,0,1
10/08/2020,16:52,11120,11120,11120,11120,0,1
10/08/2020,16:53,11120,11120,11120,11120,0,1
10/08/2020,16:57,11135,11135,11135,11135,1,0
10/08/2020,16:58,11140,11150,11140,11150,2,0
10/08/2020,21:14,11115,11115,11115,11115,0,1
10/08/2020,22:51,11090,11090,11090,11090,0,1
10/08/2020,22:56,11090,11090,11090,11090,0,1
10/08/2020,23:01,11080,11080,11075,11075,0,2
10/09/2020,02:53,11110,11115,11110,11115,2,0
10/09/2020,03:42,11180,11245,11180,11245,8,0
10/09/2020,04:03,11250,11275,11250,11275,3,0
10/09/2020,04:07,11285,11285,11285,11285,1,0
10/09/2020,04:22,11295,11295,11295,11295,1,0
10/09/2020,04:24,11305,11305,11305,11305,1,0
10/09/2020,04:25,11320,11320,11320,11320,1,0
10/09/2020,04:26,11335,11340,11335,11340,2,0
10/09/2020,04:46,11300,11300,11300,11300,0,1
10/09/2020,04:56,11280,11280,11280,11280,0,1
10/09/2020,05:12,11285,11285,11285,11285,1,0
10/09/2020,05:15,11290,11290,11290,11290,1,0
10/09/2020,05:27,11300,11300,11300,11300,1,0
10/09/2020,05:31,11295,11305,11295,11305,1,1
10/09/2020,05:33,11300,11300,11300,11300,0,1
10/09/2020,05:47,11310,11310,11310,11310,1,0
10/09/2020,05:52,11325,11325,11325,11325,3,0
10/09/2020,06:08,11330,11330,11330,11330,1,0
10/09/2020,06:11,11315,11315,11315,11315,0,1
10/09/2020,06:13,11310,11310,11310,11310,0,1
10/09/2020,06:20,11300,11300,11300,11300,0,1
10/09/2020,06:22,11295,11295,11295,11295,0,1
10/09/2020,06:54,11320,11320,11320,11320,1,0
10/09/2020,06:56,11325,11325,11325,11325,1,0
10/09/2020,06:57,11325,11325,11325,11325,2,0
10/09/2020,06:59,11325,11325,11325,11325,1,0
10/09/2020,07:00,11325,11325,11325,11325,2,0
10/09/2020,07:09,11315,11315,11315,11315,0,1
10/09/2020,07:10,11315,11315,11315,11315,0,1
10/09/2020,07:17,11320,11320,11320,11320,1,0
10/09/2020,07:26,11320,11320,11320,11320,2,0
10/09/2020,07:27,11315,11315,11315,11315,0,1
10/09/2020,07:29,11300,11300,11300,11300,0,1
10/09/2020,07:34,11295,11295,11295,11295,0,1
10/09/2020,07:37,11290,11295,11290,11295,1,1
10/09/2020,07:38,11300,11300,11300,11300,1,0
10/09/2020,07:40,11305,11305,11305,11305,1,0
