"Date","Time","Open","High","Low","Close","Up","Down"
10/06/2020,15:01,3338.00,3338.25,3332.25,3335.50,1349,887
10/06/2020,15:02,3335.75,3336.00,3334.00,3335.00,374,289
10/06/2020,15:03,3334.75,3336.00,3334.00,3336.00,543,211
10/06/2020,15:04,3336.00,3338.50,3335.25,3338.25,928,732
10/06/2020,15:05,3338.25,3339.75,3337.75,3339.00,371,382
10/06/2020,15:06,3339.00,3339.75,3337.50,3338.00,485,565
10/06/2020,15:07,3338.00,3338.00,3337.50,3337.75,21,106
10/06/2020,15:08,3338.00,3338.00,3337.00,3337.00,21,124
10/06/2020,15:09,3337.25,3339.75,3337.00,3339.75,213,105
10/06/2020,15:10,3339.75,3339.75,3338.75,3339.25,36,34
10/06/2020,15:11,3339.25,3340.00,3339.00,3339.50,105,76
10/06/2020,15:12,3339.75,3340.25,3339.50,3339.50,56,56
10/06/2020,15:13,3339.50,3340.25,3339.50,3339.75,49,60
10/06/2020,15:14,3340.00,3340.00,3339.50,3340.00,44,25
10/06/2020,15:15,3340.00,3341.00,3340.00,3340.50,152,70
10/06/2020,15:16,3340.75,3341.50,3339.75,3340.25,94,203
10/06/2020,15:17,3340.50,3341.00,3339.75,3339.75,30,67
10/06/2020,15:18,3339.75,3340.50,3339.50,3340.50,101,93
10/06/2020,15:19,3340.50,3342.00,3340.25,3341.50,188,65
10/06/2020,15:20,3341.25,3342.00,3341.00,3342.00,147,74
10/06/2020,15:21,3342.00,3342.75,3341.75,3342.25,144,126
10/06/2020,15:22,3342.25,3342.50,3341.50,3341.50,50,97
10/06/2020,15:23,3341.50,3342.25,3341.25,3341.50,48,149
10/06/2020,15:24,3341.50,3343.00,3341.25,3342.75,585,441
10/06/2020,15:25,3342.25,3342.50,3341.75,3342.00,231,342
10/06/2020,15:26,3342.25,3342.50,3341.50,3342.00,30,50
10/06/2020,15:27,3341.75,3342.50,3341.75,3342.25,49,26
10/06/2020,15:28,3342.25,3342.75,3341.75,3341.75,16,44
10/06/2020,15:29,3341.75,3341.75,3341.00,3341.25,48,93
10/06/2020,15:30,3341.25,3341.75,3341.00,3341.25,23,48
10/06/2020,15:31,3341.50,3343.00,3341.50,3342.75,118,41
10/06/2020,15:32,3343.00,3344.00,3343.00,3344.00,303,81
10/06/2020,15:33,3344.00,3345.00,3343.50,3344.25,231,274
10/06/2020,15:34,3344.00,3346.50,3344.00,3344.50,335,224
10/06/2020,15:35,3344.50,3344.50,3343.00,3343.25,276,363
10/06/2020,15:36,3343.50,3345.25,3343.50,3344.25,268,269
10/06/2020,15:37,3344.50,3344.50,3343.25,3343.50,131,231
10/06/2020,15:38,3343.50,3344.25,3343.25,3343.75,22,40
10/06/2020,15:39,3343.50,3343.75,3343.00,3343.25,44,103
10/06/2020,15:40,3343.50,3344.00,3343.25,3344.00,71,13
10/06/2020,15:41,3344.00,3345.00,3343.50,3345.00,201,79
10/06/2020,15:42,3345.00,3345.25,3343.75,3344.00,155,144
10/06/2020,15:43,3344.25,3344.50,3343.00,3343.25,43,170
