"Date","Time","Open","High","Low","Close","Up","Down"
10/07/2020,06:31,3384.56,3394.58,3384.56,3394.58,53667,11859
10/07/2020,06:32,3394.98,3399.95,3394.98,3399.95,8026,3119
10/07/2020,06:33,3400.04,3402.43,3399.93,3401.28,6542,4511
10/07/2020,06:34,3401.26,3402.22,3400.14,3402.22,5341,4526
10/07/2020,06:35,3402.26,3402.26,3400.28,3400.50,4885,4517
10/07/2020,06:36,3400.41,3401.90,3400.41,3401.81,5720,2787
10/07/2020,06:37,3401.91,3402.23,3400.36,3400.36,2794,5194
10/07/2020,06:38,3400.34,3400.44,3399.38,3400.01,3835,4321
10/07/2020,06:39,3400.01,3401.04,3399.23,3399.23,3247,3810
10/07/2020,06:40,3399.18,3399.27,3397.77,3397.78,2970,4061
10/07/2020,06:41,3397.81,3400.14,3397.81,3399.97,4557,2857
10/07/2020,06:42,3399.91,3401.69,3399.72,3401.50,4260,3599
10/07/2020,06:43,3401.42,3402.07,3400.82,3401.11,3452,4447
10/07/2020,06:44,3401.11,3402.89,3400.93,3402.89,4938,1888
10/07/2020,06:45,3402.76,3403.67,3402.47,3402.58,3644,4045
10/07/2020,06:46,3402.58,3403.01,3401.44,3401.67,2993,4235
10/07/2020,06:47,3401.62,3402.06,3401.07,3401.09,3738,3119
10/07/2020,06:48,3400.96,3401.71,3400.29,3401.11,2962,3296
10/07/2020,06:49,3401.02,3403.14,3401.02,3402.82,3475,2612
10/07/2020,06:50,3402.79,3403.09,3402.23,3402.32,2303,3473
10/07/2020,06:51,3402.25,3402.25,3400.75,3400.75,2028,4247
10/07/2020,06:52,3400.89,3402.01,3400.89,3402.01,3119,2205
10/07/2020,06:53,3402.03,3403.55,3402.03,3402.19,3722,3072
10/07/2020,06:54,3402.18,3403.86,3402.18,3402.57,2986,2741
10/07/2020,06:55,3402.53,3403.72,3402.16,3403.72,3530,1552
10/07/2020,06:56,3403.80,3404.98,3403.12,3403.48,2901,3393
10/07/2020,06:57,3403.56,3404.19,3403.31,3403.65,2778,2540
10/07/2020,06:58,3403.57,3403.74,3402.16,3402.16,1809,3046
10/07/2020,06:59,3402.15,3402.83,3399.61,3399.61,2001,4214
10/07/2020,07:00,3399.62,3400.79,3399.45,3400.24,3717,2601
10/07/2020,07:01,3400.24,3400.73,3398.80,3399.17,3355,4056
10/07/2020,07:02,3399.08,3399.13,3397.50,3397.75,3731,4391
10/07/2020,07:03,3397.75,3399.43,3397.75,3399.20,3963,2384
10/07/2020,07:04,3399.14,3399.14,3396.57,3397.51,3164,3614
10/07/2020,07:05,3397.49,3399.21,3397.04,3399.21,3649,1640
10/07/2020,07:06,3399.26,3399.88,3399.18,3399.64,4657,3014
10/07/2020,07:07,3399.66,3399.74,3398.50,3398.69,2260,3193
10/07/2020,07:08,3398.68,3398.76,3397.40,3398.57,2898,2576
10/07/2020,07:09,3398.61,3399.58,3398.20,3399.35,4266,1907
10/07/2020,07:10,3399.60,3401.87,3399.60,3401.39,3687,1804
10/07/2020,07:11,3401.45,3401.84,3396.81,3396.81,1681,4334
