Date,Equity1
2015-06-08,99870.01
2015-06-09,99540.79
2015-06-10,100633.35
2015-06-11,100868.22
2015-06-12,100614.15
2015-06-15,99820.86
2015-06-16,99999.17
2015-06-17,100392.01
2015-06-18,101294.75
2015-06-19,101103.03
2015-06-22,101464.66
2015-06-23,101364.81
2015-06-24,101284.58
2015-06-25,100899.5
2015-06-26,100488.27
2015-06-29,100469.89
2015-06-30,99599.25
2015-07-01,99728.93
2015-07-02,99783.74
2015-07-06,99522.81
2015-07-07,99490.1
2015-07-08,99645.0
2015-07-09,99511.61
2015-07-10,100044.09
2015-07-13,100679.1
2015-07-14,101120.31
2015-07-15,101180.88
2015-07-16,101646.7
2015-07-17,101807.66
2015-07-20,101924.8
2015-07-21,101766.5
2015-07-22,101238.53
2015-07-23,101108.55
2015-07-24,100832.36
2015-07-27,99819.64
2015-07-28,100676.46
2015-07-29,101269.08
2015-07-30,101242.18
2015-07-31,101269.53
2015-08-03,100939.3
2015-08-04,100743.6
2015-08-05,101120.01
2015-08-06,100649.97
2015-08-07,99893.87
2015-08-10,100859.07
2015-08-11,100872.78
2015-08-12,100345.54
2015-08-13,100447.75
2015-08-14,100280.85
2015-08-17,100638.76
2015-08-18,100605.1
2015-08-19,100422.96
2015-08-20,100474.91
2015-08-21,102886.06
2015-08-21,102876.06
2015-08-24,100457.47
2015-08-25,99616.92
2015-08-26,100310.55
2015-08-27,102425.48
2015-08-28,102564.16
2015-08-31,102285.52
2015-09-01,101987.69
2015-09-01,101981.69
2015-09-02,101006.9
2015-09-03,102224.24
2015-09-04,100938.12
2015-09-08,102052.6
2015-09-09,102919.63
2015-09-10,101820.42
2015-09-11,101607.69
2015-09-14,101677.67
2015-09-15,102644.37
2015-09-16,103318.07
2015-09-17,104445.65
2015-09-18,102971.67
2015-09-21,102468.49
2015-09-22,101616.9
2015-09-23,101026.66
2015-09-24,100433.46
2015-09-25,101155.9
2015-09-28,100110.51
2015-09-29,98757.27
2015-09-30,99770.73
2015-10-01,100062.29
2015-10-02,101196.67
2015-10-05,102983.78
2015-10-06,103069.87
2015-10-07,103427.73
2015-10-08,104251.03
2015-10-09,104418.4
2015-10-13,104495.5
2015-10-14,103875.38
2015-10-15,104587.24
2015-10-16,105002.53
2015-10-19,104957.08
2015-10-20,105093.69
2015-10-21,105025.91
2015-10-22,105851.92
2015-10-23,107085.49
2015-10-26,106850.11
2015-10-27,106606.25
2015-10-28,107613.57
2015-10-29,107722.67
2015-10-30,107814.4
2015-11-02,108418.88
2015-11-03,108942.19
2015-11-04,108845.66
2015-11-05,108549.36
2015-11-06,108199.0
2015-11-09,107926.19
2015-11-10,107268.78
2015-11-12,106688.59
2015-11-13,105278.6
2015-11-16,105716.14
2015-11-17,106402.79
2015-11-18,107352.39
2015-11-19,107425.28
2015-11-20,107951.54
2015-11-23,107877.47
2015-11-24,107801.48
2015-11-25,107744.35
2015-11-27,107759.14
2015-11-30,107785.66
2015-12-01,108273.23
2015-12-02,108319.12
2015-12-03,107336.35
2015-12-04,107787.2
2015-12-07,107612.77
2015-12-08,106767.71
2015-12-09,107098.19
2015-12-10,106451.5
2015-12-10,106441.5
2015-12-11,105594.86
2015-12-14,104475.55
2015-12-15,105925.25
2015-12-16,107058.29
2015-12-17,107137.09
2015-12-18,105564.06
2015-12-21,104728.36
2015-12-22,105635.28
2015-12-23,106686.19
2015-12-24,106723.91
2015-12-28,106271.73
2015-12-29,107384.47
2015-12-30,107143.5
2015-12-31,106502.59
2016-01-04,105516.36
2016-01-05,104810.5
2016-01-06,104469.18
2016-01-07,103686.69
2016-01-08,102778.71
2016-01-11,101839.38
2016-01-11,101835.38
2016-01-12,102394.54
2016-01-13,102631.43
2016-01-14,101870.79
2016-01-15,101103.46
2016-01-19,100278.87
2016-01-20,99097.37
2016-01-21,99747.73
2016-01-22,100770.25
2016-01-25,100676.07
2016-01-26,100760.97
2016-01-27,101259.1
2016-01-28,100606.12
2016-01-29,102503.32
2016-02-01,102800.44
2016-02-02,102261.59
2016-02-03,101338.79
2016-02-04,101777.56
2016-02-05,101149.98
2016-02-08,99312.33
2016-02-09,99068.44
2016-02-10,99607.16
2016-02-11,98026.28
2016-02-12,98910.02
2016-02-16,100343.45
2016-02-17,102018.88
2016-02-18,101928.4
2016-02-19,101369.96
2016-02-22,102717.4
2016-02-23,102494.21
2016-02-24,102006.42
2016-02-25,102981.97
2016-02-26,103479.68
2016-02-29,103245.56
2016-03-01,104308.8
2016-03-02,104664.48
2016-03-03,105011.19
2016-03-04,105732.79
2016-03-07,105481.3
2016-03-08,105026.59
2016-03-09,104819.35
2016-03-10,105416.81
2016-03-11,106203.26
2016-03-14,106276.48
2016-03-15,105775.4
2016-03-16,106586.49
2016-03-17,107283.11
2016-03-18,107591.52
2016-03-21,107633.45
2016-03-22,107742.01
2016-03-23,107324.66
2016-03-24,106672.08
2016-03-28,107005.0
2016-03-29,107649.99
2016-03-30,108487.64
2016-03-31,108246.24
2016-04-01,108614.93
2016-04-04,108560.52
2016-04-05,107954.58
2016-04-06,108196.75
2016-04-07,107979.94
2016-04-08,107856.3
2016-04-11,107967.7
2016-04-12,108070.87
2016-04-13,109008.12
2016-04-14,109247.19
2016-04-15,109006.83
2016-04-18,109600.85
2016-04-19,110087.47
2016-04-20,110450.26
2016-04-21,110072.52
2016-04-22,109580.43
2016-04-25,109323.05
2016-04-26,109712.59
2016-04-27,109869.0
2016-04-28,109838.38
2016-04-29,108515.09
2016-05-02,109012.7
2016-05-03,108688.37
2016-05-04,107810.57
2016-05-05,107806.9
2016-05-06,107676.39
2016-05-09,108010.52
2016-05-10,109087.99
2016-05-10,109036.0
2016-05-11,109123.98
2016-05-12,108674.51
2016-05-13,108448.43
2016-05-16,108781.7
2016-05-17,108745.27
2016-05-18,108522.32
2016-05-19,107873.45
2016-05-20,108442.34
2016-05-23,108317.1
2016-05-24,109444.44
2016-05-25,110069.51
2016-05-26,110045.21
2016-05-27,110175.17
2016-05-31,110307.57
2016-06-01,109995.99
2016-06-02,110051.57
2016-06-03,109840.07
2016-06-06,110280.42
2016-06-07,110550.01
2016-06-08,110560.66
2016-06-09,110365.87
2016-06-10,110026.2
2016-06-13,109525.91
2016-06-14,108691.22
2016-06-15,108885.67
2016-06-16,108611.44
2016-06-17,108524.02
2016-06-20,109602.88
2016-06-21,109268.01
2016-06-22,109552.83
2016-06-23,110348.15
2016-06-24,112612.09
2016-06-24,112604.09
2016-06-27,109474.97
2016-06-28,109898.15
2016-06-29,111674.07
2016-06-30,112920.17
2016-07-01,113354.46
2016-07-05,112747.53
2016-07-06,113007.75
2016-07-07,113287.03
2016-07-08,114393.66
2016-07-11,114910.61
2016-07-12,115455.3
2016-07-13,115467.04
2016-07-14,116027.08
2016-07-15,116024.88
2016-07-18,115970.03
2016-07-19,115777.11
2016-07-20,116308.81
2016-07-21,116206.17
2016-07-22,116220.98
2016-07-25,116145.63
2016-07-26,116127.79
2016-07-27,116197.56
2016-07-28,116089.11
2016-07-29,116298.81
2016-08-01,116345.47
2016-08-02,115950.51
2016-08-03,115631.23
2016-08-04,115845.22
2016-08-05,116586.72
2016-08-08,116674.75
2016-08-09,116761.07
2016-08-10,116546.97
2016-08-11,116795.77
2016-08-12,116686.14
2016-08-15,117054.05
2016-08-16,116672.6
2016-08-17,116510.51
2016-08-18,116707.2
2016-08-19,116563.28
2016-08-22,116373.61
2016-08-23,116799.19
2016-08-24,116439.32
