Date,Equity1,num_stocks,price_stocks,stocks_value,options_value_calc,num_options,options_value_reported
1959-07-15,93954.11,1574.0,59.59,93794.66,159.45,72446.0,0.001411584002033242
1959-07-16,93679.13,1574.0,59.41,93511.34,167.79,72446.0,0.001526723135515308
1959-07-17,93361.39,1574.0,59.19,93165.06,196.33,72446.0,0.0019206278332532245
1959-07-20,92957.83,1574.0,58.91,92724.34,233.49,72446.0,0.0024335487789292898
1959-07-21,93733.05,1574.0,59.41,93511.34,221.71,72446.0,0.0022709167344108355
1959-07-22,94032.3,1574.0,59.61,93826.14,206.16,72446.0,0.0020562607133084443
1959-07-23,94126.15,1574.0,59.67,93920.58,205.57,72446.0,0.0020481739123745513
1959-07-24,94090.31,1574.0,59.65,93889.1,201.21,72446.0,0.001987903569029642
1959-07-27,94644.58,1574.0,60.02,94471.48,173.1,72446.0,0.0015999709430361136
1959-07-28,95101.89,1574.0,60.32,94943.68,158.21,72446.0,0.0013944805373119346
1959-07-29,95539.53,1574.0,60.62,95415.88,123.65,72446.0,0.0009173781720580448
1959-07-30,95358.66,1574.0,60.5,95227.0,131.66,72446.0,0.0010279053366635052
1959-07-31,95334.81,1574.0,60.51,95242.74,92.07,72446.0,0.00048148269574941824
1959-08-03,95642.4,1574.0,60.71,95557.54,84.86,72446.0,0.00038194730697111226
1959-08-04,95464.15,1574.0,60.61,95400.14,64.01,72446.0,9.416463775065338e-05
1959-08-05,94976.22,1574.0,60.3,94912.2,64.02,72446.0,9.428550742107949e-05
1959-08-06,94876.08,1574.0,60.24,94817.76,58.32,72446.0,1.5616110160433056e-05
1959-08-07,94295.76,1574.0,59.87,94235.38,60.38,72446.0,4.408396244308171e-05
1959-08-10,92539.81,1574.0,58.62,92267.88,271.93,72446.0,0.0029641209399576818
1959-08-11,93741.63,1574.0,59.39,93479.86,261.77,72446.0,0.0028239323821491608
1959-08-12,93489.03,1574.0,59.25,93259.5,229.53,72446.0,0.002378866607804675
1959-08-13,93298.5,1574.0,59.15,93102.1,196.4,72446.0,0.0019215747107799025
1959-08-14,93504.22,1574.0,59.29,93322.46,181.76,72446.0,0.0017194883411779521
1959-08-17,93323.18,1574.0,59.17,93133.58,189.6,72446.0,0.001827757631329044
1959-08-18,92600.38,1574.0,58.62,92267.88,332.5,72446.0,0.003800145002759159
1959-08-19,92170.77,1574.0,58.27,91716.98,453.79,72446.0,0.005474473264941632
1959-08-20,93568.66,1574.0,59.14,93086.36,482.3,72446.0,0.005867935531753632
1959-08-21,93440.99,1574.0,59.08,92991.92,449.07,72446.0,0.005409244986040063
1959-08-24,93142.58,1574.0,58.87,92661.38,481.2,72446.0,0.005852804875859957
1959-08-25,93259.35,1574.0,58.99,92850.26,409.09,72446.0,0.004857455098228741
1959-08-26,93369.72,1574.0,59.07,92976.18,393.54,72446.0,0.004642735187173397
1959-08-27,94083.2,1574.0,59.58,93778.92,304.28,72446.0,0.003410628751942993
1959-08-28,94084.81,1574.0,59.6,93810.4,274.41,72446.0,0.002998344110521231
1959-08-31,94040.93,1574.0,59.6,93810.4,230.53,72446.0,0.0023927149483644605
1959-09-01,93096.3,1574.0,58.87,92661.38,434.92,72446.0,0.005213950842693299
1959-09-02,93156.8,1574.0,58.92,92740.08,416.72,72446.0,0.004962774923462948
1959-09-03,92472.4,1574.0,58.26,91701.24,771.16,72446.0,0.009855159837669214
1959-09-04,92863.51,1574.0,58.54,92141.96,721.55,72446.0,0.009170357499431292
1959-09-08,87083.25,1501.0,57.7,86607.7,475.55,51615.0,0.011902485679691543
1959-09-09,86644.04,1501.0,57.29,85992.29,651.75,51615.0,0.015316326185102924
1959-09-10,86324.23,1501.0,56.99,85541.99,782.24,51615.0,0.01784451569603568
1959-09-11,86875.6,1501.0,57.41,86172.41,703.19,51615.0,0.01631290665435886
1959-09-14,86431.88,1501.0,56.99,85541.99,889.89,51615.0,0.019930045349560443
1959-09-15,86096.72,1501.0,56.68,85076.68,1020.04,51615.0,0.022451603614950133
1959-09-16,85967.2,1501.0,56.72,85136.72,830.48,51615.0,0.018779041214973258
1959-09-17,85635.8,1501.0,56.41,84671.41,964.39,51615.0,0.021373429298571667
1959-09-18,85441.71,1501.0,56.19,84341.19,1100.52,51615.0,0.0240108241125655
1959-09-21,85462.46,1501.0,55.27,82960.27,2502.19,51615.0,0.05116713503703685
1959-09-22,85127.29,1501.0,55.14,82765.14,2362.15,51615.0,0.048453940359778125
1959-09-23,86005.51,1501.0,55.82,83785.82,2219.69,51615.0,0.04569387094169919
1959-09-24,87592.59,1501.0,56.78,85226.78,2365.81,51615.0,0.048524761274643335
1959-09-25,87544.6,1501.0,56.73,85151.73,2392.87,51615.0,0.049049138552097915
1959-09-28,87902.11,1501.0,57.15,85782.15,2119.96,51615.0,0.04376169937079033
1959-09-29,88260.57,1501.0,57.51,86322.51,1938.06,51615.0,0.04023746808625872
1959-09-30,88135.19,1501.0,56.88,85376.88,2758.31,51615.0,0.056129131401312815
1959-10-01,88118.6,1501.0,56.94,85466.94,2651.66,51615.0,0.05406303683076197
1959-10-02,88404.5,1501.0,57.2,85857.2,2547.3,51615.0,0.052041077730754504
1959-10-05,88271.43,1501.0,57.14,85767.14,2504.29,51615.0,0.05120778115012259
1959-10-06,87146.62,1501.0,57.09,85692.09,1454.53,51615.0,0.03086943629657324
1959-10-07,86597.67,1501.0,56.94,85466.94,1130.73,51615.0,0.024596118536698408
1959-10-08,86476.25,1501.0,56.81,85271.81,1204.44,51615.0,0.026024276076998976
1959-10-09,86653.06,1501.0,57.0,85557.0,1096.06,51615.0,0.02392443600039318
1959-10-12,87005.75,1501.0,57.32,86037.32,968.43,51615.0,0.021451736889857465
1959-10-13,86824.78,1501.0,57.16,85797.16,1027.62,51615.0,0.022598563942845096
1959-10-14,86305.65,1501.0,56.71,85121.71,1183.94,51615.0,0.025627132091729843
1959-10-15,86416.82,1501.0,56.87,85361.87,1054.95,51615.0,0.023127911180655936
1959-10-16,86614.56,1501.0,57.33,86052.33,562.23,51615.0,0.013581990217521323
1959-10-19,86281.05,1501.0,57.01,85572.01,709.04,51615.0,0.016426227101363766
1959-10-20,85953.22,1501.0,56.66,85046.66,906.56,51615.0,0.020252957872760047
1959-10-21,85836.87,1501.0,56.55,84881.55,955.32,51615.0,0.02119772008014731
1959-10-22,85490.41,1501.0,56.0,84056.0,1434.41,51615.0,0.03047977055773965
1959-10-23,86056.77,1501.0,56.56,84896.56,1160.21,51615.0,0.02516732627980045
1959-10-26,86508.11,1501.0,56.94,85466.94,1041.17,51615.0,0.022861033201922898
1959-10-27,87149.28,1501.0,57.42,86187.42,961.86,51615.0,0.021324420195917737
1959-10-28,86968.29,1501.0,57.46,86247.46,720.83,51615.0,0.016654691339328564
1959-10-29,86908.73,1501.0,57.41,86172.41,736.32,51615.0,0.01695475306397981
1959-10-30,86854.47,1501.0,57.52,86337.52,516.95,51615.0,0.012704636927787283
1959-11-02,86680.97,1501.0,57.41,86172.41,508.56,51615.0,0.012541996706995184
1959-11-04,86256.05,1501.0,57.26,85947.26,308.79,51615.0,0.008671695278186287
1959-11-05,86281.87,1501.0,57.32,86037.32,244.55,51615.0,0.0074270629338906435
1959-11-06,86640.85,1501.0,57.6,86457.6,183.25,51615.0,0.0062394585204202935
1959-11-09,86449.75,1501.0,57.5,86307.5,142.25,51615.0,0.005445142917297169
1959-11-10,86377.74,1501.0,57.48,86277.48,100.26,51615.0,0.0046315920865410976
1959-11-11,86365.92,1501.0,57.49,86292.49,73.43,51615.0,0.004111810826280704
1959-11-12,85959.68,1501.0,57.17,85812.17,147.51,51615.0,0.00554693761367564
1959-11-13,85535.68,1501.0,56.85,85331.85,203.83,51615.0,0.006638146850652116
1959-11-16,84838.43,1501.0,56.22,84386.22,452.21,51615.0,0.011450399558450619
1959-11-17,84746.23,1501.0,56.38,84626.38,119.85,51615.0,0.005011153368716992
1959-11-18,85637.28,1501.0,56.99,85541.99,95.29,51615.0,0.004535398229403992
1959-11-19,85482.09,1501.0,56.94,85466.94,15.15,51615.0,0.00298271754979737
1959-11-20,85415.29,1501.0,56.97,85511.97,-96.68,51615.0,0.0008160280855947846
1959-11-23,85575.17,1501.0,57.08,85677.08,-101.91,51615.0,0.0007146793770329424
1959-11-24,85966.61,1501.0,57.35,86082.35,-115.74,51615.0,0.0004467771501423731
1959-11-25,86094.9,1501.0,57.44,86217.44,-122.54,51615.0,0.0003149546693274087
1959-11-27,86474.53,1501.0,57.7,86607.7,-133.17,51615.0,0.00010914354446760373
1959-11-30,87345.22,1501.0,58.28,87478.28,-133.06,51615.0,0.00011130327295670941
1959-12-01,87974.32,1501.0,58.7,88108.7,-134.38,51615.0,8.568000992366896e-05
1959-12-02,87824.63,1501.0,58.6,87958.6,-133.97,51615.0,9.360557989852684e-05
1959-12-03,88019.09,1501.0,58.73,88153.73,-134.64,51615.0,8.065439141793657e-05
1959-12-04,88198.39,1501.0,58.85,88333.85,-135.46,51615.0,6.465374524619247e-05
1959-12-07,88362.8,1501.0,58.96,88498.96,-136.16,51615.0,5.105220841896069e-05
1959-12-08,88932.73,1501.0,59.34,89069.34,-136.61,51615.0,4.245687143536632e-05
1959-12-09,88379.0,1501.0,58.97,88513.97,-134.97,51615.0,7.426183999869728e-05
1959-12-10,88453.46,1501.0,59.02,88589.02,-135.56,51615.0,6.27497750027902e-05
1959-12-11,88242.22,1501.0,58.88,88378.88,-136.66,51615.0,4.140008969965789e-05
1959-12-14,88481.93,1501.0,59.04,88619.04,-137.11,51615.0,3.27571233717139e-05
1959-12-15,88271.43,1501.0,58.9,88408.9,-137.47,51615.0,2.5690853757303006e-05
1959-12-16,88375.99,1501.0,58.97,88513.97,-137.98,51615.0,1.5886549072641632e-05
1959-12-17,88210.64,1501.0,58.86,88348.86,-138.22,51615.0,1.1185497453445117e-05
1959-12-18,88630.77,1501.0,59.14,88769.14,-138.37,51615.0,8.281806853137862e-06
1959-12-21,88735.49,1501.0,59.21,88874.21,-138.72,51615.0,1.5191760367167895e-06
1959-12-22,88630.37,1501.0,59.14,88769.14,-138.77,51615.0,5.538798869771347e-07
