purchase date,sale date,purchase underlying price,sale underlying price,contracts number,equity after sale of options,option price at purchase,option price at sale,trade costs,profit/loss
1988-06-10,1988-10-11,273.20999,278.23999,74.0,98140.26,0.40005,0.00657,29.6,2960.37,-2941.35
1988-10-11,1989-02-10,278.23999,296.06,704.0,101276.96,0.04159,7e-05,29.28,2927.94,-2952.29
1989-02-10,1989-03-20,296.06,292.69,4679.0,138033.87,0.00646,0.08661,30.23,3022.63,37471.96
1989-03-20,1989-07-10,292.69,327.07001,535.0,148937.46,0.07667,0.00067,41.02,4101.84,-4107.02
1989-07-10,1989-11-10,327.07001,339.10001,419.0,173144.83,0.10599,0.5528,44.41,4440.98,18676.93
1989-11-10,1990-02-12,339.10001,333.62,91.0,165062.51,0.56286,0.01201,51.22,5122.03,-5063.96
1990-02-12,1990-06-11,333.62,361.63,128.0,173517.38,0.3845,0.0012,49.22,4921.6,-4955.46
1990-06-11,1990-08-07,361.63,338.63,701.0,219137.85,0.07387,0.86931,51.78,5178.29,55708.56
1990-08-07,1990-09-21,338.63,312.17001,195.0,261387.91,0.33295,3.3634,64.93,6492.52,59028.85
1990-09-21,1991-01-10,312.17001,314.76999,53.0,254889.24,1.453,0.03023,77.01,7700.9,-7617.69
1991-01-10,1991-05-10,314.76999,383.91,692.0,301519.18,0.10981,0.00059,75.99,7598.85,-7634.01
1991-05-10,1991-09-10,383.91,388.63,195.0,297039.18,0.46114,0.05148,89.92,8992.23,-8078.29
1991-09-10,1992-01-10,388.63,417.62,405.0,313069.97,0.2188,0.08569,88.61,8861.4,-5479.56
1992-01-10,1992-05-11,417.62,418.75,94.0,304748.33,0.98862,0.02733,92.93,9293.03,-9129.06
1992-05-11,1992-09-10,418.75,420.51999,809.0,296846.12,0.11234,0.00037,90.88,9088.31,-9149.25
1992-09-10,1992-10-05,420.51999,410.47,20220.0,403011.14,0.00438,0.05973,88.56,8856.36,111829.14
1992-10-05,1993-02-10,410.47,446.37,4763.0,423254.76,0.02518,0.0,119.93,11993.23,-12113.16
1993-02-10,1993-02-16,446.37,444.53,60493.0,671643.34,0.00209,0.04302,126.43,12643.04,247471.42
1993-02-16,1993-06-10,444.53,446.22,5345.0,652122.69,0.03736,0.00327,199.69,19968.92,-18420.79
1993-06-10,1993-10-12,446.22,462.47,8776.0,655488.92,0.02218,0.0,194.65,19465.17,-19659.82
1993-10-12,1993-11-04,462.47,463.16,806807.0,857025.23,0.00024,0.0027,193.63,19363.37,198280.89
1993-11-04,1994-03-10,463.16,467.29001,87530.0,847401.66,0.00292,0.00132,255.59,25558.76,-14260.39
1994-03-10,1994-04-04,467.29001,445.66,11952.0,1078494.35,0.02116,0.24414,252.9,25290.43,266252.8
1994-04-04,1994-08-10,445.66,460.48001,5061.0,1076813.64,0.06343,2e-05,321.02,32101.92,-32412.82
1994-08-10,1994-11-23,460.48001,450.60998,89001.0,1401164.05,0.00361,0.04218,321.29,32129.36,342955.57
1994-11-23,1995-03-10,450.60998,490.37,8604.0,1473456.01,0.04848,0.0,417.12,41712.19,-42129.31
1995-03-10,1995-07-10,490.37,558.47998,1039895.0,1628680.1,0.00042,1e-05,436.76,43675.59,-43072.46
1995-07-10,1995-11-10,558.47998,593.26001,10286.0,1677995.18,0.04726,0.0,486.12,48611.64,-49097.76
1995-11-10,1996-01-10,593.26001,609.45001,658419.0,2882778.94,0.00076,0.01821,500.4,50039.84,1148440.76
1996-01-10,1996-05-10,609.45001,653.0,9878.0,2981241.41,0.08675,0.00154,856.92,85691.65,-85027.36
1996-05-10,1996-09-10,653.0,665.57001,8856.0,2972013.97,0.10048,0.02777,889.85,88985.09,-65281.83
1996-09-10,1997-01-10,665.57001,759.65002,4829.0,3290211.41,0.18366,0.00084,886.89,88689.41,-89170.67
1997-01-10,1997-05-12,759.65002,838.56,3094.0,3611808.85,0.31739,0.28523,982.0,98200.47,-10932.3
1997-05-12,1997-09-10,838.56,933.61999,309.0,3905342.78,3.48462,0.18297,1076.75,107674.76,-103097.74
1997-09-10,1998-01-12,933.61999,939.25,349.0,3865063.03,3.33684,1.53829,1164.56,116455.72,-63933.96
1998-01-12,1998-05-11,939.25,1119.13,326.0,4466288.35,3.53536,0.00016,1152.53,115252.74,-116400.05
1998-05-11,1998-08-05,1119.13,1084.80005,2654.0,5548765.22,0.5023,5.03464,1333.1,133310.42,1201549.94
1998-08-05,1998-10-01,1084.80005,1017.01001,385.0,6776056.76,4.28584,44.85019,1650.05,165004.84,1560077.42
1998-10-01,1999-01-11,1017.01001,1276.21997,125.0,8223733.38,16.0912,0.0,2011.4,201140.0,-203151.4
1999-01-11,1999-05-10,1276.21997,1352.01001,415.0,8518542.76,5.90593,1.6203,2450.96,245096.09,-180304.6
1999-05-10,1999-09-10,1352.01001,1357.62,326.0,8380904.35,7.79763,2.56683,2542.03,254202.74,-173066.11
1999-09-10,2000-01-10,1357.62,1464.35999,457.0,8786025.92,5.46548,0.39626,2497.72,249772.44,-234161.07
2000-01-10,2000-05-10,1464.35999,1412.14001,641.0,10030103.19,4.08967,27.98653,2621.48,262147.85,1529167.25
2000-05-10,2000-08-10,1412.14001,1475.15002,207.0,10144373.69,14.36871,0.00307,2974.32,297432.3,-300343.07
2000-08-10,2000-11-20,1475.15002,1367.71997,1438.0,12295488.38,2.10462,21.84101,3026.44,302644.36,2835066.44
2000-11-20,2001-02-12,1367.71997,1330.95996,745.0,11740844.73,4.90893,2.23166,3657.15,365715.28,-203113.76
2001-02-12,2001-05-10,1330.95996,1268.14001,606.0,11272783.8,5.77566,6.91121,3500.05,350005.0,65314.28
2001-05-10,2001-08-10,1268.14001,1193.32996,314.0,10304545.76,10.69889,0.58103,3359.45,335945.15,-321060.25
2001-08-10,2001-09-20,1193.32996,1016.09998,861.0,11998573.17,3.5719,40.10888,3075.41,307540.59,3142758.57
