Date,Time,Adj Vol,Open,High,Low,Close
2018-11-15,16:15:00,99191.0,20.1,21.25,19.35,19.35
2018-11-14,16:15:00,91119.0,19.4,20.9,18.95,20.2
2018-11-13,16:15:00,98421.0,19.55,20.4,18.8,19.45
2018-11-12,16:15:00,92432.0,17.5,19.7,16.95,19.6
2018-11-09,16:15:00,77203.0,17.05,18.1,16.9,17.45
2018-11-08,16:15:00,65374.0,16.8,17.3,16.4,16.95
2018-11-07,16:15:00,79661.0,18.65,19.0,16.8,16.8
2018-11-06,16:15:00,59022.0,19.45,19.8,18.55,18.6
2018-11-05,16:15:00,48004.0,19.55,20.0,19.15,19.4
2018-11-02,16:15:00,106618.0,19.75,20.45,18.7,19.55
2018-11-01,16:15:00,84559.0,20.3,20.55,19.25,19.25
2018-10-31,16:15:00,96694.0,20.75,20.95,19.7,20.25
2018-10-30,16:15:00,152046.0,21.7,22.15,20.6,20.95
2018-10-29,16:16:00,136850.0,21.15,22.85,20.4,21.55
2018-10-26,16:15:00,228656.0,21.1,22.65,20.9,21.1
2018-10-25,16:15:00,150283.0,20.5,21.35,20.0,20.9
2018-10-24,16:15:00,188037.0,18.9,21.35,18.75,20.6
2018-10-23,16:15:00,193382.0,18.65,20.8,18.6,18.85
2018-10-22,16:15:00,102489.0,18.75,19.35,18.05,18.6
2018-10-19,16:15:00,127984.0,18.4,19.05,17.9,18.4
2018-10-18,16:15:00,177934.0,17.15,19.25,17.15,18.45
2018-10-17,16:15:00,137313.0,17.25,18.45,17.0,17.15
2018-10-16,16:15:00,158114.0,18.65,20.35,17.1,17.25
2018-10-15,16:15:00,183304.0,18.15,21.25,18.0,18.55
2018-10-12,16:15:00,313890.0,18.65,22.75,17.35,18.15
2018-10-11,16:15:00,512616.0,18.4,21.05,17.6,18.5
2018-10-10,16:15:00,413870.0,16.0,18.55,15.8,18.5
2018-10-09,16:15:00,100237.0,15.7,16.55,15.55,15.95
2018-10-08,16:15:00,130930.0,15.2,17.05,15.05,15.65
2018-10-05,16:15:00,170499.0,14.75,16.65,14.35,15.2
2018-10-04,16:15:00,171842.0,14.0,15.7,13.95,14.85
2018-10-03,16:15:00,49423.0,14.0,14.05,13.7,13.75
2018-10-02,16:15:00,40593.0,13.9,14.3,13.75,13.95
2018-10-01,16:15:00,45542.0,13.95,14.15,13.55,13.9
2018-09-28,16:15:00,42946.0,14.1,14.5,13.95,14.0
2018-09-27,16:15:00,33842.0,14.45,14.5,14.0,14.15
2018-09-26,16:15:00,50279.0,14.1,14.5,13.9,14.45
2018-09-25,16:15:00,37093.0,14.05,14.3,13.85,14.1
2018-09-24,16:15:00,49824.0,14.35,14.55,14.0,14.05
2018-09-21,16:15:00,51700.0,14.0,14.2,13.85,14.15
2018-09-20,16:15:00,57259.0,14.3,14.4,13.95,14.05
2018-09-19,16:15:00,84605.0,12.7,14.75,12.5,14.3
2018-09-18,16:15:00,131157.0,14.9,15.3,12.95,14.7
2018-09-17,16:15:00,108771.0,14.45,15.0,12.9,15.0
2018-09-14,16:15:00,107015.0,14.65,14.8,12.95,14.4
2018-09-13,16:15:00,97027.0,15.0,15.1,13.45,14.65
2018-09-12,16:15:00,93441.0,14.2,15.25,14.05,15.0
2018-09-11,16:15:00,53917.0,14.75,15.15,14.2,14.25
2018-09-10,16:15:00,53199.0,15.4,15.45,14.65,14.75
2018-09-07,16:15:00,86659.0,15.15,15.65,15.0,15.4
2018-09-06,16:15:00,87886.0,14.65,15.45,14.4,15.2
2018-09-05,16:15:00,67943.0,14.3,15.05,14.25,14.6
2018-09-04,16:15:00,74420.0,13.9,14.85,13.85,14.25
2018-09-03,11:30:00,5320.0,13.95,14.2,13.85,13.9
2018-08-31,16:15:00,72577.0,14.65,14.95,14.0,14.0
2018-08-30,16:15:00,79832.0,14.0,14.7,13.95,14.55
2018-08-29,16:15:00,45134.0,14.1,14.25,13.9,13.95
2018-08-28,16:15:00,40071.0,14.1,14.3,13.95,14.05
2018-08-27,16:15:00,31954.0,14.1,14.15,13.85,14.1
2018-08-24,16:15:00,51579.0,14.2,14.25,13.85,14.15
2018-08-23,16:15:00,66960.0,14.15,14.4,13.95,14.25
2018-08-22,16:15:00,71706.0,14.75,15.0,12.8,14.2
2018-08-21,16:15:00,105353.0,14.2,14.65,12.4,14.65
2018-08-20,16:15:00,94940.0,13.0,14.45,12.65,14.15
2018-08-17,16:15:00,119152.0,14.8,15.1,13.05,14.35
2018-08-16,16:16:00,143714.0,15.3,15.4,13.5,13.7
2018-08-15,16:15:00,265245.0,13.8,16.4,13.8,15.2
2018-08-14,16:15:00,75728.0,14.9,14.9,13.7,13.75
2018-08-13,16:15:00,89639.0,13.8,14.95,13.3,14.9
2018-08-10,16:15:00,107444.0,12.7,14.1,12.7,13.8
2018-08-09,16:15:00,35243.0,12.6,12.75,12.35,12.65
2018-08-08,16:15:00,49972.0,12.65,12.95,12.4,12.6
2018-08-07,16:15:00,48542.0,13.1,13.15,12.65,12.75
2018-08-06,16:15:00,39362.0,13.6,13.7,13.0,13.0
2018-08-03,16:15:00,48939.0,13.85,14.0,13.5,13.55
2018-08-02,16:15:00,71691.0,14.2,15.15,13.85,13.95
2018-08-01,16:15:00,59174.0,14.15,14.45,13.85,14.25
2018-07-31,16:15:00,66922.0,14.85,14.9,14.05,14.05
2018-07-30,16:15:00,68927.0,14.35,15.0,14.15,14.9
2018-07-27,16:15:00,86658.0,13.85,14.8,13.65,14.3
2018-07-26,16:15:00,46856.0,14.1,14.15,13.75,13.9
2018-07-25,16:15:00,66032.0,14.05,14.3,13.7,13.8
2018-07-24,16:15:00,71805.0,14.05,14.5,13.7,14.1
2018-07-23,16:15:00,43323.0,14.25,14.65,14.05,14.05
2018-07-20,16:15:00,60998.0,14.2,14.75,14.05,14.3
2018-07-19,16:15:00,65049.0,13.95,14.4,13.9,14.15
2018-07-18,16:15:00,71170.0,13.9,14.25,11.65,13.95
2018-07-17,16:15:00,128200.0,14.3,14.55,12.2,14.0
2018-07-16,16:15:00,107243.0,14.15,14.45,12.8,14.3
2018-07-13,16:15:00,92129.0,14.5,14.65,13.1,14.25
2018-07-12,16:15:00,111538.0,14.85,14.85,13.45,14.5
2018-07-11,16:15:00,138601.0,13.8,15.4,13.7,14.85
2018-07-10,16:15:00,68162.0,13.85,13.95,13.4,13.4
2018-07-09,16:15:00,66267.0,14.6,14.6,13.6,13.75
