Date,Equity
1988-06-10,96335.33
1988-06-13,95889.43
1988-06-14,97364.53
1988-06-15,96770.72
1988-06-16,96773.45
1988-06-17,95482.01
1988-06-20,95448.36
1988-06-21,95795.69
1988-06-22,97625.89
1988-06-23,97278.5
1988-06-24,97032.72
1988-06-27,96544.43
1988-06-28,96198.77
1988-06-29,96272.5
1988-06-30,96447.03
1988-07-01,96548.81
1988-07-05,97254.61
1988-07-06,97449.64
1988-07-07,95937.8
1988-07-08,96025.1
1988-07-11,95789.7
1988-07-12,95460.18
1988-07-13,95024.99
1988-07-14,95453.54
1988-07-15,95930.69
1988-07-18,95927.21
1988-07-19,95633.46
1988-07-20,95292.04
1988-07-21,95208.79
1988-07-22,94039.79
1988-07-25,93517.22
1988-07-26,93839.02
1988-07-27,93734.54
1988-07-28,93985.65
1988-07-29,95910.46
1988-08-01,96183.84
1988-08-02,96492.73
1988-08-03,96400.79
1988-08-04,96669.64
1988-08-05,95871.82
1988-08-08,96061.21
1988-08-09,95265.29
1988-08-10,93964.33
1988-08-11,92659.26
1988-08-12,92715.58
1988-08-15,92580.45
1988-08-16,92601.75
1988-08-17,92330.05
1988-08-18,92649.77
1988-08-19,92477.73
1988-08-22,91931.47
1988-08-23,90928.75
1988-08-24,92076.94
1988-08-25,92077.02
1988-08-26,91731.9
1988-08-29,92578.39
1988-08-30,92793.23
1988-08-31,93009.26
1988-09-01,92210.13
1988-09-02,93403.0
1988-09-06,93767.63
1988-09-07,94131.68
1988-09-08,93976.79
1988-09-09,94580.6
1988-09-12,94362.12
1988-09-13,94288.23
1988-09-14,95004.5
1988-09-15,95113.11
1988-09-16,95474.19
1988-09-19,95416.87
1988-09-20,95212.96
1988-09-21,95413.18
1988-09-22,95391.21
1988-09-23,95295.02
1988-09-26,95112.16
1988-09-27,94957.41
1988-09-28,94858.96
1988-09-29,96245.05
1988-09-30,96895.5
1988-10-03,95854.61
1988-10-04,95812.28
1988-10-05,96043.42
1988-10-06,96020.71
1988-10-07,98020.15
1988-10-11,98078.82
1988-10-11,95440.22
1988-10-12,95340.17
1988-10-13,94625.93
1988-10-14,95027.25
1988-10-17,94903.78
1988-10-18,95832.71
1988-10-19,96223.26
1988-10-20,97027.82
1988-10-21,97291.09
1988-10-24,97390.47
1988-10-25,97010.76
1988-10-26,96902.57
1988-10-27,96520.36
1988-10-28,95868.87
1988-10-31,95825.97
1988-11-01,95887.02
1988-11-02,95845.89
1988-11-03,96159.37
1988-11-04,95762.84
1988-11-07,94779.78
1988-11-08,94606.02
1988-11-09,94384.7
1988-11-10,94118.35
1988-11-14,92387.06
1988-11-15,92216.43
1988-11-16,92109.84
1988-11-17,91167.47
1988-11-18,91504.28
1988-11-21,91451.97
1988-11-22,91919.27
1988-11-23,92500.23
1988-11-25,92304.43
1988-11-28,92297.69
1988-11-29,93090.84
1988-11-30,94130.02
1988-12-01,93905.53
1988-12-02,93492.83
1988-12-05,94548.1
1988-12-06,95323.55
1988-12-07,95704.4
1988-12-08,95400.52
1988-12-09,95294.33
1988-12-12,95634.39
1988-12-13,94850.39
1988-12-14,94776.25
1988-12-15,94539.87
1988-12-16,94759.98
1988-12-19,95791.05
1988-12-20,96180.02
1988-12-21,95286.33
1988-12-22,95306.67
