purchase date,sale date,purchase underlying price,sale underlying price,contracts number,equity after sale of options,option price at purchase,option price at sale,trade costs,cost of purchase,profit/loss
1959-07-15,1959-11-10,59.59,57.48,150.0,93778.61,0.06601,0.091,9.9,990.15,364.95
1959-11-10,1960-03-10,57.48,53.83,76.0,88950.58,0.12242,0.26392,9.3,930.39,1066.1
1960-03-10,1960-07-11,53.83,56.87,44.0,92982.81,0.19849,0.00062,8.73,873.36,-879.36
1960-07-11,1960-09-19,56.87,53.86,309.0,97406.17,0.02992,0.32858,9.25,924.53,9219.34
1960-09-19,1961-01-10,53.86,58.97,47.0,105126.55,0.2032,0.0008,9.55,955.04,-960.83
1961-01-10,1961-05-10,58.97,66.41,143.0,117911.44,0.07285,0.0515,10.42,1041.76,-315.73
1961-05-10,1961-08-10,66.41,67.95,66.0,119421.79,0.17706,6e-05,11.69,1168.6,-1179.89
1961-08-10,1961-12-11,67.95,72.39,114.0,125919.44,0.10382,0.00017,11.84,1183.55,-1193.45
1961-12-11,1962-04-10,72.39,68.8,558.0,120059.96,0.02245,0.02864,12.53,1252.71,332.87
1962-04-10,1962-05-09,68.8,65.17,461.0,126482.64,0.02589,0.29894,11.94,1193.53,12575.66
1962-05-09,1962-05-28,65.17,59.15,88.0,133160.41,0.14126,2.24497,12.43,1243.09,18500.22
1962-05-28,1962-08-10,59.15,57.85,40.0,128454.63,0.32948,0.07422,13.18,1317.92,-1034.22
1962-08-10,1962-11-12,57.85,60.0,56.0,131953.59,0.22815,0.01668,12.78,1277.64,-1197.01
1962-11-12,1963-02-11,60.0,66.41,53.0,144567.53,0.2436,0.0,12.91,1291.08,-1303.99
1963-02-11,1963-06-10,66.41,70.51,248.0,151921.33,0.05778,0.0001,14.33,1432.94,-1444.79
1963-06-10,1963-10-10,70.51,72.52,1100.0,154921.28,0.01374,0.00251,15.11,1511.4,-1250.41
1963-10-10,1963-11-26,72.52,72.74,442.0,173499.85,0.03481,0.44126,15.39,1538.6,17949.7
1963-11-26,1964-03-10,72.74,78.9,31.0,185605.57,0.54932,0.0,17.03,1702.89,-1719.92
1964-03-10,1964-07-10,78.9,83.99,9560.0,195824.28,0.00193,0.00028,18.45,1845.08,-1595.85
1964-07-10,1964-11-10,83.99,85.55,768.0,197437.54,0.02537,0.00017,19.48,1948.42,-1954.84
1964-11-10,1965-03-10,85.55,87.07,3317.0,199259.82,0.00592,0.00111,19.64,1963.66,-1615.12
1965-03-10,1965-06-28,87.07,83.34,1240.0,213641.31,0.01598,0.19852,19.82,1981.52,22615.14
1965-06-28,1965-10-11,83.34,91.84,119.0,232239.52,0.17706,0.0,21.07,2107.01,-2128.08
1965-10-11,1966-02-10,91.84,94.7,2899.0,237127.32,0.00797,0.00035,23.11,2310.5,-2232.15
1966-02-10,1966-03-07,94.7,89.39,2158.0,250229.97,0.01093,0.1316,23.59,2358.69,26017.0
1966-03-07,1966-07-11,89.39,88.19,587.0,249422.95,0.04231,0.09872,24.84,2483.6,3286.43
1966-07-11,1966-10-04,88.19,75.76,119.0,239635.72,0.20818,2.2975,24.77,2477.34,24838.14
1966-10-04,1967-01-10,75.76,83.54,105.0,260594.97,0.22659,0.0,23.79,2379.2,-2402.98
1967-01-10,1967-05-10,83.54,94.04,186.0,290370.69,0.1392,0.00085,25.89,2589.12,-2599.2
1967-05-10,1967-09-11,94.04,95.26,235.0,291166.84,0.1228,0.00136,28.86,2885.8,-2882.7
1967-09-11,1968-01-10,95.26,97.26,1776.0,295857.41,0.01631,0.009,28.97,2896.66,-1327.23
1968-01-10,1968-03-25,97.26,88.88,453.0,297849.85,0.06494,0.66062,29.42,2941.78,26954.88
1968-03-25,1968-07-11,88.88,103.67,127.0,342899.9,0.23285,0.00023,29.57,2957.2,-2983.84
1968-07-11,1968-11-12,103.67,105.28,301.0,344717.45,0.11305,0.00107,34.03,3402.8,-3404.63
1968-11-12,1969-03-10,105.28,99.47,2294.0,340509.8,0.01495,0.07827,34.3,3429.53,14491.31
1969-03-10,1969-07-10,99.47,97.04,620.0,332731.3,0.05459,0.06885,33.85,3384.58,850.27
1969-07-10,1969-11-10,97.04,99.23,311.0,336930.29,0.10642,0.00494,33.1,3309.66,-3189.13
1969-11-10,1970-01-19,99.23,90.72,793.0,341589.18,0.04226,0.45815,33.51,3351.22,32946.57
1970-01-19,1970-05-11,90.72,79.72,248.0,322751.86,0.13643,1.05795,33.83,3383.46,22819.87
1970-05-11,1970-09-10,79.72,82.98,96.0,332444.11,0.33254,0.07187,31.92,3192.38,-2534.35
1970-09-10,1971-01-11,82.98,92.67,100.0,367523.82,0.32797,0.00142,32.8,3279.7,-3298.3
1971-01-11,1971-05-10,92.67,103.15,270.0,404917.5,0.13534,7e-05,36.54,3654.18,-3688.83
1971-05-10,1971-08-09,103.15,94.55,1133.0,408713.89,0.03554,0.36129,40.27,4026.68,36867.2
1971-08-09,1971-12-10,94.55,97.69,326.0,420762.33,0.12456,0.11856,40.61,4060.66,-236.21
1971-12-10,1972-04-10,97.69,110.54,86.0,471328.26,0.48239,7e-05,41.49,4148.55,-4189.44
1972-04-10,1972-08-10,110.54,111.68,863.0,472472.28,0.05433,0.01295,46.89,4688.68,-3617.98
1972-08-10,1972-12-11,111.68,119.78,658.0,501690.7,0.07139,0.00141,46.97,4697.46,-4651.65
1972-12-11,1973-04-03,119.78,110.35,689.0,512104.14,0.07242,0.78475,49.9,4989.74,49029.64
1973-04-03,1973-08-10,110.35,106.03,134.0,489724.03,0.37758,0.28858,50.6,5059.57,-1243.2
1973-08-10,1973-12-10,106.03,98.58,123.0,471353.5,0.39432,1.66,48.5,4850.14,15519.36
1973-12-10,1974-03-11,98.58,99.4,90.0,470235.83,0.51875,0.02352,46.69,4668.75,-4503.76
1974-03-11,1974-07-10,99.4,82.22,75.0,406549.29,0.61833,2.84099,46.37,4637.48,16623.58
1974-07-10,1974-09-04,82.22,69.85,206.0,383935.12,0.19591,2.04341,40.36,4035.75,38018.14
1974-09-04,1974-12-10,69.85,68.17,72.0,371887.81,0.52626,0.32363,37.89,3789.07,-1496.83
1974-12-10,1975-03-10,68.17,85.47,55.0,461532.1,0.67162,1e-05,36.94,3693.91,-3730.8
1975-03-10,1975-06-10,85.47,91.21,191.0,487531.63,0.23973,0.00161,45.79,4578.84,-4593.88
1975-06-10,1975-10-10,91.21,89.17,94.0,478220.39,0.51139,0.67644,48.07,4807.07,1503.4
1975-10-10,1976-01-12,89.17,96.76,157.0,513637.68,0.30258,0.0001,47.51,4750.51,-4796.45
1976-01-12,1976-05-10,96.76,103.51,148.0,544230.94,0.34394,0.02301,50.9,5090.31,-4800.66
1976-05-10,1976-09-10,103.51,105.03,207.0,546865.97,0.26098,0.01227,54.02,5402.29,-5202.32
1976-09-10,1977-01-10,105.03,105.75,818.0,546869.3,0.0665,0.02256,54.4,5439.7,-3648.69
1977-01-10,1977-05-10,105.75,100.09,558.0,521480.07,0.09737,0.16206,54.33,5433.25,3555.37
1977-05-10,1977-09-12,100.09,96.64,406.0,500680.41,0.12761,0.05755,51.81,5180.97,-2896.25
1977-09-12,1978-01-10,96.64,91.29,690.0,480108.62,0.07217,0.17144,49.8,4979.73,6799.83
1978-01-10,1978-05-10,91.29,96.69,353.0,504032.02,0.13501,0.02483,47.66,4765.85,-3937.01
1978-05-10,1978-09-11,96.69,108.05,245.0,557562.2,0.20401,0.00125,49.98,4998.24,-5017.6
1978-09-11,1978-11-01,108.05,97.41,557.0,577800.32,0.09952,1.42672,55.43,5543.26,73869.61
1978-11-01,1979-02-13,97.41,99.58,427.0,582453.59,0.13442,0.00015,57.4,5739.73,-5790.73
1979-02-13,1979-06-11,99.58,102.24,327.0,592226.18,0.17698,0.00919,57.87,5787.25,-5544.6
1979-06-11,1979-10-10,102.24,106.23,962.0,613722.91,0.0612,0.04786,58.87,5887.44,-1342.18
1979-10-10,1980-02-11,106.23,119.05,294.0,680969.3,0.20704,0.00462,60.87,6086.98,-6012.02
1980-02-11,1980-03-18,119.05,104.71,448.0,664440.01,0.15112,1.58198,67.7,6770.18,64034.83
1980-03-18,1980-06-10,104.71,115.5,392.0,723498.02,0.16821,0.00045,65.94,6593.83,-6642.13
1980-06-10,1980-10-10,115.5,132.14999,154.0,819974.05,0.46568,0.03608,71.71,7171.47,-6687.55
1980-10-10,1981-01-12,132.14999,135.88001,412.0,835227.86,0.19765,0.01567,81.43,8143.18,-7579.01
