purchase date,sale date,purchase underlying price,sale underlying price,contracts number,equity after sale of options,option price at purchase,option price at sale,trade costs,cost of purchase,profit/loss
1990-01-02,1990-05-10,359.69,344.98001,78.0,93863.81,0.5057,0.28642,39.44,3944.46,-1749.82
1990-05-10,1990-08-23,344.98001,316.54999,101.0,125533.75,0.36655,4.19973,37.02,3702.16,38678.1
1990-08-23,1990-11-13,316.54999,319.48001,70.0,123850.31,0.70434,0.39923,49.3,4930.38,-2185.07
1990-11-13,1991-02-11,319.48001,368.57999,26.0,137174.8,1.87673,0.00133,48.79,4879.5,-4924.83
1991-02-11,1991-05-10,368.57999,383.91,59.0,137237.76,0.92519,0.01782,54.59,5458.62,-5408.07
1991-05-10,1991-09-10,383.91,388.63,26.0,134792.86,2.02901,0.48289,52.75,5275.43,-4072.66
1991-09-10,1992-01-10,388.63,417.62,37.0,141063.19,1.44028,0.54488,53.29,5329.04,-3366.27
1992-01-10,1992-04-10,417.62,405.12,63.0,131606.33,0.89102,0.04258,56.13,5613.43,-5401.3
1992-04-10,1992-08-10,405.12,419.42001,50.0,131260.68,1.03913,0.09064,51.96,5195.65,-4794.41
1992-08-10,1992-12-10,419.42001,435.66,70.0,130954.07,0.74256,0.0102,51.98,5197.92,-5178.5
1992-12-10,1993-04-12,435.66,448.37,275.0,143376.3,0.18894,0.50435,51.96,5195.85,8621.82
1993-04-12,1993-08-10,448.37,450.70999,27.0,138516.54,2.07903,0.08835,56.13,5613.38,-5430.97
1993-08-10,1993-12-10,450.70999,464.87,130.0,137356.32,0.42169,0.01497,54.82,5481.97,-5342.18
1993-12-10,1994-04-11,464.87,450.34,251.0,149724.8,0.21702,0.86707,54.47,5447.2,16261.79
1994-04-11,1994-08-10,450.34,460.48001,49.0,146950.56,1.20932,0.04939,59.26,5925.67,-5742.92
1994-08-10,1994-12-12,460.48001,449.48001,178.0,144759.43,0.32796,0.39316,58.38,5837.69,1102.18
1994-12-12,1995-04-10,449.48001,507.01001,96.0,156622.2,0.59942,9e-05,57.54,5754.43,-5811.11
1995-04-10,1995-08-10,507.01001,560.63,557.0,166542.79,0.11176,0.00586,62.25,6225.03,-5960.88
1995-08-10,1995-12-11,560.63,620.90002,136.0,177087.88,0.48656,0.0032,66.17,6617.22,-6639.87
1995-12-11,1996-04-10,620.90002,642.78003,154.0,190605.37,0.45653,0.9409,70.31,7030.56,7388.99
1996-04-10,1996-08-12,642.78003,665.77002,21.0,191540.84,3.45526,0.88042,72.56,7256.05,-5479.72
1996-08-12,1996-12-10,665.77002,753.42999,22.0,208134.06,3.42499,0.00307,75.35,7534.98,-7603.57
1996-12-10,1997-04-10,753.42999,763.72998,118.0,222080.79,0.69749,1.63713,82.3,8230.38,11005.45
1997-04-10,1997-08-11,763.72998,938.5,21.0,261836.04,4.14436,0.06407,87.03,8703.16,-8655.64
1997-08-11,1997-12-10,938.5,975.78003,16.0,285604.31,6.20595,14.71563,99.3,9929.52,13516.19
1997-12-10,1998-03-10,975.78003,1064.58997,8.0,299091.16,13.83163,0.00234,110.65,11065.3,-11174.08
1998-03-10,1998-07-10,1064.58997,1166.93005,27.0,316085.07,4.34469,0.46825,117.31,11730.66,-10583.7
1998-07-10,1998-09-01,1166.93005,1000.71002,22.0,414456.64,5.71761,69.35067,125.79,12578.74,139866.94
1998-09-01,1998-12-10,1000.71002,1183.77002,12.0,470063.71,12.65325,0.00037,151.84,15183.9,-15335.3
1998-12-10,1999-03-10,1183.77002,1287.02002,40.0,492123.81,4.6106,0.31937,184.42,18442.4,-17349.34
1999-03-10,1999-06-10,1287.02002,1318.64001,24.0,485771.07,8.08308,0.65235,193.99,19399.39,-18027.74
1999-06-10,1999-09-10,1318.64001,1357.62,35.0,482010.36,5.39037,0.42049,188.66,18866.29,-17583.24
1999-09-10,1999-12-10,1357.62,1421.57996,41.0,485972.54,4.57751,0.25471,187.68,18767.79,-17911.16
