Date,Equity1,num_stocks,price_stocks,stocks_value,options_value_calc,num_options,options_value_reported
1959-07-15,93882.98,1574.0,59.59,93794.66,88.32,452.0,0.06601467755502521
1959-07-16,93600.89,1574.0,59.41,93511.34,89.55,452.0,0.06873789035929545
1959-07-17,93257.72,1574.0,59.19,93165.06,92.66,452.0,0.07562693297139567
1959-07-20,92820.46,1574.0,58.91,92724.34,96.12,452.0,0.08326523499583627
1959-07-21,93604.91,1574.0,59.41,93511.34,93.57,452.0,0.07764053469913734
1959-07-22,93917.92,1574.0,59.61,93826.14,91.78,452.0,0.07366862921510986
1959-07-23,94012.26,1574.0,59.67,93920.58,91.68,452.0,0.0734521429585615
1959-07-24,93980.38,1574.0,59.65,93889.1,91.28,452.0,0.07256666616496998
1959-07-27,94559.05,1574.0,60.02,94471.48,87.57,452.0,0.06434998548461923
1959-07-28,95029.01,1574.0,60.32,94943.68,85.33,452.0,0.05940842163781501
1959-07-29,95496.84,1574.0,60.62,95415.88,80.96,452.0,0.049739426555562516
1959-07-30,95309.05,1574.0,60.5,95227.0,82.05,452.0,0.05213556483998527
1959-07-31,95319.44,1574.0,60.51,95242.74,76.7,452.0,0.04031455457872035
1959-08-03,95632.36,1574.0,60.71,95557.54,74.82,452.0,0.0361586636850153
1959-08-04,95469.41,1574.0,60.61,95400.14,69.27,452.0,0.023866232347611982
1959-08-05,94981.86,1574.0,60.3,94912.2,69.66,452.0,0.024741119837204062
1959-08-06,94883.18,1574.0,60.24,94817.76,65.42,452.0,0.015363901894845766
1959-08-07,94303.41,1574.0,59.87,94235.38,68.03,452.0,0.021137084982149612
1959-08-10,92365.37,1574.0,58.62,92267.88,97.49,452.0,0.08631481620402237
1959-08-11,93573.96,1574.0,59.39,93479.86,94.1,452.0,0.07881196232040644
1959-08-12,93351.78,1574.0,59.25,93259.5,92.28,452.0,0.07478306429337311
1959-08-13,93192.12,1574.0,59.15,93102.1,90.02,452.0,0.0697824204655777
1959-08-14,93410.77,1574.0,59.29,93322.46,88.31,452.0,0.06599097579109059
1959-08-17,93222.41,1574.0,59.17,93133.58,88.83,452.0,0.06715161489616062
1959-08-18,92367.47,1574.0,58.62,92267.88,99.59,452.0,0.09094059573673419
1959-08-19,91823.8,1574.0,58.27,91716.98,106.82,452.0,0.10693974393151584
1959-08-20,93190.96,1574.0,59.14,93086.36,104.6,452.0,0.1020326284726012
