purchase date,sale date,purchase underlying price,sale underlying price,contracts number,equity after sale of options,option price at purchase,option price at sale,trade costs,cost of purchase,profit/loss
1959-07-15,1959-11-10,59.59,57.48,452.0,94686.18,0.06601,0.091,29.84,2983.65,1099.71
1959-11-10,1960-03-10,57.48,53.83,230.0,92076.49,0.12242,0.26392,28.16,2815.66,3226.34
1960-03-10,1960-07-11,53.83,56.87,138.0,94184.61,0.19849,0.00062,27.39,2739.16,-2758.0
1960-07-11,1960-09-19,56.87,53.86,939.0,117591.31,0.02992,0.32858000000000004,28.09,2809.49,28016.08
1960-09-19,1961-01-10,53.86,58.97,172.0,123505.27,0.2032,0.0008,34.95,3495.04,-3516.23
1961-01-10,1961-05-10,58.97,66.41,506.0,137418.88,0.07285,0.0515,36.86,3686.21,-1117.17
1961-05-10,1961-08-10,66.41,67.95,231.0,136322.85,0.17706,5.9999999999999995e-05,40.9,4090.09,-4129.6
1961-08-10,1961-12-11,67.95,72.39,391.0,140763.74,0.10382000000000001,0.00016999999999999999,40.59,4059.36,-4093.3
1961-12-11,1962-04-10,72.39,68.8,1871.0,135066.63,0.02245,0.02864,42.0,4200.4,1116.15
1962-04-10,1962-05-09,68.8,65.17,1556.0,171007.13,0.025889999999999996,0.29894,40.28,4028.48,42446.3
1962-05-09,1962-05-28,65.17,59.15,360.0,230659.54,0.14126,2.24497,50.85,5085.36,75682.71
1962-05-28,1962-08-10,59.15,57.85,208.0,217261.76,0.32948,0.07422000000000001,68.53,6853.18,-5377.94
1962-08-10,1962-11-12,57.85,60.0,284.0,218872.82,0.22815,0.01668,64.79,6479.46,-6070.54
1962-11-12,1963-02-11,60.0,66.41,268.0,234768.81,0.2436,0.0,65.28,6528.48,-6593.76
1963-02-11,1963-06-10,66.41,70.51,1212.0,241579.51,0.05778,0.0001,70.03,7002.94,-7060.85
1963-06-10,1963-10-10,70.51,72.52,5249.0,242130.73,0.01374,0.00251,72.12,7212.13,-5966.75
1963-10-10,1963-11-26,72.52,72.74,2075.0,327878.95,0.03481,0.44126000000000004,72.23,7223.08,84266.14
1963-11-26,1964-03-10,72.74,78.9,177.0,341675.96,0.54932,0.0,97.23,9722.96,-9820.19
1964-03-10,1964-07-10,78.9,83.99,52800.0,354046.97,0.00193,0.00028,101.9,10190.4,-8813.9
1964-07-10,1964-11-10,83.99,85.55,4165.0,349641.85,0.02537,0.00016999999999999999,105.67,10566.6,-10601.47
1964-11-10,1965-03-10,85.55,87.07,17626.0,346906.03,0.00592,0.0011099999999999999,104.35,10434.59,-8582.46
1965-03-10,1965-06-28,87.07,83.34,6480.0,451800.2,0.01598,0.19852,103.55,10355.04,118182.37
1965-06-28,1965-10-11,83.34,91.84,759.0,478598.71,0.17706,0.0,134.39,13438.85,-13573.24
1965-10-11,1966-02-10,91.84,94.7,17927.0,479008.21,0.00797,0.00035,142.88,14287.82,-13803.25
1966-02-10,1966-03-07,94.7,89.39,13079.0,612126.67,0.01093,0.1316,142.95,14295.35,157681.34
1966-03-07,1966-07-11,89.39,88.19,4305.0,623757.44,0.04231,0.09872,182.14,18214.46,24102.36
1966-07-11,1966-10-04,88.19,75.76,893.0,726206.04,0.20818000000000003,2.2975,185.9,18590.47,186390.38
1966-10-04,1967-01-10,75.76,83.54,953.0,769371.9,0.22659,0.0,215.94,21594.03,-21809.97
1967-01-10,1967-05-10,83.54,94.04,1649.0,839677.09,0.1392,0.00085,229.54,22954.08,-23043.46
1967-05-10,1967-09-11,94.04,95.26,2041.0,824784.87,0.1228,0.0013599999999999999,250.63,25063.48,-25036.53
1967-09-11,1968-01-10,95.26,97.26,15096.0,830026.72,0.016309999999999998,0.009000000000000001,246.22,24621.58,-11281.4
1968-01-10,1968-03-25,97.26,88.88,3814.0,989888.41,0.06494,0.66062,247.68,24768.12,226944.67
1968-03-25,1968-07-11,88.88,103.67,1265.0,1111439.66,0.23285,0.00022999999999999998,294.56,29455.52,-29720.99
1968-07-11,1968-11-12,103.67,105.28,2934.0,1094514.66,0.11305,0.00107,331.69,33168.87,-33186.62
1968-11-12,1969-03-10,105.28,99.47,21853.0,1175233.68,0.01495,0.07827,326.7,32670.23,138046.5
1969-03-10,1969-07-10,99.47,97.04,6417.0,1152539.16,0.05459,0.06885,350.3,35030.4,8800.34
