purchase date,sale date,purchase underlying price,sale underlying price,contracts number,equity after sale of options,option price at purchase,option price at sale,profit/loss
1988-06-10,1988-10-11,273.20999,278.23999,6817.0,97880.97,0.40005,0.00657,-2956.35
1988-10-11,1989-02-10,278.23999,296.06,35973.0,99520.0,0.04159,7e-05,-2933.6
1989-02-10,1989-06-12,296.06,326.69,64260.0,103918.09,0.00646,3e-05,-2985.19
1989-06-12,1989-10-10,326.69,360.44,55490.0,108938.54,0.01618,1e-05,-3117.27
1989-10-10,1989-10-13,360.44,355.53,63274.0,290881.15,0.01165,1.49519,91337.51
1989-10-13,1990-02-12,355.53,333.62,4569.0,184299.12,1.24869,0.68721,-2749.4
1990-02-12,1990-06-11,333.62,361.63,12802.0,189956.82,0.3845,0.0012,-5421.01
1990-06-11,1990-08-22,361.63,324.14999,50041.0,408607.14,0.07387,2.45276,117040.03
1990-08-22,1990-12-10,324.14999,328.97,14141.0,287613.46,0.56645,0.26391,-4844.22
1990-12-10,1991-04-10,328.97,374.82999,10736.0,313384.56,0.75324,0.00452,-8468.26
1991-04-10,1991-08-12,374.82999,388.17001,21323.0,314043.21,0.40084,0.00494,-9295.78
1991-08-12,1991-12-10,388.17001,379.57001,85767.0,338810.43,0.06981,0.25953,12839.72
1991-12-10,1992-04-10,379.57001,405.12,22493.0,326839.01,0.38219,0.00196,-9452.51
1992-04-10,1992-08-10,405.12,419.42001,73217.0,325337.82,0.0939,0.00101,-9731.13
1992-08-10,1992-12-10,419.42001,435.66,134369.0,322281.77,0.03262,0.0,-9759.12
1992-12-10,1993-02-24,435.66,440.87,239377.0,312683.34,0.00039,0.01249,-6679.54
1993-02-24,1993-06-10,440.87,446.22,113095.0,299934.2,0.04215,0.00215,-9047.8
1993-06-10,1993-10-12,446.22,462.47,144592.0,295435.38,0.02218,0.0,-8991.05
1993-10-12,1994-02-10,462.47,473.13,220254.0,284560.7,0.00024,0.00061,-8730.51
1994-02-10,1994-05-11,473.13,446.03,159045.0,387832.4,0.01365,0.4218,58552.22
1994-05-11,1994-09-12,446.03,468.42001,43508.0,324758.49,0.18116,0.0,-9623.91
1994-09-12,1994-10-04,468.42001,462.45999,240680.0,311934.61,0.00048,0.02203,-4441.35
1994-10-04,1995-02-10,462.45999,481.95999,171399.0,303058.68,0.01367,0.0,-9199.02
1995-02-10,1995-03-10,481.95999,490.37,227294.0,289972.62,0.0,0.0001,-9069.27
1995-03-10,1995-07-10,490.37,558.47998,215203.0,311599.78,0.00042,1e-05,-8698.23
1995-07-10,1995-11-10,558.47998,593.26001,107127.0,316714.72,0.04726,0.0,-9348.82
1995-11-10,1996-01-11,593.26001,602.71002,233106.0,316905.01,0.00076,0.03042,-2412.08
1996-01-11,1996-05-10,602.71002,653.0,68837.0,322898.17,0.09502,0.00092,-9231.56
1996-05-10,1996-09-10,653.0,665.57001,68942.0,320203.98,0.10048,0.02777,-7770.77
1996-09-10,1997-01-10,665.57001,759.65002,42692.0,350631.06,0.18366,0.00084,-9512.95
1997-01-10,1997-05-12,759.65002,838.56,29429.0,390927.65,0.31739,0.28523,-2124.44
1997-05-12,1997-09-10,838.56,933.61999,3255.0,414124.85,3.48462,0.18297,-10878.87
1997-09-10,1998-01-12,933.61999,939.25,3673.0,414666.6,3.33684,1.53829,-6754.07
1998-01-12,1998-05-11,939.25,1119.13,3431.0,472507.13,3.53536,0.00016,-12267.27
1998-05-11,1998-08-31,1119.13,1033.46997,26139.0,1663633.96,0.5023,23.74632,606529.44
1998-08-31,1998-11-10,1033.46997,1135.37,5258.0,1111451.82,5.91028,0.15241,-30486.88
1998-11-10,1999-02-10,1135.37,1226.78003,5678.0,1164178.31,5.82739,0.04166,-33079.37
1999-02-10,1999-06-10,1226.78003,1318.64001,3921.0,1221229.59,8.864,1.00795,-30961.57
1999-06-10,1999-10-12,1318.64001,1335.20996,5478.0,1220815.48,6.62575,2.32693,-23768.94
1999-10-12,2000-02-10,1335.20996,1422.09998,6149.0,1270454.7,5.8536,1.84627,-24887.07
2000-02-10,2000-05-10,1422.09998,1412.14001,13158.0,1354109.9,2.83055,5.39185,33173.59
2000-05-10,2000-08-10,1412.14001,1475.15002,2671.0,1300051.34,14.36871,0.00307,-38478.62
2000-08-10,2000-12-11,1475.15002,1389.05005,18185.0,1858981.94,2.10462,18.48366,297124.84
2000-12-11,2001-03-12,1389.05005,1233.42004,7819.0,1404426.82,5.8027,5.97405,1025.79
2001-03-12,2001-07-10,1233.42004,1203.43005,5888.0,1319483.36,6.87715,2.95004,-23358.82
2001-07-10,2001-11-13,1203.43005,1139.14001,9078.0,1490430.5,4.26264,16.26005,108548.49
2001-11-13,2002-02-11,1139.14001,1112.01001,7744.0,1273303.95,5.162,0.14684,-39147.4
2002-02-11,2002-06-10,1112.01001,1038.18005,9446.0,1380937.16,4.00012,12.13513,76465.3
2002-06-10,2002-09-10,1038.18005,909.89002,13172.0,2004995.87,2.84409,35.26878,426570.02
2002-09-10,2002-12-10,909.89002,904.95001,1867.0,1492655.01,24.70823,2.01507,-42444.13
2002-12-10,2003-03-10,904.95001,828.89002,6383.0,1367171.03,6.95677,3.49388,-22359.63
2003-03-10,2003-07-10,828.89002,1002.21002,4633.0,1577187.19,8.66712,0.02763,-40212.76
2003-07-10,2003-11-10,1002.21002,1053.65002,9599.0,1610508.06,4.88863,0.14269,-45940.28
2003-11-10,2004-03-10,1053.65002,1141.44995,26841.0,1689928.45,1.75847,0.00364,-48175.39
2004-03-10,2004-07-12,1141.44995,1116.10999,101680.0,1615883.74,0.45857,0.08504,-42048.53
2004-07-12,2004-11-10,1116.10999,1169.25,226031.0,1634462.36,0.17332,0.02297,-43025.76
2004-11-10,2005-03-10,1169.25,1211.22998,83790.0,1635113.22,0.54334,0.00864,-48154.51
2005-03-10,2005-07-11,1211.22998,1220.03003,217329.0,1589690.12,0.18561,0.00369,-48230.49
2005-07-11,2005-11-10,1220.03003,1232.41003,584365.0,1726908.39,0.04157,0.16558,49091.1
2005-11-10,2006-03-10,1232.41003,1284.37,65829.0,1645458.43,0.7029,0.0017,-48793.29
2006-03-10,2006-07-10,1284.37,1274.06006,439501.0,2279696.13,0.07231,0.81249,307727.85
2006-07-10,2006-11-10,1274.06006,1381.04004,32264.0,2019704.36,1.74768,0.0,-57679.15
2006-11-10,2007-03-02,1381.04004,1403.40002,1427689.0,2160172.17,0.00244,0.07934,52681.28
2007-03-02,2007-07-10,1403.40002,1531.84998,147790.0,2161835.45,0.3755,0.00216,-61087.92
2007-07-10,2007-08-15,1531.84998,1440.78003,113710.0,5680028.09,0.53027,16.32479,1791444.87
2007-08-15,2007-12-10,1440.78003,1518.27002,12884.0,4027443.26,8.86344,4.73609,-53692.78
2007-12-10,2008-03-10,1518.27002,1295.01001,19924.0,4219126.01,5.93216,23.54717,350163.46
2008-03-10,2008-06-10,1295.01001,1366.83997,20898.0,3838246.94,5.34325,0.01099,-112269.57
2008-06-10,2008-10-07,1366.83997,1072.91003,21665.0,9898004.67,5.27449,161.00938,3373128.39
2008-10-07,2008-11-10,1072.91003,951.95001,10254.0,6952475.8,18.71139,70.30425,528621.19
2008-11-10,2008-12-10,951.95001,908.27002,3376.0,6090259.05,55.33198,48.00864,-24859.6
2008-12-10,2009-01-12,908.27002,890.40002,3451.0,5775880.21,51.48714,20.11438,-108407.39
