purchase date,sale date,purchase underlying price,sale underlying price,contracts number,equity after sale of options,option price at purchase,option price at sale,profit/loss
1988-06-10,1988-10-11,273.20999,278.23999,7006.0,100310.36,0.03136,2e-05,-501.57
1988-10-11,1988-11-14,278.23999,269.25,12347.0,96174.98,0.00062,0.00344,-459.18
1988-11-14,1989-03-10,269.25,293.92999,11518.0,103944.04,0.00173,0.0,-481.93
1989-03-10,1989-03-20,293.92999,292.69,12912.0,102521.43,0.00025,0.00232,-491.27
1989-03-20,1989-07-10,292.69,327.07001,12189.0,113448.91,0.00204,0.0,-512.87
1989-07-10,1989-10-16,327.07001,342.87,13278.0,119088.59,0.00272,0.04876,79.32
1989-10-16,1990-02-12,342.87,333.62,1967.0,114636.12,0.26105,0.01149,-570.88
1990-02-12,1990-06-11,333.62,361.63,8678.0,123239.09,0.02603,0.0,-573.89
1990-06-11,1990-08-03,361.63,351.48001,14876.0,118822.2,0.00142,0.0081,-496.63
1990-08-03,1990-08-06,351.48001,344.85998,13174.0,116109.35,0.00505,0.02887,-214.2
1990-08-06,1990-08-22,344.85998,324.14999,8990.0,110861.14,0.02436,0.16538,907.77
1990-08-22,1990-08-28,324.14999,322.20001,6068.0,110968.82,0.05012,0.25081,973.79
1990-08-28,1990-12-10,322.20001,328.97,2034.0,111134.66,0.22901,0.00985,-527.77
1990-12-10,1991-04-10,328.97,374.82999,4759.0,125772.83,0.07672,4e-05,-556.92
1991-04-10,1991-08-12,374.82999,388.17001,9931.0,129181.47,0.02332,1e-05,-629.49
1991-08-12,1991-08-19,388.17001,385.57999,15776.0,127228.26,0.00094,0.00593,-553.28
1991-08-19,1991-12-10,385.57999,379.57001,14176.0,124072.6,0.00484,0.00422,-576.79
1991-12-10,1992-04-10,379.57001,405.12,10746.0,131260.34,0.0177,0.0,-620.2
1992-04-10,1992-08-10,405.12,419.42001,15898.0,134566.57,0.00128,0.0,-656.35
1992-08-10,1992-10-13,419.42001,410.64002,16762.0,130438.52,0.00014,0.00075,-661.78
1992-10-13,1993-02-10,410.64002,446.37,15921.0,140419.35,0.00096,0.0,-653.28
1993-02-10,1993-02-16,446.37,444.53,17552.0,138436.49,0.0,0.0002,-700.49
1993-02-16,1993-03-17,444.53,451.35998,17230.0,139182.17,0.00017,0.00086,-678.11
1993-03-17,1993-07-12,451.35998,449.10998,16357.0,137119.51,0.00254,1e-05,-697.38
