purchase date,sale date,purchase underlying price,sale underlying price,contracts number,equity after sale of options,option price at purchase,option price at sale,trade costs,cost of purchase,profit/loss
1988-06-10,1988-10-11,273.20999,278.23999,19.0,98346.92,1.56601,0.14111,29.75,2975.42,-2737.06
1988-10-11,1989-02-10,278.23999,296.06,55.0,101598.35,0.52695,0.01668,28.98,2898.22,-2835.46
1989-02-10,1989-06-12,296.06,326.69,123.0,108841.25,0.24512,0.01005,30.15,3014.98,-2921.51
1989-06-12,1989-10-10,326.69,360.44,83.0,116556.05,0.3872,0.0075,32.14,3213.76,-3183.65
1989-10-10,1989-10-13,360.44,355.53,93.0,147710.64,0.37397,3.85473,34.78,3477.92,32336.29
1989-10-13,1990-02-12,355.53,333.62,12.0,136895.09,3.38463,2.15545,40.62,4061.56,-1515.64
1990-02-12,1990-06-11,333.62,361.63,24.0,144133.1,1.66008,0.05307,39.84,3984.19,-3896.66
1990-06-11,1990-08-24,361.63,311.64999,54.0,167805.99,0.78469,8.66325,42.37,4237.33,42501.85
1990-08-24,1990-12-10,311.64999,328.97,20.0,172262.54,2.47432,0.5741,49.49,4948.64,-3849.93
1990-12-10,1991-04-10,328.97,374.82999,20.0,190732.7,2.46752,0.08399,49.35,4935.04,-4816.41
1991-04-10,1991-08-12,374.82999,388.17001,30.0,192100.65,1.86406,0.14646,55.92,5592.18,-5208.72
1991-08-12,1991-12-10,388.17001,379.57001,66.0,190848.69,0.85686,1.2887,56.55,5655.28,2793.59
1991-12-10,1992-04-10,379.57001,405.12,29.0,197835.48,1.92797,0.0897,55.91,5591.11,-5386.89
1992-04-10,1992-08-10,405.12,419.42001,56.0,199232.61,1.03913,0.09064,58.19,5819.13,-5369.73
1992-08-10,1992-12-10,419.42001,435.66,80.0,200783.96,0.74256,0.0102,59.4,5940.48,-5918.28
1992-12-10,1993-04-12,435.66,448.37,317.0,216552.26,0.18894,0.50435,59.89,5989.4,9938.61
1993-04-12,1993-08-10,448.37,450.70999,31.0,211242.66,2.07903,0.08835,64.45,6444.99,-6235.56
1993-08-10,1993-12-10,450.70999,464.87,149.0,211551.06,0.42169,0.01497,62.83,6283.18,-6122.96
1993-12-10,1994-04-11,464.87,450.34,290.0,224186.27,0.21702,0.86707,62.94,6293.58,18788.51
1994-04-11,1994-08-10,450.34,460.48001,55.0,222329.82,1.20932,0.04939,66.51,6651.26,-6446.12
1994-08-10,1994-12-12,460.48001,449.48001,202.0,218514.36,0.32796,0.39316,66.25,6624.79,1250.79
1994-12-12,1995-04-10,449.48001,507.01001,108.0,239020.07,0.59942,9e-05,64.74,6473.74,-6537.5
1995-04-10,1995-08-10,507.01001,560.63,638.0,256707.6,0.11176,0.00586,71.3,7130.29,-6827.72
1995-08-10,1995-12-11,560.63,620.90002,157.0,275810.96,0.48656,0.0032,76.39,7638.99,-7665.14
1995-12-11,1996-04-10,620.90002,642.78003,180.0,294037.4,0.45653,0.9409,82.18,8217.54,8636.48
1996-04-10,1996-08-12,642.78003,665.77002,25.0,297567.43,3.45526,0.88042,86.38,8638.15,-6523.48
1996-08-12,1996-12-10,665.77002,753.42999,25.0,326882.85,3.42499,0.00307,85.62,8562.48,-8640.42
1996-12-10,1997-04-10,753.42999,763.72998,139.0,344422.28,0.69749,1.63713,96.95,9695.11,12964.05
1997-04-10,1997-08-11,763.72998,938.5,24.0,410692.44,4.14436,0.06407,99.46,9946.46,-9892.16
1997-08-11,1997-12-10,938.5,975.78003,19.0,442858.02,6.20595,14.71563,117.91,11791.3,16050.48
1997-12-10,1998-04-13,975.78003,1110.75,4.0,489716.98,30.39695,0.02212,121.59,12158.78,-12271.52
1998-04-13,1998-08-10,1110.75,1092.81995,70.0,521912.81,2.0736,7.70392,145.15,14515.2,39267.09
1998-08-10,1998-12-10,1092.81995,1183.77002,12.0,552293.03,12.01435,2.78633,144.17,14417.22,-11217.79
1998-12-10,1999-04-12,1183.77002,1358.68994,11.0,616770.72,14.64068,1.49136,161.05,16104.75,-14625.3
1999-04-12,1999-08-10,1358.68994,1298.62,10.0,580568.12,17.78353,8.06399,177.84,17783.53,-9897.38
1999-08-10,1999-12-10,1298.62,1421.57996,20.0,621443.11,8.37516,2.26008,167.5,16750.32,-12397.66
1999-12-10,2000-04-10,1421.57996,1527.18994,12.0,659651.74,14.43944,9.00474,173.27,17327.33,-6694.91
2000-04-10,2000-08-10,1527.18994,1475.15002,6.0,623614.76,30.66768,7.23654,184.01,18400.61,-14242.69
2000-08-10,2000-12-11,1475.15002,1389.05005,21.0,634141.45,8.69211,30.28575,182.53,18253.43,45164.11
2000-12-11,2001-04-10,1389.05005,1173.92004,6.0,570183.77,29.71618,82.46147,178.3,17829.71,31468.87
2001-04-10,2001-08-10,1173.92004,1193.32996,4.0,563437.77,42.48966,4.35999,169.96,16995.86,-15421.83
2001-08-10,2001-12-10,1193.32996,1158.31006,15.0,547984.41,11.05448,11.4148,165.82,16581.72,374.66
2001-12-10,2002-04-10,1158.31006,1131.76001,10.0,526863.17,15.65952,6.91104,156.6,15659.52,-8905.08
2002-04-10,2002-07-22,1131.76001,854.13001,15.0,549392.96,10.13398,107.66073,152.01,15200.97,146138.12
2002-07-22,2002-11-12,854.13001,894.29999,6.0,570842.66,25.33645,22.61538,152.02,15201.87,-1784.66
2002-11-12,2003-03-10,894.29999,828.89002,3.0,521812.51,47.19031,19.91169,141.57,14157.09,-8325.16
2003-03-10,2003-07-10,828.89002,1002.21002,9.0,612357.96,17.00427,0.31473,153.04,15303.84,-15173.63
2003-07-10,2003-11-10,1002.21002,1053.65002,14.0,626533.13,12.81182,1.26586,179.37,17936.55,-16343.71
2003-11-10,2004-03-10,1053.65002,1141.44995,25.0,658878.34,7.46493,0.2291,186.62,18662.32,-18276.2
2004-03-10,2004-07-12,1141.44995,1116.10999,46.0,631758.59,4.27432,1.47346,196.62,19661.87,-13080.58
2004-07-12,2004-11-10,1116.10999,1169.25,69.0,646006.3,2.70727,0.56486,186.8,18680.16,-14969.43
2004-11-10,2005-03-10,1169.25,1211.22998,43.0,651027.68,4.43589,0.41453,190.74,19074.33,-17482.59
2005-03-10,2005-07-11,1211.22998,1220.03003,69.0,638680.41,2.80449,0.36768,193.51,19350.98,-17007.5
2005-07-11,2005-11-10,1220.03003,1232.41003,115.0,645241.22,1.64742,1.66842,189.45,18945.33,52.05
2005-11-10,2006-03-10,1232.41003,1284.37,39.0,653255.12,4.8364,0.20837,188.62,18861.96,-18237.94
2006-03-10,2006-07-10,1284.37,1274.06006,100.0,668165.52,1.93174,3.90542,193.17,19317.4,19543.63
