purchase date,sale date,purchase underlying price,sale underlying price,contracts number,equity after sale of options,option price at purchase,option price at sale,profit/loss
1976-06-01,1976-10-12,100.74,102.19,60679.0,94171.21,0.00944,0.00098,-2941.34
1976-10-12,1977-02-10,102.19,101.51,52970.0,88481.94,0.0133,0.00023,-2812.32
1977-02-10,1977-06-10,101.51,98.86,64734.0,81165.44,0.001,0.00213,-2516.85
1977-06-10,1977-10-11,98.86,95.97,56544.0,73944.34,0.00299,6e-05,-2427.67
1977-10-11,1977-11-03,95.97,91.18,55344.0,66194.88,8e-05,0.00326,-2038.01
1977-11-03,1978-03-10,91.18,89.25,49130.0,60644.44,0.00031,0.00022,-1970.42
1978-03-10,1978-07-10,89.25,95.67,44725.0,61164.72,0.00067,5e-05,-1817.73
1978-07-10,1978-11-10,95.67,95.39,40549.0,64037.41,0.00525,0.08116,1456.07
1978-11-10,1979-03-12,95.39,100.04,9644.0,61402.76,0.14895,8e-05,-1821.7
1979-03-12,1979-07-10,100.04,105.17,42928.0,60849.64,0.00291,0.0,-1842.92
1979-07-10,1979-10-15,105.17,104.74,45230.0,58229.23,0.00036,0.01465,-1163.66
1979-10-15,1980-02-11,104.74,119.05,27364.0,62314.87,0.02311,3e-05,-1727.56
1980-02-11,1980-03-17,119.05,105.23,37077.0,93833.15,0.01042,0.56547,19095.59
1980-03-17,1980-07-10,105.23,118.57,16423.0,78614.46,0.0931,0.0001,-2185.34
1980-07-10,1980-11-10,118.57,130.51,36809.0,83132.09,0.02407,0.00986,-1997.06
1980-11-10,1981-03-10,130.51,132.64,13261.0,81075.47,0.14724,0.0026,-2450.07
1981-03-10,1981-07-10,132.64,130.42999,48780.0,75345.31,0.00984,0.00044,-2410.53
1981-07-10,1981-09-04,130.42999,121.54,55754.0,69703.04,0.00053,0.03511,-304.03
1981-09-04,1982-01-11,121.54,120.34,44047.0,63821.66,0.00614,0.00634,-1753.19
1982-01-11,1982-05-10,120.34,119.49,35967.0,59816.63,0.013,0.00157,-1851.1
1982-05-10,1982-08-04,119.49,107.83,41819.0,61563.72,0.00287,0.13129,3696.4
1982-08-04,1982-12-10,107.83,141.14999,31396.0,70369.65,0.01358,0.00763,-1442.81
1982-12-10,1983-03-10,141.14999,154.01,3946.0,74009.5,0.49306,0.00019,-2102.87
1983-03-10,1983-07-11,154.01,168.11,7349.0,78038.8,0.26209,0.00024,-2218.34
1983-07-11,1983-11-10,168.11,164.71001,39122.0,73090.99,0.01984,0.0067,-2080.06
1983-11-10,1984-03-12,164.71001,156.35001,44753.0,70828.87,0.00882,0.06257,613.47
1984-03-12,1984-07-10,156.35001,153.53,28006.0,63962.93,0.03287,0.00537,-1892.16
1984-07-10,1984-11-13,153.53,167.38001,40618.0,65816.81,0.00713,3e-05,-1914.39
1984-11-13,1985-03-11,167.38001,179.46001,43385.0,66672.57,0.00551,0.00011,-1970.28
1985-03-11,1985-07-10,179.46001,192.36999,41684.0,67605.08,0.00798,0.0,-2000.64
1985-07-10,1985-11-12,192.36999,198.66,49012.0,65792.1,0.00138,0.00082,-1989.45
1985-11-12,1986-03-10,198.66,226.98,37701.0,71320.63,0.01232,1e-05,-1974.1
1986-03-10,1986-07-10,226.98,243.44,38600.0,75305.07,0.01543,0.03495,-790.53
1986-07-10,1986-11-10,243.44,246.22,5054.0,72349.89,0.39892,0.00206,-2209.73
1986-11-10,1987-03-10,246.22,290.87,38913.0,81304.11,0.01577,0.00043,-2154.93
1987-03-10,1987-07-10,290.87,308.39999,9062.0,83564.61,0.2291,0.01969,-2261.67
1987-07-10,1987-10-19,308.39999,282.70001,8894.0,536271.46,0.24124,26.00035,228745.52
1987-10-19,1987-11-10,282.70001,243.17,1394.0,303022.58,6.52186,17.90189,15807.76
1987-11-10,1987-12-10,243.17,240.05,741.0,279224.07,11.20443,8.84626,-1777.4
1987-12-10,1988-01-11,240.05,247.51,713.0,273144.95,11.42598,0.33887,-7935.11
1988-01-11,1988-04-11,247.51,270.41,2400.0,289037.92,3.37075,6e-05,-8185.66
1988-04-11,1988-08-10,270.41,266.48999,19895.0,282322.83,0.39584,0.17289,-5231.59
1988-08-10,1988-12-12,266.48999,278.82001,27484.0,282206.13,0.26441,0.00577,-8208.46
1988-12-12,1989-04-10,278.82001,297.94,77471.0,289354.5,0.06922,0.00117,-8371.9
1989-04-10,1989-08-10,297.94,349.78,105944.0,325055.44,0.04191,3e-05,-8674.93
1989-08-10,1989-12-11,349.78,348.73999,92143.0,320253.65,0.06583,0.0524,-4923.48
1989-12-11,1990-04-10,348.73999,342.41,54227.0,300051.61,0.1345,0.01714,-8534.08
1990-04-10,1990-08-10,342.41,339.89999,133675.0,334845.62,0.02713,0.19537,17141.48
1990-08-10,1990-12-10,339.89999,328.97,22932.0,319285.92,0.36387,0.66329,5948.3
1990-12-10,1991-04-10,328.97,374.82999,11500.0,335655.58,0.75324,0.00452,-9070.28
1991-04-10,1991-08-12,374.82999,388.17001,22838.0,336370.21,0.40084,0.00494,-9955.56
1991-08-12,1991-12-10,388.17001,379.57001,91865.0,362895.87,0.06981,0.25953,13752.63
1991-12-10,1992-04-10,379.57001,405.12,24092.0,350086.85,0.38219,0.00196,-10124.5
1992-04-10,1992-08-10,405.12,419.42001,78425.0,348484.79,0.0939,0.00101,-10422.9
1992-08-10,1992-12-10,419.42001,435.66,143929.0,345202.4,0.03262,0.0,-10452.96
1992-12-10,1993-03-15,435.66,451.42999,256401.0,345318.14,0.00039,0.01695,-6012.0
1993-03-15,1993-07-12,451.42999,449.10998,55451.0,327865.31,0.14447,0.01006,-9673.17
1993-07-12,1993-11-10,449.10998,463.72,121284.0,322903.87,0.04096,2e-05,-9817.37
1993-11-10,1994-03-10,463.72,467.29001,226332.0,307747.34,0.0028,0.00274,-9067.58
1994-03-10,1994-07-11,467.29001,450.23999,150651.0,282342.48,0.02116,0.00463,-8518.26
1994-07-11,1994-11-10,450.23999,467.79001,191638.0,277069.11,0.00409,0.00252,-7966.87
1994-11-10,1995-03-10,467.79001,490.37,97332.0,277265.82,0.04525,0.0,-8298.27
1995-03-10,1995-07-10,490.37,558.47998,205788.0,297994.01,0.00042,1e-05,-8316.37
1995-07-10,1995-11-10,558.47998,593.26001,102449.0,302873.41,0.04726,0.0,-8939.74
1995-11-10,1996-03-11,593.26001,640.40997,222919.0,322841.13,0.00076,0.03292,-1748.92
1996-03-11,1996-07-10,640.40997,656.27002,12411.0,313096.98,0.72258,0.00119,-9451.17
1996-07-10,1996-11-12,656.27002,733.03998,156202.0,332875.59,0.02013,0.0,-9394.35
1996-11-12,1996-12-19,733.03998,746.06,238905.0,357734.41,0.0018,0.08104,9372.83
1996-12-19,1997-04-10,746.06,763.72998,48429.0,356213.65,0.16961,0.22893,934.81
1997-04-10,1997-08-11,763.72998,938.5,10520.0,410943.59,0.94416,0.0022,-10331.42
1997-08-11,1997-12-10,938.5,975.78003,7362.0,543157.81,1.63432,8.76681,52213.39
1997-12-10,1998-03-10,975.78003,1064.58997,1671.0,506276.38,8.54993,1e-05,-14354.92
1998-03-10,1998-07-10,1064.58997,1166.93005,20422.0,538617.61,0.70372,0.02933,-14590.39
1998-07-10,1998-09-01,1166.93005,1000.71002,13840.0,1936507.05,1.12616,53.81181,728615.4
1998-09-01,1998-12-10,1000.71002,1183.77002,4574.0,1365477.59,7.77488,0.0,-35746.3
1998-12-10,1999-04-12,1183.77002,1358.68994,6891.0,1523778.93,5.90444,0.29389,-38938.3
1999-04-12,1999-08-10,1358.68994,1298.62,6070.0,1440482.65,7.48016,2.4647,-30687.84
1999-08-10,1999-12-10,1298.62,1421.57996,19549.0,1531199.91,2.14759,0.47163,-33545.34
1999-12-10,2000-04-10,1421.57996,1527.18994,8519.0,1651863.54,5.31964,3.89215,-12502.79
2000-04-10,2000-07-10,1527.18994,1486.56006,7574.0,1543772.89,6.3709,1.03745,-40699.55
2000-07-10,2000-11-10,1486.56006,1400.14001,5312.0,1563029.3,8.63402,15.06503,33947.53
2000-11-10,2001-02-12,1400.14001,1330.95996,10041.0,1440077.94,4.39056,3.63816,-7956.85
2001-02-12,2001-05-10,1330.95996,1268.14001,7240.0,1397013.72,5.77566,6.91121,7931.38
2001-05-10,2001-08-10,1268.14001,1193.32996,3762.0,1233724.64,10.69889,0.58103,-38215.39
