symbol,description
AN,'AUSTRALIAN DOLLAR'
AP,'AUSTRALIAN PRICE INDEX'
BC,'BRENT CRUDE OIL'
BG,'BRENT GASOIL'
BN,'BRITISH POUND'
CA,'CAC40 INDEX'
CN,'CANADIAN DOLLAR'
CB,'CANADIAN 10YR BOND'
CC,'COCOA'
KC,'COFFEE'
ZK,'COPPER'
ZC,'CORN'
CT,'COTTON #2'
CR,'CRB FUTURES'
ZU,'CRUDE OIL'
XU,'DOW JONES EUROSTOXX50'
XX,'DOW JONES STOXX 50'
DJ,'DOW JONES, day session'
UB,'EURO BOBL'
DT,'EURO BOND (BUND)'
UZ,'EURO SCHATZ'
FN,'EURO'
EC,'EURODOLLARS'
FF,'FED FUNDS'
ZF,'FEEDER CATTLE'
LX,'FTSE 100 INDEX'
AX,'GERMAN DAX INDEX'
GS,'GILT, LONG  BOND'
ZG,'GOLD'
GI,'GOLDMAN SAKS C. I.'
HS,'HANG SENG'
ZH,'HEATING OIL #2'
JN,'JAPANESE YEN'
ZZ,'LEAN HOGS'
ZT,'LIVE CATTLE'
LB,'LUMBER'
MP,'MEXICAN PESO'
DA,'MILK III'
YM,'DOW JONES, MINI'
ND,'NASDAQ 100'
EN,'NASDAQ, MINI'
ZN,'NATURAL GAS'
NK,'NIKKEI INDEX'
ZO,'OATS'
JO,'ORANGE JUICE'
ZA,'PALLADIUM'
ZP,'PLATINUM'
ZB,'RBOB GASOLINE'
ZR,'ROUGH RICE'
RL,'RUSSELL 2000'
ER,'RUSSELL 2000, MINI'
SC,'S & P 500, composite'
SP,'S & P 500, day session'
ES,'S & P 500, MINI'
MD,'S & P 400, (Mini electronic)'
ZI,'SILVER'
ZM,'SOYBEAN MEAL'
ZL,'SOYBEAN OIL'
ZS,'SOYBEANS'
SS,'STERLING, SHORT'
SB,'SUGAR #11'
SN,'SWISS FRANC'
US,'T-BONDS'
TY,'T-NOTE, 10yr'
FB,'T-NOTE, 5yr'
TU,'T-NOTE, 2yr'
DX,'US DOLLAR INDEX'
ZW,'WHEAT, CBOT'
KW,'WHEAT, KC'
MW,'WHEAT, MINN'
