Date,Time,Open,High,Low,Close,Vol,OI
2/28/2018,14:00,1.3971,1.3978,1.3828,1.3833,7473,11331
3/1/2018,14:00,1.3817,1.3844,1.3779,1.3832,1507,11260
3/2/2018,14:00,1.3835,1.3878,1.3821,1.3851,1507,11260
3/5/2018,14:00,1.387,1.394,1.3829,1.3893,6134,14010
3/6/2018,14:00,1.3915,1.3994,1.3884,1.395,1332,14661
3/7/2018,14:00,1.397,1.3975,1.3907,1.3958,3054,15204
3/8/2018,14:00,1.3961,1.397,1.3843,1.3857,8652,18838
3/9/2018,14:00,1.3873,1.395,1.3848,1.3909,18833,31524
3/12/2018,14:00,1.3911,1.3977,1.3901,1.3967,37945,49921
3/13/2018,14:00,1.3965,1.4055,1.3934,1.4036,33429,72675
3/14/2018,14:00,1.4029,1.4057,1.3987,1.4034,68170,104368
3/15/2018,14:00,1.4028,1.405,1.3982,1.3992,123495,149987
3/16/2018,14:00,1.3999,1.404,1.3945,1.3996,123495,149443
3/19/2018,14:00,1.4002,1.4146,1.397,1.4107,173315,160037
3/20/2018,14:00,1.4082,1.4123,1.4039,1.4056,98448,157123
3/21/2018,14:00,1.4057,1.4204,1.4053,1.4184,150729,166749
3/22/2018,14:00,1.4189,1.4272,1.4126,1.4161,145405,173525
3/23/2018,14:00,1.4156,1.4223,1.4136,1.4196,103132,176738
3/26/2018,14:00,1.4202,1.4294,1.4196,1.4276,101356,180805
3/27/2018,14:00,1.4279,1.4293,1.4113,1.4201,138937,173671
3/28/2018,14:00,1.4209,1.4244,1.4113,1.4127,109658,173437
3/29/2018,14:00,1.4125,1.4138,1.4054,1.4058,119003,172073
4/2/2018,14:00,1.4064,1.4122,1.4062,1.4085,46244,169904
4/3/2018,14:00,1.4093,1.4131,1.4064,1.4099,90696,168876
4/4/2018,14:00,1.4103,1.4139,1.406,1.4119,99049,170925
4/5/2018,14:00,1.4129,1.414,1.4007,1.4044,108201,172178
4/6/2018,14:00,1.4041,1.4146,1.4024,1.4126,108201,170628
4/9/2018,14:00,1.4125,1.4204,1.4118,1.4173,83421,175431
4/10/2018,14:00,1.4171,1.4227,1.4159,1.4223,83354,179850
4/11/2018,14:00,1.4217,1.4263,1.4199,1.4211,85825,182517
4/12/2018,14:00,1.4217,1.4286,1.4183,1.4265,109246,191723
4/13/2018,14:00,1.4269,1.4335,1.4259,1.4275,94974,193915
4/16/2018,14:00,1.4284,1.4382,1.4271,1.4369,100216,199774
4/17/2018,14:00,1.4375,1.4413,1.4318,1.4322,121502,202778
4/18/2018,14:00,1.4327,1.4349,1.4207,1.4239,130290,198071
4/19/2018,14:00,1.424,1.4279,1.41,1.411,133382,182228
4/20/2018,14:00,1.4117,1.4121,1.4029,1.4055,133382,182258
4/23/2018,14:00,1.4032,1.4064,1.3959,1.397,96604,177467
