"Date","Time","Open","High","Low","Close","Vol","OI"
02/27/2018,14:00,0.7875,0.7875,0.7825,0.7825,1,4
02/28/2018,14:00,0.7825,0.7825,0.7800,0.7807,2,3
03/01/2018,14:00,0.7785,0.7785,0.7785,0.7785,0,3
03/02/2018,14:00,0.7781,0.7781,0.7781,0.7781,0,3
03/05/2018,14:00,0.7770,0.7789,0.7770,0.7789,1,4
03/06/2018,14:00,0.7850,0.7850,0.7846,0.7846,1,4
03/07/2018,14:00,0.7846,0.7846,0.7846,0.7846,0,4
03/08/2018,14:00,0.7818,0.7818,0.7818,0.7818,0,4
03/09/2018,14:00,0.7879,0.7879,0.7879,0.7879,0,4
03/12/2018,14:00,0.7908,0.7908,0.7908,0.7908,0,4
03/13/2018,14:00,0.7899,0.7899,0.7899,0.7899,0,4
03/14/2018,14:00,0.7915,0.7915,0.7915,0.7915,0,4
03/15/2018,14:00,0.7850,0.7850,0.7833,0.7833,1,5
03/16/2018,14:00,0.7750,0.7750,0.7748,0.7748,1,5
03/19/2018,14:00,0.7754,0.7754,0.7754,0.7754,0,5
03/20/2018,14:00,0.7717,0.7717,0.7717,0.7717,0,5
03/21/2018,14:00,0.7786,0.7786,0.7786,0.7786,0,5
03/22/2018,14:00,0.7738,0.7738,0.7738,0.7738,0,5
03/23/2018,14:00,0.7790,0.7790,0.7744,0.7744,1,5
03/26/2018,14:00,0.7763,0.7763,0.7763,0.7763,0,5
03/27/2018,14:00,0.7716,0.7716,0.7716,0.7716,0,5
03/28/2018,14:00,0.7710,0.7710,0.7690,0.7690,1,4
03/29/2018,14:00,0.7702,0.7702,0.7702,0.7702,0,4
04/02/2018,14:00,0.7677,0.7677,0.7677,0.7677,0,4
04/03/2018,14:00,0.7705,0.7705,0.7705,0.7705,0,4
04/04/2018,14:00,0.7729,0.7729,0.7729,0.7729,0,4
04/05/2018,14:00,0.7708,0.7708,0.7708,0.7708,0,4
04/06/2018,14:00,0.7694,0.7694,0.7694,0.7694,0,4
04/09/2018,14:00,0.7729,0.7729,0.7729,0.7729,0,4
04/10/2018,14:00,0.7750,0.7794,0.7750,0.7794,4,5
04/11/2018,14:00,0.7786,0.7786,0.7786,0.7786,0,5
