"Date","Time","Open","High","Low","Close","Vol","OI"
03/29/2019,14:00,4080,4080,4080,4080,0,0
04/01/2019,14:00,4120,4120,4120,4120,0,0
04/02/2019,14:00,4775,4775,4775,4775,0,0
04/03/2019,14:00,5155,5155,5155,5155,0,0
04/04/2019,14:00,4840,4840,4840,4840,0,0
04/05/2019,14:00,5015,5035,4985,5005,22,17
04/08/2019,14:00,5380,5380,5230,5230,7,21
04/09/2019,14:00,5240,5240,5230,5230,2,23
04/10/2019,14:00,5320,5480,5320,5425,3,23
04/11/2019,14:00,5130,5130,5010,5070,16,53
04/12/2019,14:00,5040,5070,4920,5065,16,53
04/15/2019,14:00,5155,5175,5025,5025,14,65
04/16/2019,14:00,5045,5220,5045,5205,13,73
04/17/2019,14:00,5250,5250,5250,5250,1,74
04/18/2019,14:00,5290,5310,5265,5310,3,75
04/22/2019,14:00,5305,5400,5280,5400,8,77
04/23/2019,14:00,5400,5620,5400,5595,19,82
04/24/2019,14:00,5545,5600,5380,5435,43,116
04/25/2019,14:00,5430,5495,5420,5485,16,125
04/26/2019,14:00,5220,5240,5000,5085,72,151
04/29/2019,14:00,5125,5180,5105,5130,40,175
04/30/2019,14:00,5125,5240,5100,5215,20,187
05/01/2019,14:00,5260,5330,5250,5275,51,216
05/02/2019,14:00,5305,5395,5290,5365,133,207
05/03/2019,14:00,5375,5775,5375,5675,133,207
05/06/2019,14:00,5720,5740,5625,5740,16,207
05/07/2019,14:00,5710,5960,5710,5855,90,249
05/08/2019,14:00,5870,5895,5670,5895,85,284
05/09/2019,14:00,5940,6085,5905,6060,236,447
05/10/2019,14:00,6110,6415,6110,6365,236,447
05/13/2019,14:00,7140,8025,6885,7985,283,448
05/14/2019,14:00,8165,8400,7705,7825,325,447
05/15/2019,14:00,7940,8300,7940,8275,30,439
05/16/2019,14:00,8345,8425,7800,7930,236,475
05/17/2019,14:00,8040,8040,6400,7230,236,475
05/20/2019,14:00,8100,8290,7755,7895,84,454
05/21/2019,14:00,8000,8145,7935,8095,20,454
05/22/2019,14:00,8075,8095,7795,8015,84,457
05/23/2019,14:00,7740,7890,7560,7855,58,464
05/24/2019,14:00,7945,8245,7945,8140,44,468
05/28/2019,14:00,8965,9035,8785,8840,266,565
05/29/2019,14:00,8870,8885,8515,8790,133,507
05/30/2019,14:00,8780,9200,8470,8715,79,518
05/31/2019,14:00,8290,8595,8230,8595,79,518
06/03/2019,14:00,8850,8900,8485,8720,36,512
06/04/2019,14:00,8595,8595,7610,7665,231,491
06/05/2019,14:00,7770,7920,7770,7885,14,487
06/06/2019,14:00,7930,7930,7530,7660,49,495
06/07/2019,14:00,7890,8150,7890,8055,102,545
06/10/2019,14:00,7590,8105,7585,8055,79,553
06/11/2019,14:00,8095,8140,7770,7950,348,614
06/12/2019,14:00,7985,8310,7985,8245,60,605
06/13/2019,14:00,8230,8375,8210,8340,79,649
06/14/2019,14:00,8405,8545,8310,8505,66,654
06/17/2019,14:00,9010,9560,9010,9455,283,669
06/18/2019,14:00,9505,9660,9095,9220,215,749
06/19/2019,14:00,9145,9330,9095,9305,68,753
06/20/2019,14:00,9420,9735,9410,9735,74,736
06/21/2019,14:00,9770,10215,9770,10135,147,739
06/24/2019,14:00,10930,11430,10810,11225,295,799
06/25/2019,14:00,11340,11855,11340,11745,222,816
06/26/2019,14:00,11985,14265,11985,14260,782,797
06/27/2019,14:00,12810,13740,10700,11235,484,788
06/28/2019,14:00,11285,12715,11150,12640,353,830
07/01/2019,14:00,11530,11530,10325,10510,376,947
07/02/2019,14:00,10825,11210,10000,11120,271,923
07/03/2019,14:00,10995,11840,10995,11510,329,946
07/05/2019,14:00,11690,11715,11085,11440,329,946
07/08/2019,14:00,11665,12695,11665,12640,156,968
07/09/2019,14:00,12830,13295,12570,12970,229,977
07/10/2019,14:00,13000,13665,11970,12440,510,921
07/11/2019,14:00,12190,12505,11180,11825,146,795
07/12/2019,14:00,11525,12150,11450,11870,146,795
07/15/2019,14:00,11000,11185,10000,11065,218,828
07/16/2019,14:00,11100,11200,9605,9815,412,861
07/17/2019,14:00,9700,10190,9170,9975,317,895
07/18/2019,14:00,10085,11005,9520,10755,562,1040
07/19/2019,14:00,10850,10950,10395,10710,562,1040
07/22/2019,14:00,10945,10960,10375,10415,254,1114
07/23/2019,14:00,10455,10455,10150,10415,142,1129
07/24/2019,14:00,10390,10390,9710,9845,535,1111
07/25/2019,14:00,9990,10420,9970,10070,515,1231
07/26/2019,14:00,10090,10115,9910,10085,111,1259
07/29/2019,14:00,9685,9855,9285,9590,469,1214
07/30/2019,14:00,9565,9950,9535,9785,253,1272
07/31/2019,14:00,9840,10300,9840,10170,206,1270
08/01/2019,14:00,10225,10730,10100,10520,528,1403
08/02/2019,14:00,10630,10955,10585,10705,528,1403
08/05/2019,14:00,11155,12250,11155,12070,616,1354
08/06/2019,14:00,12155,12610,11870,11970,491,1327
08/07/2019,14:00,11815,12475,11555,12040,428,1351
08/08/2019,14:00,12265,12335,11750,11825,199,1316
08/09/2019,14:00,12025,12380,11945,12090,183,1331
08/12/2019,14:00,11765,11815,11500,11690,211,1344
08/13/2019,14:00,11645,11680,10950,11090,380,1283
08/14/2019,14:00,11085,11090,10185,10260,392,1286
08/15/2019,14:00,10335,10520,9640,10240,506,1326
