"Date","Time","Open","High","Low","Close","Vol","OI"
06/28/2019,14:00,12650,12650,12650,12650,0,0
07/01/2019,14:00,11230,11230,10635,10635,2,2
07/02/2019,14:00,10420,11205,10420,11205,74,48
07/03/2019,14:00,11950,11950,11610,11610,12,53
07/05/2019,14:00,11660,11735,11480,11560,12,53
07/08/2019,14:00,12050,12750,11900,12745,11,55
07/09/2019,14:00,13295,13295,12750,13090,20,64
07/10/2019,14:00,13245,13245,12410,12570,28,77
07/11/2019,14:00,12645,12850,11535,11960,66,131
07/12/2019,14:00,11870,12085,11685,11990,66,131
07/15/2019,14:00,11075,11190,10270,11190,38,152
07/16/2019,14:00,10920,10920,9810,9925,94,197
07/17/2019,14:00,9690,10210,9690,10060,26,201
07/18/2019,14:00,9950,10950,9835,10850,28,231
07/19/2019,14:00,10930,10930,10740,10810,28,231
07/22/2019,14:00,11020,11020,10540,10540,22,235
07/23/2019,14:00,10325,10565,10325,10535,38,245
07/24/2019,14:00,10130,10230,9965,9970,23,254
07/25/2019,14:00,10390,10390,10190,10190,22,260
07/26/2019,14:00,10130,10230,10130,10210,3,261
07/29/2019,14:00,9500,9750,9500,9705,9,265
07/30/2019,14:00,10000,10000,9910,9910,6,263
07/31/2019,14:00,10280,10395,10280,10305,16,271
08/01/2019,14:00,10410,10820,10375,10630,33,293
08/02/2019,14:00,10950,10990,10800,10825,33,293
08/05/2019,14:00,11295,12350,11295,12215,36,312
08/06/2019,14:00,12780,12780,12025,12130,6,313
08/07/2019,14:00,11920,12540,11920,12200,31,318
08/08/2019,14:00,12325,12325,12000,12000,2,318
08/09/2019,14:00,12405,12405,12260,12260,4,319
08/12/2019,14:00,11880,11880,11815,11845,19,323
08/13/2019,14:00,11830,11830,11190,11235,32,341
08/14/2019,14:00,11075,11075,10435,10435,19,354
08/15/2019,14:00,10200,10500,9800,10385,49,382
08/16/2019,14:00,10705,10840,10150,10775,77,398
08/19/2019,14:00,10570,11080,10570,11035,15,399
08/20/2019,14:00,11250,11300,10940,11035,15,393
08/21/2019,14:00,10525,10525,10100,10365,22,405
08/22/2019,14:00,10010,10410,10000,10410,99,403
08/23/2019,14:00,10380,10685,10380,10685,4,405
08/26/2019,14:00,10285,10910,10285,10605,75,438
08/27/2019,14:00,10620,10620,10295,10425,30,440
08/28/2019,14:00,10385,10520,9750,9870,107,481
08/29/2019,14:00,9900,9900,9580,9710,58,500
08/30/2019,14:00,9665,9850,9610,9790,30,495
09/03/2019,14:00,10650,11000,10645,10965,73,483
09/04/2019,14:00,10990,11025,10680,11025,35,477
09/05/2019,14:00,10855,10855,10790,10810,67,471
09/06/2019,14:00,11000,11270,10525,10670,67,471
09/09/2019,14:00,10695,10805,10390,10570,117,462
09/10/2019,14:00,10650,10650,10250,10270,35,469
09/11/2019,14:00,10515,10515,10250,10340,13,470
09/12/2019,14:00,10440,10680,10340,10630,43,481
09/13/2019,14:00,10700,10745,10500,10530,265,571
09/16/2019,14:00,10605,10670,10370,10380,207,572
09/17/2019,14:00,10580,10605,10425,10535,39,588
09/18/2019,14:00,10450,10480,10335,10445,11,589
09/19/2019,14:00,10475,10630,9905,10355,153,589
09/20/2019,14:00,10540,10560,10385,10430,133,649
09/23/2019,14:00,10285,10285,10000,10080,446,825
09/24/2019,14:00,10000,10030,8160,8505,699,875
09/25/2019,14:00,8855,8870,8385,8495,443,794
09/26/2019,14:00,8760,8760,7880,8285,88,900
09/27/2019,14:00,8230,8230,8070,8130,88,900
09/30/2019,14:00,8185,8460,7800,8405,146,943
10/01/2019,14:00,8370,8635,8320,8400,67,956
10/02/2019,14:00,8415,8415,8280,8355,33,953
10/03/2019,14:00,8340,8340,8180,8245,7,943
10/04/2019,14:00,8165,8290,8130,8290,7,943
10/07/2019,14:00,8095,8400,7880,8330,105,953
10/08/2019,14:00,8345,8460,8250,8270,86,939
10/09/2019,14:00,8300,8865,8265,8740,178,973
10/10/2019,14:00,8705,8780,8570,8705,38,940
10/11/2019,14:00,8630,8815,8400,8465,38,940
10/14/2019,14:00,8400,8470,8385,8470,15,941
10/15/2019,14:00,8470,8470,8260,8285,7,936
10/16/2019,14:00,8290,8290,8015,8040,120,921
10/17/2019,14:00,8120,8205,8025,8155,42,936
10/18/2019,14:00,8185,8185,7930,8045,147,904
10/21/2019,14:00,8355,8430,8280,8310,70,910
10/22/2019,14:00,8350,8350,8235,8285,21,913
10/23/2019,14:00,8210,8210,7325,7535,463,1006
10/24/2019,14:00,7500,7540,7415,7530,760,1013
10/25/2019,14:00,7495,8940,7485,8785,760,1013
10/28/2019,14:00,9740,10115,9430,9595,738,1188
10/29/2019,14:00,9665,9740,9245,9405,234,1182
10/30/2019,14:00,9610,9610,9150,9340,108,1191
10/31/2019,14:00,9305,9560,9105,9375,125,1216
11/01/2019,14:00,9250,9435,9210,9325,125,1216
11/04/2019,14:00,9320,9860,9270,9650,366,1296
11/05/2019,14:00,9600,9660,9015,9515,228,1287
11/06/2019,14:00,9520,9600,9410,9445,37,1285
11/07/2019,14:00,9530,9535,9210,9305,141,1281
11/08/2019,14:00,9370,9380,8785,8910,310,1256
11/11/2019,14:00,9185,9195,8675,8805,222,1261
11/12/2019,14:00,8735,8960,8630,8890,138,1263
11/13/2019,14:00,8875,8905,8785,8850,39,1261
11/14/2019,14:00,8870,8870,8685,8740,109,1293
11/15/2019,14:00,8690,8855,8425,8545,359,1292
11/18/2019,14:00,8590,8595,8095,8260,601,1272
11/19/2019,14:00,8255,8265,8080,8150,371,1397
11/20/2019,14:00,8155,8295,8080,8150,564,1506
11/21/2019,14:00,8150,8175,7425,7615,606,1576
11/22/2019,14:00,7655,7755,6810,7355,1318,1637
11/25/2019,14:00,7035,7390,6530,7190,1227,1809
11/26/2019,14:00,7220,7365,7040,7125,721,1974
11/27/2019,14:00,7170,7745,6845,7625,2970,2131
11/29/2019,14:00,7540,7930,7365,7800,4898,2414
12/02/2019,14:00,7465,7555,7195,7335,4334,2558
12/03/2019,14:00,7370,7445,7260,7340,1711,2536
12/04/2019,14:00,7335,7965,7085,7220,8673,2563
12/05/2019,14:00,7255,7525,7180,7420,3514,2495
12/06/2019,14:00,7435,7655,7335,7460,3514,2495
12/09/2019,14:00,7570,7705,7290,7320,3527,2606
12/10/2019,14:00,7345,7410,7165,7215,3362,2699
12/11/2019,14:00,7250,7290,7130,7175,2979,2636
12/12/2019,14:00,7210,7370,7070,7265,3653,2496
12/13/2019,14:00,7215,7335,7200,7265,3653,2496
12/16/2019,14:00,7120,7145,6790,6860,7720,2524
12/17/2019,14:00,6880,6940,6560,6580,5979,2833
12/18/2019,14:00,6575,7235,6420,7135,11821,2113
12/19/2019,14:00,7280,7440,7055,7165,4596,2048
12/20/2019,14:00,7160,7235,7085,7230,2478,1977
12/23/2019,14:00,7420,7715,7290,7410,7852,1680
12/24/2019,14:00,7330,7430,7215,7235,3521,1405
12/26/2019,14:00,7220,7445,7170,7250,4302,763
12/27/2019,14:00,7195,7245,7055,7204,614,460
