"Date","Time","Open","High","Low","Close","Vol","OI"
02/27/2018,14:00,218.025,218.025,218.025,218.025,0,0
02/28/2018,14:00,218.025,218.025,218.025,218.025,0,0
03/01/2018,14:00,218.025,218.025,218.025,218.025,0,0
03/02/2018,14:00,218.025,218.025,218.025,218.025,0,0
03/05/2018,14:00,218.025,218.025,218.025,218.025,0,0
03/06/2018,14:00,218.025,218.025,218.025,218.025,0,0
03/07/2018,14:00,218.025,218.025,218.025,218.025,0,0
03/08/2018,14:00,220.000,220.000,220.000,220.000,0,0
03/09/2018,14:00,220.000,220.000,220.000,220.000,0,0
03/12/2018,14:00,220.000,220.000,220.000,220.000,0,0
03/13/2018,14:00,220.000,220.000,220.000,220.000,0,0
03/14/2018,14:00,220.000,220.000,220.000,220.000,0,0
03/15/2018,14:00,220.000,220.000,220.000,220.000,0,0
03/16/2018,14:00,220.000,220.000,220.000,220.000,0,0
03/19/2018,14:00,220.000,220.000,220.000,220.000,0,0
03/20/2018,14:00,220.000,220.000,220.000,220.000,0,0
03/21/2018,14:00,220.000,220.000,220.000,220.000,0,0
03/22/2018,14:00,221.500,221.500,221.500,221.500,0,0
03/23/2018,14:00,221.500,221.500,221.500,221.500,0,0
03/26/2018,14:00,221.500,221.500,221.500,221.500,0,0
03/27/2018,14:00,221.500,221.500,221.500,221.500,0,0
03/28/2018,14:00,221.500,221.500,221.500,221.500,0,0
03/29/2018,14:00,221.500,221.500,221.500,221.500,0,0
04/02/2018,14:00,221.500,221.500,221.500,221.500,0,0
04/03/2018,14:00,230.000,230.000,230.000,230.000,0,0
04/04/2018,14:00,235.000,235.000,235.000,235.000,2,2
04/05/2018,14:00,235.000,235.000,235.000,235.000,2,4
04/06/2018,14:00,235.000,235.000,235.000,235.000,0,4
04/09/2018,14:00,235.000,235.000,235.000,235.000,0,4
04/10/2018,14:00,235.000,235.000,235.000,235.000,0,4
04/11/2018,14:00,235.000,235.000,235.000,235.000,0,4
04/12/2018,14:00,235.000,235.000,235.000,235.000,0,4
04/13/2018,14:00,235.000,235.000,235.000,235.000,0,4
04/16/2018,14:00,235.000,235.000,235.000,235.000,2,6
04/17/2018,14:00,235.000,235.000,235.000,235.000,0,6
04/18/2018,14:00,235.000,235.000,235.000,235.000,0,6
04/19/2018,14:00,235.000,235.000,235.000,235.000,0,6
04/20/2018,14:00,235.000,235.000,235.000,235.000,0,6
04/23/2018,14:00,235.000,235.000,235.000,235.000,0,6
04/24/2018,14:00,236.000,236.000,236.000,236.000,0,6
04/25/2018,14:00,238.075,238.075,238.075,238.075,0,6
04/26/2018,14:00,238.075,238.075,238.075,238.075,0,6
04/27/2018,14:00,238.000,238.000,238.000,238.000,5,11
04/30/2018,14:00,238.000,238.000,238.000,238.000,0,11
05/01/2018,14:00,238.000,238.000,238.000,238.000,0,11
05/02/2018,14:00,238.000,238.000,238.000,238.000,0,11
05/03/2018,14:00,238.000,238.000,238.000,238.000,4,13
05/04/2018,14:00,238.000,238.000,238.000,238.000,0,13
05/07/2018,14:00,238.000,238.000,238.000,238.000,0,13
05/08/2018,14:00,238.000,238.000,238.000,238.000,0,13
05/09/2018,14:00,238.000,238.000,238.000,238.000,0,13
05/10/2018,14:00,238.000,238.000,238.000,238.000,0,13
05/11/2018,14:00,238.000,238.000,238.000,238.000,0,13
05/14/2018,14:00,238.000,238.000,238.000,238.000,0,13
05/15/2018,14:00,238.000,238.000,238.000,238.000,0,13
05/16/2018,14:00,238.000,238.000,238.000,238.000,0,13
05/17/2018,14:00,238.000,238.000,238.000,238.000,0,13
05/18/2018,14:00,238.000,238.000,238.000,238.000,0,13
05/21/2018,14:00,238.000,238.000,238.000,238.000,3,16
05/22/2018,14:00,238.000,238.000,238.000,238.000,2,18
05/23/2018,14:00,238.000,238.000,238.000,238.000,0,18
05/24/2018,14:00,238.000,238.000,238.000,238.000,0,18
05/25/2018,14:00,238.000,238.000,238.000,238.000,0,18
05/29/2018,14:00,238.000,238.000,238.000,238.000,0,18
05/30/2018,14:00,238.000,238.000,238.000,238.000,0,18
05/31/2018,14:00,238.000,238.000,238.000,238.000,0,18
06/01/2018,14:00,238.000,238.000,238.000,238.000,0,18
06/04/2018,14:00,235.000,235.000,235.000,235.000,3,21
06/05/2018,14:00,235.000,235.000,235.000,235.000,0,21
06/06/2018,14:00,235.500,235.500,235.500,235.500,6,24
06/07/2018,14:00,235.500,235.500,235.500,235.500,3,27
06/08/2018,14:00,235.500,235.500,235.500,235.500,0,27
06/11/2018,14:00,235.500,235.500,235.500,235.500,0,27
06/12/2018,14:00,235.500,235.500,235.500,235.500,0,27
06/13/2018,14:00,235.500,235.500,235.500,235.500,0,27
06/14/2018,14:00,235.500,235.500,235.500,235.500,0,27
06/15/2018,14:00,235.500,235.500,235.500,235.500,0,27
06/18/2018,14:00,235.500,235.500,235.500,235.500,0,27
06/19/2018,14:00,235.500,235.500,235.500,235.500,0,27
06/20/2018,14:00,235.500,235.500,235.500,235.500,0,27
06/21/2018,14:00,235.500,235.500,235.500,235.500,0,27
06/22/2018,14:00,235.500,235.500,235.500,235.500,0,27
06/25/2018,14:00,235.500,235.500,235.500,235.500,24,51
06/26/2018,14:00,235.500,235.500,235.500,235.500,40,85
06/27/2018,14:00,235.500,235.500,235.500,235.500,0,85
06/28/2018,14:00,235.500,235.500,235.500,235.500,0,85
06/29/2018,14:00,234.075,234.075,234.075,234.075,0,85
07/02/2018,14:00,233.675,233.675,233.675,233.675,0,85
07/03/2018,14:00,231.425,231.425,231.425,231.425,0,85
07/05/2018,14:00,230.000,230.000,230.000,230.000,0,85
07/06/2018,14:00,230.000,230.000,230.000,230.000,0,85
07/09/2018,14:00,230.000,230.000,230.000,230.000,0,85
07/10/2018,14:00,230.000,230.000,230.000,230.000,0,85
07/11/2018,14:00,229.500,229.500,229.500,229.500,23,91
07/12/2018,14:00,229.500,229.500,229.500,229.500,0,91
07/13/2018,14:00,229.500,229.500,229.500,229.500,0,91
07/16/2018,14:00,229.525,229.525,229.525,229.525,0,91
07/17/2018,14:00,231.000,231.000,231.000,231.000,15,105
07/18/2018,14:00,231.000,231.000,231.000,231.000,0,105
07/19/2018,14:00,231.000,231.000,231.000,231.000,0,105
07/20/2018,14:00,231.000,231.000,231.000,231.000,0,105
07/23/2018,14:00,230.000,231.000,230.000,231.000,20,125
07/24/2018,14:00,231.000,231.000,231.000,231.000,0,125
07/25/2018,14:00,231.000,231.000,231.000,231.000,0,125
07/26/2018,14:00,230.925,230.925,230.925,230.925,5,125
07/27/2018,14:00,229.000,229.000,228.000,228.000,5,125
07/30/2018,14:00,228.000,228.000,228.000,228.000,0,125
07/31/2018,14:00,228.000,228.000,228.000,228.000,0,125
08/01/2018,14:00,228.000,228.000,228.000,228.000,0,125
08/02/2018,14:00,228.050,228.050,228.050,228.050,26,147
08/03/2018,14:00,230.125,230.125,230.125,230.125,26,147
08/06/2018,14:00,230.125,230.125,230.125,230.125,0,147
08/07/2018,14:00,230.125,230.125,230.125,230.125,0,147
08/08/2018,14:00,230.475,230.475,230.475,230.475,1,148
08/09/2018,14:00,230.475,230.975,230.475,230.975,9,154
08/10/2018,14:00,230.975,230.975,230.975,230.975,0,154
08/13/2018,14:00,231.500,231.500,231.500,231.500,55,207
08/14/2018,14:00,231.500,231.500,231.500,231.500,0,207
