"Date","Time","Open","High","Low","Close","Vol","OI"
02/27/2018,14:00,0.78905,0.78905,0.78905,0.78905,0,28
02/28/2018,14:00,0.78450,0.78450,0.78450,0.78450,0,28
03/01/2018,14:00,0.78450,0.78450,0.78450,0.78450,1,29
03/02/2018,14:00,0.78170,0.78170,0.78035,0.78035,1,29
03/05/2018,14:00,0.77650,0.77650,0.77465,0.77465,1,30
03/06/2018,14:00,0.78010,0.78035,0.78010,0.78035,1,31
03/07/2018,14:00,0.77505,0.77905,0.77505,0.77905,3,34
03/08/2018,14:00,0.77980,0.77980,0.77980,0.77980,0,34
03/09/2018,14:00,0.77880,0.78485,0.77880,0.78450,6,33
03/12/2018,14:00,0.78460,0.78480,0.78445,0.78445,29,37
03/13/2018,14:00,0.77800,0.77820,0.77800,0.77820,3,38
03/14/2018,14:00,0.77825,0.77825,0.77825,0.77825,2,36
03/15/2018,14:00,0.77350,0.77350,0.77100,0.77140,16,45
03/16/2018,14:00,0.77100,0.77100,0.76900,0.76925,16,45
03/19/2018,14:00,0.76900,0.77130,0.76900,0.77130,20,55
03/20/2018,14:00,0.76980,0.76980,0.76980,0.76980,0,55
03/21/2018,14:00,0.77300,0.77895,0.77300,0.77895,2,56
03/22/2018,14:00,0.77890,0.77890,0.77890,0.77890,0,56
03/23/2018,14:00,0.78000,0.78400,0.78000,0.78190,10,57
03/26/2018,14:00,0.78100,0.78170,0.78100,0.78170,1,57
03/27/2018,14:00,0.78100,0.78100,0.78100,0.78100,0,57
03/28/2018,14:00,0.77850,0.77895,0.77850,0.77895,1,57
03/29/2018,14:00,0.78120,0.78120,0.77990,0.77990,8,63
04/02/2018,14:00,0.77755,0.77755,0.77755,0.77755,0,63
04/03/2018,14:00,0.78700,0.78700,0.78550,0.78550,7,67
04/04/2018,14:00,0.78435,0.78670,0.78435,0.78670,7,68
04/05/2018,14:00,0.78850,0.78885,0.78695,0.78885,6,74
04/06/2018,14:00,0.79000,0.79000,0.78745,0.78745,6,74
04/09/2018,14:00,0.78530,0.79230,0.78530,0.79230,3,74
04/10/2018,14:00,0.79905,0.79905,0.79905,0.79905,0,74
04/11/2018,14:00,0.80140,0.80140,0.79990,0.79990,3,75
04/12/2018,14:00,0.79975,0.79975,0.79975,0.79975,0,75
04/13/2018,14:00,0.79805,0.79805,0.79805,0.79805,0,75
04/16/2018,14:00,0.80085,0.80085,0.80085,0.80085,0,75
04/17/2018,14:00,0.80140,0.80140,0.80140,0.80140,3,78
04/18/2018,14:00,0.79655,0.79655,0.79655,0.79655,3,75
04/19/2018,14:00,0.79410,0.79410,0.79410,0.79410,23,95
04/20/2018,14:00,0.78930,0.78930,0.78930,0.78930,0,95
04/23/2018,14:00,0.78500,0.78500,0.78325,0.78325,3,97
04/24/2018,14:00,0.78450,0.78450,0.78435,0.78435,1,98
04/25/2018,14:00,0.78150,0.78350,0.78150,0.78350,1,99
04/26/2018,14:00,0.78195,0.78195,0.78195,0.78195,0,99
04/27/2018,14:00,0.78425,0.78425,0.78425,0.78425,0,99
04/30/2018,14:00,0.78415,0.78530,0.78365,0.78365,2,99
05/01/2018,14:00,0.78315,0.78320,0.78000,0.78320,8,99
05/02/2018,14:00,0.78410,0.78505,0.78280,0.78285,7,100
05/03/2018,14:00,0.78000,0.78300,0.78000,0.78300,11,105
05/04/2018,14:00,0.78180,0.78340,0.78070,0.78265,11,105
05/07/2018,14:00,0.78160,0.78160,0.78160,0.78160,0,105
05/08/2018,14:00,0.78100,0.78100,0.77500,0.77645,18,105
05/09/2018,14:00,0.77930,0.78360,0.77930,0.78325,4,104
05/10/2018,14:00,0.78650,0.78840,0.78650,0.78840,2,103
05/11/2018,14:00,0.78980,0.78980,0.78635,0.78635,42,97
05/14/2018,14:00,0.78555,0.78555,0.78555,0.78555,2,98
05/15/2018,14:00,0.77930,0.78145,0.77930,0.78145,1,99
05/16/2018,14:00,0.78660,0.78660,0.78645,0.78645,9,95
05/17/2018,14:00,0.78570,0.78570,0.78570,0.78570,1,95
05/18/2018,14:00,0.78350,0.78480,0.78100,0.78100,14,90
