"Date","Time","Open","High","Low","Close","Vol","OI"
02/27/2018,14:00,1.26140,1.26220,1.26140,1.26220,1,412
02/28/2018,14:00,1.25870,1.25870,1.25870,1.25870,31,433
03/01/2018,14:00,1.25550,1.26310,1.25550,1.26310,12,456
03/02/2018,14:00,1.26895,1.27090,1.26895,1.27090,12,456
03/05/2018,14:00,1.27035,1.27050,1.27035,1.27050,2,457
03/06/2018,14:00,1.27595,1.27860,1.27595,1.27860,14,469
03/07/2018,14:00,1.27865,1.27865,1.27865,1.27865,0,469
03/08/2018,14:00,1.26825,1.26825,1.26825,1.26825,20,489
03/09/2018,14:00,1.26920,1.26920,1.26920,1.26920,0,489
03/12/2018,14:00,1.27160,1.27160,1.27160,1.27160,0,489
03/13/2018,14:00,1.27785,1.27785,1.27785,1.27785,1,490
03/14/2018,14:00,1.27565,1.27565,1.27565,1.27565,6,495
03/15/2018,14:00,1.27500,1.27500,1.26825,1.26825,3,495
03/16/2018,14:00,1.26380,1.26700,1.26380,1.26615,3,495
03/19/2018,14:00,1.27335,1.27335,1.27335,1.27335,0,495
03/20/2018,14:00,1.26505,1.26505,1.26245,1.26245,19,504
03/21/2018,14:00,1.26205,1.27025,1.26205,1.27025,19,515
03/22/2018,14:00,1.26765,1.26765,1.26765,1.26765,1,516
03/23/2018,14:00,1.27375,1.27375,1.27375,1.27375,0,516
03/26/2018,14:00,1.28100,1.28270,1.28100,1.28270,5,519
03/27/2018,14:00,1.27660,1.27660,1.27660,1.27660,0,519
03/28/2018,14:00,1.27030,1.27030,1.26690,1.26690,9,528
03/29/2018,14:00,1.26585,1.26585,1.26465,1.26465,4,532
04/02/2018,14:00,1.26545,1.26545,1.26545,1.26545,0,532
04/03/2018,14:00,1.26230,1.26230,1.26230,1.26230,0,532
04/04/2018,14:00,1.26520,1.26520,1.26365,1.26365,5,537
04/05/2018,14:00,1.26245,1.26245,1.25885,1.25885,9,538
04/06/2018,14:00,1.26100,1.26365,1.26100,1.26365,9,538
04/09/2018,14:00,1.26710,1.26710,1.26710,1.26710,0,538
04/10/2018,14:00,1.27100,1.27100,1.27100,1.27100,0,538
04/11/2018,14:00,1.27310,1.27310,1.27130,1.27130,5,543
04/12/2018,14:00,1.26640,1.26790,1.26640,1.26790,11,547
04/13/2018,14:00,1.26770,1.26820,1.26770,1.26820,16,560
04/16/2018,14:00,1.26860,1.27315,1.26860,1.27315,4,563
04/17/2018,14:00,1.26960,1.27160,1.26960,1.27160,2,565
04/18/2018,14:00,1.27250,1.27250,1.27250,1.27250,0,565
04/19/2018,14:00,1.27095,1.27280,1.26830,1.26830,8,562
04/20/2018,14:00,1.26000,1.26250,1.26000,1.26250,8,562
04/23/2018,14:00,1.25650,1.25650,1.25470,1.25470,3,561
04/24/2018,14:00,1.25640,1.25780,1.25640,1.25780,1,562
04/25/2018,14:00,1.25380,1.25380,1.25165,1.25165,1,561
04/26/2018,14:00,1.25245,1.25245,1.24395,1.24395,49,561
04/27/2018,14:00,1.24015,1.24600,1.23900,1.24515,69,561
04/30/2018,14:00,1.24200,1.24200,1.24005,1.24105,13,556
05/01/2018,14:00,1.23800,1.23800,1.23215,1.23215,47,524
05/02/2018,14:00,1.23400,1.23400,1.22845,1.23100,100,517
05/03/2018,14:00,1.23115,1.23115,1.23115,1.23115,89,540
05/04/2018,14:00,1.22540,1.22810,1.22280,1.22810,89,540
05/07/2018,14:00,1.22330,1.22400,1.22320,1.22400,15,528
05/08/2018,14:00,1.22300,1.22300,1.21635,1.21690,11,522
05/09/2018,14:00,1.21400,1.21895,1.21400,1.21715,13,522
05/10/2018,14:00,1.21595,1.22340,1.21595,1.22340,50,542
05/11/2018,14:00,1.22020,1.22710,1.22020,1.22475,49,517
05/14/2018,14:00,1.22645,1.22805,1.22450,1.22450,17,508
05/15/2018,14:00,1.22215,1.22215,1.21400,1.21500,7,508
05/16/2018,14:00,1.21400,1.21400,1.20730,1.21030,26,508
05/17/2018,14:00,1.20940,1.21165,1.20940,1.20965,5,508
05/18/2018,14:00,1.20945,1.20945,1.20500,1.20700,12,505
05/21/2018,14:00,1.20195,1.20695,1.20195,1.20695,7,507
05/22/2018,14:00,1.21210,1.21210,1.20700,1.20750,26,515
05/23/2018,14:00,1.20585,1.20585,1.19700,1.19915,83,565
05/24/2018,14:00,1.20140,1.20300,1.20085,1.20165,31,582
05/25/2018,14:00,1.19945,1.20200,1.19350,1.19505,31,582
05/29/2018,14:00,1.18825,1.18825,1.18000,1.18125,139,614
05/30/2018,14:00,1.18605,1.19440,1.18605,1.19330,81,638
05/31/2018,14:00,1.19385,1.20000,1.19385,1.19685,67,654
06/01/2018,14:00,1.19700,1.19815,1.19200,1.19450,97,669
06/04/2018,14:00,1.19595,1.20185,1.19595,1.19800,11,671
06/05/2018,14:00,1.19820,1.20030,1.19500,1.19930,45,666
06/06/2018,14:00,1.19970,1.20745,1.19970,1.20495,22,667
06/07/2018,14:00,1.20785,1.21050,1.20785,1.20845,162,716
06/08/2018,14:00,1.20460,1.20500,1.20200,1.20465,3,714
06/11/2018,14:00,1.20815,1.20900,1.20605,1.20655,38,723
06/12/2018,14:00,1.20580,1.20690,1.20245,1.20245,31,712
06/13/2018,14:00,1.20250,1.20540,1.20250,1.20470,8,717
06/14/2018,14:00,1.20885,1.20970,1.18560,1.18560,106,692
06/15/2018,14:00,1.18340,1.18685,1.18300,1.18685,29,709
06/18/2018,14:00,1.18545,1.18800,1.18240,1.18795,28,724
06/19/2018,14:00,1.18400,1.18400,1.17965,1.18360,54,762
06/20/2018,14:00,1.18240,1.18430,1.18240,1.18430,27,772
06/21/2018,14:00,1.18000,1.18785,1.17665,1.18785,131,869
06/22/2018,14:00,1.19085,1.19200,1.18850,1.19190,18,860
06/25/2018,14:00,1.19420,1.19600,1.19420,1.19600,19,856
06/26/2018,14:00,1.19660,1.19685,1.18900,1.19035,3,856
06/27/2018,14:00,1.19165,1.19165,1.18070,1.18070,25,865
06/28/2018,14:00,1.17710,1.18310,1.17705,1.18025,23,881
06/29/2018,14:00,1.18685,1.19235,1.18685,1.19165,36,883
07/02/2018,14:00,1.18850,1.18850,1.18430,1.18530,34,887
07/03/2018,14:00,1.19040,1.19040,1.18870,1.18915,50,909
07/05/2018,14:00,1.19360,1.19390,1.19205,1.19205,38,920
07/06/2018,14:00,1.19535,1.20030,1.19535,1.19860,40,925
07/09/2018,14:00,1.19890,1.19970,1.19855,1.19915,62,957
07/10/2018,14:00,1.19620,1.19855,1.19620,1.19855,16,957
07/11/2018,14:00,1.19680,1.19835,1.19100,1.19100,11,967
07/12/2018,14:00,1.19140,1.19140,1.19055,1.19055,10,967
07/13/2018,14:00,1.18765,1.19095,1.18490,1.19095,20,973
07/16/2018,14:00,1.19535,1.19550,1.19375,1.19465,41,965
07/17/2018,14:00,1.19585,1.19585,1.18855,1.18955,36,960
07/18/2018,14:00,1.18720,1.18880,1.18465,1.18780,63,974
