"Date","Time","Open","High","Low","Close","Vol","OI"
02/27/2018,14:00,1.28200,1.28200,1.28200,1.28200,0,245
02/28/2018,14:00,1.27835,1.27835,1.27835,1.27835,0,245
03/01/2018,14:00,1.28250,1.28250,1.28250,1.28250,0,245
03/02/2018,14:00,1.29040,1.29040,1.29040,1.29040,0,245
03/05/2018,14:00,1.29020,1.29020,1.29020,1.29020,0,245
03/06/2018,14:00,1.29845,1.29845,1.29845,1.29845,0,245
03/07/2018,14:00,1.29870,1.29870,1.29870,1.29870,0,245
03/08/2018,14:00,1.28805,1.28805,1.28805,1.28805,0,245
03/09/2018,14:00,1.28910,1.28910,1.28910,1.28910,0,245
03/12/2018,14:00,1.29170,1.29170,1.29170,1.29170,0,245
03/13/2018,14:00,1.29805,1.29805,1.29805,1.29805,0,245
03/14/2018,14:00,1.29575,1.29575,1.29575,1.29575,0,245
03/15/2018,14:00,1.28795,1.28795,1.28795,1.28795,0,245
03/16/2018,14:00,1.28650,1.28650,1.28650,1.28650,0,245
03/19/2018,14:00,1.29375,1.29375,1.29375,1.29375,0,245
03/20/2018,14:00,1.28200,1.28300,1.28200,1.28300,11,255
03/21/2018,14:00,1.29100,1.29100,1.29100,1.29100,0,255
03/22/2018,14:00,1.28800,1.28800,1.28800,1.28800,0,255
03/23/2018,14:00,1.29425,1.29425,1.29425,1.29425,0,255
03/26/2018,14:00,1.30335,1.30335,1.30335,1.30335,0,255
03/27/2018,14:00,1.29675,1.29675,1.29675,1.29675,0,255
03/28/2018,14:00,1.28685,1.28685,1.28685,1.28685,0,255
03/29/2018,14:00,1.28460,1.28460,1.28460,1.28460,0,255
04/02/2018,14:00,1.28525,1.28525,1.28525,1.28525,0,255
04/03/2018,14:00,1.28240,1.28240,1.28240,1.28240,0,255
04/04/2018,14:00,1.28390,1.28390,1.28390,1.28390,0,255
04/05/2018,14:00,1.27925,1.27925,1.27925,1.27925,0,255
04/06/2018,14:00,1.28360,1.28360,1.28360,1.28360,0,255
04/09/2018,14:00,1.28715,1.28715,1.28715,1.28715,0,255
04/10/2018,14:00,1.29120,1.29120,1.29120,1.29120,0,255
04/11/2018,14:00,1.29150,1.29150,1.29150,1.29150,0,255
04/12/2018,14:00,1.28845,1.28845,1.28845,1.28845,0,255
04/13/2018,14:00,1.28700,1.28900,1.28700,1.28900,25,280
04/16/2018,14:00,1.29400,1.29400,1.29400,1.29400,0,280
04/17/2018,14:00,1.29225,1.29225,1.29225,1.29225,0,280
04/18/2018,14:00,1.29350,1.29350,1.29350,1.29350,0,280
04/19/2018,14:00,1.28910,1.28910,1.28910,1.28910,0,280
04/20/2018,14:00,1.28350,1.28350,1.28350,1.28350,0,280
04/23/2018,14:00,1.27550,1.27550,1.27550,1.27550,0,280
04/24/2018,14:00,1.27845,1.27845,1.27845,1.27845,0,280
04/25/2018,14:00,1.27235,1.27235,1.27235,1.27235,0,280
04/26/2018,14:00,1.26455,1.26455,1.26455,1.26455,0,280
04/27/2018,14:00,1.26565,1.26565,1.26565,1.26565,0,280
04/30/2018,14:00,1.26160,1.26160,1.26160,1.26160,0,280
05/01/2018,14:00,1.25250,1.25250,1.25250,1.25250,0,280
05/02/2018,14:00,1.25155,1.25155,1.25155,1.25155,0,280
05/03/2018,14:00,1.25150,1.25150,1.25150,1.25150,0,280
05/04/2018,14:00,1.24845,1.24845,1.24845,1.24845,0,280
05/07/2018,14:00,1.24435,1.24435,1.24435,1.24435,0,280
05/08/2018,14:00,1.23705,1.23705,1.23705,1.23705,0,280
05/09/2018,14:00,1.23725,1.23725,1.23725,1.23725,0,280
05/10/2018,14:00,1.24355,1.24355,1.24355,1.24355,0,280
05/11/2018,14:00,1.24475,1.24475,1.24475,1.24475,0,280
05/14/2018,14:00,1.24430,1.24430,1.24430,1.24430,0,280
05/15/2018,14:00,1.23515,1.23515,1.23515,1.23515,0,280
05/16/2018,14:00,1.23045,1.23045,1.23045,1.23045,0,280
05/17/2018,14:00,1.22975,1.22975,1.22975,1.22975,0,280
05/18/2018,14:00,1.22690,1.22690,1.22690,1.22690,0,280
05/21/2018,14:00,1.22705,1.22705,1.22705,1.22705,0,280
05/22/2018,14:00,1.22755,1.22755,1.22755,1.22755,0,280
05/23/2018,14:00,1.21925,1.21925,1.21925,1.21925,0,280
05/24/2018,14:00,1.22140,1.22140,1.22140,1.22140,0,280
05/25/2018,14:00,1.21450,1.21450,1.21450,1.21450,0,280
05/29/2018,14:00,1.19900,1.19980,1.19800,1.19980,66,335
05/30/2018,14:00,1.21230,1.21230,1.21230,1.21230,0,335
05/31/2018,14:00,1.21605,1.21605,1.21605,1.21605,0,335
06/01/2018,14:00,1.20805,1.21405,1.20805,1.21405,1,336
06/04/2018,14:00,1.21795,1.21795,1.21795,1.21795,0,336
06/05/2018,14:00,1.21905,1.21905,1.21905,1.21905,0,336
06/06/2018,14:00,1.22000,1.22490,1.22000,1.22490,1,337
06/07/2018,14:00,1.22100,1.22815,1.22100,1.22815,1,338
06/08/2018,14:00,1.22440,1.22440,1.22440,1.22440,0,338
06/11/2018,14:00,1.22010,1.22660,1.22010,1.22660,2,340
06/12/2018,14:00,1.22235,1.22235,1.22235,1.22235,5,340
06/13/2018,14:00,1.22470,1.22470,1.22470,1.22470,0,340
06/14/2018,14:00,1.20550,1.20550,1.20550,1.20550,0,340
06/15/2018,14:00,1.19750,1.20685,1.19750,1.20685,1,341
06/18/2018,14:00,1.20675,1.20795,1.20675,1.20795,1,341
06/19/2018,14:00,1.20065,1.20335,1.20065,1.20335,1,341
06/20/2018,14:00,1.20410,1.20410,1.20400,1.20400,15,341
06/21/2018,14:00,1.20545,1.20750,1.20275,1.20750,8,344
06/22/2018,14:00,1.21170,1.21170,1.21170,1.21170,16,344
06/25/2018,14:00,1.21575,1.21575,1.21575,1.21575,0,344
06/26/2018,14:00,1.21100,1.21140,1.20985,1.20985,72,383
06/27/2018,14:00,1.20000,1.20000,1.20000,1.20000,0,383
06/28/2018,14:00,1.20350,1.20350,1.19955,1.19955,2,382
06/29/2018,14:00,1.21090,1.21090,1.21090,1.21090,16,382
07/02/2018,14:00,1.20490,1.20490,1.20450,1.20450,39,379
07/03/2018,14:00,1.20955,1.20955,1.20750,1.20825,39,386
07/05/2018,14:00,1.21000,1.21300,1.21000,1.21125,8,389
07/06/2018,14:00,1.21800,1.21860,1.21800,1.21800,10,399
07/09/2018,14:00,1.21565,1.22020,1.21565,1.21860,50,406
07/10/2018,14:00,1.21550,1.21805,1.21550,1.21805,51,420
07/11/2018,14:00,1.21035,1.21035,1.21035,1.21035,25,420
07/12/2018,14:00,1.21000,1.21000,1.21000,1.21000,0,420
07/13/2018,14:00,1.21035,1.21035,1.20900,1.21025,12,423
07/16/2018,14:00,1.21025,1.21405,1.21025,1.21405,5,428
07/17/2018,14:00,1.21345,1.21345,1.20890,1.20890,11,429
07/18/2018,14:00,1.20210,1.20720,1.20210,1.20720,36,438
07/19/2018,14:00,1.20105,1.20645,1.19620,1.20645,78,454
07/20/2018,14:00,1.21465,1.21465,1.21465,1.21465,16,462
07/23/2018,14:00,1.21095,1.21095,1.21095,1.21095,6,468
07/24/2018,14:00,1.21035,1.21035,1.21035,1.21035,15,483
07/25/2018,14:00,1.20860,1.21200,1.20860,1.21200,1,483
07/26/2018,14:00,1.20760,1.20760,1.20620,1.20620,23,503
07/27/2018,14:00,1.20270,1.20725,1.20270,1.20725,23,503
07/30/2018,14:00,1.21270,1.21270,1.21270,1.21270,20,508
07/31/2018,14:00,1.21200,1.21200,1.21130,1.21130,25,520
08/01/2018,14:00,1.20515,1.20780,1.20515,1.20780,1,521
08/02/2018,14:00,1.19950,1.19950,1.19950,1.19950,13,536
08/03/2018,14:00,1.19715,1.19845,1.19715,1.19845,13,536
08/06/2018,14:00,1.20110,1.20110,1.19610,1.19610,2,536
08/07/2018,14:00,1.20015,1.20015,1.20015,1.20015,58,580
08/08/2018,14:00,1.20260,1.20260,1.20260,1.20260,9,572
08/09/2018,14:00,1.19420,1.19420,1.19420,1.19420,16,587
08/10/2018,14:00,1.17915,1.17915,1.17915,1.17915,0,587
08/13/2018,14:00,1.17345,1.17855,1.17345,1.17855,22,595
08/14/2018,14:00,1.17450,1.17450,1.17295,1.17295,34,602
08/15/2018,14:00,1.17100,1.17350,1.17100,1.17350,13,590
08/16/2018,14:00,1.17530,1.17530,1.17530,1.17530,18,592
08/17/2018,14:00,1.17555,1.18315,1.17555,1.18315,10,587
08/20/2018,14:00,1.18535,1.18535,1.18535,1.18535,8,592
08/21/2018,14:00,1.18940,1.19615,1.18940,1.19615,27,589
08/22/2018,14:00,1.19300,1.19945,1.19300,1.19755,51,604
08/23/2018,14:00,1.18950,1.19600,1.18950,1.19200,45,635
08/24/2018,14:00,1.19035,1.20150,1.19000,1.20115,62,652
08/27/2018,14:00,1.19905,1.20700,1.19905,1.20660,60,652
08/28/2018,14:00,1.20165,1.21055,1.20165,1.20840,83,699
08/29/2018,14:00,1.20810,1.20890,1.20810,1.20885,34,708
08/30/2018,14:00,1.20465,1.20490,1.20300,1.20490,129,786
08/31/2018,14:00,1.20230,1.20230,1.19740,1.19765,82,853
09/04/2018,14:00,1.19375,1.19600,1.19300,1.19600,12,856
09/05/2018,14:00,1.19235,1.20035,1.19235,1.20035,10,853
09/06/2018,14:00,1.19920,1.20035,1.19920,1.20035,107,867
09/07/2018,14:00,1.19515,1.19670,1.19435,1.19435,107,867
09/10/2018,14:00,1.19515,1.19765,1.19515,1.19765,41,906
09/11/2018,14:00,1.19840,1.19840,1.19655,1.19655,32,917
09/12/2018,14:00,1.20050,1.20135,1.20050,1.20135,48,927
09/13/2018,14:00,1.20745,1.20885,1.20400,1.20725,210,785
09/14/2018,14:00,1.20450,1.20460,1.20100,1.20120,155,792
09/17/2018,14:00,1.20645,1.20645,1.20645,1.20645,0,792
09/18/2018,14:00,1.20700,1.20700,1.20350,1.20445,34,808
09/19/2018,14:00,1.20460,1.20620,1.20460,1.20525,43,806
09/20/2018,14:00,1.21310,1.21560,1.21180,1.21560,29,819
09/21/2018,14:00,1.21215,1.21255,1.21215,1.21255,4,821
09/24/2018,14:00,1.21880,1.21880,1.21345,1.21360,190,853
09/25/2018,14:00,1.21640,1.21640,1.21445,1.21445,31,857
09/26/2018,14:00,1.21370,1.21370,1.21370,1.21370,0,857
09/27/2018,14:00,1.21235,1.21240,1.20300,1.20300,56,806
09/28/2018,14:00,1.19800,1.19800,1.19800,1.19800,56,806
10/01/2018,14:00,1.19420,1.19420,1.19420,1.19420,7,800
10/02/2018,14:00,1.19255,1.19255,1.19090,1.19090,8,796
10/03/2018,14:00,1.18805,1.18805,1.18805,1.18805,20,776
10/04/2018,14:00,1.18415,1.18755,1.18415,1.18755,9,783
10/05/2018,14:00,1.19060,1.19060,1.18750,1.18865,24,780
10/08/2018,14:00,1.18845,1.18845,1.18410,1.18480,24,764
10/09/2018,14:00,1.18160,1.18565,1.18160,1.18565,102,704
10/10/2018,14:00,1.18820,1.18980,1.18820,1.18835,97,710
10/11/2018,14:00,1.19140,1.19520,1.19140,1.19520,40,716
10/12/2018,14:00,1.19225,1.19225,1.19225,1.19225,0,716
10/15/2018,14:00,1.19425,1.19430,1.19425,1.19430,4,720
10/16/2018,14:00,1.19360,1.19360,1.19360,1.19360,0,720
10/17/2018,14:00,1.18620,1.18620,1.18620,1.18620,0,720
10/18/2018,14:00,1.18465,1.18465,1.18175,1.18175,78,725
10/19/2018,14:00,1.18315,1.18645,1.18315,1.18645,27,737
10/22/2018,14:00,1.18290,1.18290,1.18160,1.18160,53,737
10/23/2018,14:00,1.18030,1.18285,1.18030,1.18140,228,759
10/24/2018,14:00,1.17260,1.17480,1.17260,1.17305,72,764
10/25/2018,14:00,1.17400,1.17400,1.17035,1.17035,24,764
10/26/2018,14:00,1.17260,1.17505,1.17260,1.17505,18,769
10/29/2018,14:00,1.17335,1.17335,1.17180,1.17325,66,785
10/30/2018,14:00,1.16800,1.16800,1.16800,1.16800,0,785
10/31/2018,14:00,1.16980,1.16980,1.16500,1.16510,43,781
11/01/2018,14:00,1.17435,1.17435,1.17435,1.17435,0,781
11/02/2018,14:00,1.17680,1.17680,1.17180,1.17180,20,782
11/05/2018,14:00,1.16995,1.17510,1.16995,1.17510,4,782
11/06/2018,14:00,1.17490,1.17510,1.17470,1.17470,2,784
11/07/2018,14:00,1.17840,1.18385,1.17840,1.17910,28,794
11/08/2018,14:00,1.17770,1.17770,1.16880,1.16880,54,786
11/09/2018,14:00,1.16920,1.16920,1.16540,1.16645,54,786
11/12/2018,14:00,1.15780,1.15960,1.15665,1.15665,7,780
