"Date","Time","Open","High","Low","Close","Vol","OI"
03/05/2018,14:00,97.1750,97.2450,97.1500,97.1600,147318,979541
03/06/2018,14:00,97.1550,97.1750,97.1300,97.1400,158252,974676
03/07/2018,14:00,97.1450,97.1950,97.1200,97.1300,190951,964402
03/08/2018,14:00,97.1250,97.1550,97.1100,97.1300,115380,976579
03/09/2018,14:00,97.1300,97.1300,97.0800,97.0950,207057,998596
03/12/2018,14:00,97.0900,97.1050,97.0800,97.0950,158773,1028176
03/13/2018,14:00,97.0950,97.1250,97.0800,97.1000,241640,1048728
03/14/2018,14:00,97.1100,97.1550,97.0850,97.1350,225596,1048271
03/15/2018,14:00,97.1300,97.1600,97.1200,97.1300,206657,1041447
03/16/2018,14:00,97.1250,97.1450,97.0900,97.0900,206657,937122
03/19/2018,14:00,97.0900,97.1300,97.0750,97.1150,219109,900717
03/20/2018,14:00,97.0950,97.1000,97.0500,97.0700,205243,895320
03/21/2018,14:00,97.0550,97.0850,96.9900,97.0400,428776,902364
03/22/2018,14:00,97.0700,97.1500,97.0450,97.1150,361247,909501
03/23/2018,14:00,97.1250,97.1850,97.1150,97.1450,207288,899204
03/26/2018,14:00,97.1550,97.1650,97.1050,97.1200,119297,905993
03/27/2018,14:00,97.1150,97.2200,97.1100,97.2000,241184,913581
03/28/2018,14:00,97.2200,97.2550,97.1900,97.2100,383461,916923
03/29/2018,14:00,97.2000,97.2150,97.1900,97.2050,150742,916057
04/02/2018,14:00,97.1950,97.2450,97.1750,97.2300,121096,908185
04/03/2018,14:00,97.2300,97.2350,97.1750,97.1800,136150,911990
04/04/2018,14:00,97.1850,97.2150,97.1550,97.1750,127517,922895
04/05/2018,14:00,97.1600,97.1600,97.1300,97.1350,222822,954240
04/06/2018,14:00,97.1400,97.2050,97.1350,97.1950,222822,954240
04/09/2018,14:00,97.1950,97.2050,97.1700,97.1900,99329,961718
04/10/2018,14:00,97.1900,97.1950,97.1600,97.1700,132831,969003
04/11/2018,14:00,97.1600,97.2050,97.1600,97.1700,146683,959279
04/12/2018,14:00,97.1750,97.1800,97.1100,97.1150,120653,958000
04/13/2018,14:00,97.1150,97.1400,97.0900,97.0950,149396,950583
04/16/2018,14:00,97.0950,97.1000,97.0600,97.0900,140226,970151
04/17/2018,14:00,97.0850,97.1000,97.0650,97.1000,123258,972413
04/18/2018,14:00,97.0900,97.0950,97.0450,97.0500,141843,973245
04/19/2018,14:00,97.0650,97.0650,97.0200,97.0300,141663,967745
