"Date","Time","Open","High","Low","Close","Vol","OI"
09/27/2018,11:05,155.450,155.450,155.450,155.450,1,1
09/28/2018,11:05,154.500,154.500,154.500,154.500,1,1
10/01/2018,11:05,155.875,155.875,155.875,155.875,0,1
10/02/2018,11:05,156.700,156.700,156.700,156.700,14,12
10/03/2018,11:05,155.900,155.900,155.900,155.900,7,19
10/04/2018,11:05,155.300,155.300,155.300,155.300,0,19
10/05/2018,11:05,156.000,156.000,156.000,156.000,3,21
10/08/2018,11:05,155.450,156.000,155.150,156.000,6,24
10/09/2018,11:05,155.525,155.600,154.700,154.900,11,24
10/10/2018,11:05,154.000,154.000,153.750,154.000,7,26
10/11/2018,11:05,153.450,153.450,153.450,153.450,3,25
10/12/2018,11:05,152.175,152.175,152.175,152.175,4,26
10/15/2018,11:05,151.325,152.975,151.325,152.975,3,26
10/16/2018,11:05,152.500,152.575,152.500,152.575,2,28
10/17/2018,11:05,152.350,152.350,152.350,152.350,6,33
10/18/2018,11:05,152.375,152.375,152.375,152.375,0,33
10/19/2018,11:05,151.800,151.800,151.800,151.800,1,34
10/22/2018,11:05,153.075,153.075,153.075,153.075,2,34
10/23/2018,11:05,151.700,151.975,151.700,151.975,8,39
10/24/2018,11:05,152.775,152.775,152.775,152.775,1,38
10/25/2018,11:05,151.700,151.800,151.700,151.800,3,40
10/26/2018,11:05,152.425,152.425,152.425,152.425,2,39
10/29/2018,11:05,152.775,152.775,152.300,152.500,15,45
10/30/2018,11:05,151.150,151.275,151.150,151.275,2,44
10/31/2018,11:05,152.250,152.250,152.250,152.250,6,44
11/01/2018,11:05,152.050,153.400,152.050,152.750,28,54
11/02/2018,11:05,152.825,152.825,152.450,152.575,10,54
11/05/2018,11:05,150.825,150.825,150.175,150.175,3,56
11/06/2018,11:05,150.350,150.650,150.000,150.000,26,66
11/07/2018,11:05,149.975,149.975,149.025,149.225,12,68
11/08/2018,11:05,149.600,149.600,149.375,149.375,12,74
11/09/2018,11:05,148.400,148.400,147.375,147.375,12,74
11/12/2018,11:05,147.175,147.575,146.400,146.400,14,77
11/13/2018,11:05,146.350,148.875,145.800,148.700,25,83
11/14/2018,11:05,147.975,148.450,147.800,147.950,21,91
11/15/2018,11:05,148.200,148.950,148.200,148.950,5,91
11/16/2018,11:05,148.675,148.775,147.925,148.150,18,90
11/19/2018,11:05,148.400,148.400,148.400,148.400,4,92
11/20/2018,11:05,148.250,148.250,148.250,148.250,0,92
11/21/2018,11:05,149.950,150.175,149.700,149.700,4,91
11/23/2018,11:05,149.900,149.900,149.900,149.900,4,91
11/26/2018,11:05,150.075,150.300,149.625,150.300,9,98
11/27/2018,11:05,150.000,150.000,150.000,150.000,1,99
11/28/2018,11:05,150.075,150.125,149.525,149.525,14,98
11/29/2018,11:05,149.175,149.325,147.725,148.025,18,109
11/30/2018,11:05,148.300,148.300,147.625,147.775,18,109
12/03/2018,11:05,148.350,148.375,146.175,146.175,40,121
12/04/2018,11:05,146.000,147.225,145.750,147.125,40,126
12/06/2018,11:05,146.925,147.750,146.925,147.050,12,127
12/07/2018,11:05,146.075,147.175,146.075,146.775,12,127
12/10/2018,11:05,147.400,147.425,147.400,147.425,6,127
12/11/2018,11:05,147.000,149.100,147.000,148.925,32,135
12/12/2018,11:05,149.000,149.400,149.000,149.275,47,138
12/13/2018,11:05,149.825,150.000,149.500,149.625,46,152
12/14/2018,11:05,149.650,149.650,149.400,149.400,38,172
12/17/2018,11:05,148.425,148.425,148.025,148.200,38,181
12/18/2018,11:05,148.575,149.525,148.225,149.000,64,190
12/19/2018,11:05,148.975,148.975,148.375,148.725,75,206
12/20/2018,11:05,148.825,149.500,148.825,149.500,42,223
12/21/2018,11:05,149.650,149.650,148.875,149.500,51,249
12/24/2018,11:05,149.900,150.300,149.900,150.000,19,255
12/26/2018,11:05,149.425,150.150,149.275,150.150,9,255
12/27/2018,11:05,150.925,151.000,150.500,150.675,49,299
12/28/2018,11:05,150.900,150.900,150.425,150.575,49,299
12/31/2018,11:05,150.700,151.550,150.575,151.300,56,324
01/02/2019,11:05,151.000,151.325,149.950,151.275,113,359
01/03/2019,11:05,151.025,151.025,149.800,150.250,117,394
01/04/2019,11:05,149.975,149.975,148.725,149.000,140,387
01/07/2019,11:05,148.475,150.000,148.300,149.875,107,412
01/08/2019,11:05,149.000,151.375,148.950,150.700,229,473
01/09/2019,11:05,150.875,150.875,150.125,150.200,153,518
01/10/2019,11:05,149.925,150.575,149.925,150.150,159,581
01/11/2019,11:05,150.150,150.775,149.775,149.900,225,639
01/14/2019,11:05,149.675,149.675,148.700,149.225,195,694
01/15/2019,11:05,148.825,150.100,148.825,149.800,129,712
01/16/2019,11:05,149.625,150.150,149.050,150.150,86,709
01/17/2019,11:05,149.650,150.100,148.775,149.425,149,720
01/18/2019,11:05,148.850,149.875,148.725,149.500,72,740
01/22/2019,11:05,148.700,148.750,148.050,148.375,93,753
01/23/2019,11:05,148.450,149.950,148.200,149.750,146,759
01/24/2019,11:05,149.850,150.075,149.550,150.050,98,749
01/25/2019,11:05,149.950,150.400,149.475,149.825,98,749
01/28/2019,11:05,149.300,150.600,149.200,150.350,128,742
01/29/2019,11:05,150.275,150.725,150.275,150.450,56,742
