"Date","Time","Open","High","Low","Close","Vol","OI"
02/28/2018,14:00,0.94630,0.95095,0.94630,0.95095,3,420
03/01/2018,14:00,0.94850,0.95435,0.94755,0.95435,15,432
03/02/2018,14:00,0.95585,0.96225,0.95585,0.96050,15,432
03/05/2018,14:00,0.95460,0.95460,0.95460,0.95460,0,432
03/06/2018,14:00,0.95440,0.95440,0.95440,0.95440,0,432
03/07/2018,14:00,0.95800,0.95920,0.95580,0.95580,4,436
03/08/2018,14:00,0.95490,0.95625,0.95350,0.95410,33,453
03/09/2018,14:00,0.94810,0.95100,0.94810,0.94935,41,464
03/12/2018,14:00,0.95000,0.95295,0.95000,0.95295,11,467
03/13/2018,14:00,0.95295,0.95295,0.94840,0.95075,15,468
03/14/2018,14:00,0.95100,0.95485,0.95080,0.95385,19,482
03/15/2018,14:00,0.95750,0.95750,0.95370,0.95370,23,490
03/16/2018,14:00,0.95655,0.95940,0.95470,0.95500,23,490
03/19/2018,14:00,0.95600,0.95810,0.95320,0.95610,27,491
03/20/2018,14:00,0.95330,0.95460,0.95020,0.95155,25,496
03/21/2018,14:00,0.95345,0.95600,0.94980,0.95430,79,500
03/22/2018,14:00,0.95495,0.96175,0.95495,0.95870,179,576
03/23/2018,14:00,0.96410,0.96670,0.96200,0.96595,136,598
03/26/2018,14:00,0.96455,0.96455,0.96055,0.96220,24,600
03/27/2018,14:00,0.95955,0.96050,0.95590,0.95915,136,637
03/28/2018,14:00,0.95880,0.95880,0.94600,0.94680,124,661
03/29/2018,14:00,0.94900,0.95100,0.94840,0.95055,168,771
04/02/2018,14:00,0.95120,0.95650,0.95080,0.95555,37,785
04/03/2018,14:00,0.95655,0.95655,0.94835,0.94900,32,790
04/04/2018,14:00,0.95200,0.95400,0.94770,0.94770,19,794
04/05/2018,14:00,0.94700,0.94700,0.94125,0.94125,90,791
04/06/2018,14:00,0.94355,0.94635,0.94135,0.94635,90,791
04/09/2018,14:00,0.94500,0.94795,0.94410,0.94680,7,795
04/10/2018,14:00,0.94310,0.94475,0.94200,0.94335,41,809
04/11/2018,14:00,0.94500,0.94725,0.94450,0.94535,98,804
04/12/2018,14:00,0.94535,0.94575,0.94100,0.94285,172,816
04/13/2018,14:00,0.94100,0.94205,0.93845,0.94095,65,814
04/16/2018,14:00,0.94010,0.94390,0.94010,0.94390,56,843
04/17/2018,14:00,0.94450,0.94500,0.94265,0.94435,71,855
