"Date","Time","Open","High","Low","Close","Vol","OI"
03/05/2018,10:30,143.05,143.05,143.05,143.05,5,377
03/06/2018,10:30,143.05,143.15,143.05,143.15,2,377
03/07/2018,10:30,142.75,142.75,142.75,142.75,0,377
03/08/2018,10:30,142.95,143.05,142.45,142.55,105,414
03/09/2018,10:30,142.50,142.85,142.15,142.15,14,419
03/12/2018,10:30,141.80,141.80,141.80,141.80,0,419
03/13/2018,10:30,143.80,143.80,143.80,143.80,0,419
03/14/2018,10:30,143.40,143.65,143.40,143.65,10,425
03/15/2018,10:30,141.95,141.95,141.95,141.95,0,425
03/16/2018,10:30,141.05,141.05,140.80,140.90,5,425
03/19/2018,10:30,141.30,142.00,141.30,141.80,11,419
03/20/2018,10:30,141.75,141.75,141.65,141.65,6,418
03/21/2018,10:30,142.70,142.95,141.60,141.60,15,419
03/22/2018,10:30,141.05,141.65,141.05,141.65,12,418
03/23/2018,10:30,140.25,140.40,139.95,140.40,19,418
03/26/2018,10:30,141.00,141.25,141.00,141.25,9,421
03/27/2018,10:30,142.05,142.05,141.75,141.75,14,421
03/28/2018,10:30,141.45,141.45,140.65,140.65,17,421
03/29/2018,10:30,141.00,141.00,141.00,141.00,0,421
04/02/2018,10:30,139.45,139.45,139.45,139.45,0,421
04/03/2018,10:30,139.85,139.90,139.75,139.90,6,424
04/04/2018,10:30,140.20,140.70,140.00,140.65,24,442
04/05/2018,10:30,141.20,141.20,141.20,141.20,0,442
04/06/2018,10:30,140.50,140.60,140.35,140.60,8,436
04/09/2018,10:30,141.85,142.00,141.05,141.50,36,471
04/10/2018,10:30,140.90,141.30,140.05,140.60,28,470
04/11/2018,10:30,140.90,141.05,140.50,141.05,24,468
04/12/2018,10:30,140.10,140.50,140.00,140.50,15,474
04/13/2018,10:30,140.95,140.95,140.05,140.35,16,481
04/16/2018,10:30,138.20,138.20,138.20,138.20,10,479
04/17/2018,10:30,138.25,138.35,138.00,138.00,36,513
04/18/2018,10:30,139.20,139.20,138.20,138.25,48,539
04/19/2018,10:30,138.20,138.20,137.65,137.65,2,541
04/20/2018,10:30,138.95,138.95,138.95,138.95,0,541
04/23/2018,10:30,139.85,140.20,139.70,140.00,12,541
04/24/2018,10:30,140.80,141.15,140.40,141.15,44,549
04/25/2018,10:30,139.45,139.70,138.50,139.70,39,545
04/26/2018,10:30,140.20,140.50,140.00,140.25,24,564
04/27/2018,10:30,140.75,142.90,140.50,142.90,198,719
04/30/2018,10:30,142.25,143.35,142.25,143.15,42,746
05/01/2018,10:30,145.55,145.55,145.55,145.55,6,752
05/02/2018,10:30,145.70,145.70,144.45,144.45,105,853
05/03/2018,10:30,145.30,145.75,144.55,144.85,111,926
05/04/2018,10:30,144.95,144.95,143.30,143.45,75,989
05/07/2018,10:30,141.90,141.90,141.15,141.80,9,991
05/08/2018,10:30,140.65,140.65,140.65,140.65,10,995
05/09/2018,10:30,140.45,140.45,140.00,140.00,6,996
05/10/2018,10:30,140.20,140.60,140.00,140.60,20,994
