"Date","Time","Open","High","Low","Close","Vol","OI"
12/20/2018,14:00,6453.75,6453.75,6453.75,6453.75,0,0
12/21/2018,14:00,6177.50,6177.50,6177.50,6177.50,0,0
12/24/2018,14:00,6006.00,6006.00,6006.00,6006.00,0,0
12/26/2018,14:00,6411.00,6411.00,6411.00,6411.00,0,0
12/27/2018,14:00,6411.00,6411.00,6411.00,6411.00,0,0
12/28/2018,14:00,6387.50,6387.50,6387.50,6387.50,0,0
12/31/2018,14:00,6418.25,6418.25,6418.25,6418.25,0,0
01/02/2019,14:00,6462.00,6462.00,6462.00,6462.00,0,0
01/03/2019,14:00,6248.25,6248.25,6248.25,6248.25,0,0
01/04/2019,14:00,6523.00,6523.00,6523.00,6523.00,0,0
01/07/2019,14:00,6585.00,6585.00,6585.00,6585.00,0,0
01/08/2019,14:00,6647.25,6647.25,6647.25,6647.25,0,0
01/09/2019,14:00,6694.50,6694.50,6694.50,6694.50,0,0
01/10/2019,14:00,6718.50,6718.50,6718.50,6718.50,0,0
01/11/2019,14:00,6706.00,6706.00,6706.00,6706.00,0,0
01/14/2019,14:00,6637.50,6637.50,6637.50,6637.50,0,0
01/15/2019,14:00,6766.50,6766.50,6766.50,6766.50,0,0
01/16/2019,14:00,6759.00,6759.00,6759.00,6759.00,0,0
01/17/2019,14:00,6812.50,6812.50,6812.50,6812.50,0,0
01/18/2019,14:00,6885.25,6885.25,6885.25,6885.25,0,0
01/22/2019,14:00,6739.00,6739.00,6739.00,6739.00,0,0
01/23/2019,14:00,6759.25,6759.25,6759.25,6759.25,0,0
01/24/2019,14:00,6769.75,6769.75,6769.75,6769.75,0,0
01/25/2019,14:00,6886.00,6886.00,6886.00,6886.00,0,0
01/28/2019,14:00,6794.25,6794.25,6794.25,6794.25,0,0
01/29/2019,14:00,6732.50,6732.50,6732.50,6732.50,0,0
01/30/2019,14:00,6933.25,6933.25,6933.25,6933.25,0,0
01/31/2019,14:00,7014.50,7014.50,7014.50,7014.50,0,0
02/01/2019,14:00,6976.50,6976.50,6976.50,6976.50,0,0
02/04/2019,14:00,7036.75,7036.75,7036.75,7036.75,0,0
02/05/2019,14:00,7110.75,7110.75,7110.75,7110.75,0,0
02/06/2019,14:00,7093.75,7093.75,7093.75,7093.75,0,0
02/07/2019,14:00,7001.50,7001.50,7001.50,7001.50,0,0
02/08/2019,14:00,7011.00,7011.00,7011.00,7011.00,0,0
02/11/2019,14:00,7009.50,7009.50,7009.50,7009.50,0,0
02/12/2019,14:00,7116.25,7116.25,7116.25,7116.25,0,0
02/13/2019,14:00,7112.75,7112.75,7112.75,7112.75,0,0
02/14/2019,14:00,7118.00,7118.00,7118.00,7118.00,0,0
02/15/2019,14:00,7161.25,7161.25,7161.25,7161.25,0,0
02/19/2019,14:00,7164.25,7164.25,7164.25,7164.25,0,0
02/20/2019,14:00,7163.50,7163.50,7163.50,7163.50,0,0
02/21/2019,14:00,7127.50,7127.50,7127.50,7127.50,0,0
02/22/2019,14:00,7182.50,7182.50,7182.50,7182.50,0,0
02/25/2019,14:00,7219.00,7219.00,7219.00,7219.00,0,0
02/26/2019,14:00,7213.50,7213.50,7213.50,7213.50,0,0
02/27/2019,14:00,7216.00,7216.00,7216.00,7216.00,0,0
02/28/2019,14:00,7195.25,7195.25,7195.25,7195.25,0,0
03/01/2019,14:00,7250.75,7250.75,7250.75,7250.75,0,0
03/04/2019,14:00,7239.75,7239.75,7239.75,7239.75,0,0
03/05/2019,14:00,7259.50,7259.50,7259.50,7259.50,0,0
