"Date","Time","Open","High","Low","Close","Vol","OI"
06/14/2018,14:00,7411.75,7411.75,7411.75,7411.75,0,0
06/15/2018,14:00,7383.75,7383.75,7383.75,7383.75,0,0
06/18/2018,14:00,7379.25,7379.25,7379.25,7379.25,0,0
06/19/2018,14:00,7353.00,7353.00,7353.00,7353.00,0,0
06/20/2018,14:00,7414.25,7414.25,7414.25,7414.25,0,0
06/21/2018,14:00,7348.25,7348.25,7348.25,7348.25,0,0
06/22/2018,14:00,7331.25,7331.25,7331.25,7331.25,0,0
06/25/2018,14:00,7183.25,7183.25,7183.25,7183.25,0,0
06/26/2018,14:00,7211.75,7211.75,7211.75,7211.75,0,0
06/27/2018,14:00,7105.25,7105.25,7105.25,7105.25,0,0
06/28/2018,14:00,7169.00,7169.00,7169.00,7169.00,0,0
06/29/2018,14:00,7175.00,7175.00,7175.00,7175.00,0,0
07/02/2018,14:00,7224.75,7224.75,7224.75,7224.75,0,0
07/03/2018,14:00,7132.50,7132.50,7132.50,7132.50,0,0
07/05/2018,14:00,7233.25,7233.25,7233.25,7233.25,0,0
07/06/2018,14:00,7343.25,7343.25,7343.25,7343.25,0,0
07/09/2018,14:00,7409.00,7409.00,7409.00,7409.00,0,0
07/10/2018,14:00,7412.75,7412.75,7412.75,7412.75,0,0
07/11/2018,14:00,7363.25,7363.25,7363.25,7363.25,0,0
07/12/2018,14:00,7495.25,7495.25,7495.25,7495.25,0,0
07/13/2018,14:00,7506.25,7506.25,7506.25,7506.25,0,0
07/16/2018,14:00,7509.25,7509.25,7437.25,7437.25,2,2
07/17/2018,14:00,7535.00,7535.00,7535.00,7535.00,0,2
07/18/2018,14:00,7517.25,7517.25,7517.25,7517.25,0,2
07/19/2018,14:00,7480.50,7480.50,7480.50,7480.50,0,2
07/20/2018,14:00,7474.00,7474.00,7474.00,7474.00,0,2
07/23/2018,14:00,7545.50,7545.50,7545.50,7545.50,0,2
07/24/2018,14:00,7532.75,7532.75,7532.75,7532.75,0,2
07/25/2018,14:00,7583.75,7583.75,7583.75,7583.75,0,2
07/26/2018,14:00,7548.75,7548.75,7548.75,7548.75,0,2
07/27/2018,14:00,7416.50,7416.50,7416.50,7416.50,0,2
07/30/2018,14:00,7311.25,7311.25,7311.25,7311.25,0,2
07/31/2018,14:00,7355.75,7355.75,7355.75,7355.75,0,2
08/01/2018,14:00,7390.50,7390.50,7390.50,7390.50,0,2
08/02/2018,14:00,7501.25,7501.25,7501.25,7501.25,0,2
08/03/2018,14:00,7518.00,7518.00,7518.00,7518.00,0,2
08/06/2018,14:00,7559.00,7559.00,7559.00,7559.00,0,2
08/07/2018,14:00,7593.50,7593.50,7593.50,7593.50,0,2
08/08/2018,14:00,7587.75,7587.75,7587.75,7587.75,0,2
08/09/2018,14:00,7592.25,7592.25,7592.25,7592.25,0,2
08/10/2018,14:00,7540.25,7540.25,7540.25,7540.25,0,2
08/13/2018,14:00,7530.25,7530.25,7530.25,7530.25,0,2
08/14/2018,14:00,7570.25,7570.25,7570.25,7570.25,0,2
08/15/2018,14:00,7484.25,7484.25,7484.25,7484.25,0,2
08/16/2018,14:00,7496.75,7496.75,7496.75,7496.75,0,2
08/17/2018,14:00,7496.50,7496.50,7496.50,7496.50,0,2
08/20/2018,14:00,7509.25,7509.50,7496.00,7496.00,2,2
08/21/2018,14:00,7506.50,7506.50,7506.50,7506.50,0,2
08/22/2018,14:00,7541.50,7541.50,7541.50,7541.50,0,2
08/23/2018,14:00,7533.00,7533.00,7533.00,7533.00,0,2
08/24/2018,14:00,7615.25,7615.25,7615.25,7615.25,0,2
08/27/2018,14:00,7687.50,7687.50,7687.50,7687.50,0,2
08/28/2018,14:00,7700.00,7700.00,7700.00,7700.00,0,2
08/29/2018,14:00,7793.00,7793.00,7793.00,7793.00,0,2
08/30/2018,14:00,7774.00,7774.00,7774.00,7774.00,0,2
