"Date","Time","Open","High","Low","Close","Vol","OI"
02/28/2018,11:00,146.95,146.95,146.95,146.95,0,0
03/01/2018,11:00,144.35,144.35,144.35,144.35,0,0
03/02/2018,11:00,143.15,143.15,143.15,143.15,0,0
03/05/2018,11:00,143.65,143.65,143.65,143.65,0,0
03/06/2018,11:00,145.40,145.40,145.40,145.40,0,0
03/07/2018,11:00,144.75,144.75,144.75,144.75,0,0
03/08/2018,11:00,142.20,142.20,142.20,142.20,0,0
03/09/2018,11:00,142.85,142.85,142.85,142.85,0,0
03/12/2018,11:00,142.85,142.85,142.85,142.85,0,0
03/13/2018,11:00,142.85,142.85,142.85,142.85,0,0
03/14/2018,11:00,143.00,143.00,143.00,143.00,0,0
03/15/2018,11:00,142.50,142.50,142.50,142.50,0,0
03/16/2018,11:00,141.20,141.20,141.20,141.20,0,0
03/19/2018,11:00,140.70,140.70,140.70,140.70,0,0
03/20/2018,11:00,140.45,140.45,140.45,140.45,0,0
03/21/2018,11:00,140.50,140.50,140.50,140.50,0,0
03/22/2018,11:00,140.45,140.45,140.45,140.45,0,0
03/23/2018,11:00,140.05,140.05,140.05,140.05,0,0
03/26/2018,11:00,142.50,142.50,142.50,142.50,0,0
03/27/2018,11:00,141.40,141.40,141.40,141.40,0,0
03/28/2018,11:00,144.15,144.15,144.15,144.15,0,0
03/29/2018,11:00,144.20,144.20,144.20,144.20,0,0
04/02/2018,11:00,143.35,143.35,143.35,143.35,0,0
04/03/2018,11:00,142.95,142.95,142.95,142.95,0,0
04/04/2018,11:00,143.20,143.20,143.20,143.20,0,0
04/05/2018,11:00,142.50,142.50,142.50,142.50,0,0
04/06/2018,11:00,142.20,142.20,142.20,142.20,0,0
04/09/2018,11:00,142.95,142.95,142.95,142.95,0,0
04/10/2018,11:00,142.65,142.65,142.65,142.65,0,0
04/11/2018,11:00,143.50,143.50,143.50,143.50,0,0
04/12/2018,11:00,144.15,144.15,144.15,144.15,0,0
04/13/2018,11:00,144.80,144.80,144.80,144.80,0,0
04/16/2018,11:00,145.90,145.90,145.90,145.90,0,0
04/17/2018,11:00,147.70,147.70,147.70,147.70,0,0
04/18/2018,11:00,147.70,147.70,147.70,147.70,0,0
04/19/2018,11:00,145.75,145.75,145.75,145.75,0,0
04/20/2018,11:00,146.00,146.45,146.00,146.45,8,8
04/23/2018,11:00,148.80,148.80,148.80,148.80,0,8
04/24/2018,11:00,149.70,149.70,149.70,149.70,0,8
04/25/2018,11:00,150.75,150.75,150.75,150.75,0,8
04/26/2018,11:00,152.60,152.60,152.60,152.60,0,8
04/27/2018,11:00,150.95,150.95,150.95,150.95,0,8
04/30/2018,11:00,152.75,152.75,152.75,152.75,0,8
05/01/2018,11:00,156.10,156.10,156.10,156.10,0,8
05/02/2018,11:00,159.10,159.10,159.10,159.10,0,8
05/03/2018,11:00,158.70,158.70,158.70,158.70,0,8
05/04/2018,11:00,161.30,161.30,161.30,161.30,0,8
05/07/2018,11:00,164.40,164.40,164.40,164.40,0,8
05/08/2018,11:00,161.55,161.55,161.55,161.55,0,8
05/09/2018,11:00,166.10,166.10,166.10,166.10,0,8
05/10/2018,11:00,168.00,168.00,168.00,168.00,0,8
05/11/2018,11:00,169.80,169.80,169.80,169.80,0,8
05/14/2018,11:00,171.55,171.55,171.55,171.55,0,8
05/15/2018,11:00,169.70,169.70,169.70,169.70,0,8
05/16/2018,11:00,168.20,168.20,168.20,168.20,0,8
05/17/2018,11:00,168.20,168.20,168.20,168.20,0,8
05/18/2018,11:00,164.50,164.50,164.50,164.50,0,8
05/21/2018,11:00,166.25,166.25,166.25,166.25,0,8
05/22/2018,11:00,167.00,167.00,167.00,167.00,0,8
05/23/2018,11:00,167.40,167.40,167.40,167.40,0,8
05/24/2018,11:00,166.90,166.90,166.90,166.90,0,8
