"Date","Time","Open","High","Low","Close","Vol","OI"
02/28/2018,11:00,147.05,147.05,147.05,147.05,0,0
03/01/2018,11:00,144.45,144.45,144.45,144.45,0,0
03/02/2018,11:00,143.25,143.25,143.25,143.25,0,0
03/05/2018,11:00,143.75,143.75,143.75,143.75,0,0
03/06/2018,11:00,145.50,145.50,145.50,145.50,0,0
03/07/2018,11:00,144.85,144.85,144.85,144.85,0,0
03/08/2018,11:00,142.30,142.30,142.30,142.30,0,0
03/09/2018,11:00,142.95,142.95,142.95,142.95,0,0
03/12/2018,11:00,142.95,142.95,142.95,142.95,0,0
03/13/2018,11:00,142.95,142.95,142.95,142.95,0,0
03/14/2018,11:00,143.10,143.10,143.10,143.10,0,0
03/15/2018,11:00,142.60,142.60,142.60,142.60,0,0
03/16/2018,11:00,141.30,141.30,141.30,141.30,0,0
03/19/2018,11:00,140.80,140.80,140.80,140.80,0,0
03/20/2018,11:00,140.55,140.55,140.55,140.55,0,0
03/21/2018,11:00,140.60,140.60,140.60,140.60,0,0
03/22/2018,11:00,140.55,140.55,140.55,140.55,0,0
03/23/2018,11:00,140.15,140.15,140.15,140.15,0,0
03/26/2018,11:00,142.60,142.60,142.60,142.60,0,0
03/27/2018,11:00,141.50,141.50,141.50,141.50,0,0
03/28/2018,11:00,144.25,144.25,144.25,144.25,0,0
03/29/2018,11:00,144.30,144.30,144.30,144.30,0,0
04/02/2018,11:00,143.45,143.45,143.45,143.45,0,0
04/03/2018,11:00,143.05,143.05,143.05,143.05,0,0
04/04/2018,11:00,143.30,143.30,143.30,143.30,0,0
04/05/2018,11:00,142.60,142.60,142.60,142.60,0,0
04/06/2018,11:00,142.30,142.30,142.30,142.30,0,0
04/09/2018,11:00,143.05,143.05,143.05,143.05,0,0
04/10/2018,11:00,142.75,142.75,142.75,142.75,0,0
04/11/2018,11:00,143.60,143.60,143.60,143.60,0,0
04/12/2018,11:00,144.25,144.25,144.25,144.25,0,0
04/13/2018,11:00,145.20,145.20,145.20,145.20,0,0
04/16/2018,11:00,146.30,146.30,146.30,146.30,0,0
04/17/2018,11:00,148.10,148.10,148.10,148.10,0,0
04/18/2018,11:00,148.10,148.10,148.10,148.10,0,0
04/19/2018,11:00,146.20,146.20,146.20,146.20,0,0
04/20/2018,11:00,146.90,146.90,146.90,146.90,0,0
04/23/2018,11:00,149.25,149.25,149.25,149.25,0,0
04/24/2018,11:00,150.15,150.15,150.15,150.15,0,0
04/25/2018,11:00,151.20,151.20,151.20,151.20,0,0
04/26/2018,11:00,153.05,153.05,153.05,153.05,0,0
04/27/2018,11:00,151.40,151.40,151.40,151.40,0,0
04/30/2018,11:00,153.20,153.20,153.20,153.20,0,0
05/01/2018,11:00,156.55,156.55,156.55,156.55,0,0
05/02/2018,11:00,159.55,159.55,159.55,159.55,0,0
05/03/2018,11:00,159.15,159.15,159.15,159.15,0,0
05/04/2018,11:00,161.75,161.75,161.75,161.75,0,0
05/07/2018,11:00,164.70,164.70,164.70,164.70,0,0
05/08/2018,11:00,161.85,161.85,161.85,161.85,0,0
05/09/2018,11:00,166.40,166.40,166.40,166.40,0,0
05/10/2018,11:00,168.30,168.30,168.30,168.30,0,0
05/11/2018,11:00,169.95,169.95,169.95,169.95,0,0
05/14/2018,11:00,171.70,171.70,171.70,171.70,0,0
05/15/2018,11:00,169.85,169.85,169.85,169.85,0,0
05/16/2018,11:00,168.35,168.35,168.35,168.35,0,0
05/17/2018,11:00,168.35,168.35,168.35,168.35,0,0
05/18/2018,11:00,164.65,164.65,164.65,164.65,0,0
05/21/2018,11:00,166.40,166.40,166.40,166.40,0,0
05/22/2018,11:00,167.15,167.15,167.15,167.15,0,0
05/23/2018,11:00,167.55,167.55,167.55,167.55,0,0
05/24/2018,11:00,167.05,167.05,167.05,167.05,0,0
05/25/2018,11:00,166.75,166.75,166.75,166.75,0,0
05/29/2018,11:00,166.40,166.40,166.40,166.40,0,0
05/30/2018,11:00,161.45,161.45,161.45,161.45,0,0
05/31/2018,11:00,161.85,161.85,161.85,161.85,0,0
06/01/2018,11:00,165.10,165.10,165.10,165.10,0,0
06/04/2018,11:00,165.35,165.35,165.35,165.35,0,0
06/05/2018,11:00,165.40,165.40,165.40,165.40,0,0
06/06/2018,11:00,166.20,166.20,166.20,166.20,0,0
06/07/2018,11:00,165.40,165.40,165.40,165.40,0,0
06/08/2018,11:00,160.10,160.10,160.10,160.10,0,0
06/11/2018,11:00,158.60,158.60,158.60,158.60,0,0
06/12/2018,11:00,156.75,156.75,156.75,156.75,0,0
06/13/2018,11:00,156.75,156.75,156.75,156.75,0,0
06/14/2018,11:00,159.35,159.35,159.35,159.35,0,0
06/15/2018,11:00,162.25,162.25,162.25,162.25,0,0
06/18/2018,11:00,161.50,161.50,161.50,161.50,0,0
06/19/2018,11:00,161.05,161.05,161.05,161.05,0,0
06/20/2018,11:00,161.45,161.45,161.45,161.45,0,0
06/21/2018,11:00,160.45,160.45,160.45,160.45,0,0
06/22/2018,11:00,165.70,165.70,165.70,165.70,0,0
06/25/2018,11:00,162.55,162.55,162.55,162.55,0,0
06/26/2018,11:00,161.90,161.90,161.90,161.90,0,0
06/27/2018,11:00,162.65,162.65,162.65,162.65,0,0
06/28/2018,11:00,162.60,162.60,162.60,162.60,0,0
06/29/2018,11:00,162.20,162.20,162.20,162.20,0,0
07/02/2018,11:00,167.35,167.35,167.35,167.35,0,0
07/03/2018,11:00,168.10,168.10,168.10,168.10,0,0
07/05/2018,11:00,169.60,169.60,169.60,169.60,0,0
07/06/2018,11:00,169.05,169.05,169.05,169.05,0,0
07/09/2018,11:00,169.10,169.10,169.10,169.10,0,0
07/10/2018,11:00,167.45,167.45,167.45,167.45,0,0
07/11/2018,11:00,167.55,167.55,167.55,167.55,0,0
07/12/2018,11:00,167.90,167.90,167.90,167.90,0,0
07/13/2018,11:00,169.10,169.10,169.10,169.10,0,0
07/16/2018,11:00,169.80,169.80,169.80,169.80,0,0
07/17/2018,11:00,169.85,169.85,169.85,169.85,0,0
07/18/2018,11:00,168.30,168.30,168.30,168.30,0,0
07/19/2018,11:00,169.15,169.15,169.15,169.15,0,0
07/20/2018,11:00,169.80,169.80,169.80,169.80,0,0
07/23/2018,11:00,167.55,167.55,167.55,167.55,0,0
07/24/2018,11:00,163.15,163.15,163.15,163.15,0,0
07/25/2018,11:00,164.80,164.80,164.80,164.80,0,0
07/26/2018,11:00,164.10,164.10,164.10,164.10,0,0
07/27/2018,11:00,164.10,164.10,164.10,164.10,0,0
07/30/2018,11:00,168.85,168.85,168.85,168.85,0,0
07/31/2018,11:00,167.55,167.55,167.55,167.55,0,0
08/01/2018,11:00,168.85,168.85,168.85,168.85,0,0
08/02/2018,11:00,168.85,168.85,168.85,168.85,0,0
08/03/2018,11:00,169.95,169.95,169.95,169.95,0,0
