"Date","Time","Open","High","Low","Close","Vol","OI"
10/26/2018,15:00,14.744,14.744,14.744,14.744,0,0
10/29/2018,15:00,14.484,14.484,14.484,14.484,0,0
10/31/2018,15:00,14.324,14.324,14.324,14.324,0,0
11/01/2018,15:00,14.821,14.821,14.821,14.821,0,0
11/02/2018,15:00,14.798,14.798,14.798,14.798,0,0
11/05/2018,15:00,14.647,14.647,14.647,14.647,0,0
11/06/2018,15:00,14.543,14.543,14.543,14.543,0,0
11/07/2018,15:00,14.612,14.612,14.612,14.612,0,0
11/08/2018,15:00,14.467,14.467,14.467,14.467,0,0
11/09/2018,15:00,14.184,14.184,14.184,14.184,0,0
11/12/2018,15:00,14.054,14.054,14.054,14.054,0,0
11/13/2018,15:00,14.023,14.023,14.023,14.023,0,0
11/14/2018,15:00,14.124,14.124,14.124,14.124,0,0
11/16/2018,15:00,14.422,14.422,14.422,14.422,0,0
11/19/2018,15:00,14.444,14.444,14.444,14.444,0,0
11/20/2018,15:00,14.311,14.311,14.311,14.311,0,0
11/21/2018,15:00,14.542,14.542,14.542,14.542,0,0
11/22/2018,15:00,14.542,14.542,14.542,14.542,0,0
11/23/2018,15:00,14.287,14.287,14.287,14.287,0,0
11/26/2018,15:00,14.257,14.257,14.257,14.257,0,0
11/27/2018,15:00,14.136,14.136,14.136,14.136,0,0
11/28/2018,15:00,14.372,14.372,14.372,14.372,0,0
11/29/2018,15:00,14.356,14.356,14.356,14.356,0,0
11/30/2018,15:00,14.180,14.180,14.180,14.180,0,0
12/03/2018,15:00,14.453,14.453,14.453,14.453,0,0
12/04/2018,15:00,14.595,14.595,14.595,14.595,0,0
12/05/2018,15:00,14.537,14.537,14.537,14.537,0,0
12/07/2018,15:00,14.647,14.647,14.647,14.647,0,0
12/10/2018,15:00,14.555,14.555,14.555,14.555,0,0
12/11/2018,15:00,14.578,14.578,14.578,14.578,0,0
12/12/2018,15:00,14.804,14.804,14.804,14.804,0,0
12/13/2018,15:00,14.805,14.805,14.805,14.805,0,0
12/14/2018,15:00,14.590,14.590,14.590,14.590,0,0
12/17/2018,15:00,14.714,14.714,14.714,14.714,0,0
12/18/2018,15:00,14.656,14.656,14.656,14.656,0,0
12/19/2018,15:00,14.771,14.771,14.771,14.771,0,0
12/21/2018,15:00,14.646,14.646,14.646,14.646,0,0
12/24/2018,15:00,14.771,14.771,14.771,14.771,0,0
12/26/2018,15:00,15.079,15.079,15.079,15.079,0,0
12/27/2018,15:00,15.260,15.260,15.260,15.260,0,0
12/28/2018,15:00,15.388,15.388,15.388,15.388,0,0
12/31/2018,15:00,15.490,15.490,15.490,15.490,0,0
01/02/2019,15:00,15.602,15.602,15.602,15.602,0,0
01/03/2019,15:00,15.752,15.752,15.752,15.752,0,0
01/04/2019,15:00,15.738,15.738,15.738,15.738,0,0
01/07/2019,15:00,15.704,15.704,15.704,15.704,0,0
01/08/2019,15:00,15.664,15.664,15.664,15.664,0,0
01/09/2019,15:00,15.685,15.685,15.685,15.685,0,0
01/10/2019,15:00,15.593,15.593,15.593,15.593,0,0
01/11/2019,15:00,15.607,15.607,15.607,15.607,0,0
01/14/2019,15:00,15.640,15.640,15.640,15.640,0,0
01/15/2019,15:00,15.718,15.718,15.558,15.573,2,0
01/16/2019,15:00,15.592,15.592,15.592,15.592,0,0
01/17/2019,15:00,15.489,15.489,15.489,15.489,0,0
01/18/2019,15:00,15.349,15.349,15.349,15.349,0,0
01/21/2019,15:00,15.349,15.349,15.349,15.349,0,0
01/22/2019,15:00,15.273,15.273,15.273,15.273,0,0
01/23/2019,15:00,15.331,15.331,15.331,15.331,0,0
01/24/2019,15:00,15.249,15.249,15.249,15.249,0,0
01/25/2019,15:00,15.647,15.647,15.647,15.647,0,0
01/28/2019,15:00,15.715,15.715,15.715,15.715,0,0
01/29/2019,15:00,15.792,15.792,15.792,15.792,0,0
01/30/2019,15:00,15.880,15.880,15.880,15.880,0,0
01/31/2019,15:00,15.900,16.022,15.900,16.022,8,4
02/01/2019,15:00,15.880,15.880,15.880,15.880,0,4
02/04/2019,15:00,15.837,15.837,15.837,15.837,0,4
02/05/2019,15:00,15.790,15.790,15.790,15.790,0,4
02/06/2019,15:00,15.656,15.656,15.656,15.656,0,4
02/07/2019,15:00,15.675,15.675,15.675,15.675,0,4
02/08/2019,15:00,15.773,15.773,15.773,15.773,0,4
02/11/2019,15:00,15.657,15.657,15.657,15.657,0,4
02/12/2019,15:00,15.660,15.660,15.660,15.660,0,4
02/13/2019,15:00,15.624,15.624,15.624,15.624,0,4
02/14/2019,15:00,15.500,15.500,15.500,15.500,0,4
02/15/2019,15:00,15.723,15.723,15.723,15.723,0,4
02/18/2019,15:00,15.723,15.723,15.723,15.723,0,4
02/19/2019,15:00,15.947,15.947,15.947,15.947,0,4
02/20/2019,15:00,16.157,16.157,16.157,16.157,0,4
02/21/2019,15:00,15.791,15.791,15.791,15.791,0,4
02/22/2019,15:00,15.908,15.908,15.908,15.908,0,4
02/25/2019,15:00,15.825,15.825,15.825,15.825,0,4
