"Date","Time","Open","High","Low","Close","Vol","OI"
02/28/2018,14:00,0.7795,0.7820,0.7763,0.7781,680,3427
03/01/2018,14:00,0.7763,0.7769,0.7716,0.7762,1277,4065
03/02/2018,14:00,0.7766,0.7773,0.7741,0.7757,1277,4065
03/05/2018,14:00,0.7766,0.7770,0.7730,0.7763,612,4202
03/06/2018,14:00,0.7764,0.7844,0.7760,0.7820,1079,4274
03/07/2018,14:00,0.7811,0.7832,0.7775,0.7818,2666,4797
03/08/2018,14:00,0.7819,0.7842,0.7776,0.7791,1775,5280
03/09/2018,14:00,0.7789,0.7857,0.7780,0.7851,5241,7977
03/12/2018,14:00,0.7851,0.7883,0.7851,0.7880,16316,17028
03/13/2018,14:00,0.7875,0.7902,0.7850,0.7871,26315,26866
03/14/2018,14:00,0.7862,0.7921,0.7856,0.7887,62207,62118
03/15/2018,14:00,0.7881,0.7889,0.7797,0.7801,128214,91087
03/16/2018,14:00,0.7801,0.7807,0.7712,0.7716,128214,91520
03/19/2018,14:00,0.7716,0.7729,0.7690,0.7725,112652,92567
03/20/2018,14:00,0.7720,0.7723,0.7680,0.7685,96954,94733
03/21/2018,14:00,0.7687,0.7782,0.7674,0.7757,142643,98191
03/22/2018,14:00,0.7764,0.7788,0.7689,0.7712,139015,98243
03/23/2018,14:00,0.7696,0.7746,0.7689,0.7717,125183,96408
03/26/2018,14:00,0.7706,0.7753,0.7704,0.7737,84033,98419
03/27/2018,14:00,0.7750,0.7760,0.7677,0.7689,86810,101836
03/28/2018,14:00,0.7681,0.7704,0.7655,0.7663,107775,107584
03/29/2018,14:00,0.7660,0.7691,0.7644,0.7676,82322,104648
04/02/2018,14:00,0.7691,0.7696,0.7650,0.7653,44701,107196
04/03/2018,14:00,0.7660,0.7707,0.7653,0.7681,85974,105335
04/04/2018,14:00,0.7686,0.7723,0.7663,0.7707,96067,105311
04/05/2018,14:00,0.7716,0.7727,0.7675,0.7683,97393,103033
04/06/2018,14:00,0.7686,0.7700,0.7658,0.7670,97393,101469
04/09/2018,14:00,0.7670,0.7712,0.7653,0.7705,85221,102326
04/10/2018,14:00,0.7702,0.7769,0.7695,0.7768,107765,101482
04/11/2018,14:00,0.7764,0.7774,0.7741,0.7759,85391,100120
04/12/2018,14:00,0.7759,0.7773,0.7739,0.7757,67205,100178
