"Date","Time","Open","High","Low","Close","Vol","OI"
02/27/2018,14:00,0.7832,0.7832,0.7832,0.7832,0,0
02/28/2018,14:00,0.7813,0.7813,0.7813,0.7813,0,0
03/01/2018,14:00,0.7791,0.7791,0.7791,0.7791,0,0
03/02/2018,14:00,0.7787,0.7787,0.7787,0.7787,0,0
03/05/2018,14:00,0.7795,0.7795,0.7795,0.7795,0,0
03/06/2018,14:00,0.7853,0.7853,0.7853,0.7853,0,0
03/07/2018,14:00,0.7853,0.7853,0.7853,0.7853,0,0
03/08/2018,14:00,0.7825,0.7825,0.7825,0.7825,0,0
03/09/2018,14:00,0.7887,0.7887,0.7887,0.7887,0,0
03/12/2018,14:00,0.7916,0.7916,0.7916,0.7916,0,0
03/13/2018,14:00,0.7906,0.7906,0.7906,0.7906,0,0
03/14/2018,14:00,0.7923,0.7923,0.7923,0.7923,0,0
03/15/2018,14:00,0.7841,0.7841,0.7841,0.7841,0,0
03/16/2018,14:00,0.7757,0.7757,0.7757,0.7757,0,0
03/19/2018,14:00,0.7762,0.7762,0.7762,0.7762,0,0
03/20/2018,14:00,0.7726,0.7726,0.7726,0.7726,0,0
03/21/2018,14:00,0.7795,0.7795,0.7795,0.7795,0,0
03/22/2018,14:00,0.7746,0.7746,0.7746,0.7746,0,0
03/23/2018,14:00,0.7752,0.7752,0.7752,0.7752,0,0
03/26/2018,14:00,0.7770,0.7770,0.7770,0.7770,0,0
03/27/2018,14:00,0.7723,0.7723,0.7723,0.7723,0,0
03/28/2018,14:00,0.7698,0.7698,0.7698,0.7698,0,0
03/29/2018,14:00,0.7710,0.7710,0.7710,0.7710,0,0
04/02/2018,14:00,0.7683,0.7683,0.7683,0.7683,0,0
04/03/2018,14:00,0.7712,0.7712,0.7712,0.7712,0,0
04/04/2018,14:00,0.7735,0.7735,0.7735,0.7735,0,0
04/05/2018,14:00,0.7714,0.7714,0.7714,0.7714,0,0
04/06/2018,14:00,0.7701,0.7701,0.7701,0.7701,0,0
04/09/2018,14:00,0.7736,0.7736,0.7736,0.7736,0,0
04/10/2018,14:00,0.7801,0.7801,0.7801,0.7801,0,0
04/11/2018,14:00,0.7793,0.7793,0.7793,0.7793,0,0
04/12/2018,14:00,0.7791,0.7791,0.7791,0.7791,0,0
04/13/2018,14:00,0.7796,0.7796,0.7796,0.7796,0,0
04/16/2018,14:00,0.7813,0.7813,0.7813,0.7813,0,0
04/17/2018,14:00,0.7803,0.7803,0.7803,0.7803,0,0
04/18/2018,14:00,0.7821,0.7821,0.7821,0.7821,0,0
