"Date","Time","Open","High","Low","Close","Vol","OI"
02/27/2018,14:00,1.4331,1.4331,1.4331,1.4331,0,0
02/28/2018,14:00,1.4182,1.4182,1.4182,1.4182,0,0
03/01/2018,14:00,1.4168,1.4168,1.4168,1.4168,0,0
03/02/2018,14:00,1.4192,1.4192,1.4192,1.4192,0,0
03/05/2018,14:00,1.4235,1.4235,1.4235,1.4235,0,0
03/06/2018,14:00,1.4292,1.4292,1.4292,1.4292,0,0
03/07/2018,14:00,1.4305,1.4305,1.4305,1.4305,0,0
03/08/2018,14:00,1.4201,1.4201,1.4201,1.4201,0,0
03/09/2018,14:00,1.4257,1.4257,1.4257,1.4257,0,0
03/12/2018,14:00,1.4314,1.4314,1.4314,1.4314,0,0
03/13/2018,14:00,1.4384,1.4384,1.4384,1.4384,0,0
03/14/2018,14:00,1.4386,1.4386,1.4386,1.4386,0,0
03/15/2018,14:00,1.4339,1.4339,1.4339,1.4339,0,0
03/16/2018,14:00,1.4351,1.4351,1.4351,1.4351,0,0
03/19/2018,14:00,1.4457,1.4457,1.4457,1.4457,0,0
03/20/2018,14:00,1.4407,1.4407,1.4407,1.4407,0,0
03/21/2018,14:00,1.4525,1.4525,1.4525,1.4525,0,0
03/22/2018,14:00,1.4496,1.4496,1.4496,1.4496,0,0
03/23/2018,14:00,1.4532,1.4532,1.4532,1.4532,0,0
03/26/2018,14:00,1.4614,1.4614,1.4614,1.4614,0,0
03/27/2018,14:00,1.4526,1.4526,1.4526,1.4526,0,0
03/28/2018,14:00,1.4460,1.4460,1.4460,1.4460,0,0
03/29/2018,14:00,1.4391,1.4391,1.4391,1.4391,0,0
04/02/2018,14:00,1.4412,1.4412,1.4412,1.4412,0,0
04/03/2018,14:00,1.4437,1.4437,1.4437,1.4437,0,0
04/04/2018,14:00,1.4460,1.4460,1.4460,1.4460,0,0
04/05/2018,14:00,1.4387,1.4387,1.4387,1.4387,0,0
04/06/2018,14:00,1.4465,1.4465,1.4465,1.4465,0,0
04/09/2018,14:00,1.4515,1.4515,1.4515,1.4515,0,0
04/10/2018,14:00,1.4574,1.4574,1.4574,1.4574,0,0
04/11/2018,14:00,1.4563,1.4563,1.4563,1.4563,0,0
04/12/2018,14:00,1.4620,1.4620,1.4620,1.4620,0,0
04/13/2018,14:00,1.4637,1.4637,1.4637,1.4637,0,0
04/16/2018,14:00,1.4734,1.4734,1.4734,1.4734,0,0
04/17/2018,14:00,1.4687,1.4687,1.4687,1.4687,0,0
04/18/2018,14:00,1.4611,1.4611,1.4611,1.4611,0,0
04/19/2018,14:00,1.4476,1.4476,1.4476,1.4476,0,0
04/20/2018,14:00,1.4434,1.4434,1.4434,1.4434,0,0
04/23/2018,14:00,1.4348,1.4348,1.4348,1.4348,0,0
04/24/2018,14:00,1.4376,1.4376,1.4376,1.4376,0,0
04/25/2018,14:00,1.4350,1.4350,1.4350,1.4350,0,0
04/26/2018,14:00,1.4330,1.4330,1.4330,1.4330,0,0
04/27/2018,14:00,1.4196,1.4196,1.4196,1.4196,0,0
04/30/2018,14:00,1.4158,1.4158,1.4158,1.4158,0,0
05/01/2018,14:00,1.4028,1.4028,1.4028,1.4028,0,0
05/02/2018,14:00,1.4010,1.4010,1.4010,1.4010,0,0
05/03/2018,14:00,1.3979,1.3979,1.3979,1.3979,0,0
05/04/2018,14:00,1.3952,1.3952,1.3952,1.3952,0,0
05/07/2018,14:00,1.3971,1.3971,1.3971,1.3971,0,0
05/08/2018,14:00,1.3941,1.3941,1.3941,1.3941,0,0
05/09/2018,14:00,1.3956,1.3956,1.3956,1.3956,0,0
05/10/2018,14:00,1.3926,1.3926,1.3926,1.3926,0,0
05/11/2018,14:00,1.3948,1.3948,1.3948,1.3948,0,0
05/14/2018,14:00,1.3962,1.3962,1.3962,1.3962,0,0
05/15/2018,14:00,1.3913,1.3913,1.3913,1.3913,0,0
05/16/2018,14:00,1.3894,1.3894,1.3894,1.3894,0,0
05/17/2018,14:00,1.3905,1.3905,1.3905,1.3905,0,0
05/18/2018,14:00,1.3878,1.3878,1.3878,1.3878,0,0
