"Date","Time","Open","High","Low","Close","Vol","OI"
02/28/2018,14:00,233.050,233.500,230.000,230.000,33,962
03/01/2018,14:00,230.925,232.100,229.000,229.000,31,990
03/02/2018,14:00,228.525,228.725,228.000,228.000,31,990
03/05/2018,14:00,230.000,230.000,229.500,229.500,1,991
03/06/2018,14:00,230.975,232.500,230.975,232.500,17,995
03/07/2018,14:00,232.000,232.000,230.100,230.750,35,1003
03/08/2018,14:00,230.250,230.250,228.750,228.750,27,1007
03/09/2018,14:00,228.000,228.225,228.000,228.000,19,1014
03/12/2018,14:00,227.750,227.750,226.600,226.600,31,1021
03/13/2018,14:00,226.875,226.875,226.000,226.000,21,1022
03/14/2018,14:00,226.450,226.800,226.450,226.750,23,1036
03/15/2018,14:00,226.100,226.100,226.100,226.100,27,1054
03/16/2018,14:00,226.000,226.250,225.800,226.000,27,1054
03/19/2018,14:00,225.525,225.525,224.275,224.275,31,1073
03/20/2018,14:00,223.275,225.950,223.275,225.950,10,1075
03/21/2018,14:00,225.700,225.950,225.700,225.950,8,1072
03/22/2018,14:00,225.950,226.400,225.775,226.400,6,1078
03/23/2018,14:00,226.150,226.150,226.000,226.000,12,1076
03/26/2018,14:00,225.500,225.525,225.500,225.525,6,1070
03/27/2018,14:00,225.250,225.250,225.225,225.250,4,1066
03/28/2018,14:00,227.000,228.450,226.200,227.000,54,1084
03/29/2018,14:00,227.600,227.850,226.375,227.850,37,1083
04/02/2018,14:00,227.750,227.850,227.750,227.850,1,1082
04/03/2018,14:00,229.900,231.050,229.900,231.000,9,1079
04/04/2018,14:00,233.500,237.525,233.500,236.000,43,1073
04/05/2018,14:00,234.950,234.950,232.200,232.500,33,1074
04/06/2018,14:00,233.250,234.175,233.250,234.175,33,1074
04/09/2018,14:00,235.500,238.975,235.500,238.975,34,1077
04/10/2018,14:00,238.975,240.250,236.850,237.025,33,1071
04/11/2018,14:00,238.025,238.025,236.000,238.025,14,1073
04/12/2018,14:00,238.025,238.025,237.000,237.000,46,1074
04/13/2018,14:00,234.650,236.000,234.650,235.375,8,1073
04/16/2018,14:00,235.375,235.375,235.375,235.375,39,1078
04/17/2018,14:00,236.000,237.000,236.000,237.000,23,1083
04/18/2018,14:00,239.000,239.000,238.125,238.125,29,1085
04/19/2018,14:00,239.500,240.000,239.500,240.000,25,1084
04/20/2018,14:00,237.775,239.500,237.775,239.400,25,1084
04/23/2018,14:00,240.000,241.000,240.000,240.000,28,1100
04/24/2018,14:00,242.000,244.500,242.000,243.500,35,1106
04/25/2018,14:00,244.050,244.075,243.300,243.300,18,1093
04/26/2018,14:00,244.000,245.250,244.000,244.000,24,1096
04/27/2018,14:00,246.275,246.275,243.000,244.000,16,1103
04/30/2018,14:00,244.175,244.325,244.175,244.325,5,1099
05/01/2018,14:00,244.000,244.000,244.000,244.000,6,1099
05/02/2018,14:00,244.000,244.000,239.825,241.500,41,1112
05/03/2018,14:00,240.500,240.500,239.725,239.725,51,1144
05/04/2018,14:00,240.000,240.250,238.000,239.000,51,1144
05/07/2018,14:00,237.975,237.975,235.025,236.500,29,1140
05/08/2018,14:00,236.000,237.000,235.150,237.000,104,1208
05/09/2018,14:00,238.000,240.750,238.000,240.250,21,1208
05/10/2018,14:00,239.000,239.000,239.000,239.000,2,1210
05/11/2018,14:00,240.200,240.200,238.675,239.000,19,1217
05/14/2018,14:00,240.000,240.000,240.000,240.000,6,1219
05/15/2018,14:00,242.000,242.775,242.000,242.775,15,1220
05/16/2018,14:00,242.000,242.500,240.850,241.000,31,1229
05/17/2018,14:00,243.000,243.000,242.000,242.000,16,1233
05/18/2018,14:00,242.000,242.500,242.000,242.500,8,1235
05/21/2018,14:00,245.500,245.500,245.000,245.125,21,1245
05/22/2018,14:00,246.000,247.025,243.200,247.025,43,1252
05/23/2018,14:00,242.100,242.100,242.025,242.025,13,1255
05/24/2018,14:00,240.000,243.725,240.000,241.275,38,1264
05/25/2018,14:00,242.025,242.025,242.025,242.025,0,1264
05/29/2018,14:00,242.025,242.025,242.025,242.025,7,1267
05/30/2018,14:00,242.800,243.250,242.750,243.250,9,1262
05/31/2018,14:00,242.975,242.975,240.550,240.575,21,1257
06/01/2018,14:00,240.550,240.600,237.025,239.500,26,1259
06/04/2018,14:00,238.525,239.000,238.525,239.000,12,1260
06/05/2018,14:00,239.000,239.000,238.525,239.000,15,1273
06/06/2018,14:00,238.600,239.000,238.600,239.000,16,1282
06/07/2018,14:00,239.000,239.000,239.000,239.000,12,1293
06/08/2018,14:00,240.000,240.000,239.750,239.750,3,1293
06/11/2018,14:00,239.750,239.750,239.750,239.750,0,1293
06/12/2018,14:00,239.600,239.600,239.600,239.600,5,1298
06/13/2018,14:00,239.025,239.050,237.500,238.600,52,1330
06/14/2018,14:00,237.975,237.975,237.950,237.975,19,1342
06/15/2018,14:00,237.975,237.975,237.975,237.975,0,1342
