"Date","Time","Open","High","Low","Close","Vol","OI"
02/28/2018,14:00,234.350,234.350,231.300,231.300,21,751
03/01/2018,14:00,231.325,233.475,230.250,230.275,42,773
03/02/2018,14:00,230.000,230.250,230.000,230.250,42,773
03/05/2018,14:00,231.050,231.050,231.050,231.050,0,773
03/06/2018,14:00,232.450,233.100,232.450,233.100,11,770
03/07/2018,14:00,233.000,233.000,232.000,232.000,29,768
03/08/2018,14:00,232.000,232.000,230.275,230.975,20,772
03/09/2018,14:00,230.000,230.100,230.000,230.100,25,772
03/12/2018,14:00,230.000,230.000,229.000,229.000,29,768
03/13/2018,14:00,229.500,229.500,228.650,228.650,55,763
03/14/2018,14:00,229.075,229.750,228.825,229.700,44,751
03/15/2018,14:00,228.750,229.175,228.500,229.025,28,782
03/16/2018,14:00,228.950,229.200,228.700,228.900,28,782
03/19/2018,14:00,228.000,228.425,227.750,228.000,78,809
03/20/2018,14:00,227.250,228.625,227.050,228.625,34,824
03/21/2018,14:00,229.000,229.025,228.675,229.025,11,828
03/22/2018,14:00,229.000,229.750,229.000,229.750,18,817
03/23/2018,14:00,229.000,229.000,227.825,228.500,10,817
03/26/2018,14:00,228.500,228.500,228.500,228.500,8,819
03/27/2018,14:00,228.150,228.150,227.750,228.150,12,824
03/28/2018,14:00,229.000,231.100,229.000,231.000,15,824
03/29/2018,14:00,229.250,231.750,229.250,231.750,24,844
04/02/2018,14:00,230.525,231.750,230.525,230.525,4,844
04/03/2018,14:00,232.500,233.775,232.500,233.775,9,850
04/04/2018,14:00,236.250,240.000,236.250,239.000,55,838
04/05/2018,14:00,237.750,237.750,235.175,235.300,28,855
04/06/2018,14:00,235.775,236.500,235.700,236.500,28,855
04/09/2018,14:00,238.500,241.500,238.500,241.250,30,846
04/10/2018,14:00,241.250,242.300,239.000,239.100,33,850
04/11/2018,14:00,240.475,242.475,236.750,239.500,57,846
04/12/2018,14:00,240.225,240.225,238.925,239.500,28,852
04/13/2018,14:00,237.500,238.350,236.400,238.350,10,850
04/16/2018,14:00,238.250,238.250,237.175,237.300,12,847
04/17/2018,14:00,238.000,238.625,238.000,238.625,7,847
04/18/2018,14:00,240.500,241.000,240.000,240.000,20,856
04/19/2018,14:00,240.750,241.750,240.750,241.000,4,859
04/20/2018,14:00,241.000,241.075,241.000,241.075,4,859
04/23/2018,14:00,241.075,242.500,241.000,241.750,44,884
04/24/2018,14:00,243.500,246.000,243.500,245.275,31,884
04/25/2018,14:00,246.250,246.500,244.025,244.500,29,890
04/26/2018,14:00,244.525,247.000,244.525,245.350,38,893
04/27/2018,14:00,247.000,247.500,244.500,246.975,78,951
04/30/2018,14:00,246.575,246.575,246.275,246.275,12,958
05/01/2018,14:00,245.025,245.025,245.000,245.000,12,964
05/02/2018,14:00,245.250,245.250,242.775,242.775,62,1002
05/03/2018,14:00,242.800,243.000,242.525,242.600,66,1008
05/04/2018,14:00,242.950,242.950,241.000,242.250,66,1008
05/07/2018,14:00,240.275,240.275,237.250,239.000,97,1068
05/08/2018,14:00,237.750,240.000,237.150,240.000,114,1099
05/09/2018,14:00,240.000,243.250,240.000,243.250,28,1099
05/10/2018,14:00,240.500,240.500,240.500,240.500,3,1097
05/11/2018,14:00,240.900,241.000,240.500,241.000,22,1104
05/14/2018,14:00,242.175,244.175,242.000,242.150,15,1096
05/15/2018,14:00,245.675,246.200,245.000,245.100,40,1102
05/16/2018,14:00,245.825,245.975,244.850,244.850,34,1092
05/17/2018,14:00,245.250,245.250,245.250,245.250,1,1092
05/18/2018,14:00,245.250,246.500,245.250,246.500,9,1087
05/21/2018,14:00,250.450,251.125,250.025,250.650,53,1078
05/22/2018,14:00,253.750,254.000,250.100,253.500,55,1092
05/23/2018,14:00,249.000,249.000,248.500,248.500,9,1096
05/24/2018,14:00,246.750,249.500,246.750,249.475,4,1086
05/25/2018,14:00,249.475,250.400,249.475,250.000,4,1086
05/29/2018,14:00,251.850,251.850,250.000,250.000,8,1085
05/30/2018,14:00,250.000,250.000,250.000,250.000,4,1086
05/31/2018,14:00,249.500,249.500,246.325,246.975,13,1091
06/01/2018,14:00,246.000,246.000,242.025,243.000,116,1145
06/04/2018,14:00,242.025,242.225,240.025,241.250,36,1160
06/05/2018,14:00,241.250,241.275,239.100,240.250,77,1219
06/06/2018,14:00,238.125,241.500,238.000,241.000,51,1239
06/07/2018,14:00,241.000,241.000,241.000,241.000,5,1243
06/08/2018,14:00,242.000,242.000,241.500,241.500,3,1245
06/11/2018,14:00,241.250,241.750,241.250,241.500,31,1250
06/12/2018,14:00,241.250,241.250,239.750,240.500,24,1262
06/13/2018,14:00,239.550,239.550,238.225,238.475,64,1313
06/14/2018,14:00,238.225,238.225,237.350,237.500,50,1328
06/15/2018,14:00,236.925,237.000,236.775,237.000,55,1360
06/18/2018,14:00,237.650,237.650,235.750,235.900,79,1388
06/19/2018,14:00,236.125,236.750,235.000,235.000,44,1407
06/20/2018,14:00,235.000,235.000,230.000,231.075,28,1400
06/21/2018,14:00,231.100,231.850,230.725,231.650,31,1406
06/22/2018,14:00,231.500,231.650,231.500,231.650,2,1407
06/25/2018,14:00,229.225,229.400,227.025,228.000,49,1411
06/26/2018,14:00,227.375,228.000,227.375,227.375,9,1411
06/27/2018,14:00,227.900,228.850,227.600,227.600,27,1427
06/28/2018,14:00,226.025,230.000,226.025,228.750,100,1438
06/29/2018,14:00,230.275,230.275,229.525,230.250,55,1429
07/02/2018,14:00,228.000,228.575,227.925,228.575,5,1430
07/03/2018,14:00,227.500,227.500,226.000,226.000,31,1456
07/05/2018,14:00,225.750,226.000,225.500,225.500,28,1478
07/06/2018,14:00,224.500,224.525,224.500,224.500,28,1497
07/09/2018,14:00,225.950,225.950,225.950,225.950,169,1461
07/10/2018,14:00,225.700,225.700,225.675,225.700,2,1462
07/11/2018,14:00,224.000,224.000,224.000,224.000,26,1477
07/12/2018,14:00,224.200,225.500,224.200,225.500,29,1481
07/13/2018,14:00,225.500,225.500,225.400,225.400,12,1485
07/16/2018,14:00,225.400,225.500,225.400,225.500,9,1478
07/17/2018,14:00,225.500,225.500,225.500,225.500,19,1478
07/18/2018,14:00,225.500,225.500,225.500,225.500,0,1478
07/19/2018,14:00,225.500,225.500,225.500,225.500,0,1478
07/20/2018,14:00,225.500,225.500,225.500,225.500,45,1438
07/23/2018,14:00,225.500,225.500,225.500,225.500,0,1438
07/24/2018,14:00,226.000,226.000,225.500,225.525,20,1427
07/25/2018,14:00,225.500,225.500,225.500,225.500,15,1412
07/26/2018,14:00,225.700,225.700,225.700,225.700,0,1412
07/27/2018,14:00,225.700,225.700,225.700,225.700,0,1412
07/30/2018,14:00,225.700,225.700,225.700,225.700,0,1412
07/31/2018,14:00,225.700,225.700,225.700,225.700,0,1412
