"Date","Time","Open","High","Low","Close","Vol","OI"
02/28/2018,14:00,236.125,236.125,234.150,234.175,27,360
03/01/2018,14:00,234.100,234.100,234.000,234.000,3,365
03/02/2018,14:00,233.500,233.500,233.100,233.100,3,365
03/05/2018,14:00,233.100,233.100,233.100,233.100,0,365
03/06/2018,14:00,235.000,235.000,235.000,235.000,1,365
03/07/2018,14:00,235.275,235.325,235.275,235.300,15,373
03/08/2018,14:00,235.500,235.500,232.900,235.300,14,386
03/09/2018,14:00,235.300,235.300,235.300,235.300,0,386
03/12/2018,14:00,235.100,235.100,235.100,235.100,8,389
03/13/2018,14:00,235.050,235.050,235.050,235.050,0,389
03/14/2018,14:00,235.500,235.500,235.500,235.500,2,389
03/15/2018,14:00,235.500,235.500,235.500,235.500,0,389
03/16/2018,14:00,235.325,235.325,235.325,235.325,0,389
03/19/2018,14:00,234.700,234.700,234.700,234.700,1,389
03/20/2018,14:00,234.700,234.700,234.700,234.700,14,394
03/21/2018,14:00,236.025,236.025,236.025,236.025,1,394
03/22/2018,14:00,236.025,236.025,236.025,236.025,0,394
03/23/2018,14:00,236.000,236.000,235.500,235.500,13,396
03/26/2018,14:00,235.500,235.500,235.500,235.500,0,396
03/27/2018,14:00,235.500,235.500,235.500,235.500,8,398
03/28/2018,14:00,236.000,236.650,236.000,236.650,12,400
03/29/2018,14:00,236.650,237.000,236.650,237.000,10,400
04/02/2018,14:00,236.075,236.175,236.075,236.075,18,402
04/03/2018,14:00,238.000,238.550,238.000,238.550,6,406
04/04/2018,14:00,242.275,242.275,242.275,242.275,0,406
04/05/2018,14:00,242.250,242.250,242.250,242.250,7,414
04/06/2018,14:00,242.250,242.250,242.250,242.250,7,414
04/09/2018,14:00,242.000,245.475,242.000,245.150,6,420
04/10/2018,14:00,244.500,245.725,243.900,244.675,34,434
04/11/2018,14:00,245.000,245.000,242.150,244.250,14,435
04/12/2018,14:00,243.000,244.150,241.000,243.000,19,444
04/13/2018,14:00,243.000,243.000,242.000,242.000,6,445
04/16/2018,14:00,241.500,241.500,241.500,241.500,7,450
04/17/2018,14:00,241.500,241.500,241.000,241.000,27,447
04/18/2018,14:00,242.750,243.250,242.750,243.250,17,452
04/19/2018,14:00,243.250,243.500,243.250,243.250,8,452
04/20/2018,14:00,243.500,243.500,243.500,243.500,8,452
04/23/2018,14:00,243.000,245.150,243.000,243.525,9,452
04/24/2018,14:00,244.050,245.375,244.000,245.375,22,466
04/25/2018,14:00,246.000,246.000,246.000,246.000,5,471
04/26/2018,14:00,246.500,247.900,246.500,247.500,26,492
04/27/2018,14:00,247.750,248.000,247.500,247.500,32,515
04/30/2018,14:00,247.500,248.000,247.500,248.000,7,522
05/01/2018,14:00,248.000,249.000,248.000,249.000,1,522
05/02/2018,14:00,245.675,246.500,245.300,246.250,7,522
05/03/2018,14:00,245.300,245.300,244.275,244.750,74,555
05/04/2018,14:00,244.750,244.750,244.000,244.400,74,555
05/07/2018,14:00,244.000,244.000,241.350,241.450,161,606
05/08/2018,14:00,240.000,243.125,240.000,243.000,48,617
05/09/2018,14:00,243.000,247.425,243.000,247.425,13,616
05/10/2018,14:00,246.200,246.200,246.200,246.200,1,615
05/11/2018,14:00,245.875,245.875,245.875,245.875,1,614
