"Date","Time","Open","High","Low","Close","Vol","OI"
02/28/2018,14:00,0.78430,0.78490,0.78045,0.78095,1086,6355
03/01/2018,14:00,0.78065,0.78220,0.77720,0.78110,4047,8259
03/02/2018,14:00,0.78080,0.78155,0.77575,0.77690,4047,8259
03/05/2018,14:00,0.77795,0.77795,0.77080,0.77100,1761,9095
03/06/2018,14:00,0.77230,0.77890,0.77120,0.77670,1839,9962
03/07/2018,14:00,0.77580,0.77735,0.77080,0.77525,2648,11068
03/08/2018,14:00,0.77620,0.77870,0.77325,0.77605,4763,13633
03/09/2018,14:00,0.77715,0.78220,0.77635,0.78080,11587,21934
03/12/2018,14:00,0.78205,0.78265,0.78000,0.78085,25922,36498
03/13/2018,14:00,0.78015,0.78085,0.77170,0.77430,24666,45029
03/14/2018,14:00,0.77340,0.77550,0.77215,0.77415,40287,65443
03/15/2018,14:00,0.77320,0.77395,0.76675,0.76735,94712,105126
03/16/2018,14:00,0.76775,0.76800,0.76450,0.76500,94712,105052
03/19/2018,14:00,0.76495,0.76785,0.76330,0.76730,81791,110086
03/20/2018,14:00,0.76585,0.76740,0.76450,0.76580,56315,114053
03/21/2018,14:00,0.76610,0.77710,0.76600,0.77520,123790,117956
03/22/2018,14:00,0.77625,0.78065,0.77355,0.77540,107218,123197
03/23/2018,14:00,0.77440,0.78100,0.77415,0.77865,89191,121974
03/26/2018,14:00,0.77665,0.78005,0.77505,0.77835,67836,121883
03/27/2018,14:00,0.77950,0.78150,0.77610,0.77775,76069,120670
03/28/2018,14:00,0.77740,0.77855,0.77430,0.77555,81442,119105
03/29/2018,14:00,0.77505,0.77860,0.77380,0.77625,67077,118210
04/02/2018,14:00,0.77690,0.77850,0.77350,0.77405,44380,117693
04/03/2018,14:00,0.77520,0.78355,0.77480,0.78180,90895,120616
04/04/2018,14:00,0.78190,0.78495,0.77945,0.78290,81415,118204
04/05/2018,14:00,0.78420,0.78570,0.78195,0.78500,73075,118151
04/06/2018,14:00,0.78530,0.78670,0.78255,0.78355,73075,117043
04/09/2018,14:00,0.78360,0.78925,0.78105,0.78835,68812,116682
04/10/2018,14:00,0.78840,0.79540,0.78790,0.79510,87114,117767
04/11/2018,14:00,0.79470,0.79830,0.79325,0.79595,80251,119637
04/12/2018,14:00,0.79625,0.79715,0.79330,0.79575,84115,123716
04/13/2018,14:00,0.79555,0.79765,0.79360,0.79390,61251,124309
04/16/2018,14:00,0.79520,0.79695,0.79315,0.79675,50145,125219
04/17/2018,14:00,0.79665,0.79920,0.79585,0.79740,64946,121391
04/18/2018,14:00,0.79780,0.79780,0.79080,0.79245,118190,123842
04/19/2018,14:00,0.79295,0.79545,0.78970,0.79010,78409,119545
04/20/2018,14:00,0.79030,0.79240,0.78385,0.78515,78409,118917
04/23/2018,14:00,0.78475,0.78510,0.77845,0.77905,73115,115610
04/24/2018,14:00,0.77915,0.78130,0.77830,0.78005,63874,114040
04/25/2018,14:00,0.78035,0.78075,0.77615,0.77920,63761,114484
04/26/2018,14:00,0.77955,0.78075,0.77690,0.77770,65809,114272
04/27/2018,14:00,0.77770,0.78050,0.77595,0.78000,56714,115262
04/30/2018,14:00,0.77990,0.78165,0.77750,0.77940,62698,114750
05/01/2018,14:00,0.77970,0.78070,0.77505,0.77900,84860,113919
05/02/2018,14:00,0.77920,0.78180,0.77660,0.77870,90938,114707
05/03/2018,14:00,0.77725,0.78085,0.77520,0.77885,73007,116317
05/04/2018,14:00,0.77890,0.77965,0.77475,0.77845,73007,115593
05/07/2018,14:00,0.77895,0.77950,0.77580,0.77740,48774,114542
05/08/2018,14:00,0.77685,0.77720,0.76990,0.77240,103149,120828
05/09/2018,14:00,0.77245,0.78025,0.77120,0.77925,93828,120211
05/10/2018,14:00,0.77830,0.78535,0.77820,0.78435,101179,120476
05/11/2018,14:00,0.78365,0.78615,0.78170,0.78245,73645,119687
