"Date","Time","Open","High","Low","Close","Vol","OI"
12/18/2018,14:00,95.055,95.055,95.055,95.055,0,0
12/19/2018,14:00,94.994,94.994,94.994,94.994,3,3
12/21/2018,14:00,94.365,94.930,94.365,94.930,3,3
12/24/2018,14:00,94.560,94.560,94.502,94.502,3,3
12/26/2018,14:00,95.058,95.058,95.058,95.058,0,3
12/27/2018,14:00,94.506,94.506,94.506,94.506,0,3
12/28/2018,14:00,94.360,94.470,94.360,94.470,1,4
12/31/2018,14:00,94.380,94.380,94.185,94.185,8,12
01/02/2019,14:00,94.005,94.871,94.000,94.871,2,13
01/03/2019,14:00,94.340,94.378,94.340,94.378,10,23
01/04/2019,14:00,94.575,94.575,94.265,94.265,1,23
01/07/2019,14:00,93.850,93.850,93.753,93.753,3,26
01/08/2019,14:00,93.870,93.995,93.870,93.989,3,29
01/09/2019,14:00,94.030,94.030,93.310,93.310,14,42
01/10/2019,14:00,93.340,93.640,93.340,93.640,1,43
01/11/2019,14:00,93.776,93.776,93.776,93.776,0,43
01/14/2019,14:00,93.717,93.717,93.717,93.717,0,43
01/15/2019,14:00,93.900,94.160,93.900,94.160,2,45
01/16/2019,14:00,94.162,94.162,94.162,94.162,0,45
01/17/2019,14:00,94.193,94.193,94.193,94.193,0,45
01/18/2019,14:00,94.320,94.483,94.320,94.483,20,65
01/22/2019,14:00,94.550,94.550,94.449,94.449,1,64
01/23/2019,14:00,94.252,94.252,94.252,94.252,0,64
01/24/2019,14:00,94.500,94.782,94.500,94.782,4,66
01/25/2019,14:00,93.955,93.955,93.955,93.955,0,66
01/28/2019,14:00,93.909,93.909,93.909,93.909,0,66
01/29/2019,14:00,93.800,93.991,93.800,93.991,1,67
01/30/2019,14:00,93.700,93.700,93.521,93.521,6,68
01/31/2019,14:00,93.400,93.799,93.400,93.799,1,69
02/01/2019,14:00,93.785,93.785,93.785,93.785,0,69
02/04/2019,14:00,94.000,94.055,94.000,94.055,2,69
02/05/2019,14:00,94.010,94.222,94.010,94.222,1,69
02/06/2019,14:00,94.430,94.562,94.430,94.562,36,74
02/07/2019,14:00,94.699,94.699,94.699,94.699,0,74
02/08/2019,14:00,94.826,94.826,94.826,94.826,0,74
02/11/2019,14:00,95.257,95.257,95.257,95.257,0,74
02/12/2019,14:00,95.235,95.245,94.903,94.903,20,64
02/13/2019,14:00,95.045,95.338,95.045,95.338,54,105
02/14/2019,14:00,95.330,95.330,95.215,95.215,1,106
02/15/2019,14:00,95.470,95.470,95.090,95.151,3,105
02/19/2019,14:00,95.290,95.290,94.889,94.889,30,136
02/20/2019,14:00,94.834,94.834,94.834,94.834,0,136
02/21/2019,14:00,95.020,95.020,94.850,94.993,3,139
02/22/2019,14:00,94.907,94.907,94.907,94.907,0,139
02/25/2019,14:00,94.821,94.821,94.821,94.821,0,139
02/26/2019,14:00,94.695,94.695,94.415,94.415,1,140
02/27/2019,14:00,94.365,94.588,94.365,94.588,1,141
02/28/2019,14:00,94.400,94.583,94.400,94.583,5,141
03/01/2019,14:00,94.990,94.990,94.990,94.990,0,141
03/04/2019,14:00,95.125,95.125,95.125,95.125,0,141
03/05/2019,14:00,95.200,95.320,95.200,95.320,6,146
03/06/2019,14:00,95.415,95.415,95.324,95.324,5,151
03/07/2019,14:00,96.143,96.143,96.143,96.143,0,151
03/08/2019,14:00,95.779,95.779,95.779,95.779,0,151
03/11/2019,14:00,95.679,95.679,95.679,95.679,0,151
03/12/2019,14:00,95.420,95.420,95.399,95.399,1,150
03/13/2019,14:00,95.125,95.125,95.002,95.002,1,150
03/14/2019,14:00,95.115,95.230,95.115,95.229,4,153
03/15/2019,14:00,95.050,95.070,94.970,95.040,8,155
03/18/2019,14:00,94.980,94.980,94.973,94.973,2,157
03/19/2019,14:00,94.815,94.821,94.815,94.821,1,156
03/20/2019,14:00,94.960,94.960,94.201,94.201,2,158
03/21/2019,14:00,94.445,94.990,94.435,94.982,101,182
03/22/2019,14:00,95.110,95.146,95.110,95.146,1,183
03/25/2019,14:00,95.063,95.063,95.063,95.063,0,183
03/26/2019,14:00,95.220,95.220,95.220,95.220,0,183
03/27/2019,14:00,95.400,95.400,95.278,95.278,2,185
03/28/2019,14:00,95.749,95.749,95.749,95.749,0,185
03/29/2019,14:00,95.705,95.830,95.705,95.830,10,185
04/01/2019,14:00,95.680,95.800,95.640,95.784,119,295
04/02/2019,14:00,95.960,96.005,95.870,95.908,6,299
04/03/2019,14:00,95.652,95.652,95.652,95.652,0,299
04/04/2019,14:00,95.575,95.910,95.575,95.905,91,301
04/05/2019,14:00,95.987,95.987,95.987,95.987,0,301
04/08/2019,14:00,95.760,95.760,95.610,95.610,3,298
04/09/2019,14:00,95.485,95.581,95.485,95.581,2,299
04/10/2019,14:00,95.745,95.745,95.510,95.528,4,302
04/11/2019,14:00,95.600,95.759,95.600,95.759,4,302
04/12/2019,14:00,95.400,95.558,95.400,95.558,1,303
04/15/2019,14:00,95.395,95.516,95.395,95.516,3,300
04/16/2019,14:00,95.607,95.607,95.607,95.607,0,300
04/17/2019,14:00,95.685,95.685,95.520,95.613,200,434
04/18/2019,14:00,96.091,96.091,96.091,96.091,0,434
04/22/2019,14:00,95.980,95.980,95.890,95.890,3,437
04/23/2019,14:00,96.350,96.350,96.250,96.250,2,439
04/24/2019,14:00,96.300,96.795,96.300,96.795,3,439
04/25/2019,14:00,96.740,96.965,96.735,96.859,21,443
04/26/2019,14:00,96.540,96.666,96.540,96.666,2,442
04/29/2019,14:00,96.680,96.680,96.521,96.521,5,446
04/30/2019,14:00,96.500,96.500,96.141,96.141,12,457
05/01/2019,14:00,96.100,96.370,95.880,96.370,23,480
05/02/2019,14:00,96.526,96.526,96.526,96.526,0,480
05/03/2019,14:00,96.700,96.700,96.200,96.210,4,482
05/06/2019,14:00,96.285,96.335,96.200,96.223,4,486
05/07/2019,14:00,96.355,96.370,96.354,96.354,2,487
05/08/2019,14:00,96.250,96.343,96.250,96.343,2,489
05/09/2019,14:00,96.200,96.200,96.000,96.119,13,501
05/10/2019,14:00,95.980,96.080,95.955,96.080,2,502
05/13/2019,14:00,96.090,96.090,95.800,96.075,15,504
05/14/2019,14:00,96.302,96.302,96.302,96.302,0,504
05/15/2019,14:00,96.356,96.356,96.356,96.356,0,504
05/16/2019,14:00,96.575,96.653,96.550,96.653,4,507
05/17/2019,14:00,96.590,96.800,96.590,96.799,16,511
05/20/2019,14:00,96.790,96.850,96.695,96.739,8,516
05/21/2019,14:00,96.860,96.910,96.650,96.861,18,522
05/22/2019,14:00,96.860,96.860,96.846,96.846,2,520
05/23/2019,14:00,97.030,97.050,96.693,96.693,13,525
05/24/2019,14:00,96.500,96.500,96.452,96.452,1,526
05/28/2019,14:00,96.802,96.802,96.802,96.802,0,526
05/29/2019,14:00,96.900,97.000,96.900,97.000,4,523
05/30/2019,14:00,97.013,97.013,97.013,97.013,0,522
05/31/2019,14:00,96.685,96.805,96.656,96.656,5,522
06/03/2019,14:00,96.640,96.645,96.090,96.090,127,532
06/04/2019,14:00,96.210,96.260,96.000,96.034,85,614
06/05/2019,14:00,96.075,96.350,95.780,96.306,39,616
06/06/2019,14:00,96.305,96.400,95.860,96.035,46,651
06/07/2019,14:00,96.005,96.125,95.500,95.540,32,657
06/10/2019,14:00,95.710,95.805,95.710,95.770,6,657
06/11/2019,14:00,95.820,95.820,95.700,95.700,16,674
06/12/2019,14:00,95.645,96.025,95.645,96.025,6,673
06/13/2019,14:00,95.980,96.130,95.960,96.074,271,861
06/14/2019,14:00,96.010,96.630,96.010,96.630,62,872
06/17/2019,14:00,96.540,96.660,96.540,96.617,11,872
06/18/2019,14:00,96.750,96.810,96.700,96.718,24,871
06/19/2019,14:00,96.740,96.740,96.152,96.152,18,871
06/20/2019,14:00,96.300,96.300,95.700,95.738,68,882
06/21/2019,14:00,95.635,95.810,95.290,95.318,47,888
06/24/2019,14:00,95.255,95.280,95.102,95.102,36,890
06/25/2019,14:00,95.095,95.490,94.975,95.263,142,868
06/26/2019,14:00,95.430,95.430,95.340,95.343,14,868
06/27/2019,14:00,95.400,95.500,95.285,95.342,188,944
06/28/2019,14:00,95.340,95.405,95.230,95.266,35,939
07/01/2019,14:00,95.465,95.980,95.430,95.976,299,978
07/02/2019,14:00,96.005,96.005,95.745,95.839,135,982
07/03/2019,14:00,95.845,95.900,95.785,95.876,380,1034
07/05/2019,14:00,95.975,96.505,95.975,96.435,312,1119
07/08/2019,14:00,96.435,96.535,96.385,96.514,131,1130
