"Date","Time","Open","High","Low","Close","Vol","OI"
02/27/2018,14:00,1.27210,1.27210,1.27210,1.27210,0,278
02/28/2018,14:00,1.26845,1.26845,1.26845,1.26845,0,278
03/01/2018,14:00,1.27280,1.27280,1.27280,1.27280,0,278
03/02/2018,14:00,1.28065,1.28065,1.28065,1.28065,0,278
03/05/2018,14:00,1.28035,1.28035,1.28035,1.28035,0,278
03/06/2018,14:00,1.28850,1.28850,1.28850,1.28850,0,278
03/07/2018,14:00,1.28865,1.28865,1.28865,1.28865,0,278
03/08/2018,14:00,1.27815,1.27815,1.27815,1.27815,0,278
03/09/2018,14:00,1.27915,1.27915,1.27915,1.27915,0,278
03/12/2018,14:00,1.28170,1.28170,1.28170,1.28170,0,278
03/13/2018,14:00,1.28800,1.28800,1.28800,1.28800,0,278
03/14/2018,14:00,1.28570,1.28570,1.28570,1.28570,0,278
03/15/2018,14:00,1.27795,1.27795,1.27795,1.27795,0,278
03/16/2018,14:00,1.27630,1.27630,1.27630,1.27630,0,278
03/19/2018,14:00,1.28355,1.28355,1.28355,1.28355,0,278
03/20/2018,14:00,1.27275,1.27275,1.27275,1.27275,2,279
03/21/2018,14:00,1.28040,1.28040,1.28040,1.28040,0,279
03/22/2018,14:00,1.27785,1.27785,1.27785,1.27785,0,279
03/23/2018,14:00,1.28405,1.28405,1.28405,1.28405,4,277
03/26/2018,14:00,1.29300,1.29300,1.29300,1.29300,7,281
03/27/2018,14:00,1.28690,1.28690,1.28690,1.28690,0,281
03/28/2018,14:00,1.27685,1.27685,1.27685,1.27685,3,278
03/29/2018,14:00,1.27460,1.27460,1.27460,1.27460,0,278
04/02/2018,14:00,1.27550,1.27550,1.27550,1.27550,0,278
04/03/2018,14:00,1.27235,1.27235,1.27235,1.27235,0,278
04/04/2018,14:00,1.27380,1.27380,1.27380,1.27380,0,278
04/05/2018,14:00,1.26895,1.26895,1.26895,1.26895,10,288
04/06/2018,14:00,1.27365,1.27365,1.27365,1.27365,0,288
04/09/2018,14:00,1.27710,1.27710,1.27710,1.27710,0,288
04/10/2018,14:00,1.28105,1.28105,1.28105,1.28105,0,288
04/11/2018,14:00,1.28135,1.28135,1.28135,1.28135,0,288
04/12/2018,14:00,1.27630,1.27820,1.27630,1.27820,19,300
04/13/2018,14:00,1.27820,1.27845,1.27820,1.27845,101,376
04/16/2018,14:00,1.28355,1.28355,1.28355,1.28355,5,380
04/17/2018,14:00,1.28190,1.28190,1.28190,1.28190,0,380
04/18/2018,14:00,1.28300,1.28300,1.28300,1.28300,0,380
04/19/2018,14:00,1.27865,1.27865,1.27865,1.27865,2,379
04/20/2018,14:00,1.27290,1.27290,1.27290,1.27290,2,379
04/23/2018,14:00,1.26505,1.26505,1.26505,1.26505,0,379
04/24/2018,14:00,1.26810,1.26810,1.26810,1.26810,0,379
04/25/2018,14:00,1.26195,1.26195,1.26195,1.26195,0,379
04/26/2018,14:00,1.25425,1.25425,1.25425,1.25425,4,378
04/27/2018,14:00,1.25535,1.25535,1.25535,1.25535,3,377
04/30/2018,14:00,1.24980,1.25125,1.24950,1.25125,3,377
05/01/2018,14:00,1.24235,1.24235,1.24235,1.24235,16,372
05/02/2018,14:00,1.24120,1.24120,1.24120,1.24120,15,387
05/03/2018,14:00,1.24000,1.24125,1.24000,1.24125,10,388
05/04/2018,14:00,1.23820,1.23820,1.23820,1.23820,10,388
05/07/2018,14:00,1.23415,1.23415,1.23415,1.23415,12,376
05/08/2018,14:00,1.22690,1.22690,1.22690,1.22690,3,373
05/09/2018,14:00,1.22715,1.22715,1.22715,1.22715,3,373
05/10/2018,14:00,1.23335,1.23335,1.23335,1.23335,0,373
05/11/2018,14:00,1.23465,1.23465,1.23465,1.23465,16,383
05/14/2018,14:00,1.23425,1.23435,1.23425,1.23435,11,374
05/15/2018,14:00,1.22800,1.22900,1.22505,1.22505,2,375
05/16/2018,14:00,1.21905,1.22030,1.21905,1.22030,6,374
05/17/2018,14:00,1.21890,1.21955,1.21890,1.21955,4,373
05/18/2018,14:00,1.21685,1.21685,1.21685,1.21685,5,369
05/21/2018,14:00,1.21685,1.21690,1.21685,1.21690,7,371
05/22/2018,14:00,1.21740,1.21740,1.21740,1.21740,30,371
05/23/2018,14:00,1.20895,1.20895,1.20895,1.20895,57,364
05/24/2018,14:00,1.20515,1.21135,1.20515,1.21135,20,364
05/25/2018,14:00,1.20465,1.20465,1.20465,1.20465,0,364
05/29/2018,14:00,1.19000,1.19380,1.19000,1.19035,160,449
05/30/2018,14:00,1.20000,1.20270,1.19900,1.20270,63,460
05/31/2018,14:00,1.20470,1.20700,1.20470,1.20640,22,472
06/01/2018,14:00,1.20420,1.20420,1.20420,1.20420,0,472
06/04/2018,14:00,1.20800,1.20800,1.20700,1.20790,6,475
06/05/2018,14:00,1.20870,1.20905,1.20860,1.20905,75,477
06/06/2018,14:00,1.21450,1.21600,1.21450,1.21480,15,477
06/07/2018,14:00,1.21880,1.21880,1.21820,1.21820,7,481
06/08/2018,14:00,1.21015,1.21440,1.21015,1.21440,5,484
06/11/2018,14:00,1.21630,1.21630,1.21630,1.21630,3,487
06/12/2018,14:00,1.21600,1.21600,1.21240,1.21240,24,469
06/13/2018,14:00,1.21400,1.21465,1.21400,1.21465,46,450
06/14/2018,14:00,1.19545,1.19545,1.19545,1.19545,11,449
06/15/2018,14:00,1.19665,1.19665,1.19665,1.19665,0,449
06/18/2018,14:00,1.19775,1.19775,1.19775,1.19775,0,449
06/19/2018,14:00,1.19325,1.19325,1.19325,1.19325,0,449
06/20/2018,14:00,1.19360,1.19395,1.19360,1.19395,5,454
06/21/2018,14:00,1.19520,1.19755,1.19520,1.19755,17,461
06/22/2018,14:00,1.19850,1.20170,1.19850,1.20170,48,471
06/25/2018,14:00,1.20450,1.20570,1.20450,1.20570,6,474
06/26/2018,14:00,1.20200,1.20220,1.19940,1.20000,55,516
06/27/2018,14:00,1.19360,1.19360,1.19020,1.19020,16,532
06/28/2018,14:00,1.18730,1.18975,1.18730,1.18975,8,528
06/29/2018,14:00,1.19755,1.20110,1.19755,1.20110,4,525
07/02/2018,14:00,1.19435,1.19800,1.19435,1.19475,43,521
07/03/2018,14:00,1.19780,1.19850,1.19780,1.19850,12,521
07/05/2018,14:00,1.20310,1.20310,1.20150,1.20150,32,553
07/06/2018,14:00,1.20940,1.20940,1.20815,1.20815,9,557
07/09/2018,14:00,1.20805,1.20880,1.20805,1.20880,12,557
07/10/2018,14:00,1.20580,1.20820,1.20580,1.20820,20,564
07/11/2018,14:00,1.20055,1.20055,1.20055,1.20055,0,564
07/12/2018,14:00,1.20090,1.20120,1.20015,1.20015,14,564
07/13/2018,14:00,1.19940,1.20055,1.19940,1.20055,6,568
07/16/2018,14:00,1.20305,1.20415,1.20305,1.20415,6,571
07/17/2018,14:00,1.20615,1.20615,1.19810,1.19910,15,574
07/18/2018,14:00,1.19500,1.19835,1.19300,1.19735,27,579
07/19/2018,14:00,1.19370,1.19700,1.19000,1.19670,30,582
07/20/2018,14:00,1.20215,1.20475,1.20215,1.20475,33,606
07/23/2018,14:00,1.20220,1.20220,1.20110,1.20110,8,606
07/24/2018,14:00,1.20045,1.20045,1.20045,1.20045,0,606
07/25/2018,14:00,1.19890,1.20210,1.19890,1.20210,2,607
07/26/2018,14:00,1.20280,1.20300,1.19600,1.19635,207,810
07/27/2018,14:00,1.19745,1.19745,1.19745,1.19745,0,810
07/30/2018,14:00,1.19995,1.20275,1.19995,1.20275,21,790
07/31/2018,14:00,1.20250,1.20250,1.20120,1.20140,7,790
08/01/2018,14:00,1.20010,1.20065,1.19785,1.19785,7,790
08/02/2018,14:00,1.18965,1.18965,1.18965,1.18965,13,801
08/03/2018,14:00,1.18830,1.19020,1.18830,1.18860,13,801
08/06/2018,14:00,1.18720,1.18720,1.18370,1.18635,19,813
08/07/2018,14:00,1.19045,1.19080,1.19025,1.19025,55,766
08/08/2018,14:00,1.19200,1.19270,1.19200,1.19270,1,767
08/09/2018,14:00,1.18445,1.18445,1.18445,1.18445,0,767
08/10/2018,14:00,1.18225,1.18225,1.16965,1.16965,28,770
08/13/2018,14:00,1.16780,1.16900,1.16780,1.16900,127,775
08/14/2018,14:00,1.16360,1.16360,1.16330,1.16330,1,775
08/15/2018,14:00,1.16060,1.16390,1.16060,1.16390,1,774
08/16/2018,14:00,1.16570,1.16570,1.16570,1.16570,0,774
08/17/2018,14:00,1.17355,1.17355,1.17355,1.17355,0,774
08/20/2018,14:00,1.17235,1.17580,1.17235,1.17580,2,776
08/21/2018,14:00,1.18200,1.18645,1.18200,1.18645,91,791
08/22/2018,14:00,1.19000,1.19075,1.18790,1.18790,22,773
08/23/2018,14:00,1.18395,1.18715,1.18240,1.18240,34,806
08/24/2018,14:00,1.19200,1.19200,1.19100,1.19145,14,820
08/27/2018,14:00,1.18970,1.19795,1.18970,1.19680,45,836
08/28/2018,14:00,1.20040,1.20080,1.19850,1.19850,36,840
08/29/2018,14:00,1.19600,1.19890,1.19500,1.19890,28,868
08/30/2018,14:00,1.19780,1.19780,1.19320,1.19500,100,896
08/31/2018,14:00,1.18925,1.18925,1.18770,1.18795,53,909
09/04/2018,14:00,1.18345,1.18620,1.18330,1.18620,190,916
09/05/2018,14:00,1.18625,1.19050,1.18625,1.19050,51,923
09/06/2018,14:00,1.18920,1.19050,1.18920,1.19050,56,934
09/07/2018,14:00,1.19210,1.19210,1.18445,1.18445,56,934
09/10/2018,14:00,1.18220,1.18835,1.18220,1.18760,22,944
09/11/2018,14:00,1.19000,1.19000,1.18635,1.18645,20,951
09/12/2018,14:00,1.18740,1.19120,1.18740,1.19120,54,951
09/13/2018,14:00,1.19750,1.19750,1.19535,1.19705,18,958
09/14/2018,14:00,1.19820,1.19820,1.19100,1.19100,24,959
09/17/2018,14:00,1.19095,1.19680,1.19095,1.19625,15,968
09/18/2018,14:00,1.19920,1.19940,1.19345,1.19430,40,985
09/19/2018,14:00,1.19695,1.19695,1.19350,1.19500,20,1002
09/20/2018,14:00,1.20440,1.20525,1.20200,1.20525,12,1007
09/21/2018,14:00,1.20280,1.20280,1.20140,1.20225,36,1040
09/24/2018,14:00,1.20680,1.20680,1.20330,1.20330,8,1047
09/25/2018,14:00,1.20660,1.20660,1.20410,1.20410,12,1058
09/26/2018,14:00,1.20080,1.20595,1.20000,1.20340,14,1065
09/27/2018,14:00,1.20160,1.20160,1.19200,1.19270,114,1082
09/28/2018,14:00,1.18855,1.18915,1.18410,1.18775,114,1082
10/01/2018,14:00,1.18600,1.18800,1.18380,1.18395,6,1079
10/02/2018,14:00,1.18365,1.18365,1.17940,1.18070,54,1076
10/03/2018,14:00,1.17845,1.17845,1.17500,1.17785,43,1073
10/04/2018,14:00,1.17235,1.17730,1.17235,1.17730,22,1079
10/05/2018,14:00,1.17680,1.17835,1.17680,1.17835,1,1080
10/08/2018,14:00,1.17360,1.17455,1.17360,1.17455,8,1084
10/09/2018,14:00,1.17400,1.17545,1.17400,1.17545,5,1088
10/10/2018,14:00,1.17670,1.17980,1.17670,1.17820,107,1092
10/11/2018,14:00,1.18190,1.18505,1.18090,1.18505,69,1101
10/12/2018,14:00,1.18120,1.18205,1.18120,1.18205,38,1126
10/15/2018,14:00,1.18390,1.18455,1.18390,1.18400,2007,3116
10/16/2018,14:00,1.18335,1.18335,1.18335,1.18335,0,3116
10/17/2018,14:00,1.17820,1.17820,1.17595,1.17595,2,3118
10/18/2018,14:00,1.17430,1.17430,1.17155,1.17155,33,3119
10/19/2018,14:00,1.17290,1.17610,1.17290,1.17610,91,3154
10/22/2018,14:00,1.17610,1.17610,1.17145,1.17145,159,3153
10/23/2018,14:00,1.17070,1.17270,1.17070,1.17135,35,3165
10/24/2018,14:00,1.17020,1.17020,1.16295,1.16305,40,3156
10/25/2018,14:00,1.16500,1.16545,1.16000,1.16025,15,3152
10/26/2018,14:00,1.16120,1.16505,1.15765,1.16505,86,3191
10/29/2018,14:00,1.16200,1.16320,1.16195,1.16320,83,3206
10/30/2018,14:00,1.16155,1.16155,1.15800,1.15800,65,3205
10/31/2018,14:00,1.15600,1.15600,1.15505,1.15505,3,3204
11/01/2018,14:00,1.15630,1.16445,1.15630,1.16430,12,3201
11/02/2018,14:00,1.16685,1.16685,1.16170,1.16170,6,3205
11/05/2018,14:00,1.16065,1.16500,1.16065,1.16500,24,3227
11/06/2018,14:00,1.16605,1.16605,1.16420,1.16450,82,3240
11/07/2018,14:00,1.16810,1.17265,1.16795,1.16885,18,3244
11/08/2018,14:00,1.16540,1.16540,1.15855,1.15855,82,3275
11/09/2018,14:00,1.15895,1.15895,1.15585,1.15635,82,3275
11/12/2018,14:00,1.15355,1.15355,1.14640,1.14670,53,3295
11/13/2018,14:00,1.14740,1.14975,1.14600,1.14940,46,3290
11/14/2018,14:00,1.15305,1.15635,1.14915,1.15625,95,3289
11/15/2018,14:00,1.15395,1.15780,1.15215,1.15710,2085,5366
11/16/2018,14:00,1.15780,1.16320,1.15580,1.16320,2095,7334
11/19/2018,14:00,1.16230,1.16700,1.16120,1.16700,8,7337
11/20/2018,14:00,1.16740,1.16740,1.15740,1.15820,134,7356
11/21/2018,14:00,1.15925,1.16385,1.15925,1.16030,124,7353
11/23/2018,14:00,1.16175,1.16280,1.15450,1.15465,124,7353
11/26/2018,14:00,1.15410,1.15610,1.15375,1.15375,26,7360
