"Date","Time","Open","High","Low","Close","Vol","OI"
02/28/2018,14:00,1.25195,1.25195,1.24795,1.24850,27,3077
03/01/2018,14:00,1.24515,1.25420,1.24450,1.25315,56,3069
03/02/2018,14:00,1.25595,1.26080,1.25385,1.26080,56,3069
03/05/2018,14:00,1.25600,1.26265,1.25600,1.26035,25,3066
03/06/2018,14:00,1.26285,1.26970,1.26200,1.26835,25,3086
03/07/2018,14:00,1.26910,1.27285,1.26720,1.26845,64,3082
03/08/2018,14:00,1.26870,1.27160,1.25810,1.25810,100,3070
03/09/2018,14:00,1.25645,1.25905,1.25645,1.25905,22,3062
03/12/2018,14:00,1.25875,1.26125,1.25845,1.26125,124,3142
03/13/2018,14:00,1.25955,1.26780,1.25955,1.26745,126,3216
03/14/2018,14:00,1.26530,1.26750,1.26350,1.26525,94,3281
03/15/2018,14:00,1.26510,1.26510,1.25770,1.25785,137,3397
03/16/2018,14:00,1.26070,1.26075,1.25325,1.25570,137,3397
03/19/2018,14:00,1.25300,1.26290,1.25300,1.26290,28,3409
03/20/2018,14:00,1.26025,1.26165,1.25130,1.25210,45,3403
03/21/2018,14:00,1.25280,1.25965,1.25185,1.25965,51,3428
03/22/2018,14:00,1.26045,1.26385,1.25635,1.25725,73,3429
03/23/2018,14:00,1.25925,1.26330,1.25880,1.26330,115,3430
03/26/2018,14:00,1.26280,1.27255,1.26280,1.27210,103,3441
03/27/2018,14:00,1.27350,1.27350,1.26580,1.26620,112,3470
03/28/2018,14:00,1.26425,1.26560,1.25605,1.25650,91,3463
03/29/2018,14:00,1.25660,1.25800,1.25405,1.25425,26,3448
04/02/2018,14:00,1.25715,1.25935,1.25350,1.25520,68,3448
04/03/2018,14:00,1.25545,1.25695,1.25145,1.25190,46,3477
04/04/2018,14:00,1.25240,1.25555,1.25125,1.25335,76,3523
04/05/2018,14:00,1.25135,1.25250,1.24700,1.24845,298,3554
04/06/2018,14:00,1.24835,1.25340,1.24690,1.25330,298,3554
04/09/2018,14:00,1.25260,1.25700,1.25145,1.25665,136,3526
04/10/2018,14:00,1.25565,1.26060,1.25470,1.26055,61,3491
04/11/2018,14:00,1.26205,1.26380,1.26080,1.26080,42,3482
04/12/2018,14:00,1.25640,1.25740,1.25485,1.25740,30,3497
04/13/2018,14:00,1.25620,1.25800,1.25620,1.25760,73,3486
04/16/2018,14:00,1.25755,1.26250,1.25740,1.26250,30,3483
04/17/2018,14:00,1.26315,1.26530,1.25805,1.26085,68,3478
04/18/2018,14:00,1.26160,1.26265,1.26000,1.26175,58,3503
04/19/2018,14:00,1.26365,1.26365,1.25685,1.25755,131,3381
04/20/2018,14:00,1.25490,1.25490,1.25050,1.25185,131,3381
04/23/2018,14:00,1.25075,1.25095,1.24370,1.24395,106,3353
04/24/2018,14:00,1.24445,1.24715,1.24225,1.24715,125,3308
04/25/2018,14:00,1.24600,1.24600,1.24065,1.24105,71,3297
04/26/2018,14:00,1.24145,1.24310,1.23330,1.23345,111,3238
04/27/2018,14:00,1.22930,1.23470,1.22845,1.23470,588,3658
04/30/2018,14:00,1.23375,1.23375,1.22985,1.23060,66,3662
05/01/2018,14:00,1.23005,1.23005,1.22085,1.22180,49,3677
05/02/2018,14:00,1.22370,1.22415,1.21780,1.22065,82,3645
05/03/2018,14:00,1.21835,1.22230,1.21700,1.22085,118,3662
05/04/2018,14:00,1.22075,1.22075,1.21245,1.21785,118,3662
05/07/2018,14:00,1.21880,1.21880,1.21125,1.21370,104,3692
05/08/2018,14:00,1.21340,1.21340,1.20495,1.20675,146,3673
05/09/2018,14:00,1.20730,1.20900,1.20530,1.20700,156,3634
05/10/2018,14:00,1.20570,1.21500,1.20570,1.21320,58,3635
05/11/2018,14:00,1.21220,1.21680,1.21120,1.21475,110,3622
05/14/2018,14:00,1.21635,1.21935,1.21380,1.21450,206,3620
05/15/2018,14:00,1.21290,1.21290,1.20225,1.20500,299,3671
05/16/2018,14:00,1.20330,1.20550,1.19705,1.20025,309,3521
05/17/2018,14:00,1.20330,1.20330,1.19795,1.19960,906,3852
05/18/2018,14:00,1.19890,1.20095,1.19490,1.19705,121,3835
05/21/2018,14:00,1.19455,1.19730,1.19160,1.19690,144,3879
05/22/2018,14:00,1.19860,1.20130,1.19700,1.19750,294,3963
05/23/2018,14:00,1.19585,1.19605,1.18730,1.18925,1012,4032
05/24/2018,14:00,1.18980,1.19320,1.18945,1.19185,277,4052
05/25/2018,14:00,1.18895,1.19170,1.18400,1.18525,277,4052
05/29/2018,14:00,1.18125,1.18250,1.17000,1.17180,1250,3911
05/30/2018,14:00,1.17335,1.18615,1.17175,1.18380,1122,3876
05/31/2018,14:00,1.18475,1.19060,1.18265,1.18715,245,3957
06/01/2018,14:00,1.18800,1.18910,1.18300,1.18470,192,4032
06/04/2018,14:00,1.18690,1.19145,1.18610,1.18810,96,4060
06/05/2018,14:00,1.18655,1.19070,1.18355,1.18945,379,4020
06/06/2018,14:00,1.19300,1.19745,1.19215,1.19495,253,4055
06/07/2018,14:00,1.19715,1.20135,1.19715,1.19860,109,4045
06/08/2018,14:00,1.19650,1.19650,1.19075,1.19480,89,4021
06/11/2018,14:00,1.19615,1.19905,1.19585,1.19650,123,4073
06/12/2018,14:00,1.19505,1.19710,1.19100,1.19245,324,4193
06/13/2018,14:00,1.19215,1.19595,1.19060,1.19465,510,4367
06/14/2018,14:00,1.19645,1.20100,1.17455,1.17585,685,4374
06/15/2018,14:00,1.17430,1.17915,1.17110,1.17720,1108,4440
06/18/2018,14:00,1.17630,1.17900,1.17320,1.17820,521,4531
06/19/2018,14:00,1.17875,1.18095,1.16980,1.17385,1033,4432
06/20/2018,14:00,1.17525,1.17600,1.17055,1.17480,617,4453
06/21/2018,14:00,1.17350,1.17880,1.16690,1.17835,543,4547
06/22/2018,14:00,1.17665,1.18355,1.17665,1.18240,531,4593
06/25/2018,14:00,1.18270,1.18680,1.17890,1.18645,536,4642
06/26/2018,14:00,1.18650,1.18765,1.17975,1.18090,179,4613
06/27/2018,14:00,1.18100,1.18290,1.16970,1.17135,636,4572
06/28/2018,14:00,1.17120,1.17530,1.16825,1.17090,377,4597
