"Date","Time","Open","High","Low","Close","Vol","OI"
02/28/2018,14:00,2751.75,2767.00,2716.75,2719.50,34843,132275
03/01/2018,14:00,2723.75,2736.00,2663.50,2683.00,45199,162082
03/02/2018,14:00,2684.50,2700.50,2651.75,2694.75,45199,161670
03/05/2018,14:00,2688.25,2732.50,2669.50,2723.00,55825,168640
03/06/2018,14:00,2723.75,2739.00,2715.25,2729.00,127304,199997
03/07/2018,14:00,2708.00,2735.25,2686.50,2728.25,237628,311422
03/08/2018,14:00,2728.50,2745.50,2724.25,2744.25,653581,652394
03/09/2018,14:00,2742.00,2792.00,2735.50,2788.75,1489394,1166354
03/12/2018,14:00,2788.75,2805.25,2783.75,2789.00,1658456,1857383
03/13/2018,14:00,2787.00,2807.25,2762.50,2772.75,2226645,2385499
03/14/2018,14:00,2767.00,2783.50,2748.25,2754.00,1930552,2609150
03/15/2018,14:00,2754.75,2767.25,2745.00,2755.50,1142517,2683675
03/16/2018,14:00,2757.50,2766.25,2750.25,2756.00,1142517,2681583
03/19/2018,14:00,2756.25,2756.50,2697.25,2722.75,1986809,2698947
03/20/2018,14:00,2721.50,2729.00,2712.75,2723.50,1099899,2706998
03/21/2018,14:00,2723.25,2744.00,2712.50,2718.25,1423759,2722391
03/22/2018,14:00,2718.25,2726.25,2641.75,2643.25,2548609,2779805
03/23/2018,14:00,2645.75,2658.75,2586.00,2597.75,2875654,2849518
03/26/2018,14:00,2595.00,2662.75,2591.00,2659.50,2302375,2889651
03/27/2018,14:00,2659.50,2679.75,2596.00,2615.75,2448450,2884080
03/28/2018,14:00,2612.75,2633.75,2593.00,2607.50,2802883,2918961
03/29/2018,14:00,2609.75,2659.50,2601.00,2643.00,2042949,2887303
04/02/2018,14:00,2635.00,2641.50,2552.00,2575.00,2395329,2933144
04/03/2018,14:00,2581.25,2618.75,2573.50,2613.25,2220246,2942545
04/04/2018,14:00,2612.00,2649.75,2559.50,2647.00,2247386,2937636
04/05/2018,14:00,2645.75,2672.25,2644.00,2661.75,2615117,2898940
04/06/2018,14:00,2663.00,2664.00,2584.50,2605.75,2615117,2900411
04/09/2018,14:00,2607.50,2653.75,2607.50,2619.00,1762078,2923967
04/10/2018,14:00,2617.75,2666.25,2612.25,2655.00,1998582,2907441
04/11/2018,14:00,2654.50,2661.25,2626.00,2641.00,1637350,2860319
04/12/2018,14:00,2642.50,2675.00,2639.75,2664.00,1301132,2860677
04/13/2018,14:00,2661.75,2680.50,2644.75,2657.25,1711823,2875836
04/16/2018,14:00,2673.25,2687.00,2660.75,2681.75,1237183,2868740
04/17/2018,14:00,2679.25,2713.75,2678.75,2706.50,1251766,2880705
04/18/2018,14:00,2704.75,2718.50,2703.75,2709.75,1044851,2876346
04/19/2018,14:00,2711.75,2713.25,2681.50,2693.00,1604973,2908969
04/20/2018,14:00,2692.50,2698.25,2659.75,2671.50,1604973,2897639
04/23/2018,14:00,2683.00,2684.75,2657.25,2671.25,1239828,2885246
04/24/2018,14:00,2672.00,2688.50,2616.00,2635.25,2329880,2905501
04/25/2018,14:00,2635.25,2648.25,2611.25,2644.50,1902899,2905239
04/26/2018,14:00,2648.25,2677.50,2639.50,2674.50,1279539,2865991
04/27/2018,14:00,2675.50,2676.25,2657.75,2671.50,1142350,2853010
04/30/2018,14:00,2670.50,2682.25,2645.00,2647.00,1341086,2859811
05/01/2018,14:00,2646.25,2658.00,2623.25,2652.25,1323628,2860955
05/02/2018,14:00,2655.50,2658.50,2624.25,2627.50,1427995,2857898
05/03/2018,14:00,2626.75,2636.25,2591.25,2631.75,1699202,2854817
05/04/2018,14:00,2631.75,2669.50,2612.25,2663.00,1699202,2852359
05/07/2018,14:00,2662.75,2681.50,2661.25,2670.00,1148919,2834612
05/08/2018,14:00,2668.00,2674.25,2652.25,2670.25,1281751,2842527
05/09/2018,14:00,2669.75,2700.00,2666.50,2696.00,1251722,2852929
05/10/2018,14:00,2696.00,2725.00,2692.75,2718.75,1173629,2867496
05/11/2018,14:00,2716.25,2732.50,2716.25,2729.50,1066248,2887528
