"Date","Time","Open","High","Low","Close","Vol","OI"
09/04/2019,14:00,0.95270,0.95270,0.95270,0.95270,0,0
09/05/2019,14:00,0.94760,0.94760,0.94760,0.94760,0,0
09/06/2019,14:00,0.94810,0.94810,0.94810,0.94810,0,0
09/09/2019,14:00,0.94580,0.94580,0.94580,0.94580,0,0
09/10/2019,14:00,0.94340,0.94340,0.94340,0.94340,0,0
09/11/2019,14:00,0.94010,0.94010,0.94010,0.94010,0,0
09/12/2019,14:00,0.93660,0.93660,0.93660,0.93660,0,0
09/13/2019,14:00,0.93660,0.93660,0.93660,0.93660,0,0
09/16/2019,14:00,0.93780,0.93780,0.93780,0.93780,0,0
09/17/2019,14:00,0.93640,0.93640,0.93640,0.93640,0,0
09/18/2019,14:00,0.93470,0.93470,0.93470,0.93470,0,0
09/19/2019,14:00,0.93810,0.93810,0.93810,0.93810,0,0
09/20/2019,14:00,0.94020,0.94020,0.94020,0.94020,0,0
09/23/2019,14:00,0.94260,0.94260,0.94180,0.94190,2,0
09/24/2019,14:00,0.94550,0.94580,0.94550,0.94580,1,1
09/25/2019,14:00,0.94180,0.94180,0.93880,0.93880,1,1
09/26/2019,14:00,0.93890,0.93890,0.93890,0.93890,0,1
09/27/2019,14:00,0.93820,0.93820,0.93820,0.93820,0,1
09/30/2019,14:00,0.93600,0.93600,0.93600,0.93600,0,1
10/01/2019,14:00,0.93900,0.93900,0.93900,0.93900,0,1
10/02/2019,14:00,0.94340,0.94340,0.94340,0.94340,0,1
10/03/2019,14:00,0.94560,0.94560,0.94560,0.94560,0,1
10/04/2019,14:00,0.94590,0.94590,0.94590,0.94590,0,1
10/07/2019,14:00,0.94190,0.94190,0.94190,0.94190,0,1
10/08/2019,14:00,0.94350,0.94350,0.94350,0.94350,0,1
10/09/2019,14:00,0.93960,0.93960,0.93960,0.93960,0,1
10/10/2019,14:00,0.93930,0.93930,0.93620,0.93620,1,2
10/11/2019,14:00,0.93080,0.93080,0.93080,0.93080,0,2
10/14/2019,14:00,0.93210,0.93210,0.93210,0.93210,0,2
10/15/2019,14:00,0.92750,0.92770,0.92750,0.92770,1,2
10/16/2019,14:00,0.92910,0.92910,0.92840,0.92840,1,1
10/17/2019,14:00,0.92920,0.92920,0.92920,0.92920,0,1
10/18/2019,14:00,0.93090,0.93090,0.93090,0.93090,0,1
10/21/2019,14:00,0.93030,0.93030,0.92950,0.92950,1,2
10/22/2019,14:00,0.93080,0.93080,0.93080,0.93080,0,2
10/23/2019,14:00,0.93130,0.93130,0.92890,0.92890,1,2
10/24/2019,14:00,0.92900,0.92900,0.92900,0.92900,0,2
10/25/2019,14:00,0.92830,0.92830,0.92830,0.92830,0,2
10/28/2019,14:00,0.92770,0.92770,0.92570,0.92570,7,5
10/29/2019,14:00,0.92700,0.92720,0.92700,0.92720,2,7
10/30/2019,14:00,0.92720,0.92800,0.92490,0.92590,4,11
10/31/2019,14:00,0.92840,0.93390,0.92840,0.93390,2,13
11/01/2019,14:00,0.93150,0.93150,0.93150,0.93150,0,13
11/04/2019,14:00,0.93100,0.93100,0.92830,0.92830,5,15
11/05/2019,14:00,0.92740,0.92740,0.92300,0.92300,7,22
11/06/2019,14:00,0.92470,0.92550,0.92470,0.92550,3,24
11/07/2019,14:00,0.92740,0.92740,0.92210,0.92210,5,29
11/08/2019,14:00,0.92360,0.92360,0.92360,0.92360,0,29
11/11/2019,14:00,0.92490,0.92490,0.92460,0.92460,1,28
11/12/2019,14:00,0.92520,0.92520,0.92520,0.92520,0,28
11/13/2019,14:00,0.92670,0.92670,0.92670,0.92670,5,28
11/14/2019,14:00,0.92640,0.93000,0.92620,0.92990,8,24
11/15/2019,14:00,0.92800,0.92800,0.92590,0.92590,3,23
11/18/2019,14:00,0.92490,0.92730,0.92490,0.92730,5,22
11/19/2019,14:00,0.92680,0.92820,0.92670,0.92820,6,22
11/20/2019,14:00,0.92740,0.92740,0.92740,0.92740,0,22
11/21/2019,14:00,0.92900,0.93020,0.92700,0.92700,19,20
11/22/2019,14:00,0.92700,0.92770,0.92700,0.92720,3,21
11/25/2019,14:00,0.92670,0.92670,0.92430,0.92430,22,39
11/26/2019,14:00,0.92290,0.92460,0.92280,0.92370,16,37
11/27/2019,14:00,0.92290,0.92290,0.91900,0.91900,16,45
11/29/2019,14:00,0.92020,0.92030,0.91840,0.92030,23,44
12/02/2019,14:00,0.91910,0.92420,0.91800,0.92390,36,51
12/03/2019,14:00,0.92340,0.92730,0.92240,0.92720,59,59
12/04/2019,14:00,0.92660,0.92790,0.92390,0.92390,39,62
12/05/2019,14:00,0.92440,0.92570,0.92320,0.92540,19,62
12/06/2019,14:00,0.92590,0.92850,0.92410,0.92690,55,70
12/09/2019,14:00,0.92670,0.92770,0.92620,0.92640,18,67
12/10/2019,14:00,0.92620,0.92720,0.92540,0.92560,49,83
12/11/2019,14:00,0.92520,0.92760,0.92520,0.92740,87,138
12/12/2019,14:00,0.92770,0.92800,0.91920,0.92020,864,379
12/13/2019,14:00,0.91910,0.92080,0.91700,0.92010,864,299
12/16/2019,14:00,0.91980,0.91980,0.91710,0.91780,348,338
12/17/2019,14:00,0.91770,0.91900,0.91720,0.91860,217,335
12/18/2019,14:00,0.91820,0.91920,0.91740,0.91770,162,334
12/19/2019,14:00,0.91780,0.92070,0.91690,0.91990,115,336
12/20/2019,14:00,0.91920,0.91970,0.91780,0.91820,172,328
12/23/2019,14:00,0.91850,0.91910,0.91730,0.91890,355,330
12/24/2019,14:00,0.91890,0.91950,0.91860,0.91880,36,335
12/26/2019,14:00,0.91830,0.91910,0.91640,0.91640,111,329
12/27/2019,14:00,0.91650,0.91780,0.91630,0.91780,111,329
12/30/2019,14:00,0.91720,0.92300,0.91720,0.92250,482,302
12/31/2019,14:00,0.92220,0.92550,0.92220,0.92460,663,470
01/02/2020,14:00,0.92260,0.92770,0.92210,0.92490,254,311
01/03/2020,14:00,0.92450,0.93080,0.92450,0.92940,1027,380
01/06/2020,14:00,0.93130,0.93140,0.92520,0.92560,828,321
01/07/2020,14:00,0.92620,0.92690,0.92400,0.92480,662,298
01/08/2020,14:00,0.92540,0.93220,0.91880,0.91890,1464,751
01/09/2020,14:00,0.92000,0.92030,0.91570,0.91630,707,883
01/10/2020,14:00,0.91640,0.91680,0.91480,0.91620,266,458
01/13/2020,14:00,0.91630,0.91630,0.91240,0.91280,249,476
01/14/2020,14:00,0.91230,0.91340,0.91040,0.91220,440,528
01/15/2020,14:00,0.91270,0.91360,0.91200,0.91270,349,571
01/16/2020,14:00,0.91270,0.91300,0.91030,0.91070,238,622
01/17/2020,14:00,0.91020,0.91140,0.90940,0.91060,459,636
01/21/2020,14:00,0.91010,0.91360,0.90990,0.91350,445,645
01/22/2020,14:00,0.91290,0.91300,0.91080,0.91260,134,648
01/23/2020,14:00,0.91290,0.91760,0.91290,0.91540,485,558
01/24/2020,14:00,0.91550,0.91830,0.91440,0.91770,485,556
01/27/2020,14:00,0.92070,0.92200,0.91880,0.92050,696,526
01/28/2020,14:00,0.92030,0.92170,0.91810,0.91860,377,506
01/29/2020,14:00,0.91780,0.91970,0.91700,0.91930,297,464
01/30/2020,14:00,0.91930,0.92300,0.91910,0.92140,520,431
01/31/2020,14:00,0.92020,0.92520,0.91830,0.92500,476,404
02/03/2020,14:00,0.92510,0.92540,0.92120,0.92220,542,422
02/04/2020,14:00,0.92230,0.92300,0.91480,0.91520,532,384
02/05/2020,14:00,0.91550,0.91670,0.91230,0.91240,447,403
02/06/2020,14:00,0.91240,0.91260,0.91070,0.91110,277,417
02/07/2020,14:00,0.91100,0.91460,0.90700,0.91300,450,438
02/10/2020,14:00,0.91310,0.91430,0.91170,0.91330,313,446
02/11/2020,14:00,0.91270,0.91300,0.91120,0.91280,706,526
02/12/2020,14:00,0.91230,0.91260,0.90880,0.91000,913,626
02/13/2020,14:00,0.90980,0.91360,0.90980,0.91210,417,638
02/14/2020,14:00,0.91230,0.91300,0.91130,0.91240,417,638
02/18/2020,14:00,0.91160,0.91320,0.91080,0.91150,1335,866
02/19/2020,14:00,0.91130,0.91130,0.89730,0.89750,1189,875
02/20/2020,14:00,0.89980,0.90080,0.89210,0.89350,899,963
02/21/2020,14:00,0.89330,0.89800,0.89240,0.89700,922,945
02/24/2020,14:00,0.89840,0.90720,0.89650,0.90390,1004,937
02/25/2020,14:00,0.90460,0.91090,0.90160,0.90940,1407,856
02/26/2020,14:00,0.90830,0.90890,0.90420,0.90830,2447,820
02/27/2020,14:00,0.90650,0.91340,0.90610,0.91040,4001,658
02/28/2020,14:00,0.91370,0.93070,0.91260,0.92820,4971,658
