"Date","Time","Open","High","Low","Close","Vol","OI"
03/15/2018,14:00,413.80,413.80,413.80,413.80,0,0
03/16/2018,14:00,409.90,409.90,409.90,409.90,0,0
03/19/2018,14:00,409.60,409.60,409.60,409.60,0,0
03/20/2018,14:00,410.30,410.30,410.30,410.30,0,0
03/21/2018,14:00,407.00,407.00,407.00,407.00,0,0
03/22/2018,14:00,408.60,408.60,408.60,408.60,0,0
03/23/2018,14:00,410.40,410.40,410.40,410.40,0,0
03/26/2018,14:00,415.90,415.90,415.90,415.90,0,0
03/27/2018,14:00,425.90,425.90,425.90,425.90,0,0
03/28/2018,14:00,425.70,425.70,425.70,425.70,0,0
03/29/2018,14:00,432.20,432.20,432.20,432.20,0,0
04/02/2018,14:00,428.20,428.20,428.20,428.20,0,0
04/03/2018,14:00,430.20,430.20,430.20,430.20,0,0
04/04/2018,14:00,437.90,437.90,437.90,437.90,0,0
04/05/2018,14:00,447.60,447.60,447.60,447.60,0,0
04/06/2018,14:00,446.20,446.20,446.20,446.20,0,0
04/09/2018,14:00,441.90,441.90,441.90,441.90,0,0
04/10/2018,14:00,440.90,440.90,440.90,440.90,0,0
04/11/2018,14:00,436.90,436.90,436.90,436.90,0,0
04/12/2018,14:00,436.80,436.80,436.80,436.80,0,0
04/13/2018,14:00,430.10,430.10,430.10,430.10,0,0
04/16/2018,14:00,436.10,436.10,436.10,436.10,0,0
04/17/2018,14:00,438.90,438.90,438.90,438.90,0,0
04/18/2018,14:00,441.90,441.90,441.90,441.90,0,0
04/19/2018,14:00,442.00,442.00,442.00,442.00,0,0
04/20/2018,14:00,442.10,442.10,442.10,442.10,0,0
04/23/2018,14:00,442.00,442.00,442.00,442.00,0,0
04/24/2018,14:00,446.00,446.00,446.00,446.00,0,0
04/25/2018,14:00,442.00,442.00,442.00,442.00,0,0
04/26/2018,14:00,443.80,443.80,443.80,443.80,0,0
04/27/2018,14:00,452.00,452.00,452.00,452.00,0,0
04/30/2018,14:00,453.20,453.20,453.20,453.20,0,0
05/01/2018,14:00,457.10,457.10,457.10,457.10,0,0
05/02/2018,14:00,464.70,464.70,452.00,452.00,6,6
05/03/2018,14:00,442.20,442.20,442.20,442.20,0,6
05/04/2018,14:00,452.20,452.20,452.20,452.20,0,6
05/07/2018,14:00,459.70,459.70,459.70,459.70,0,6
05/08/2018,14:00,464.40,464.40,464.40,464.40,0,6
05/09/2018,14:00,463.90,463.90,463.90,463.90,0,6
05/10/2018,14:00,461.90,461.90,461.90,461.90,0,6
05/11/2018,14:00,468.70,468.70,468.70,468.70,5,11
05/14/2018,14:00,473.70,477.70,473.70,473.70,3,14
05/15/2018,14:00,476.40,478.70,474.50,474.50,5,17
05/16/2018,14:00,482.70,484.50,482.70,484.30,4,21
05/17/2018,14:00,494.30,494.30,494.30,494.30,0,21
05/18/2018,14:00,494.30,494.30,479.30,479.30,2,22
05/21/2018,14:00,467.50,470.00,464.30,464.30,4,23
05/22/2018,14:00,450.00,450.00,449.30,449.30,5,21
05/23/2018,14:00,464.30,464.30,437.60,437.60,1,21
05/24/2018,14:00,438.00,438.00,438.00,438.00,0,21
05/25/2018,14:00,448.00,448.00,448.00,448.00,0,21
05/29/2018,14:00,463.00,463.00,463.00,463.00,2,23
05/30/2018,14:00,463.60,469.90,453.00,457.30,12,34
05/31/2018,14:00,463.00,463.00,457.00,457.00,8,41
06/01/2018,14:00,453.10,453.10,453.10,453.10,0,41
06/04/2018,14:00,450.00,450.00,450.00,450.00,2,43
06/05/2018,14:00,449.90,449.90,449.90,449.90,0,43
06/06/2018,14:00,452.30,454.70,450.00,454.70,6,47
06/07/2018,14:00,459.50,463.70,453.30,453.30,10,53
06/08/2018,14:00,456.80,456.80,445.20,445.20,4,54
06/11/2018,14:00,442.00,442.00,442.00,442.00,2,54
06/12/2018,14:00,436.00,441.00,432.10,441.00,5,54
06/13/2018,14:00,432.00,432.00,426.00,426.00,11,54
06/14/2018,14:00,430.20,430.20,430.20,430.20,0,54
06/15/2018,14:00,422.90,422.90,418.00,418.00,3,56
06/18/2018,14:00,417.60,417.60,417.60,417.60,0,56
06/19/2018,14:00,410.00,410.00,405.00,405.00,4,57
06/20/2018,14:00,401.00,404.90,395.00,404.90,2,57
06/21/2018,14:00,409.90,409.90,409.90,409.90,0,57
06/22/2018,14:00,424.90,424.90,424.90,424.90,2,56
06/25/2018,14:00,426.40,426.40,426.40,426.40,0,56
06/26/2018,14:00,428.00,428.00,428.00,428.00,0,56
06/27/2018,14:00,428.00,428.00,428.00,428.00,1,56
06/28/2018,14:00,429.10,429.10,429.10,429.10,0,56
06/29/2018,14:00,444.10,444.10,435.60,435.60,1,56
07/02/2018,14:00,438.10,438.10,438.10,438.10,1,56
07/03/2018,14:00,432.60,432.60,432.60,432.60,0,56
07/05/2018,14:00,423.90,423.90,423.90,423.90,0,56
07/06/2018,14:00,421.80,421.80,421.80,421.80,0,56
07/09/2018,14:00,420.30,420.30,420.30,420.30,0,56
07/10/2018,14:00,430.00,430.00,424.60,424.70,3,57
07/11/2018,14:00,419.00,419.00,418.90,418.90,2,56
07/12/2018,14:00,412.50,412.50,412.50,412.50,6,56
07/13/2018,14:00,412.20,412.20,412.20,412.20,0,56
07/16/2018,14:00,415.20,415.20,415.20,415.20,0,56
07/17/2018,14:00,410.50,424.30,410.50,424.30,3,56
07/18/2018,14:00,409.30,409.30,409.30,409.30,7,56
07/19/2018,14:00,403.00,403.00,403.00,403.00,5,59
07/20/2018,14:00,403.50,403.50,395.00,395.50,6,58
07/23/2018,14:00,395.00,395.00,395.00,395.00,0,58
07/24/2018,14:00,400.40,400.40,400.40,400.40,1,58
07/25/2018,14:00,400.60,400.60,400.60,400.60,0,58
07/26/2018,14:00,392.90,392.90,392.90,392.90,11,62
07/27/2018,14:00,390.00,390.00,385.00,385.00,11,62
07/30/2018,14:00,381.00,383.00,380.50,383.00,13,63
07/31/2018,14:00,389.40,389.40,389.40,389.40,2,63
08/01/2018,14:00,381.00,381.00,380.00,380.00,2,64
08/02/2018,14:00,373.60,376.30,373.60,376.30,5,64
08/03/2018,14:00,387.10,387.10,387.10,387.10,5,64
08/06/2018,14:00,388.80,388.80,388.80,388.80,1,64
08/07/2018,14:00,390.50,390.50,390.50,390.50,1,64
08/08/2018,14:00,381.00,381.00,381.00,381.00,2,64
08/09/2018,14:00,396.00,396.00,394.80,394.80,11,66
08/10/2018,14:00,397.00,397.00,397.00,397.00,0,66
08/13/2018,14:00,408.80,408.80,408.80,408.80,2,66
08/14/2018,14:00,418.00,418.20,418.00,418.20,10,65
08/15/2018,14:00,421.80,421.80,421.80,421.80,37,65
08/16/2018,14:00,431.00,431.00,431.00,431.00,5,65
08/17/2018,14:00,441.00,441.00,441.00,441.00,7,65
08/20/2018,14:00,437.20,437.20,437.20,437.20,0,65
08/21/2018,14:00,431.20,431.20,431.20,431.20,0,65
08/22/2018,14:00,416.20,416.20,416.20,416.20,0,65
08/23/2018,14:00,402.20,402.20,402.20,402.20,3,65
08/24/2018,14:00,408.30,408.30,408.30,408.30,0,65
08/27/2018,14:00,405.50,405.50,405.50,405.50,3,67
08/28/2018,14:00,407.70,407.70,407.70,407.70,0,67
08/29/2018,14:00,405.50,405.50,405.50,405.50,2,67
08/30/2018,14:00,396.70,396.70,396.70,396.70,0,67
08/31/2018,14:00,400.00,400.00,400.00,400.00,1,68
09/04/2018,14:00,400.00,400.50,400.00,400.50,3,68
09/05/2018,14:00,400.00,400.00,400.00,400.00,1,68
09/06/2018,14:00,395.00,395.00,395.00,395.00,5,70
09/07/2018,14:00,380.00,380.00,380.00,380.00,5,70
09/10/2018,14:00,378.00,378.00,370.00,372.00,5,72
