"Date","Time","Open","High","Low","Close","Vol","OI"
04/30/2018,11:05,106.650,106.650,106.650,106.650,0,0
05/01/2018,11:05,108.000,108.000,108.000,108.000,0,0
05/02/2018,11:05,108.775,108.775,108.775,108.775,13,11
05/03/2018,11:05,109.800,109.800,109.800,109.800,1,11
05/04/2018,11:05,110.000,110.000,110.000,110.000,1,11
05/07/2018,11:05,109.750,109.750,109.750,109.750,2,12
05/08/2018,11:05,109.425,109.425,109.425,109.425,1,12
05/09/2018,11:05,109.125,109.125,109.125,109.125,0,12
05/10/2018,11:05,109.000,109.250,109.000,109.250,6,16
05/11/2018,11:05,109.250,109.250,109.250,109.250,2,16
05/14/2018,11:05,108.000,108.000,108.000,108.000,3,16
05/15/2018,11:05,106.850,106.850,106.850,106.850,2,18
05/16/2018,11:05,106.700,106.700,106.700,106.700,0,18
05/17/2018,11:05,106.975,107.975,106.400,106.450,42,22
05/18/2018,11:05,106.325,106.325,106.325,106.325,0,22
05/21/2018,11:05,107.800,107.800,107.800,107.800,0,22
05/22/2018,11:05,107.900,107.900,107.900,107.900,2,22
05/23/2018,11:05,109.100,109.100,109.100,109.100,2,23
05/24/2018,11:05,109.050,109.225,108.825,108.825,6,42
05/25/2018,11:05,108.600,109.075,108.600,108.850,6,42
05/29/2018,11:05,108.275,108.275,108.275,108.275,0,42
05/30/2018,11:05,108.450,109.700,108.450,109.700,22,55
05/31/2018,11:05,109.400,109.400,109.400,109.400,0,55
06/01/2018,11:05,109.325,109.325,108.875,108.900,6,60
06/04/2018,11:05,108.800,109.000,108.800,109.000,2,60
06/05/2018,11:05,109.225,110.000,109.000,110.000,32,76
06/06/2018,11:05,110.500,110.500,110.300,110.300,9,82
06/07/2018,11:05,110.250,110.250,110.250,110.250,4,85
06/08/2018,11:05,110.325,110.325,110.325,110.325,0,85
06/11/2018,11:05,110.450,111.000,110.450,110.450,5,88
06/12/2018,11:05,109.600,110.200,109.600,110.200,5,92
06/13/2018,11:05,109.775,109.775,109.775,109.775,0,92
06/14/2018,11:05,108.850,108.850,108.850,108.850,0,92
06/15/2018,11:05,108.100,110.000,108.100,110.000,7,93
06/18/2018,11:05,109.625,109.625,109.625,109.625,2,93
06/19/2018,11:05,110.000,110.200,110.000,110.000,10,99
06/20/2018,11:05,110.100,110.125,110.100,110.125,2,101
06/21/2018,11:05,109.800,110.250,109.800,110.250,13,106
06/22/2018,11:05,110.075,110.100,110.075,110.100,46,141
06/25/2018,11:05,108.300,108.325,108.300,108.325,4,142
06/26/2018,11:05,108.825,108.900,108.250,108.725,63,184
06/27/2018,11:05,108.400,108.400,107.900,108.400,23,205
06/28/2018,11:05,108.250,108.725,108.250,108.675,30,232
06/29/2018,11:05,109.000,110.575,109.000,110.550,16,243
07/02/2018,11:05,111.000,111.150,110.650,111.150,25,255
07/03/2018,11:05,111.150,111.350,111.150,111.350,10,265
07/05/2018,11:05,111.350,111.650,111.350,111.650,6,262
07/06/2018,11:05,111.750,111.750,111.600,111.600,9,265
