"Date","Time","Open","High","Low","Close","Vol","OI"
04/13/2018,11:05,76.750,76.750,76.750,76.750,0,0
04/16/2018,11:05,76.500,76.500,76.500,76.500,0,0
04/17/2018,11:05,76.600,76.600,76.600,76.600,0,0
04/18/2018,11:05,77.250,77.250,77.250,77.250,0,0
04/19/2018,11:05,77.050,77.050,77.050,77.050,0,0
04/20/2018,11:05,76.950,76.950,76.950,76.950,0,0
04/23/2018,11:05,76.775,76.775,76.775,76.775,0,0
04/24/2018,11:05,76.300,76.300,76.300,76.300,0,0
04/25/2018,11:05,76.200,76.200,76.200,76.200,0,0
04/26/2018,11:05,75.775,75.775,75.775,75.775,0,0
04/27/2018,11:05,75.425,75.425,75.425,75.425,0,0
04/30/2018,11:05,75.000,75.000,75.000,75.000,0,0
05/01/2018,11:05,75.900,75.900,75.900,75.900,0,0
05/02/2018,11:05,75.375,75.375,75.375,75.375,0,0
05/03/2018,11:05,75.400,75.400,75.400,75.400,0,0
05/04/2018,11:05,75.750,75.750,75.750,75.750,0,0
05/07/2018,11:05,75.700,75.700,75.700,75.700,0,0
05/08/2018,11:05,75.175,75.175,75.175,75.175,0,0
05/09/2018,11:05,75.225,75.225,75.225,75.225,0,0
05/10/2018,11:05,75.700,75.700,75.700,75.700,0,0
05/11/2018,11:05,75.675,75.675,75.675,75.675,0,0
05/14/2018,11:05,75.875,75.875,75.875,75.875,0,0
05/15/2018,11:05,74.500,74.500,74.500,74.500,3,2
05/16/2018,11:05,74.500,74.500,74.500,74.500,16,13
05/17/2018,11:05,74.950,74.950,74.950,74.950,1,13
05/18/2018,11:05,74.950,75.400,74.950,75.400,65,36
05/21/2018,11:05,74.900,74.900,74.900,74.900,5,35
05/22/2018,11:05,74.750,74.750,74.750,74.750,1,34
05/23/2018,11:05,75.475,75.475,75.475,75.475,3,34
05/24/2018,11:05,75.500,75.500,75.500,75.500,9,41
05/25/2018,11:05,75.950,75.950,75.900,75.900,9,41
05/29/2018,11:05,75.950,75.950,75.950,75.950,1,41
05/30/2018,11:05,76.150,76.150,76.150,76.150,0,41
05/31/2018,11:05,75.900,75.900,75.900,75.900,0,41
06/01/2018,11:05,75.375,75.375,75.325,75.325,4,42
06/04/2018,11:05,74.975,75.100,74.775,75.100,20,50
06/05/2018,11:05,74.125,75.125,74.125,75.125,7,51
06/06/2018,11:05,76.125,76.125,76.125,76.125,0,51
06/07/2018,11:05,76.550,76.550,76.550,76.550,6,53
06/08/2018,11:05,76.800,76.800,76.500,76.500,15,54
06/11/2018,11:05,76.625,76.625,76.625,76.625,6,51
06/12/2018,11:05,76.125,76.200,76.125,76.200,20,61
06/13/2018,11:05,76.275,76.275,76.275,76.275,2,61
06/14/2018,11:05,75.500,75.500,75.500,75.500,0,61
06/15/2018,11:05,75.000,75.300,75.000,75.300,26,74
06/18/2018,11:05,75.425,75.425,75.425,75.425,11,73
06/19/2018,11:05,75.250,75.250,74.325,74.325,8,75
06/20/2018,11:05,73.725,73.725,73.175,73.600,30,82
06/21/2018,11:05,73.400,73.750,73.300,73.750,26,82
06/22/2018,11:05,73.500,73.500,73.500,73.500,1,83
06/25/2018,11:05,73.175,73.175,73.150,73.175,22,88
06/26/2018,11:05,73.650,73.950,73.650,73.950,14,94
06/27/2018,11:05,73.300,73.825,73.275,73.825,28,97
06/28/2018,11:05,74.150,74.150,74.150,74.150,3,99
06/29/2018,11:05,71.950,72.900,71.950,72.300,46,108
07/02/2018,11:05,73.500,73.500,73.500,73.500,34,127
07/03/2018,11:05,73.650,74.150,73.575,74.150,12,133
07/05/2018,11:05,74.475,74.475,74.150,74.425,30,137
07/06/2018,11:05,74.425,74.425,74.425,74.425,9,139
07/09/2018,11:05,74.200,74.450,74.200,74.225,38,148
07/10/2018,11:05,73.650,73.650,72.800,72.800,62,162
