"Date","Time","Open","High","Low","Close","Vol","OI"
06/14/2018,11:05,55.950,55.950,55.950,55.950,0,0
06/15/2018,11:05,55.950,55.950,55.950,55.950,3,3
06/18/2018,11:05,55.950,55.950,55.950,55.950,0,3
06/19/2018,11:05,58.825,58.825,58.825,58.825,1,4
06/20/2018,11:05,57.725,57.725,57.725,57.725,2,4
06/21/2018,11:05,57.825,57.825,57.825,57.825,0,4
06/22/2018,11:05,57.900,57.900,57.900,57.900,0,4
06/25/2018,11:05,56.250,56.250,56.250,56.250,1,5
06/26/2018,11:05,56.600,56.600,56.600,56.600,0,5
06/27/2018,11:05,56.575,56.575,56.575,56.575,0,5
06/28/2018,11:05,56.900,56.900,56.900,56.900,0,5
06/29/2018,11:05,56.800,56.800,56.800,56.800,1,5
07/02/2018,11:05,57.150,57.150,57.150,57.150,0,5
07/03/2018,11:05,57.600,57.600,57.600,57.600,0,5
07/05/2018,11:05,57.875,57.875,57.875,57.875,0,5
07/06/2018,11:05,58.100,58.100,58.100,58.100,1,5
07/09/2018,11:05,57.800,57.800,57.800,57.800,0,5
07/10/2018,11:05,56.800,56.800,56.800,56.800,0,5
07/11/2018,11:05,54.325,54.325,54.325,54.325,1,6
07/12/2018,11:05,56.100,56.100,56.100,56.100,1,6
07/13/2018,11:05,57.125,57.125,57.125,57.125,0,6
07/16/2018,11:05,56.000,56.000,56.000,56.000,2,6
07/17/2018,11:05,55.875,55.875,55.875,55.875,2,6
07/18/2018,11:05,57.500,57.500,57.500,57.500,0,6
07/19/2018,11:05,57.500,57.500,57.375,57.375,17,15
07/20/2018,11:05,56.500,56.500,56.000,56.000,13,22
07/23/2018,11:05,57.000,57.000,57.000,57.000,8,26
07/24/2018,11:05,57.000,57.000,57.000,57.000,8,30
07/25/2018,11:05,57.000,57.000,56.800,57.000,6,35
07/26/2018,11:05,57.500,57.500,56.000,56.000,4,41
07/27/2018,11:05,56.200,56.250,55.500,56.250,4,41
07/30/2018,11:05,56.250,56.875,56.250,56.875,1,41
07/31/2018,11:05,56.575,56.575,56.575,56.575,0,41
08/01/2018,11:05,56.475,56.475,56.475,56.475,0,41
08/02/2018,11:05,56.300,56.300,56.300,56.300,1,43
08/03/2018,11:05,57.000,57.000,57.000,57.000,1,43
08/06/2018,11:05,56.975,56.975,56.900,56.900,7,48
08/07/2018,11:05,56.450,56.450,56.450,56.450,4,49
08/08/2018,11:05,56.375,56.375,56.375,56.375,0,49
08/09/2018,11:05,57.000,57.500,57.000,57.500,16,57
08/10/2018,11:05,57.500,58.000,56.600,56.600,15,59
08/13/2018,11:05,56.675,56.675,56.500,56.500,10,60
08/14/2018,11:05,57.500,57.500,57.500,57.500,2,60
08/15/2018,11:05,57.000,57.500,57.000,57.500,17,66
08/16/2018,11:05,58.000,58.500,58.000,58.500,25,79
08/17/2018,11:05,58.650,59.875,58.650,59.625,28,87
08/20/2018,11:05,59.450,59.550,59.450,59.550,25,96
08/21/2018,11:05,59.775,59.775,59.700,59.700,16,95
08/22/2018,11:05,58.900,59.000,58.900,59.000,7,101
08/23/2018,11:05,59.000,59.600,59.000,59.200,46,122
08/24/2018,11:05,59.650,59.650,59.650,59.650,2,121
08/27/2018,11:05,60.000,60.500,60.000,60.500,54,146
08/28/2018,11:05,61.375,61.375,59.775,60.425,10,150
08/29/2018,11:05,60.000,61.000,60.000,60.500,10,152
08/30/2018,11:05,60.325,60.825,60.000,60.100,32,153
08/31/2018,11:05,61.000,61.000,61.000,61.000,9,157
09/04/2018,11:05,60.100,61.800,60.100,61.650,21,162
09/05/2018,11:05,61.025,62.000,60.800,61.800,14,171
09/06/2018,11:05,61.625,62.275,61.625,61.925,9,225
09/07/2018,11:05,62.100,62.100,61.475,62.075,9,225
09/10/2018,11:05,61.675,61.700,61.675,61.700,2,227
09/11/2018,11:05,61.450,61.450,61.000,61.000,10,228
09/12/2018,11:05,61.250,61.250,61.250,61.250,2,229
09/13/2018,11:05,61.600,62.150,61.600,61.600,20,234
09/14/2018,11:05,61.750,62.000,61.700,61.700,25,248
09/17/2018,11:05,61.000,61.000,60.400,60.400,16,241
09/18/2018,11:05,60.900,61.000,60.900,61.000,22,252
09/19/2018,11:05,60.500,60.900,60.500,60.900,2,252
09/20/2018,11:05,60.475,60.475,60.400,60.425,5,253
09/21/2018,11:05,60.400,60.675,60.300,60.375,40,268
09/24/2018,11:05,60.400,60.700,60.400,60.450,8,273
09/25/2018,11:05,60.825,60.850,60.725,60.750,4,273
09/26/2018,11:05,60.625,60.625,60.450,60.450,16,267
09/27/2018,11:05,60.100,60.100,59.250,59.500,12,277
09/28/2018,11:05,60.500,61.000,60.500,61.000,12,277
10/01/2018,11:05,61.000,62.500,61.000,62.500,70,311
10/02/2018,11:05,61.500,62.000,61.000,61.850,68,346
10/03/2018,11:05,61.000,61.000,60.425,60.750,53,336
10/04/2018,11:05,60.525,60.650,60.525,60.600,5,335
10/05/2018,11:05,61.100,61.450,61.000,61.375,32,347
10/08/2018,11:05,61.450,61.500,61.400,61.500,15,354
10/09/2018,11:05,61.000,61.000,60.500,60.550,11,349
10/10/2018,11:05,61.400,61.750,60.900,61.175,20,340
10/11/2018,11:05,60.500,60.500,60.050,60.050,20,338
10/12/2018,11:05,60.050,60.050,60.025,60.025,34,348
10/15/2018,11:05,61.325,61.325,61.000,61.000,48,367
10/16/2018,11:05,61.025,61.500,60.600,60.675,22,378
10/17/2018,11:05,61.450,61.500,60.875,61.250,38,379
10/18/2018,11:05,61.025,61.025,60.500,60.500,21,381
10/19/2018,11:05,60.025,60.175,60.025,60.025,47,387
10/22/2018,11:05,60.475,60.525,60.200,60.450,17,392
10/23/2018,11:05,61.025,61.350,60.800,61.350,25,406
10/24/2018,11:05,61.500,61.500,60.725,61.125,263,561
10/25/2018,11:05,61.125,61.125,60.025,60.800,72,577
10/26/2018,11:05,60.900,60.900,60.650,60.650,6,577
10/29/2018,11:05,60.900,60.900,60.700,60.825,35,592
10/30/2018,11:05,60.650,60.650,60.375,60.600,15,597
10/31/2018,11:05,60.500,60.500,59.500,59.575,57,606
11/01/2018,11:05,59.500,61.125,59.000,61.000,88,626
11/02/2018,11:05,60.900,61.500,60.850,61.500,31,644
11/05/2018,11:05,61.500,61.500,60.850,60.850,51,658
11/06/2018,11:05,60.500,60.850,59.500,60.000,123,652
11/07/2018,11:05,60.250,61.000,59.900,60.975,37,668
11/08/2018,11:05,60.675,61.400,60.550,61.075,36,675
11/09/2018,11:05,60.750,61.500,60.625,61.475,36,675
11/12/2018,11:05,61.500,61.750,61.000,61.250,258,778
11/13/2018,11:05,60.975,61.600,60.700,61.500,104,795
11/14/2018,11:05,61.450,61.450,61.100,61.100,11,797
11/15/2018,11:05,61.175,61.275,61.050,61.175,39,815
11/16/2018,11:05,61.325,62.000,61.325,61.700,95,850
11/19/2018,11:05,62.000,62.500,62.000,62.250,86,890
11/20/2018,11:05,62.250,62.400,61.925,62.400,67,901
11/21/2018,11:05,62.050,63.000,61.925,62.675,31,936
11/23/2018,11:05,62.950,63.000,62.725,62.925,31,935
11/26/2018,11:05,62.925,63.000,62.675,63.000,60,951
11/27/2018,11:05,62.800,63.050,62.725,62.725,94,960
11/28/2018,11:05,62.975,63.000,62.650,62.650,52,972
11/29/2018,11:05,63.250,63.400,62.525,62.850,118,1118
11/30/2018,11:05,63.000,63.250,62.750,63.250,118,1113
12/03/2018,11:05,63.475,63.500,62.500,62.650,152,1136
12/04/2018,11:05,62.650,62.650,62.275,62.275,74,1173
12/06/2018,11:05,62.300,62.900,62.275,62.800,128,1280
12/07/2018,11:05,62.900,62.925,62.250,62.775,128,1280
12/10/2018,11:05,63.100,63.200,62.500,62.875,61,1304
12/11/2018,11:05,63.000,63.400,62.700,63.325,132,1328
12/12/2018,11:05,62.500,63.600,62.500,63.550,152,1388
12/13/2018,11:05,63.525,63.525,63.150,63.425,117,1396
12/14/2018,11:05,62.900,63.300,62.675,63.050,49,1413
12/17/2018,11:05,62.600,62.800,62.375,62.500,97,1430
12/18/2018,11:05,62.275,62.300,61.975,61.975,139,1415
12/19/2018,11:05,62.000,62.275,61.725,61.850,75,1425
12/20/2018,11:05,61.725,62.250,61.500,62.150,140,1461
12/21/2018,11:05,62.500,62.675,62.200,62.325,58,1491
12/24/2018,11:05,62.150,62.300,61.700,61.700,48,1497
12/26/2018,11:05,61.925,61.925,61.600,61.650,27,1508
12/27/2018,11:05,61.800,61.800,61.625,61.750,63,1572
12/28/2018,11:05,61.725,61.900,61.575,61.575,63,1566
12/31/2018,11:05,61.800,62.450,61.800,62.425,55,1573
01/02/2019,11:05,62.875,63.175,62.875,63.075,206,1572
01/03/2019,11:05,63.175,63.425,62.400,62.525,322,1706
01/04/2019,11:05,62.675,63.050,62.275,62.375,88,1735
01/07/2019,11:05,62.700,62.850,62.250,62.625,139,1718
01/08/2019,11:05,63.000,63.125,62.725,62.975,280,1732
01/09/2019,11:05,63.100,63.725,63.100,63.550,439,1844
01/10/2019,11:05,63.425,63.825,63.325,63.775,536,1917
01/11/2019,11:05,63.750,63.825,62.750,63.350,437,1926
01/14/2019,11:05,63.275,63.450,62.250,62.325,523,2090
01/15/2019,11:05,62.525,63.250,62.500,62.725,264,2141
01/16/2019,11:05,62.275,62.775,61.525,62.700,346,2184
01/17/2019,11:05,62.375,62.975,62.250,62.725,200,2219
01/18/2019,11:05,62.800,63.800,62.775,63.350,742,2439
01/22/2019,11:05,63.500,63.850,63.400,63.775,594,2662
01/23/2019,11:05,63.625,63.725,63.200,63.575,328,2670
01/24/2019,11:05,63.250,63.250,62.900,62.975,284,2763
01/25/2019,11:05,62.625,63.175,62.300,62.425,284,2763
01/28/2019,11:05,62.275,62.900,62.000,62.625,173,2795
01/29/2019,11:05,62.200,63.300,62.050,63.000,455,2962
01/30/2019,11:05,62.950,63.800,62.725,63.475,706,3154
01/31/2019,11:05,63.600,63.800,63.075,63.275,544,3295
02/01/2019,11:05,63.600,64.000,63.375,63.925,1819,3883
02/04/2019,11:05,63.975,64.300,63.400,64.225,1328,4585
02/05/2019,11:05,64.050,64.225,63.875,63.975,739,4761
02/06/2019,11:05,63.850,64.200,63.850,64.125,520,5108
02/07/2019,11:05,63.975,64.225,63.700,63.825,2088,6094
02/08/2019,11:05,63.825,63.850,63.325,63.850,918,6514
02/11/2019,11:05,63.675,63.850,63.250,63.825,1289,6987
02/12/2019,11:05,63.850,64.400,63.600,64.325,2394,8080
02/13/2019,11:05,64.200,64.450,64.200,64.425,1260,8751
02/14/2019,11:05,64.350,64.375,63.400,63.650,466,9110
02/15/2019,11:05,63.500,64.200,63.500,63.825,466,9099
02/19/2019,11:05,63.675,63.975,61.550,62.325,1417,9117
02/20/2019,11:05,62.675,63.250,62.050,62.450,1284,9286
02/21/2019,11:05,63.000,64.250,62.825,64.225,2288,10055
02/22/2019,11:05,64.050,64.475,63.975,64.425,1177,10542
02/25/2019,11:05,64.400,64.500,63.650,64.125,1298,10693
02/26/2019,11:05,64.200,64.500,63.500,64.400,2103,11770
02/27/2019,11:05,63.750,64.675,63.750,64.350,1856,12327
02/28/2019,11:05,64.250,64.625,64.200,64.550,1082,13388
03/01/2019,11:05,64.550,64.750,64.350,64.525,1082,13348
03/04/2019,11:05,64.700,64.750,64.200,64.450,1331,13816
03/05/2019,11:05,64.625,64.850,64.250,64.625,1228,14218
03/06/2019,11:05,64.650,64.675,64.200,64.400,1185,14437
03/07/2019,11:05,64.400,64.425,63.875,64.125,1528,15051
03/08/2019,11:05,64.200,64.725,64.100,64.175,2817,15435
03/11/2019,11:05,64.500,65.475,64.475,65.350,6254,17491
03/12/2019,11:05,65.400,65.875,65.050,65.700,5105,19136
03/13/2019,11:05,65.800,67.750,65.700,67.550,7963,21974
03/14/2019,11:05,67.125,69.750,67.025,69.525,6269,24640
03/15/2019,11:05,69.525,72.525,69.525,72.525,5595,26126
03/18/2019,11:05,73.175,75.150,72.375,74.950,7368,28332
03/19/2019,11:05,75.150,75.425,72.000,73.875,5766,29221
03/20/2019,11:05,74.500,76.875,74.025,76.725,8020,31492
03/21/2019,11:05,76.650,81.225,76.650,81.225,10606,32922
03/22/2019,11:05,82.000,84.950,78.225,81.075,11006,34719
03/25/2019,11:05,81.725,81.925,79.000,79.675,5797,35234
03/26/2019,11:05,80.000,80.650,79.300,80.225,3122,35569
03/27/2019,11:05,80.000,80.125,78.200,80.000,3102,35842
03/28/2019,11:05,79.250,79.950,77.000,77.000,7724,36540
03/29/2019,11:05,76.000,76.125,72.500,72.975,7724,36512
04/01/2019,11:05,71.925,73.275,69.975,72.875,6731,36004
04/02/2019,11:05,73.425,75.325,73.425,75.200,5979,36003
04/03/2019,11:05,75.300,78.175,75.250,77.900,6388,36966
04/04/2019,11:05,77.050,80.900,76.900,80.900,8087,37525
