"Date","Time","Open","High","Low","Close","Vol","OI"
02/27/2018,14:00,0.05009,0.05009,0.05009,0.05009,0,0
02/28/2018,14:00,0.05001,0.05001,0.05001,0.05001,0,0
03/01/2018,14:00,0.04994,0.04994,0.04994,0.04994,0,0
03/02/2018,14:00,0.05004,0.05004,0.05004,0.05004,0,0
03/05/2018,14:00,0.05000,0.05000,0.05000,0.05000,0,0
03/06/2018,14:00,0.05035,0.05035,0.05035,0.05035,0,0
03/07/2018,14:00,0.05036,0.05036,0.05036,0.05036,0,0
03/08/2018,14:00,0.05057,0.05057,0.05057,0.05057,0,0
03/09/2018,14:00,0.05072,0.05072,0.05072,0.05072,0,0
03/12/2018,14:00,0.05079,0.05079,0.05079,0.05079,0,0
03/13/2018,14:00,0.05083,0.05083,0.05083,0.05083,0,0
03/14/2018,14:00,0.05089,0.05089,0.05089,0.05089,0,0
03/15/2018,14:00,0.05050,0.05050,0.05050,0.05050,0,0
03/16/2018,14:00,0.05056,0.05056,0.05056,0.05056,0,0
03/19/2018,14:00,0.05038,0.05038,0.05038,0.05038,0,0
03/20/2018,14:00,0.05041,0.05041,0.05041,0.05041,0,0
03/21/2018,14:00,0.05115,0.05115,0.05115,0.05115,0,0
03/22/2018,14:00,0.05112,0.05112,0.05112,0.05112,0,0
03/23/2018,14:00,0.05112,0.05112,0.05112,0.05112,0,0
03/26/2018,14:00,0.05179,0.05179,0.05179,0.05179,0,0
03/27/2018,14:00,0.05164,0.05164,0.05164,0.05164,0,0
03/28/2018,14:00,0.05193,0.05193,0.05193,0.05193,0,0
03/29/2018,14:00,0.05213,0.05213,0.05213,0.05213,0,0
04/02/2018,14:00,0.05179,0.05179,0.05179,0.05179,0,0
04/03/2018,14:00,0.05208,0.05208,0.05208,0.05208,0,0
04/04/2018,14:00,0.05223,0.05223,0.05223,0.05223,0,0
04/05/2018,14:00,0.05229,0.05229,0.05229,0.05229,0,0
04/06/2018,14:00,0.05186,0.05186,0.05186,0.05186,0,0
04/09/2018,14:00,0.05197,0.05197,0.05197,0.05197,0,0
04/10/2018,14:00,0.05201,0.05201,0.05201,0.05201,0,0
04/11/2018,14:00,0.05212,0.05212,0.05212,0.05212,0,0
04/12/2018,14:00,0.05228,0.05228,0.05228,0.05228,0,0
04/13/2018,14:00,0.05262,0.05262,0.05262,0.05262,0,0
04/16/2018,14:00,0.05283,0.05283,0.05283,0.05283,0,0
04/17/2018,14:00,0.05286,0.05286,0.05286,0.05286,0,0
04/18/2018,14:00,0.05270,0.05270,0.05270,0.05270,0,0
04/19/2018,14:00,0.05169,0.05169,0.05169,0.05169,0,0
04/20/2018,14:00,0.05129,0.05129,0.05129,0.05129,0,0
04/23/2018,14:00,0.05038,0.05038,0.05038,0.05038,0,0
04/24/2018,14:00,0.05047,0.05047,0.05047,0.05047,0,0
04/25/2018,14:00,0.05037,0.05037,0.05037,0.05037,0,0
04/26/2018,14:00,0.05055,0.05055,0.05055,0.05055,0,0
04/27/2018,14:00,0.05115,0.05115,0.05115,0.05115,0,0
04/30/2018,14:00,0.05092,0.05092,0.05092,0.05092,0,0
05/01/2018,14:00,0.05034,0.05034,0.05034,0.05034,0,0
05/02/2018,14:00,0.05002,0.05002,0.05002,0.05002,0,0
05/03/2018,14:00,0.04994,0.04994,0.04994,0.04994,0,0
05/04/2018,14:00,0.04960,0.04960,0.04960,0.04960,0,0
05/07/2018,14:00,0.04888,0.04888,0.04888,0.04888,0,0
05/08/2018,14:00,0.04865,0.04865,0.04865,0.04865,0,0
05/09/2018,14:00,0.04868,0.04868,0.04868,0.04868,0,0
05/10/2018,14:00,0.04960,0.04960,0.04960,0.04960,0,0
05/11/2018,14:00,0.04916,0.04916,0.04916,0.04916,0,0
05/14/2018,14:00,0.04869,0.04869,0.04869,0.04869,0,0
05/15/2018,14:00,0.04831,0.04831,0.04831,0.04831,0,0
05/16/2018,14:00,0.04857,0.04857,0.04857,0.04857,0,0
05/17/2018,14:00,0.04837,0.04837,0.04837,0.04837,0,0
05/18/2018,14:00,0.04780,0.04780,0.04780,0.04780,0,0
05/21/2018,14:00,0.04796,0.04796,0.04796,0.04796,0,0
05/22/2018,14:00,0.04825,0.04825,0.04825,0.04825,0,0
05/23/2018,14:00,0.04866,0.04866,0.04866,0.04866,0,0
05/24/2018,14:00,0.04840,0.04840,0.04840,0.04840,0,0
05/25/2018,14:00,0.04885,0.04885,0.04885,0.04885,0,0
05/29/2018,14:00,0.04799,0.04799,0.04799,0.04799,0,0
05/30/2018,14:00,0.04813,0.04813,0.04813,0.04813,0,0
05/31/2018,14:00,0.04777,0.04777,0.04777,0.04777,0,0
06/01/2018,14:00,0.04787,0.04787,0.04787,0.04787,0,0
06/04/2018,14:00,0.04766,0.04766,0.04766,0.04766,0,0
06/05/2018,14:00,0.04685,0.04685,0.04685,0.04685,0,0
06/06/2018,14:00,0.04698,0.04698,0.04698,0.04698,0,0
06/07/2018,14:00,0.04652,0.04652,0.04652,0.04652,0,0
06/08/2018,14:00,0.04692,0.04692,0.04692,0.04692,0,0
06/11/2018,14:00,0.04642,0.04642,0.04642,0.04642,0,0
06/12/2018,14:00,0.04614,0.04614,0.04614,0.04614,0,0
06/13/2018,14:00,0.04605,0.04605,0.04605,0.04605,0,0
06/14/2018,14:00,0.04588,0.04588,0.04588,0.04588,0,0
06/15/2018,14:00,0.04626,0.04626,0.04626,0.04626,0,0
06/18/2018,14:00,0.04651,0.04651,0.04651,0.04651,0,0
06/19/2018,14:00,0.04660,0.04660,0.04660,0.04660,0,0
06/20/2018,14:00,0.04702,0.04702,0.04702,0.04702,0,0
06/21/2018,14:00,0.04733,0.04733,0.04733,0.04733,0,0
06/22/2018,14:00,0.04787,0.04787,0.04787,0.04787,0,0
06/25/2018,14:00,0.04802,0.04802,0.04802,0.04802,0,0
06/26/2018,14:00,0.04818,0.04818,0.04818,0.04818,0,0
06/27/2018,14:00,0.04752,0.04752,0.04752,0.04752,0,0
06/28/2018,14:00,0.04868,0.04868,0.04868,0.04868,0,0
06/29/2018,14:00,0.04833,0.04833,0.04833,0.04833,0,0
07/02/2018,14:00,0.04790,0.04790,0.04790,0.04790,0,0
07/03/2018,14:00,0.04908,0.04908,0.04908,0.04908,0,0
07/05/2018,14:00,0.05001,0.05001,0.05001,0.05001,0,0
07/06/2018,14:00,0.05044,0.05044,0.05044,0.05044,0,0
07/09/2018,14:00,0.05016,0.05016,0.05016,0.05016,0,0
07/10/2018,14:00,0.05085,0.05085,0.05085,0.05085,0,0
07/11/2018,14:00,0.05063,0.05063,0.05063,0.05063,0,0
07/12/2018,14:00,0.05088,0.05088,0.05088,0.05088,0,0
07/13/2018,14:00,0.05083,0.05083,0.05083,0.05083,0,0
07/16/2018,14:00,0.05113,0.05113,0.05113,0.05113,0,0
07/17/2018,14:00,0.05103,0.05103,0.05103,0.05103,0,0
07/18/2018,14:00,0.05111,0.05111,0.05111,0.05111,0,0
07/19/2018,14:00,0.05064,0.05064,0.05064,0.05064,0,0
07/20/2018,14:00,0.05056,0.05056,0.05056,0.05056,0,0
07/23/2018,14:00,0.05071,0.05071,0.05071,0.05071,0,0
07/24/2018,14:00,0.05098,0.05098,0.05098,0.05098,0,0
07/25/2018,14:00,0.05150,0.05150,0.05150,0.05150,0,0
07/26/2018,14:00,0.05170,0.05170,0.05170,0.05170,0,0
07/27/2018,14:00,0.05176,0.05176,0.05176,0.05176,0,0
07/30/2018,14:00,0.05200,0.05200,0.05200,0.05200,0,0
07/31/2018,14:00,0.05170,0.05170,0.05170,0.05170,0,0
08/01/2018,14:00,0.05186,0.05186,0.05186,0.05186,0,0
08/02/2018,14:00,0.05173,0.05173,0.05173,0.05173,0,0
08/03/2018,14:00,0.05208,0.05208,0.05208,0.05208,0,0
08/06/2018,14:00,0.05223,0.05223,0.05223,0.05223,0,0
