"Date","Time","Open","High","Low","Close","Vol","OI"
02/27/2018,14:00,0.04947,0.04947,0.04947,0.04947,0,0
02/28/2018,14:00,0.04940,0.04940,0.04940,0.04940,0,0
03/01/2018,14:00,0.04932,0.04932,0.04932,0.04932,0,0
03/02/2018,14:00,0.04942,0.04942,0.04942,0.04942,0,0
03/05/2018,14:00,0.04940,0.04940,0.04940,0.04940,0,0
03/06/2018,14:00,0.04974,0.04974,0.04974,0.04974,0,0
03/07/2018,14:00,0.04974,0.04974,0.04974,0.04974,0,0
03/08/2018,14:00,0.04997,0.04997,0.04997,0.04997,0,0
03/09/2018,14:00,0.05012,0.05012,0.05012,0.05012,0,0
03/12/2018,14:00,0.05018,0.05018,0.05018,0.05018,0,0
03/13/2018,14:00,0.05023,0.05023,0.05023,0.05023,0,0
03/14/2018,14:00,0.05028,0.05028,0.05028,0.05028,0,0
03/15/2018,14:00,0.04989,0.04989,0.04989,0.04989,0,0
03/16/2018,14:00,0.04996,0.04996,0.04996,0.04996,0,0
03/19/2018,14:00,0.04978,0.04978,0.04978,0.04978,0,0
03/20/2018,14:00,0.04981,0.04981,0.04981,0.04981,0,0
03/21/2018,14:00,0.05054,0.05054,0.05054,0.05054,0,0
03/22/2018,14:00,0.05052,0.05052,0.05052,0.05052,0,0
03/23/2018,14:00,0.05052,0.05052,0.05052,0.05052,0,0
03/26/2018,14:00,0.05118,0.05118,0.05118,0.05118,0,0
03/27/2018,14:00,0.05103,0.05103,0.05103,0.05103,0,0
03/28/2018,14:00,0.05132,0.05132,0.05132,0.05132,0,0
03/29/2018,14:00,0.05152,0.05152,0.05152,0.05152,0,0
04/02/2018,14:00,0.05117,0.05117,0.05117,0.05117,0,0
04/03/2018,14:00,0.05147,0.05147,0.05147,0.05147,0,0
04/04/2018,14:00,0.05162,0.05162,0.05162,0.05162,0,0
04/05/2018,14:00,0.05168,0.05168,0.05168,0.05168,0,0
04/06/2018,14:00,0.05125,0.05125,0.05125,0.05125,0,0
04/09/2018,14:00,0.05136,0.05136,0.05136,0.05136,0,0
04/10/2018,14:00,0.05140,0.05140,0.05140,0.05140,0,0
04/11/2018,14:00,0.05150,0.05150,0.05150,0.05150,0,0
04/12/2018,14:00,0.05168,0.05168,0.05168,0.05168,0,0
04/13/2018,14:00,0.05201,0.05201,0.05201,0.05201,0,0
04/16/2018,14:00,0.05222,0.05222,0.05222,0.05222,0,0
04/17/2018,14:00,0.05225,0.05225,0.05225,0.05225,0,0
04/18/2018,14:00,0.05210,0.05210,0.05210,0.05210,0,0
04/19/2018,14:00,0.05108,0.05108,0.05108,0.05108,0,0
04/20/2018,14:00,0.05068,0.05068,0.05068,0.05068,0,0
04/23/2018,14:00,0.04978,0.04978,0.04978,0.04978,0,0
04/24/2018,14:00,0.04985,0.04985,0.04985,0.04985,0,0
04/25/2018,14:00,0.04975,0.04975,0.04975,0.04975,0,0
