"Date","Time","Open","High","Low","Close","Vol","OI"
09/04/2019,14:00,1.0380,1.0380,1.0380,1.0380,0,0
09/05/2019,14:00,1.0308,1.0308,1.0308,1.0308,0,0
09/06/2019,14:00,1.0296,1.0296,1.0296,1.0296,0,0
09/09/2019,14:00,1.0254,1.0254,1.0254,1.0254,0,0
09/10/2019,14:00,1.0261,1.0261,1.0261,1.0261,0,0
09/11/2019,14:00,1.0239,1.0239,1.0239,1.0239,0,0
09/12/2019,14:00,1.0254,1.0254,1.0254,1.0254,0,0
09/13/2019,14:00,1.0251,1.0251,1.0251,1.0251,0,0
09/16/2019,14:00,1.0239,1.0239,1.0239,1.0239,0,0
09/17/2019,14:00,1.0223,1.0223,1.0223,1.0223,0,0
09/18/2019,14:00,1.0185,1.0185,1.0185,1.0185,0,0
09/19/2019,14:00,1.0233,1.0233,1.0233,1.0233,0,0
09/20/2019,14:00,1.0230,1.0230,1.0230,1.0230,0,0
09/23/2019,14:00,1.0249,1.0249,1.0249,1.0249,0,0
09/24/2019,14:00,1.0296,1.0296,1.0296,1.0296,0,0
09/25/2019,14:00,1.0278,1.0278,1.0226,1.0226,1,1
09/26/2019,14:00,1.0214,1.0214,1.0214,1.0214,0,1
09/27/2019,14:00,1.0238,1.0238,1.0238,1.0238,0,1
09/30/2019,14:00,1.0160,1.0160,1.0160,1.0160,0,1
10/01/2019,14:00,1.0210,1.0210,1.0210,1.0210,0,1
10/02/2019,14:00,1.0175,1.0175,1.0160,1.0160,2,3
10/03/2019,14:00,1.0145,1.0145,1.0145,1.0145,0,3
10/04/2019,14:00,1.0181,1.0181,1.0181,1.0181,0,3
10/07/2019,14:00,1.0181,1.0181,1.0181,1.0181,0,3
10/08/2019,14:00,1.0185,1.0192,1.0185,1.0192,1,2
10/09/2019,14:00,1.0166,1.0166,1.0166,1.0166,0,2
10/10/2019,14:00,1.0158,1.0158,1.0158,1.0158,0,2
10/11/2019,14:00,1.0151,1.0151,1.0151,1.0151,0,2
10/14/2019,14:00,1.0151,1.0151,1.0151,1.0151,0,2
10/15/2019,14:00,1.0133,1.0133,1.0133,1.0133,0,2
10/16/2019,14:00,1.0136,1.0169,1.0134,1.0169,8,8
10/17/2019,14:00,1.0241,1.0241,1.0241,1.0241,0,8
10/18/2019,14:00,1.0251,1.0268,1.0251,1.0268,2,10
10/21/2019,14:00,1.0270,1.0270,1.0263,1.0263,1,11
10/22/2019,14:00,1.0227,1.0227,1.0227,1.0227,0,11
10/23/2019,14:00,1.0209,1.0209,1.0209,1.0209,0,11
10/24/2019,14:00,1.0192,1.0192,1.0192,1.0192,0,9
10/25/2019,14:00,1.0164,1.0164,1.0164,1.0164,0,9
10/28/2019,14:00,1.0163,1.0163,1.0163,1.0163,0,9
10/29/2019,14:00,1.0172,1.0172,1.0172,1.0172,0,9
10/30/2019,14:00,1.0199,1.0203,1.0199,1.0203,1,10
10/31/2019,14:00,1.0235,1.0235,1.0235,1.0235,0,10
11/01/2019,14:00,1.0243,1.0243,1.0243,1.0243,0,10
11/04/2019,14:00,1.0221,1.0221,1.0221,1.0221,0,10
11/05/2019,14:00,1.0208,1.0215,1.0164,1.0164,4,10
11/06/2019,14:00,1.0174,1.0174,1.0174,1.0174,0,10
11/07/2019,14:00,1.0141,1.0141,1.0141,1.0141,0,10
11/08/2019,14:00,1.0120,1.0120,1.0120,1.0120,0,10
11/11/2019,14:00,1.0163,1.0163,1.0163,1.0163,0,10
11/12/2019,14:00,1.0172,1.0172,1.0172,1.0172,0,10
11/13/2019,14:00,1.0204,1.0204,1.0204,1.0204,0,10
11/14/2019,14:00,1.0214,1.0214,1.0214,1.0214,0,10
11/15/2019,14:00,1.0190,1.0190,1.0190,1.0190,0,10
11/18/2019,14:00,1.0206,1.0206,1.0206,1.0206,0,10
11/19/2019,14:00,1.0181,1.0181,1.0181,1.0181,0,10
11/20/2019,14:00,1.0174,1.0174,1.0174,1.0174,0,10
