"Date","Time","Open","High","Low","Close","Vol","OI"
03/06/2018,14:00,0.7296,0.7296,0.7296,0.7296,0,0
03/07/2018,14:00,0.7288,0.7288,0.7288,0.7288,0,0
03/08/2018,14:00,0.7269,0.7269,0.7269,0.7269,0,0
03/09/2018,14:00,0.7296,0.7296,0.7296,0.7296,0,0
03/12/2018,14:00,0.7301,0.7301,0.7301,0.7301,0,0
03/13/2018,14:00,0.7336,0.7336,0.7336,0.7336,0,0
03/14/2018,14:00,0.7331,0.7331,0.7331,0.7331,0,0
03/15/2018,14:00,0.7268,0.7268,0.7268,0.7268,0,0
03/16/2018,14:00,0.7213,0.7213,0.7213,0.7213,0,0
03/19/2018,14:00,0.7228,0.7228,0.7228,0.7228,0,0
03/20/2018,14:00,0.7194,0.7194,0.7194,0.7194,0,0
03/21/2018,14:00,0.7229,0.7229,0.7229,0.7229,0,0
03/22/2018,14:00,0.7230,0.7230,0.7230,0.7230,0,0
03/23/2018,14:00,0.7263,0.7263,0.7263,0.7263,0,0
03/26/2018,14:00,0.7304,0.7304,0.7304,0.7304,0,0
03/27/2018,14:00,0.7270,0.7270,0.7270,0.7270,0,0
03/28/2018,14:00,0.7215,0.7215,0.7215,0.7215,0,0
03/29/2018,14:00,0.7228,0.7228,0.7228,0.7228,0,0
04/02/2018,14:00,0.7219,0.7219,0.7219,0.7219,0,0
04/03/2018,14:00,0.7267,0.7267,0.7267,0.7267,0,0
04/04/2018,14:00,0.7314,0.7314,0.7314,0.7314,0,0
04/05/2018,14:00,0.7279,0.7279,0.7279,0.7279,0,0
04/06/2018,14:00,0.7274,0.7274,0.7274,0.7274,0,0
04/09/2018,14:00,0.7324,0.7324,0.7324,0.7324,0,0
04/10/2018,14:00,0.7382,0.7382,0.7382,0.7382,0,0
04/11/2018,14:00,0.7363,0.7363,0.7363,0.7363,0,0
04/12/2018,14:00,0.7387,0.7387,0.7387,0.7387,0,0
04/13/2018,14:00,0.7355,0.7355,0.7355,0.7355,0,0
04/16/2018,14:00,0.7369,0.7369,0.7369,0.7369,0,0
04/17/2018,14:00,0.7346,0.7346,0.7346,0.7346,0,0
04/18/2018,14:00,0.7337,0.7337,0.7337,0.7337,0,0
04/19/2018,14:00,0.7276,0.7276,0.7276,0.7276,0,0
04/20/2018,14:00,0.7215,0.7215,0.7215,0.7215,0,0
04/23/2018,14:00,0.7164,0.7164,0.7164,0.7164,0,0
04/24/2018,14:00,0.7133,0.7133,0.7133,0.7133,0,0
04/25/2018,14:00,0.7081,0.7081,0.7081,0.7081,0,0
04/26/2018,14:00,0.7083,0.7083,0.7083,0.7083,0,0
04/27/2018,14:00,0.7103,0.7103,0.7103,0.7103,0,0
04/30/2018,14:00,0.7057,0.7057,0.7057,0.7057,0,0
05/01/2018,14:00,0.7021,0.7021,0.7021,0.7021,0,0
05/02/2018,14:00,0.7028,0.7028,0.7028,0.7028,0,0
05/03/2018,14:00,0.7062,0.7062,0.7062,0.7062,0,0
05/04/2018,14:00,0.7039,0.7039,0.7039,0.7039,0,0
05/07/2018,14:00,0.7041,0.7041,0.7041,0.7041,0,0
05/08/2018,14:00,0.6987,0.6987,0.6987,0.6987,0,0
05/09/2018,14:00,0.7012,0.7012,0.7012,0.7012,0,0
05/10/2018,14:00,0.6991,0.6991,0.6991,0.6991,0,0
05/11/2018,14:00,0.6989,0.6989,0.6989,0.6989,0,0
05/14/2018,14:00,0.6943,0.6943,0.6943,0.6943,0,0
05/15/2018,14:00,0.6886,0.6886,0.6886,0.6886,0,0
05/16/2018,14:00,0.6925,0.6925,0.6925,0.6925,0,0
05/17/2018,14:00,0.6899,0.6899,0.6899,0.6899,0,0
05/18/2018,14:00,0.6941,0.6941,0.6941,0.6941,0,0
05/21/2018,14:00,0.6958,0.6958,0.6958,0.6958,0,0
05/22/2018,14:00,0.6957,0.6957,0.6957,0.6957,0,0
05/23/2018,14:00,0.6945,0.6945,0.6945,0.6945,0,0
05/24/2018,14:00,0.6955,0.6955,0.6955,0.6955,0,0
05/25/2018,14:00,0.6943,0.6943,0.6943,0.6943,0,0
05/29/2018,14:00,0.6908,0.6908,0.6908,0.6908,0,0
05/30/2018,14:00,0.7007,0.7007,0.7007,0.7007,0,0
05/31/2018,14:00,0.7021,0.7021,0.7021,0.7021,0,0
06/01/2018,14:00,0.7005,0.7005,0.7005,0.7005,0,0
06/04/2018,14:00,0.7059,0.7059,0.7059,0.7059,0,0
06/05/2018,14:00,0.7051,0.7051,0.7051,0.7051,0,0
06/06/2018,14:00,0.7061,0.7061,0.7061,0.7061,0,0
06/07/2018,14:00,0.7053,0.7053,0.7053,0.7053,0,0
06/08/2018,14:00,0.7059,0.7059,0.7059,0.7059,0,0
06/11/2018,14:00,0.7043,0.7043,0.7043,0.7043,0,0
06/12/2018,14:00,0.7031,0.7031,0.7031,0.7031,0,0
06/13/2018,14:00,0.7033,0.7033,0.7033,0.7033,0,0
06/14/2018,14:00,0.7006,0.7006,0.7006,0.7006,0,0
06/15/2018,14:00,0.6965,0.6965,0.6965,0.6965,0,0
06/18/2018,14:00,0.6955,0.6955,0.6955,0.6955,0,0
06/19/2018,14:00,0.6921,0.6921,0.6921,0.6921,0,0
06/20/2018,14:00,0.6886,0.6886,0.6886,0.6886,0,0
06/21/2018,14:00,0.6904,0.6904,0.6904,0.6904,0,0
06/22/2018,14:00,0.6942,0.6942,0.6942,0.6942,0,0
06/25/2018,14:00,0.6919,0.6919,0.6919,0.6919,0,0
06/26/2018,14:00,0.6875,0.6875,0.6875,0.6875,0,0
06/27/2018,14:00,0.6819,0.6819,0.6819,0.6819,0,0
06/28/2018,14:00,0.6774,0.6774,0.6774,0.6774,0,0
