"Date","Time","Open","High","Low","Close","Vol","OI"
02/28/2018,14:00,21560,21560,21560,21560,0,0
03/01/2018,14:00,20825,20825,20825,20825,0,0
03/02/2018,14:00,20850,20850,20850,20850,0,0
03/05/2018,14:00,21115,21115,21115,21115,0,0
03/06/2018,14:00,21310,21310,21310,21310,0,0
03/07/2018,14:00,21150,21150,21150,21150,0,0
03/08/2018,14:00,21430,21430,21430,21430,0,0
03/09/2018,14:00,21630,21630,21630,21630,0,0
03/12/2018,14:00,21480,21480,21480,21480,0,0
03/13/2018,14:00,21535,21535,21535,21535,0,0
03/14/2018,14:00,21490,21490,21490,21490,0,0
03/15/2018,14:00,21580,21580,21580,21580,0,0
03/16/2018,14:00,21345,21345,21345,21345,0,0
03/19/2018,14:00,21065,21065,21065,21065,0,0
03/20/2018,14:00,21245,21245,21245,21245,0,0
03/21/2018,14:00,21080,21080,21080,21080,0,0
03/22/2018,14:00,20815,20815,20815,20815,0,0
03/23/2018,14:00,20160,20160,20160,20160,0,0
03/26/2018,14:00,20660,20660,20660,20660,0,0
03/27/2018,14:00,20695,20695,20695,20695,0,0
03/28/2018,14:00,21025,21025,21025,21025,0,0
03/29/2018,14:00,21245,21245,21245,21245,0,0
04/02/2018,14:00,20795,20795,20795,20795,0,0
04/03/2018,14:00,21245,21245,21245,21245,0,0
04/04/2018,14:00,21315,21315,21315,21315,0,0
04/05/2018,14:00,21615,21615,21615,21615,0,0
04/06/2018,14:00,21175,21175,21175,21175,0,0
04/09/2018,14:00,21355,21355,21355,21355,0,0
04/10/2018,14:00,21575,21575,21575,21575,0,0
04/11/2018,14:00,21395,21395,21395,21395,0,0
04/12/2018,14:00,21580,21580,21580,21580,0,0
04/13/2018,14:00,21515,21515,21515,21515,0,0
04/16/2018,14:00,21565,21565,21565,21565,0,0
04/17/2018,14:00,21635,21635,21635,21635,0,0
04/18/2018,14:00,21895,21895,21895,21895,0,0
04/19/2018,14:00,21880,21880,21880,21880,0,0
04/20/2018,14:00,21825,21825,21825,21825,0,0
04/23/2018,14:00,21930,21930,21930,21930,0,0
04/24/2018,14:00,21815,21815,21815,21815,0,0
04/25/2018,14:00,22035,22035,22035,22035,0,0
04/26/2018,14:00,22170,22170,22170,22170,0,0
04/27/2018,14:00,22195,22195,22195,22195,0,0
04/30/2018,14:00,22185,22185,22185,22185,0,0
05/01/2018,14:00,22305,22305,22305,22305,0,0
05/02/2018,14:00,22185,22185,22185,22185,0,0
05/03/2018,14:00,22110,22110,22110,22110,0,0
05/04/2018,14:00,22230,22230,22230,22230,0,0
05/07/2018,14:00,22220,22220,22220,22220,0,0
05/08/2018,14:00,22245,22245,22245,22245,0,0
05/09/2018,14:00,22240,22240,22240,22240,0,0
05/10/2018,14:00,22270,22270,22270,22270,0,0
05/11/2018,14:00,22460,22460,22460,22460,0,0
05/14/2018,14:00,22630,22630,22630,22630,0,0
05/15/2018,14:00,22510,22510,22510,22510,0,0
05/16/2018,14:00,22555,22555,22555,22555,0,0
05/17/2018,14:00,22645,22645,22645,22645,0,0
05/18/2018,14:00,22615,22615,22615,22615,0,0
05/21/2018,14:00,22785,22785,22785,22785,0,0
05/22/2018,14:00,22695,22695,22695,22695,0,0
05/23/2018,14:00,22380,22380,22380,22380,0,0
05/24/2018,14:00,22085,22085,22085,22085,0,0
05/25/2018,14:00,22120,22120,22120,22120,0,0
05/29/2018,14:00,21830,21830,21830,21830,0,0
05/30/2018,14:00,22035,22035,22035,22035,0,0
05/31/2018,14:00,21870,21870,21870,21870,0,0
06/01/2018,14:00,22160,22160,22160,22160,0,0
06/04/2018,14:00,22330,22330,22330,22330,0,0
06/05/2018,14:00,22305,22305,22305,22305,0,0
06/06/2018,14:00,22525,22525,22525,22525,0,0
06/07/2018,14:00,22535,22535,22535,22535,0,0
06/08/2018,14:00,22535,22535,22535,22535,0,0
06/11/2018,14:00,22830,22830,22830,22830,0,0
06/12/2018,14:00,22705,22705,22705,22705,0,0
06/13/2018,14:00,22690,22690,22690,22690,0,0
06/14/2018,14:00,22700,22745,22700,22745,1,1
06/15/2018,14:00,22670,22670,22670,22670,0,1
06/18/2018,14:00,22565,22565,22565,22565,0,1
06/19/2018,14:00,22125,22125,22125,22125,0,1
06/20/2018,14:00,22390,22390,22390,22390,0,1
06/21/2018,14:00,22295,22295,22295,22295,0,1
06/22/2018,14:00,22410,22410,22410,22410,0,1
06/25/2018,14:00,22055,22065,22055,22065,1,2
06/26/2018,14:00,22205,22205,22205,22205,0,2
06/27/2018,14:00,22035,22035,22035,22035,0,2
06/28/2018,14:00,22175,22190,22175,22190,1,3
06/29/2018,14:00,22135,22135,22135,22135,0,3
