"Date","Time","Open","High","Low","Close","Vol","OI"
02/28/2018,11:00,145.95,145.95,145.95,145.95,0,0
03/01/2018,11:00,143.35,143.35,143.35,143.35,0,0
03/02/2018,11:00,143.60,143.75,142.20,142.20,2,2
03/05/2018,11:00,142.70,142.70,142.70,142.70,0,2
03/06/2018,11:00,144.45,144.45,144.45,144.45,1,2
03/07/2018,11:00,143.80,143.80,143.80,143.80,0,2
03/08/2018,11:00,141.25,141.25,141.25,141.25,0,2
03/09/2018,11:00,141.90,141.90,141.90,141.90,0,2
03/12/2018,11:00,141.30,141.30,140.95,140.95,4,6
03/13/2018,11:00,141.05,141.05,141.05,141.05,1,7
03/14/2018,11:00,141.40,141.40,141.40,141.40,2,8
03/15/2018,11:00,141.00,141.00,141.00,141.00,0,8
03/16/2018,11:00,140.00,140.25,140.00,140.25,16,23
03/19/2018,11:00,139.70,139.70,139.70,139.70,0,23
03/20/2018,11:00,139.55,139.55,139.55,139.55,0,23
03/21/2018,11:00,139.50,139.50,139.50,139.50,0,23
03/22/2018,11:00,139.10,139.10,139.05,139.10,5,23
03/23/2018,11:00,139.05,139.05,138.65,138.65,7,23
03/26/2018,11:00,140.95,140.95,140.95,140.95,3,26
03/27/2018,11:00,140.10,140.10,140.10,140.10,1,27
03/28/2018,11:00,141.00,142.85,141.00,142.85,3,28
03/29/2018,11:00,142.95,142.95,142.95,142.95,0,28
04/02/2018,11:00,141.00,142.10,140.85,142.10,2,29
04/03/2018,11:00,141.60,141.60,141.60,141.60,0,29
04/04/2018,11:00,141.50,142.10,141.50,142.10,8,37
04/05/2018,11:00,141.60,141.60,140.70,141.25,8,44
04/06/2018,11:00,140.40,141.00,140.40,141.00,1,45
04/09/2018,11:00,140.00,141.95,140.00,141.75,7,48
04/10/2018,11:00,141.45,141.45,141.45,141.45,4,52
04/11/2018,11:00,142.35,142.35,142.35,142.35,0,52
04/12/2018,11:00,142.50,143.00,142.50,143.00,4,56
04/13/2018,11:00,143.55,143.55,143.55,143.55,0,56
04/16/2018,11:00,144.00,144.65,144.00,144.65,16,64
04/17/2018,11:00,146.80,146.80,146.80,146.80,3,66
04/18/2018,11:00,146.00,146.45,146.00,146.45,16,77
04/19/2018,11:00,146.75,147.00,144.30,144.30,33,94
04/20/2018,11:00,144.20,144.75,144.00,144.75,10,96
04/23/2018,11:00,145.20,147.25,145.20,147.20,13,100
04/24/2018,11:00,148.40,149.10,148.30,149.05,13,106
04/25/2018,11:00,147.65,150.30,147.30,150.30,6,112
04/26/2018,11:00,152.00,153.00,151.75,152.80,19,121
04/27/2018,11:00,151.20,152.45,151.20,152.30,17,116
04/30/2018,11:00,153.00,154.20,153.00,154.20,4,118
05/01/2018,11:00,154.25,157.15,154.00,157.15,12,118
05/02/2018,11:00,159.15,159.80,159.15,159.80,7,119
05/03/2018,11:00,160.30,160.30,159.15,159.15,10,129
05/04/2018,11:00,158.85,164.00,158.85,162.15,7,133
05/07/2018,11:00,164.85,164.85,164.80,164.80,1,133
05/08/2018,11:00,161.85,161.85,161.85,161.85,15,147
05/09/2018,11:00,166.05,166.65,166.05,166.65,1,148
05/10/2018,11:00,167.80,169.40,167.80,168.25,6,154
05/11/2018,11:00,169.30,169.90,168.80,169.90,10,164
05/14/2018,11:00,170.00,171.50,170.00,171.50,19,178
05/15/2018,11:00,170.50,170.50,169.65,169.65,4,178
05/16/2018,11:00,169.25,169.50,168.85,168.85,13,181
05/17/2018,11:00,169.50,169.50,168.80,168.80,3,184
05/18/2018,11:00,164.85,164.85,164.85,164.85,0,184
05/21/2018,11:00,166.60,166.60,166.60,166.60,0,184
05/22/2018,11:00,167.20,167.45,167.20,167.35,13,196
05/23/2018,11:00,167.60,167.80,167.60,167.80,16,211
05/24/2018,11:00,167.30,167.30,167.30,167.30,0,251
05/25/2018,11:00,167.30,167.30,167.00,167.00,49,251
05/29/2018,11:00,167.00,169.45,167.00,168.00,10,256
05/30/2018,11:00,163.55,163.55,162.15,162.30,10,255
05/31/2018,11:00,161.50,163.50,161.50,162.55,25,261
06/01/2018,11:00,165.95,165.95,165.80,165.80,2,262
06/04/2018,11:00,163.80,166.05,163.80,166.05,2,264
06/05/2018,11:00,166.10,166.10,166.10,166.10,0,264
06/06/2018,11:00,166.75,166.90,166.75,166.90,5,264
06/07/2018,11:00,167.40,167.40,166.00,166.10,4,268
06/08/2018,11:00,162.20,162.20,160.80,160.80,22,277
06/11/2018,11:00,159.00,159.10,159.00,159.10,4,278
06/12/2018,11:00,158.15,158.15,157.05,157.05,8,277
