"Date","Time","Open","High","Low","Close","Vol","OI"
03/01/2018,10:00,13.88,14.11,13.73,14.11,25486,112203
03/02/2018,10:00,14.05,14.20,13.80,13.95,16961,116446
03/05/2018,10:00,13.95,14.14,13.87,14.11,12486,116905
03/06/2018,10:00,14.09,14.17,13.96,14.01,16627,119569
03/07/2018,10:00,13.94,13.94,13.35,13.37,19756,120252
03/08/2018,10:00,13.45,13.67,13.42,13.48,24293,120112
03/09/2018,10:00,13.54,13.54,13.35,13.44,15634,123604
03/12/2018,10:00,13.49,13.53,13.37,13.51,13409,126204
03/13/2018,10:00,13.51,13.53,13.18,13.27,22033,129267
03/14/2018,10:00,13.27,13.37,13.24,13.33,13225,129552
03/15/2018,10:00,13.40,13.45,13.17,13.33,10958,131177
03/16/2018,10:00,13.33,13.33,13.21,13.23,5979,133220
03/19/2018,10:00,13.20,13.40,12.93,13.40,25425,135628
03/20/2018,10:00,13.40,13.43,13.11,13.13,13891,138339
03/21/2018,10:00,13.13,13.35,13.13,13.26,17198,141811
03/22/2018,10:00,13.23,13.35,13.19,13.33,6464,142633
03/23/2018,10:00,13.30,13.38,13.07,13.14,11766,144829
03/26/2018,10:00,13.12,13.29,13.00,13.00,13530,147837
03/27/2018,10:00,13.02,13.11,12.93,13.06,31292,150081
03/28/2018,10:00,13.02,13.02,12.76,12.78,35988,149069
03/29/2018,10:00,12.80,12.89,12.78,12.87,13957,150871
04/02/2018,10:00,12.86,13.01,12.79,12.98,11681,151855
04/03/2018,10:00,12.90,12.98,12.75,12.96,19760,153654
04/04/2018,10:00,12.94,12.94,12.73,12.76,24829,156307
04/05/2018,10:00,12.75,12.82,12.72,12.78,18021,156183
04/06/2018,10:00,12.79,12.79,12.64,12.66,28932,157714
04/09/2018,10:00,12.67,12.74,12.63,12.69,19897,161237
04/10/2018,10:00,12.68,12.70,12.36,12.48,36022,166995
04/11/2018,10:00,12.48,12.57,12.30,12.40,33267,173010
04/12/2018,10:00,12.40,12.46,12.32,12.39,28464,182526
04/13/2018,10:00,12.38,12.61,12.36,12.44,22770,185672
04/16/2018,10:00,12.45,12.64,12.37,12.42,30402,192542
04/17/2018,10:00,12.38,12.38,12.06,12.08,32724,199159
04/18/2018,10:00,12.09,12.17,12.03,12.14,22431,203051
04/19/2018,10:00,12.07,12.23,12.05,12.19,18151,204586
04/20/2018,10:00,12.17,12.25,12.05,12.13,16928,205613
04/23/2018,10:00,12.13,12.16,11.68,11.72,29876,206766
04/24/2018,10:00,11.70,11.78,11.48,11.69,33160,207524
04/25/2018,10:00,11.70,11.70,11.23,11.43,26611,205993
04/26/2018,10:00,11.44,11.78,11.38,11.70,25516,205441
04/27/2018,10:00,11.71,11.94,11.51,11.79,30322,207999
04/30/2018,10:00,11.84,12.03,11.79,11.99,30215,206953
05/01/2018,10:00,12.01,12.04,11.78,11.96,34954,207145
05/02/2018,10:00,11.81,12.10,11.60,12.01,61459,210734
05/03/2018,10:00,11.96,12.00,11.87,11.95,15631,211493
05/04/2018,10:00,11.99,11.99,11.77,11.79,20763,211903
05/07/2018,10:00,11.83,11.85,11.65,11.68,27321,216083
05/08/2018,10:00,11.70,11.94,11.66,11.92,33166,223850
05/09/2018,10:00,11.92,11.92,11.64,11.69,35537,232411
05/10/2018,10:00,11.70,11.70,11.54,11.67,33260,241882
05/11/2018,10:00,11.67,11.67,11.51,11.60,27995,254270
05/14/2018,10:00,11.60,11.65,11.52,11.64,17792,257218
05/15/2018,10:00,11.63,11.87,11.59,11.85,42910,257099
05/16/2018,10:00,11.80,11.90,11.72,11.89,34721,257214
05/17/2018,10:00,11.89,12.04,11.82,11.87,30577,259202
05/18/2018,10:00,11.86,12.01,11.76,11.97,32446,259460
05/21/2018,10:00,12.00,12.51,11.99,12.39,50903,258847
05/22/2018,10:00,12.38,12.64,12.37,12.52,64071,264188
05/23/2018,10:00,12.55,12.80,12.47,12.72,55665,265224
05/24/2018,10:00,12.71,12.91,12.55,12.70,57480,269830
05/25/2018,10:00,12.56,12.78,12.49,12.76,35642,269671
05/29/2018,10:00,12.79,12.84,12.65,12.71,57684,275324
05/30/2018,10:00,12.55,12.84,12.50,12.82,53359,282089
05/31/2018,10:00,12.81,13.08,12.80,13.02,59980,286854
06/01/2018,10:00,13.01,13.18,12.70,12.81,66393,295537
06/04/2018,10:00,12.83,12.83,12.18,12.22,82839,299522
06/05/2018,10:00,12.25,12.48,12.19,12.33,51990,306328
06/06/2018,10:00,12.33,12.55,12.27,12.47,54904,319387
06/07/2018,10:00,12.51,12.60,12.00,12.02,98795,339938
06/08/2018,10:00,12.07,12.54,11.91,12.52,79591,350405
06/11/2018,10:00,12.56,12.83,12.43,12.64,128887,386608
06/12/2018,10:00,12.65,12.85,12.55,12.67,86644,408974
06/13/2018,10:00,12.64,12.78,12.52,12.76,100055,437989
06/14/2018,10:00,12.76,12.78,12.52,12.56,86822,459158
06/15/2018,10:00,12.52,12.59,12.26,12.35,69482,459901
06/18/2018,10:00,12.37,12.50,12.25,12.28,53648,460188
06/19/2018,10:00,12.24,12.27,11.97,12.13,76873,466395
06/20/2018,10:00,12.15,12.43,12.15,12.19,70161,474489
06/21/2018,10:00,12.16,12.35,12.15,12.21,51215,481668
06/22/2018,10:00,12.21,12.50,12.21,12.41,61359,494398
06/25/2018,10:00,12.41,12.49,12.27,12.32,54514,496424
06/26/2018,10:00,12.31,12.65,12.29,12.45,77805,506544
06/27/2018,10:00,12.44,12.51,12.02,12.05,85408,509776
06/28/2018,10:00,12.08,12.34,12.07,12.25,68383,514435
06/29/2018,10:00,12.25,12.29,12.05,12.25,53953,515832
07/02/2018,10:00,12.21,12.24,11.51,11.56,108066,520682
07/03/2018,10:00,11.65,11.69,11.24,11.39,80134,520662
07/05/2018,10:00,11.45,11.74,11.29,11.48,70655,521069
07/06/2018,10:00,11.47,11.55,11.34,11.51,34506,518880
07/09/2018,10:00,11.53,11.61,11.37,11.40,44186,518958
07/10/2018,10:00,11.41,11.52,11.30,11.41,40087,519414
07/11/2018,10:00,11.39,11.43,11.25,11.29,39860,521259
07/12/2018,10:00,11.28,11.28,10.95,11.08,62362,526769
07/13/2018,10:00,11.10,11.14,10.91,10.96,54667,525085
07/16/2018,10:00,10.93,11.39,10.86,11.14,69009,520494
07/17/2018,10:00,11.15,11.21,11.01,11.13,38364,518327
07/18/2018,10:00,11.09,11.19,11.04,11.08,25122,518565
07/19/2018,10:00,11.08,11.11,10.93,10.97,29929,517573
07/20/2018,10:00,10.94,11.26,10.94,11.12,42402,521168
07/23/2018,10:00,11.18,11.30,11.01,11.08,39710,518085
07/24/2018,10:00,11.08,11.26,11.08,11.19,25623,520362
07/25/2018,10:00,11.23,11.35,11.09,11.19,47596,518841
07/26/2018,10:00,11.20,11.26,10.83,11.03,78396,523511
07/27/2018,10:00,11.02,11.12,10.85,10.88,55255,529220
07/30/2018,10:00,10.95,11.00,10.80,10.82,51100,534198
07/31/2018,10:00,10.83,10.85,10.45,10.55,89708,542258
08/01/2018,10:00,10.56,10.69,10.39,10.48,79924,548737
08/02/2018,10:00,10.57,10.80,10.37,10.59,64333,545924
08/03/2018,10:00,10.58,11.05,10.56,10.85,51711,544316
08/06/2018,10:00,10.93,11.13,10.89,10.98,49495,541446
08/07/2018,10:00,10.96,11.09,10.84,10.88,57845,537475
08/08/2018,10:00,10.90,10.90,10.73,10.81,43068,527844
08/09/2018,10:00,10.82,11.01,10.78,10.84,47074,522693
08/10/2018,10:00,10.79,10.83,10.43,10.54,69322,515015
08/13/2018,10:00,10.55,10.55,10.21,10.30,83311,512137
08/14/2018,10:00,10.28,10.49,10.26,10.34,63951,514972
08/15/2018,10:00,10.35,10.46,10.22,10.23,45012,515099
08/16/2018,10:00,10.25,10.43,10.25,10.30,49899,516192
08/17/2018,10:00,10.30,10.36,10.11,10.18,50895,520151
08/20/2018,10:00,10.22,10.26,9.98,10.09,54249,522992
08/21/2018,10:00,10.05,10.22,9.99,10.17,59626,517859
08/22/2018,10:00,10.10,10.23,9.91,10.18,59033,518616
08/23/2018,10:00,10.14,10.21,10.03,10.12,40093,515897
08/24/2018,10:00,10.08,10.48,10.08,10.23,75987,509065
08/27/2018,10:00,10.31,10.56,10.31,10.51,63406,502637
08/28/2018,10:00,10.47,10.52,10.22,10.31,92700,490452
08/29/2018,10:00,10.30,10.46,10.24,10.37,64437,481877
08/30/2018,10:00,10.31,10.69,10.31,10.57,70754,456005
08/31/2018,10:00,10.57,10.73,10.45,10.60,77747,456011
09/04/2018,10:00,10.64,10.72,10.51,10.64,72796,445292
09/05/2018,10:00,10.64,10.97,10.49,10.89,110878,422302
09/06/2018,10:00,10.75,10.92,10.72,10.80,83286,398687
09/07/2018,10:00,10.80,11.03,10.77,11.01,70850,380990
09/10/2018,10:00,11.05,11.27,11.04,11.20,149272,324566
09/11/2018,10:00,11.21,11.27,11.08,11.18,116909,278069
09/12/2018,10:00,11.16,11.71,11.13,11.67,194351,215382
09/13/2018,10:00,11.64,11.80,11.54,11.68,117575,186633
09/14/2018,10:00,11.64,11.68,11.00,11.16,92787,157070
09/17/2018,10:00,11.09,11.12,10.60,10.63,97843,116621
09/18/2018,10:00,10.70,10.83,10.43,10.52,72906,96637
09/19/2018,10:00,10.54,10.89,10.53,10.76,55469,87017
09/20/2018,10:00,10.80,11.10,10.74,10.80,46404,85796
09/21/2018,10:00,10.91,10.98,10.72,10.84,40088,68809
09/24/2018,10:00,10.85,10.86,10.27,10.38,50410,53740
09/25/2018,10:00,10.45,10.55,10.30,10.36,37395,39369
09/26/2018,10:00,10.36,10.43,9.88,9.90,50047,21731
09/27/2018,10:00,9.88,10.13,9.83,10.05,29913,7533
09/28/2018,10:00,10.00,10.48,10.00,10.42,2972,7533
