"Date","Time","Open","High","Low","Close","Vol","OI"
02/28/2018,14:00,1.0747,1.0750,1.0673,1.0694,599,1109
03/01/2018,14:00,1.0684,1.0709,1.0642,1.0705,818,1465
03/02/2018,14:00,1.0717,1.0800,1.0713,1.0770,818,1465
03/05/2018,14:00,1.0777,1.0785,1.0728,1.0728,493,1593
03/06/2018,14:00,1.0734,1.0779,1.0715,1.0725,488,1744
03/07/2018,14:00,1.0757,1.0778,1.0685,1.0692,2286,3581
03/08/2018,14:00,1.0693,1.0700,1.0593,1.0598,1456,4350
03/09/2018,14:00,1.0605,1.0627,1.0583,1.0605,1433,4839
03/12/2018,14:00,1.0605,1.0660,1.0593,1.0654,8480,9725
03/13/2018,14:00,1.0639,1.0693,1.0622,1.0683,8129,14835
03/14/2018,14:00,1.0687,1.0698,1.0638,1.0676,26228,32225
03/15/2018,14:00,1.0671,1.0688,1.0591,1.0594,31945,42262
03/16/2018,14:00,1.0595,1.0628,1.0558,1.0581,31945,42262
03/19/2018,14:00,1.0587,1.0617,1.0553,1.0615,19579,42913
03/20/2018,14:00,1.0596,1.0606,1.0531,1.0548,21268,44247
03/21/2018,14:00,1.0539,1.0622,1.0536,1.0600,29174,45637
03/22/2018,14:00,1.0612,1.0647,1.0587,1.0596,28942,45344
03/23/2018,14:00,1.0617,1.0665,1.0609,1.0641,23166,45028
03/26/2018,14:00,1.0648,1.0676,1.0614,1.0660,22139,44398
03/27/2018,14:00,1.0655,1.0674,1.0589,1.0632,22868,44585
03/28/2018,14:00,1.0637,1.0639,1.0505,1.0519,29044,47633
03/29/2018,14:00,1.0512,1.0540,1.0499,1.0514,24688,46819
04/02/2018,14:00,1.0541,1.0563,1.0521,1.0539,13946,46807
04/03/2018,14:00,1.0534,1.0554,1.0483,1.0491,22948,48616
04/04/2018,14:00,1.0493,1.0534,1.0469,1.0475,20135,49121
04/05/2018,14:00,1.0472,1.0480,1.0434,1.0441,24414,50745
04/06/2018,14:00,1.0439,1.0500,1.0422,1.0491,24414,50749
04/09/2018,14:00,1.0485,1.0519,1.0465,1.0515,15494,51009
04/10/2018,14:00,1.0518,1.0547,1.0495,1.0510,22297,51010
04/11/2018,14:00,1.0507,1.0522,1.0477,1.0493,24914,50926
04/12/2018,14:00,1.0495,1.0503,1.0419,1.0448,23711,54218
04/13/2018,14:00,1.0440,1.0472,1.0428,1.0447,16495,56374
04/16/2018,14:00,1.0440,1.0494,1.0429,1.0472,16565,56120
04/17/2018,14:00,1.0469,1.0489,1.0383,1.0402,25219,58876
04/18/2018,14:00,1.0399,1.0412,1.0361,1.0377,27656,58667
04/19/2018,14:00,1.0373,1.0394,1.0331,1.0334,24719,63954
04/20/2018,14:00,1.0340,1.0347,1.0292,1.0304,24719,63800
04/23/2018,14:00,1.0297,1.0305,1.0262,1.0266,35341,67644
04/24/2018,14:00,1.0266,1.0283,1.0237,1.0262,25009,70855
04/25/2018,14:00,1.0258,1.0261,1.0198,1.0220,26463,73260
04/26/2018,14:00,1.0210,1.0228,1.0146,1.0150,31408,78016
04/27/2018,14:00,1.0144,1.0169,1.0116,1.0162,34392,79798
04/30/2018,14:00,1.0161,1.0168,1.0119,1.0132,25070,82911
05/01/2018,14:00,1.0133,1.0136,1.0068,1.0073,19704,84023
05/02/2018,14:00,1.0070,1.0102,1.0036,1.0067,38235,87212
05/03/2018,14:00,1.0045,1.0079,1.0034,1.0059,32079,93126
05/04/2018,14:00,1.0057,1.0069,1.0011,1.0028,32079,93165
05/07/2018,14:00,1.0029,1.0048,0.9977,1.0005,19584,94122
05/08/2018,14:00,1.0001,1.0028,0.9986,1.0010,30569,97682
05/09/2018,14:00,1.0013,1.0025,0.9973,0.9981,22068,99207
05/10/2018,14:00,0.9974,1.0035,0.9972,1.0006,24122,101069
05/11/2018,14:00,0.9996,1.0052,0.9988,1.0018,23817,102597
05/14/2018,14:00,1.0025,1.0069,1.0018,1.0026,24580,103685
05/15/2018,14:00,1.0024,1.0043,0.9985,1.0004,26215,103442
05/16/2018,14:00,1.0014,1.0042,1.0007,1.0014,21748,103450
05/17/2018,14:00,1.0018,1.0037,0.9989,1.0010,21075,102553
05/18/2018,14:00,1.0007,1.0072,1.0004,1.0045,22325,103522
05/21/2018,14:00,1.0045,1.0053,1.0021,1.0045,17968,103952
05/22/2018,14:00,1.0052,1.0104,1.0031,1.0092,27909,103616
05/23/2018,14:00,1.0094,1.0128,1.0042,1.0059,38717,103959
05/24/2018,14:00,1.0069,1.0133,1.0068,1.0103,25413,103787
05/25/2018,14:00,1.0109,1.0127,1.0081,1.0101,25413,103725
05/29/2018,14:00,1.0081,1.0168,1.0032,1.0138,62297,102631
05/30/2018,14:00,1.0107,1.0138,1.0081,1.0124,34297,97434
05/31/2018,14:00,1.0120,1.0189,1.0120,1.0164,32714,96243
06/01/2018,14:00,1.0155,1.0172,1.0098,1.0125,26475,95971
06/04/2018,14:00,1.0129,1.0183,1.0117,1.0127,19940,95442
06/05/2018,14:00,1.0130,1.0182,1.0117,1.0165,19757,95245
06/06/2018,14:00,1.0167,1.0176,1.0124,1.0152,23861,92110
06/07/2018,14:00,1.0151,1.0223,1.0144,1.0208,25339,91774
06/08/2018,14:00,1.0212,1.0213,1.0119,1.0157,25555,90803
06/11/2018,14:00,1.0165,1.0169,1.0133,1.0158,25839,83357
