"Date","Time","Open","High","Low","Close","Vol","OI"
02/27/2018,14:00,1.1330,1.1330,1.1330,1.1330,0,0
02/28/2018,14:00,1.1270,1.1270,1.1270,1.1270,0,0
03/01/2018,14:00,1.1270,1.1270,1.1270,1.1270,0,0
03/02/2018,14:00,1.1342,1.1342,1.1342,1.1342,0,0
03/05/2018,14:00,1.1301,1.1301,1.1301,1.1301,0,0
03/06/2018,14:00,1.1295,1.1295,1.1295,1.1295,0,0
03/07/2018,14:00,1.1259,1.1259,1.1259,1.1259,0,0
03/08/2018,14:00,1.1161,1.1161,1.1161,1.1161,0,0
03/09/2018,14:00,1.1170,1.1170,1.1170,1.1170,0,0
03/12/2018,14:00,1.1223,1.1223,1.1223,1.1223,0,0
03/13/2018,14:00,1.1253,1.1253,1.1253,1.1253,0,0
03/14/2018,14:00,1.1245,1.1245,1.1245,1.1245,0,0
03/15/2018,14:00,1.1157,1.1157,1.1157,1.1157,0,0
03/16/2018,14:00,1.1155,1.1155,1.1155,1.1155,0,0
03/19/2018,14:00,1.1184,1.1184,1.1184,1.1184,0,0
03/20/2018,14:00,1.1120,1.1120,1.1120,1.1120,0,0
03/21/2018,14:00,1.1177,1.1177,1.1177,1.1177,0,0
03/22/2018,14:00,1.1169,1.1169,1.1169,1.1169,0,0
03/23/2018,14:00,1.1213,1.1213,1.1213,1.1213,0,0
03/26/2018,14:00,1.1231,1.1231,1.1231,1.1231,0,0
03/27/2018,14:00,1.1196,1.1196,1.1196,1.1196,0,0
03/28/2018,14:00,1.1077,1.1077,1.1077,1.1077,0,0
03/29/2018,14:00,1.1074,1.1074,1.1074,1.1074,0,0
04/02/2018,14:00,1.1096,1.1096,1.1096,1.1096,0,0
04/03/2018,14:00,1.1055,1.1055,1.1055,1.1055,0,0
04/04/2018,14:00,1.1037,1.1037,1.1037,1.1037,0,0
04/05/2018,14:00,1.1005,1.1005,1.1005,1.1005,0,0
04/06/2018,14:00,1.1053,1.1053,1.1053,1.1053,0,0
04/09/2018,14:00,1.1076,1.1076,1.1076,1.1076,0,0
04/10/2018,14:00,1.1074,1.1074,1.1074,1.1074,0,0
04/11/2018,14:00,1.1057,1.1057,1.1057,1.1057,0,0
04/12/2018,14:00,1.1014,1.1014,1.1014,1.1014,0,0
04/13/2018,14:00,1.1017,1.1017,1.1017,1.1017,0,0
04/16/2018,14:00,1.1040,1.1040,1.1040,1.1040,0,0
04/17/2018,14:00,1.0965,1.0965,1.0965,1.0965,0,0
04/18/2018,14:00,1.0937,1.0937,1.0937,1.0937,0,0
04/19/2018,14:00,1.0884,1.0884,1.0884,1.0884,0,0
04/20/2018,14:00,1.0858,1.0858,1.0858,1.0858,0,0
04/23/2018,14:00,1.0823,1.0823,1.0823,1.0823,0,0
04/24/2018,14:00,1.0811,1.0811,1.0811,1.0811,0,0
04/25/2018,14:00,1.0768,1.0768,1.0768,1.0768,0,0
04/26/2018,14:00,1.0696,1.0696,1.0696,1.0696,0,0
04/27/2018,14:00,1.0704,1.0704,1.0704,1.0704,0,0
04/30/2018,14:00,1.0675,1.0675,1.0675,1.0675,0,0
05/01/2018,14:00,1.0615,1.0615,1.0615,1.0615,0,0
05/02/2018,14:00,1.0611,1.0611,1.0611,1.0611,0,0
05/03/2018,14:00,1.0600,1.0600,1.0600,1.0600,0,0
05/04/2018,14:00,1.0571,1.0571,1.0571,1.0571,0,0
05/07/2018,14:00,1.0547,1.0547,1.0547,1.0547,0,0
05/08/2018,14:00,1.0550,1.0550,1.0550,1.0550,0,0
05/09/2018,14:00,1.0519,1.0519,1.0519,1.0519,0,0
05/10/2018,14:00,1.0546,1.0546,1.0546,1.0546,0,0
05/11/2018,14:00,1.0552,1.0552,1.0552,1.0552,0,0
05/14/2018,14:00,1.0556,1.0556,1.0556,1.0556,0,0
05/15/2018,14:00,1.0538,1.0538,1.0538,1.0538,0,0
05/16/2018,14:00,1.0554,1.0554,1.0554,1.0554,0,0
05/17/2018,14:00,1.0546,1.0546,1.0546,1.0546,0,0
05/18/2018,14:00,1.0585,1.0585,1.0585,1.0585,0,0
05/21/2018,14:00,1.0589,1.0589,1.0589,1.0589,0,0
05/22/2018,14:00,1.0641,1.0641,1.0641,1.0641,0,0
05/23/2018,14:00,1.0608,1.0608,1.0608,1.0608,0,0
05/24/2018,14:00,1.0648,1.0648,1.0648,1.0648,0,0
05/25/2018,14:00,1.0645,1.0645,1.0645,1.0645,0,0
05/29/2018,14:00,1.0679,1.0679,1.0679,1.0679,0,0
05/30/2018,14:00,1.0669,1.0669,1.0669,1.0669,0,0
05/31/2018,14:00,1.0710,1.0710,1.0710,1.0710,0,0
06/01/2018,14:00,1.0676,1.0676,1.0676,1.0676,0,0
06/04/2018,14:00,1.0679,1.0679,1.0679,1.0679,0,0
06/05/2018,14:00,1.0715,1.0715,1.0715,1.0715,0,0
06/06/2018,14:00,1.0705,1.0705,1.0705,1.0705,0,0
06/07/2018,14:00,1.0760,1.0760,1.0760,1.0760,0,0
06/08/2018,14:00,1.0707,1.0707,1.0707,1.0707,0,0
06/11/2018,14:00,1.0711,1.0711,1.0711,1.0711,0,0
06/12/2018,14:00,1.0699,1.0699,1.0699,1.0699,0,0
06/13/2018,14:00,1.0693,1.0693,1.0693,1.0693,0,0
06/14/2018,14:00,1.0584,1.0584,1.0584,1.0584,0,0
06/15/2018,14:00,1.0573,1.0573,1.0573,1.0573,0,0
06/18/2018,14:00,1.0599,1.0599,1.0599,1.0599,0,0
06/19/2018,14:00,1.0597,1.0597,1.0597,1.0597,0,0
06/20/2018,14:00,1.0585,1.0585,1.0585,1.0585,0,0
06/21/2018,14:00,1.0636,1.0636,1.0636,1.0636,0,0
06/22/2018,14:00,1.0670,1.0670,1.0670,1.0670,0,0
06/25/2018,14:00,1.0684,1.0684,1.0684,1.0684,0,0
06/26/2018,14:00,1.0625,1.0625,1.0625,1.0625,0,0
06/27/2018,14:00,1.0557,1.0557,1.0557,1.0557,0,0
06/28/2018,14:00,1.0539,1.0539,1.0539,1.0539,0,0
06/29/2018,14:00,1.0620,1.0620,1.0620,1.0620,0,0
07/02/2018,14:00,1.0577,1.0577,1.0577,1.0577,0,0
07/03/2018,14:00,1.0590,1.0590,1.0590,1.0590,0,0
07/05/2018,14:00,1.0575,1.0575,1.0575,1.0575,0,0
07/06/2018,14:00,1.0617,1.0617,1.0617,1.0617,0,0
07/09/2018,14:00,1.0598,1.0598,1.0598,1.0598,0,0
07/10/2018,14:00,1.0596,1.0596,1.0596,1.0596,0,0
07/11/2018,14:00,1.0550,1.0550,1.0550,1.0550,0,0
07/12/2018,14:00,1.0482,1.0482,1.0482,1.0482,0,0
07/13/2018,14:00,1.0481,1.0481,1.0481,1.0481,0,0
07/16/2018,14:00,1.0539,1.0539,1.0539,1.0539,0,0
07/17/2018,14:00,1.0512,1.0512,1.0512,1.0512,0,0
07/18/2018,14:00,1.0513,1.0513,1.0513,1.0513,0,0
07/19/2018,14:00,1.0515,1.0515,1.0515,1.0515,0,0
07/20/2018,14:00,1.0582,1.0582,1.0582,1.0582,0,0
07/23/2018,14:00,1.0571,1.0571,1.0571,1.0571,0,0
07/24/2018,14:00,1.0562,1.0562,1.0562,1.0562,0,0
07/25/2018,14:00,1.0574,1.0574,1.0574,1.0574,0,0
07/26/2018,14:00,1.0556,1.0556,1.0556,1.0556,0,0
07/27/2018,14:00,1.0560,1.0560,1.0560,1.0560,0,0
07/30/2018,14:00,1.0623,1.0623,1.0623,1.0623,0,0
07/31/2018,14:00,1.0600,1.0600,1.0600,1.0600,0,0
08/01/2018,14:00,1.0583,1.0583,1.0583,1.0583,0,0
08/02/2018,14:00,1.0540,1.0540,1.0540,1.0540,0,0
08/03/2018,14:00,1.0553,1.0553,1.0553,1.0553,0,0
08/06/2018,14:00,1.0528,1.0528,1.0528,1.0528,0,0
08/07/2018,14:00,1.0537,1.0537,1.0537,1.0537,0,0
08/08/2018,14:00,1.0564,1.0564,1.0564,1.0564,0,0
08/09/2018,14:00,1.0557,1.0557,1.0557,1.0557,0,0
08/10/2018,14:00,1.0534,1.0534,1.0534,1.0534,0,0
08/13/2018,14:00,1.0551,1.0551,1.0551,1.0551,0,0
08/14/2018,14:00,1.0543,1.0543,1.0543,1.0543,0,0
08/15/2018,14:00,1.0556,1.0556,1.0556,1.0556,0,0
08/16/2018,14:00,1.0517,1.0517,1.0517,1.0517,0,0
08/17/2018,14:00,1.0529,1.0529,1.0529,1.0529,0,0
08/20/2018,14:00,1.0560,1.0560,1.0560,1.0560,0,0
08/21/2018,14:00,1.0632,1.0632,1.0632,1.0632,0,0
08/22/2018,14:00,1.0650,1.0650,1.0650,1.0650,0,0
08/23/2018,14:00,1.0616,1.0616,1.0616,1.0616,0,0
08/24/2018,14:00,1.0650,1.0650,1.0650,1.0650,0,0
08/27/2018,14:00,1.0690,1.0690,1.0690,1.0690,0,0
08/28/2018,14:00,1.0720,1.0720,1.0720,1.0720,0,0
08/29/2018,14:00,1.0780,1.0780,1.0780,1.0780,0,0
08/30/2018,14:00,1.0797,1.0797,1.0797,1.0797,0,0
08/31/2018,14:00,1.0795,1.0795,1.0795,1.0795,0,0
09/04/2018,14:00,1.0738,1.0738,1.0738,1.0738,0,0
09/05/2018,14:00,1.0762,1.0762,1.0762,1.0762,0,0
09/06/2018,14:00,1.0828,1.0828,1.0828,1.0828,0,0
09/07/2018,14:00,1.0801,1.0801,1.0801,1.0801,0,0
09/10/2018,14:00,1.0733,1.0733,1.0733,1.0733,0,0
09/11/2018,14:00,1.0749,1.0749,1.0749,1.0749,0,0
09/12/2018,14:00,1.0789,1.0789,1.0789,1.0789,0,0
09/13/2018,14:00,1.0833,1.0833,1.0833,1.0833,0,0
09/14/2018,14:00,1.0776,1.0822,1.0776,1.0822,2,2
09/17/2018,14:00,1.0872,1.0872,1.0872,1.0872,0,2
09/18/2018,14:00,1.0875,1.0875,1.0842,1.0842,3,3
09/19/2018,14:00,1.0819,1.0819,1.0819,1.0819,0,3
09/20/2018,14:00,1.0905,1.0905,1.0905,1.0905,0,3
09/21/2018,14:00,1.0913,1.0913,1.0913,1.0913,0,3
09/24/2018,14:00,1.0858,1.0858,1.0858,1.0858,0,3
09/25/2018,14:00,1.0840,1.0840,1.0840,1.0840,0,3
09/26/2018,14:00,1.0837,1.0837,1.0837,1.0837,0,3
09/27/2018,14:00,1.0691,1.0691,1.0691,1.0691,0,3
09/28/2018,14:00,1.0675,1.0675,1.0675,1.0675,0,3
10/01/2018,14:00,1.0621,1.0621,1.0621,1.0621,0,3
10/02/2018,14:00,1.0611,1.0611,1.0611,1.0611,0,3
10/03/2018,14:00,1.0561,1.0561,1.0561,1.0561,0,3
10/04/2018,14:00,1.0539,1.0539,1.0539,1.0539,0,3
10/05/2018,14:00,1.0541,1.0541,1.0541,1.0541,0,3
10/08/2018,14:00,1.0526,1.0526,1.0526,1.0526,0,3
10/09/2018,14:00,1.0532,1.0532,1.0532,1.0532,0,3
10/10/2018,14:00,1.0530,1.0530,1.0530,1.0530,0,3
10/11/2018,14:00,1.0561,1.0561,1.0561,1.0561,0,3
10/12/2018,14:00,1.0544,1.0544,1.0544,1.0544,0,3
10/15/2018,14:00,1.0583,1.0583,1.0583,1.0583,3,5
10/16/2018,14:00,1.0553,1.0553,1.0553,1.0553,0,5
10/17/2018,14:00,1.0500,1.0500,1.0500,1.0500,0,5
10/18/2018,14:00,1.0496,1.0496,1.0496,1.0496,1,6
10/19/2018,14:00,1.0478,1.0478,1.0478,1.0478,0,6
10/22/2018,14:00,1.0485,1.0485,1.0485,1.0485,0,6
10/23/2018,14:00,1.0485,1.0485,1.0485,1.0485,0,6
10/24/2018,14:00,1.0466,1.0466,1.0466,1.0466,0,6
10/25/2018,14:00,1.0435,1.0435,1.0435,1.0435,0,6
10/26/2018,14:00,1.0466,1.0466,1.0466,1.0466,0,6
10/29/2018,14:00,1.0423,1.0423,1.0423,1.0423,0,6
10/30/2018,14:00,1.0376,1.0376,1.0376,1.0376,0,6
10/31/2018,14:00,1.0345,1.0345,1.0345,1.0345,0,6
11/01/2018,14:00,1.0405,1.0405,1.0405,1.0405,0,6
11/02/2018,14:00,1.0378,1.0378,1.0378,1.0378,0,6
11/05/2018,14:00,1.0385,1.0385,1.0385,1.0385,0,6
11/06/2018,14:00,1.0393,1.0393,1.0393,1.0393,0,6
11/07/2018,14:00,1.0422,1.0422,1.0422,1.0422,0,6
11/08/2018,14:00,1.0354,1.0354,1.0354,1.0354,0,6
11/09/2018,14:00,1.0368,1.0368,1.0368,1.0368,0,6
11/12/2018,14:00,1.0323,1.0323,1.0323,1.0323,0,6
11/13/2018,14:00,1.0336,1.0336,1.0336,1.0336,0,6
11/14/2018,14:00,1.0370,1.0370,1.0370,1.0370,0,6
11/15/2018,14:00,1.0359,1.0359,1.0359,1.0359,0,6
11/16/2018,14:00,1.0412,1.0412,1.0412,1.0412,0,6
11/19/2018,14:00,1.0472,1.0472,1.0472,1.0472,0,6
11/20/2018,14:00,1.0459,1.0459,1.0459,1.0459,4,9
11/21/2018,14:00,1.0464,1.0464,1.0464,1.0464,0,9
11/23/2018,14:00,1.0426,1.0426,1.0426,1.0426,0,9
11/26/2018,14:00,1.0412,1.0412,1.0412,1.0412,0,9
11/27/2018,14:00,1.0415,1.0415,1.0415,1.0415,0,9
11/28/2018,14:00,1.0469,1.0469,1.0469,1.0469,0,9
11/29/2018,14:00,1.0428,1.0428,1.0428,1.0428,2,8
11/30/2018,14:00,1.0393,1.0393,1.0393,1.0393,0,8
12/03/2018,14:00,1.0406,1.0406,1.0406,1.0406,0,8
12/04/2018,14:00,1.0416,1.0416,1.0416,1.0416,0,8
12/06/2018,14:00,1.0455,1.0455,1.0455,1.0455,2,8
12/07/2018,14:00,1.0492,1.0492,1.0492,1.0492,0,8
12/10/2018,14:00,1.0485,1.0485,1.0485,1.0485,0,8
12/11/2018,14:00,1.0451,1.0451,1.0451,1.0451,0,8
12/12/2018,14:00,1.0451,1.0451,1.0451,1.0451,0,8
12/13/2018,14:00,1.0438,1.0438,1.0438,1.0438,0,8
12/14/2018,14:00,1.0394,1.0394,1.0394,1.0394,0,8
12/17/2018,14:00,1.0447,1.0447,1.0447,1.0447,0,8
12/18/2018,14:00,1.0439,1.0439,1.0439,1.0439,0,8
12/19/2018,14:00,1.0424,1.0424,1.0424,1.0424,0,8
12/20/2018,14:00,1.0500,1.0500,1.0500,1.0500,1,9
12/21/2018,14:00,1.0411,1.0411,1.0411,1.0411,0,9
12/24/2018,14:00,1.0483,1.0483,1.0483,1.0483,0,9
12/26/2018,14:00,1.0402,1.0402,1.0402,1.0402,0,9
12/27/2018,14:00,1.0493,1.0493,1.0493,1.0493,0,9
12/28/2018,14:00,1.0495,1.0495,1.0495,1.0495,0,9
12/31/2018,14:00,1.0521,1.0521,1.0521,1.0521,0,9
01/02/2019,14:00,1.0443,1.0443,1.0443,1.0443,0,9
01/03/2019,14:00,1.0456,1.0456,1.0456,1.0456,0,9
01/04/2019,14:00,1.0481,1.0481,1.0481,1.0481,0,9
01/07/2019,14:00,1.0554,1.0554,1.0554,1.0554,0,9
01/08/2019,14:00,1.0536,1.0536,1.0536,1.0536,0,9
