"Date","Time","Open","High","Low","Close","Vol","OI"
02/28/2018,15:00,16.368,16.368,16.368,16.368,0,1
03/01/2018,15:00,16.235,16.235,16.235,16.235,0,1
03/02/2018,15:00,16.426,16.426,16.426,16.426,0,1
03/05/2018,15:00,16.372,16.372,16.372,16.372,0,1
03/06/2018,15:00,16.748,16.748,16.748,16.748,0,1
03/07/2018,15:00,16.459,16.459,16.459,16.459,0,1
03/08/2018,15:00,16.458,16.458,16.458,16.458,0,1
03/09/2018,15:00,16.568,16.568,16.568,16.568,0,1
03/12/2018,15:00,16.497,16.497,16.497,16.497,0,1
03/13/2018,15:00,16.588,16.588,16.588,16.588,0,1
03/14/2018,15:00,16.494,16.494,16.494,16.494,0,1
03/15/2018,15:00,16.382,16.382,16.382,16.382,0,1
03/16/2018,15:00,16.232,16.232,16.232,16.232,0,1
03/19/2018,15:00,16.286,16.286,16.286,16.286,0,1
03/20/2018,15:00,16.145,16.145,16.145,16.145,0,1
03/21/2018,15:00,16.372,16.372,16.372,16.372,0,1
03/22/2018,15:00,16.344,16.344,16.344,16.344,1,1
03/23/2018,15:00,16.542,16.542,16.542,16.542,0,1
03/26/2018,15:00,16.641,16.641,16.641,16.641,0,1
03/27/2018,15:00,16.497,16.497,16.497,16.497,0,1
03/28/2018,15:00,16.205,16.205,16.205,16.205,0,1
03/29/2018,15:00,16.223,16.223,16.223,16.223,0,1
04/02/2018,15:00,16.627,16.627,16.627,16.627,0,1
04/03/2018,15:00,16.347,16.347,16.347,16.347,0,1
04/04/2018,15:00,16.209,16.209,16.209,16.209,0,1
04/05/2018,15:00,16.320,16.320,16.320,16.320,0,1
04/06/2018,15:00,16.332,16.332,16.332,16.332,0,1
04/09/2018,15:00,16.499,16.499,16.499,16.499,0,1
04/10/2018,15:00,16.566,16.566,16.566,16.566,0,1
04/11/2018,15:00,16.738,16.738,16.738,16.738,0,1
04/12/2018,15:00,16.443,16.443,16.443,16.443,0,1
04/13/2018,15:00,16.628,16.628,16.628,16.628,0,1
04/16/2018,15:00,16.662,16.662,16.662,16.662,0,1
04/17/2018,15:00,16.772,16.772,16.772,16.772,0,1
04/18/2018,15:00,17.231,17.231,17.231,17.231,0,1
04/19/2018,15:00,17.222,17.222,17.222,17.222,0,1
04/20/2018,15:00,17.147,17.147,17.147,17.147,0,1
04/23/2018,15:00,16.571,16.571,16.571,16.571,0,1
04/24/2018,15:00,16.687,16.687,16.687,16.687,0,1
04/25/2018,15:00,16.486,16.486,16.486,16.486,0,1
