"Date","Time","Open","High","Low","Close","Vol","OI"
02/28/2018,14:00,229.100,229.100,226.975,227.250,39,1145
03/01/2018,14:00,227.000,227.500,225.025,225.075,33,1160
03/02/2018,14:00,223.125,225.000,223.125,224.500,33,1160
03/05/2018,14:00,224.400,225.000,224.400,225.000,8,1162
03/06/2018,14:00,226.275,228.500,226.100,228.250,29,1172
03/07/2018,14:00,228.250,228.250,225.250,226.500,26,1190
03/08/2018,14:00,226.500,226.975,223.000,223.500,24,1183
03/09/2018,14:00,223.000,223.075,222.800,223.075,21,1187
03/12/2018,14:00,223.000,223.000,221.025,221.250,17,1199
03/13/2018,14:00,220.000,221.025,220.000,220.750,30,1212
03/14/2018,14:00,220.750,222.250,220.750,222.000,22,1211
03/15/2018,14:00,221.975,221.975,221.825,221.850,28,1221
03/16/2018,14:00,221.375,221.500,221.325,221.350,28,1221
03/19/2018,14:00,220.500,220.500,219.600,219.600,43,1227
03/20/2018,14:00,220.000,221.250,220.000,220.750,45,1242
03/21/2018,14:00,220.500,221.250,220.500,220.750,13,1247
03/22/2018,14:00,221.000,221.025,220.750,221.000,36,1267
03/23/2018,14:00,221.000,221.250,221.000,221.250,3,1267
03/26/2018,14:00,221.000,221.000,220.750,220.750,57,1291
03/27/2018,14:00,221.400,221.400,220.750,221.000,24,1300
03/28/2018,14:00,222.000,223.800,221.500,222.250,29,1313
03/29/2018,14:00,222.975,223.500,222.975,223.500,61,1289
04/02/2018,14:00,223.325,223.500,222.750,223.000,10,1280
04/03/2018,14:00,223.250,224.075,223.250,224.075,27,1264
04/04/2018,14:00,227.000,232.450,227.000,229.000,26,1267
04/05/2018,14:00,228.000,228.100,227.500,228.000,5,1265
04/06/2018,14:00,228.600,228.600,227.500,228.000,5,1265
04/09/2018,14:00,228.750,229.950,228.750,229.950,49,1268
04/10/2018,14:00,228.625,229.000,228.075,228.750,20,1271
04/11/2018,14:00,229.000,229.000,226.250,228.250,21,1287
04/12/2018,14:00,226.250,228.100,226.250,227.475,18,1295
04/13/2018,14:00,226.000,226.000,226.000,226.000,18,1287
04/16/2018,14:00,226.000,226.000,226.000,226.000,0,1287
04/17/2018,14:00,226.975,227.500,226.000,226.000,10,1285
04/18/2018,14:00,227.000,227.000,226.500,227.000,21,1284
04/19/2018,14:00,226.750,226.750,226.500,226.500,14,1284
04/20/2018,14:00,226.500,226.500,226.500,226.500,0,1283
04/23/2018,14:00,227.000,227.000,226.500,226.500,25,1283
04/24/2018,14:00,226.025,226.600,226.000,226.000,57,1274
04/25/2018,14:00,225.500,226.000,225.075,225.500,54,1290
04/26/2018,14:00,225.475,225.475,225.400,225.400,6,1296
04/27/2018,14:00,225.400,225.400,225.400,225.400,0,1296
04/30/2018,14:00,225.100,225.100,225.100,225.100,1,1296
05/01/2018,14:00,225.100,225.100,225.100,225.100,0,1296
