"Date","Time","Open","High","Low","Close","Vol","OI"
03/01/2018,10:30,2237,2302,2220,2275,14037,65132
03/02/2018,10:30,2301,2363,2274,2336,12679,66882
03/05/2018,10:30,2357,2477,2352,2460,19958,69196
03/06/2018,10:30,2450,2486,2423,2463,19572,67827
03/07/2018,10:30,2461,2489,2446,2468,16197,69757
03/08/2018,10:30,2458,2540,2452,2518,15627,69515
03/09/2018,10:30,2528,2562,2470,2492,16981,69526
03/12/2018,10:30,2492,2592,2479,2569,13486,70599
03/13/2018,10:30,2564,2583,2545,2555,10536,70609
03/14/2018,10:30,2555,2600,2540,2577,9741,70985
03/15/2018,10:30,2577,2589,2529,2557,7824,71886
03/16/2018,10:30,2557,2567,2541,2547,6605,73116
03/19/2018,10:30,2555,2591,2465,2472,10576,72910
03/20/2018,10:30,2462,2537,2457,2505,12132,73248
03/21/2018,10:30,2521,2564,2498,2549,10593,74163
03/22/2018,10:30,2570,2589,2532,2560,6508,74740
03/23/2018,10:30,2557,2662,2537,2642,14152,76617
03/26/2018,10:30,2641,2669,2623,2656,8845,76393
03/27/2018,10:30,2650,2650,2564,2583,11486,76744
03/28/2018,10:30,2596,2634,2521,2629,17512,76704
03/29/2018,10:30,2613,2635,2573,2584,15623,76424
04/02/2018,10:30,2602,2675,2576,2669,13418,79051
04/03/2018,10:30,2633,2639,2516,2536,27141,79331
04/04/2018,10:30,2514,2566,2488,2525,25610,84509
04/05/2018,10:30,2520,2569,2483,2539,30475,88280
04/06/2018,10:30,2542,2551,2494,2498,37557,100041
04/09/2018,10:30,2502,2571,2474,2553,38536,108158
04/10/2018,10:30,2561,2563,2503,2531,31529,114734
04/11/2018,10:30,2541,2593,2514,2580,31302,121743
04/12/2018,10:30,2578,2596,2556,2564,28602,130934
04/13/2018,10:30,2570,2593,2552,2576,20227,132787
04/16/2018,10:30,2586,2714,2563,2704,35438,136032
04/17/2018,10:30,2693,2727,2684,2704,24390,135469
04/18/2018,10:30,2700,2856,2696,2800,33626,136798
04/19/2018,10:30,2793,2832,2778,2799,18586,136065
04/20/2018,10:30,2777,2795,2704,2729,23664,133981
04/23/2018,10:30,2715,2755,2698,2726,14519,133699
04/24/2018,10:30,2717,2837,2717,2815,28228,135313
04/25/2018,10:30,2820,2865,2786,2836,20544,135671
04/26/2018,10:30,2868,2943,2769,2802,40700,137255
04/27/2018,10:30,2802,2836,2729,2831,21072,137822
04/30/2018,10:30,2828,2840,2739,2825,26947,136803
05/01/2018,10:30,2812,2906,2776,2894,26274,140054
05/02/2018,10:30,2900,2904,2806,2813,19472,139020
05/03/2018,10:30,2796,2847,2778,2841,18856,139127
05/04/2018,10:30,2841,2841,2765,2777,15768,137245
05/07/2018,10:30,2768,2863,2751,2848,16137,137875
05/08/2018,10:30,2831,2846,2758,2773,19359,135625
05/09/2018,10:30,2758,2776,2686,2770,31485,133116
05/10/2018,10:30,2770,2785,2713,2762,15134,131596
05/11/2018,10:30,2748,2851,2748,2805,19431,131624
05/14/2018,10:30,2806,2849,2762,2779,13136,131285
05/15/2018,10:30,2782,2785,2662,2674,21802,130456
05/16/2018,10:30,2650,2740,2629,2730,24203,127110
05/17/2018,10:30,2725,2767,2626,2639,22150,124732
05/18/2018,10:30,2615,2730,2615,2678,24684,122039
05/21/2018,10:30,2656,2692,2609,2615,19946,119040
05/22/2018,10:30,2611,2669,2575,2589,28787,116041
05/23/2018,10:30,2608,2635,2585,2618,20797,112665
05/24/2018,10:30,2627,2642,2597,2603,15836,111071
05/25/2018,10:30,2604,2631,2553,2556,23751,111074
05/29/2018,10:30,2545,2589,2488,2497,28103,108678
05/30/2018,10:30,2498,2541,2494,2529,26540,103801
05/31/2018,10:30,2529,2533,2444,2454,41448,101056
06/01/2018,10:30,2450,2470,2413,2458,36079,89892
06/04/2018,10:30,2450,2457,2326,2351,31749,82643
06/05/2018,10:30,2328,2366,2278,2289,29706,76602
06/06/2018,10:30,2290,2332,2258,2296,32342,67456
06/07/2018,10:30,2304,2318,2253,2274,30853,50820
06/08/2018,10:30,2275,2399,2262,2393,25266,39021
06/11/2018,10:30,2360,2378,2308,2372,17676,27911
06/12/2018,10:30,2373,2420,2347,2413,14774,15030
06/13/2018,10:30,2395,2447,2359,2380,10844,8476
06/14/2018,10:30,2377,2470,2377,2450,8085,1759
06/15/2018,10:30,2445,2557,2415,2552,1617,594
06/18/2018,10:30,2544,2544,2449,2509,409,208
06/19/2018,10:30,2478,2505,2433,2468,6,207
06/20/2018,10:30,2568,2568,2568,2568,2,205
06/21/2018,10:30,2514,2517,2501,2509,40,161
06/22/2018,10:30,2512,2512,2443,2484,30,161
06/25/2018,10:30,2389,2489,2389,2433,209,181
06/26/2018,10:30,2385,2431,2385,2431,4,178
06/27/2018,10:30,2339,2339,2339,2339,2,178
06/28/2018,10:30,2418,2418,2418,2418,0,161
06/29/2018,10:30,2476,2476,2476,2476,0,161
07/02/2018,10:30,2465,2465,2465,2465,0,161
07/03/2018,10:30,2418,2418,2418,2418,0,161
07/05/2018,10:30,2446,2446,2446,2446,0,57
07/06/2018,10:30,2459,2459,2459,2459,15,42
07/09/2018,10:30,2443,2443,2443,2443,31,17
07/10/2018,10:30,2468,2501,2468,2501,1,16
07/11/2018,10:30,2484,2484,2484,2484,0,10
07/12/2018,10:30,2489,2489,2489,2489,0,10
07/13/2018,10:30,2489,2517,2489,2517,10,10
